Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
24,Karen Khachanov[RUS],1,0-1,0.0%,65.2%,63.5%,6,6.5%,1,1.1%,2.8%,60.9%,71.4%,55.6%,57.1%,86.7%,6.1,2.1,Karen Khachanov[RUS],1,31.1%,34.4%,9.7%,0.0%,22.2%,51.6%,6.3%,6.4,2.0,6.0,6.0,Karen Khachanov[RUS],1,14.3%,1,7,0.44,2.3,7.0,0.33,1.0,60.0%,3,5,0.33,1.7,5.0,0.67,2.0,Karen Khachanov[RUS],1,0.89,195,47.2%,0,0-0,-,0.0%,3,1-2,33.3%,31,14-17,45.2%,2:31,50.3,46.5
25,Alexei Popyrin[AUS],1,1-0,100.0%,62.4%,63.9%,4,3.4%,5,4.3%,11.4%,62.4%,74.0%,43.2%,48.7%,86.7%,7.8,2.9,Alexei Popyrin[AUS],1,38.2%,37.8%,1.6%,1.6%,31.8%,52.6%,18.8%,7.7,2.9,7.0,7.0,Alexei Popyrin[AUS],1,20.0%,3,15,0.94,5.0,15.0,1.00,3.0,85.7%,12,14,0.93,4.7,14.0,0.67,2.0,Alexei Popyrin[AUS],1,1.02,240,50.0%,0,0-0,-,0.0%,3,2-1,66.7%,31,16-15,51.6%,2:57,59.0,44.3
26,Alejandro Davidovich Fokina[ESP],5,3-2,60.0%,59.6%,59.7%,9,1.8%,7,1.4%,4.4%,69.0%,65.3%,46.8%,49.0%,77.3%,7.7,3.1,Alejandro Davidovich Fokina[ESP],5,39.2%,38.7%,7.0%,5.3%,32.9%,49.1%,30.8%,6.4,2.5,4.0,4.6,Alejandro Davidovich Fokina[ESP],5,50.0%,20,40,0.62,3.3,8.0,1.67,4.0,76.9%,50,65,0.98,5.4,13.0,1.25,3.0,Alejandro Davidovich Fokina[ESP],5,0.97,923,50.5%,6,2-4,33.3%,50.0%,12,7-5,58.3%,131,71-60,54.2%,2:24,59.8,46.7
27,Felix Auger Aliassime[CAN],3,2-1,66.7%,71.7%,66.9%,44,20.1%,6,2.7%,8.2%,66.7%,78.1%,58.9%,64.2%,91.9%,5.9,1.7,Felix Auger Aliassime[CAN],3,33.0%,35.2%,10.3%,2.2%,23.8%,52.1%,16.2%,6.1,2.0,6.0,6.7,Felix Auger Aliassime[CAN],3,54.5%,6,11,0.30,1.6,3.7,0.86,2.0,75.0%,9,12,0.32,1.7,4.0,0.43,1.0,Felix Auger Aliassime[CAN],3,1.17,443,52.1%,1,0-1,0.0%,14.3%,7,4-3,57.1%,74,40-34,54.1%,1:52,48.0,45.5
28,Denis Shapovalov[CAN],6,3-3,50.0%,64.8%,65.9%,48,11.2%,32,7.5%,20.0%,62.7%,72.1%,52.5%,65.6%,83.6%,6.4,2.3,Denis Shapovalov[CAN],6,31.1%,31.6%,7.1%,2.5%,26.5%,40.2%,9.4%,6.2,1.9,4.5,5.3,Denis Shapovalov[CAN],6,31.6%,6,19,0.30,1.5,3.2,0.46,1.0,60.7%,17,28,0.42,2.2,4.7,0.85,1.8,Denis Shapovalov[CAN],6,0.88,825,48.6%,3,2-1,66.7%,23.1%,13,6-7,46.2%,131,62-69,47.3%,1:36,44.2,41.8
29,Brandon Nakashima[USA],1,0-1,0.0%,60.0%,56.8%,6,7.5%,0,0.0%,0.0%,75.0%,68.3%,35.0%,35.0%,69.2%,6.2,2.5,Brandon Nakashima[USA],1,35.8%,32.8%,8.6%,8.6%,22.4%,56.3%,15.4%,6.2,2.2,10.0,10.0,Brandon Nakashima[USA],1,66.7%,2,3,0.23,1.0,3.0,0.67,2.0,42.9%,3,7,0.54,2.3,7.0,1.33,4.0,Brandon Nakashima[USA],1,0.90,161,47.8%,0,0-0,-,0.0%,3,1-2,33.3%,26,11-15,42.3%,1:49,36.3,40.6
30,Matteo Berrettini[ITA],5,2-3,40.0%,65.5%,61.6%,42,11.4%,3,0.8%,2.9%,72.3%,75.2%,40.2%,41.4%,82.8%,6.3,2.2,Matteo Berrettini[ITA],5,29.1%,29.6%,10.1%,3.6%,23.0%,43.9%,12.3%,5.9,1.7,6.0,5.6,Matteo Berrettini[ITA],5,35.0%,7,20,0.35,1.8,4.0,0.64,1.4,67.7%,21,31,0.53,2.8,6.2,0.91,2.0,Matteo Berrettini[ITA],5,0.84,705,48.1%,3,2-1,66.7%,27.3%,11,5-6,45.5%,115,55-60,47.8%,1:46,48.3,45.2
31,Hubert Hurkacz[POL],5,1-4,20.0%,66.4%,61.0%,59,15.1%,3,0.8%,2.2%,64.4%,74.1%,52.5%,53.7%,83.3%,5.9,2.0,Hubert Hurkacz[POL],5,31.0%,30.5%,7.0%,3.8%,22.3%,45.0%,7.5%,6.2,1.9,6.0,6.6,Hubert Hurkacz[POL],5,25.0%,5,20,0.30,1.5,4.0,0.38,1.0,57.7%,15,26,0.39,2.0,5.2,0.85,2.2,Hubert Hurkacz[POL],5,0.92,806,48.1%,3,1-2,33.3%,23.1%,13,4-9,30.8%,133,60-73,45.1%,1:56,44.5,43.0
32,Alex Michelsen[USA],2,0-2,0.0%,54.3%,53.9%,3,3.2%,2,2.1%,6.1%,64.9%,59.0%,45.5%,48.4%,57.1%,6.7,3.1,Alex Michelsen[USA],2,29.5%,30.7%,6.3%,1.1%,21.4%,35.8%,6.7%,6.3,1.9,7.0,7.0,Alex Michelsen[USA],2,25.0%,1,4,0.27,1.0,2.0,0.25,0.5,50.0%,6,12,0.86,3.0,6.0,1.50,3.0,Alex Michelsen[USA],2,0.64,189,41.8%,1,0-1,0.0%,25.0%,4,0-4,0.0%,29,9-20,31.0%,1:10,34.8,44.1
34,Flavio Cobolli[ITA],1,1-0,100.0%,67.9%,70.4%,0,0.0%,1,3.6%,11.1%,67.9%,68.4%,66.7%,75.0%,100.0%,7.0,2.3,Flavio Cobolli[ITA],1,45.8%,45.8%,0.0%,0.0%,38.5%,54.5%,50.0%,6.0,2.8,9.0,9.0,Flavio Cobolli[ITA],1,100.0%,2,2,0.50,2.0,2.0,2.00,2.0,100.0%,3,3,0.75,3.0,3.0,0.00,0.0,Flavio Cobolli[ITA],1,1.43,52,57.7%,0,0-0,-,0.0%,1,1-0,100.0%,8,6-2,75.0%,0:43,43.0,49.6
35,Tallon Griekspoor[NED],4,2-2,50.0%,62.9%,63.4%,20,4.8%,15,3.6%,11.1%,67.7%,69.6%,48.9%,55.0%,79.7%,7.1,2.6,Tallon Griekspoor[NED],4,31.5%,32.2%,8.1%,2.9%,28.0%,38.1%,11.7%,6.4,2.0,4.5,4.3,Tallon Griekspoor[NED],4,30.4%,7,23,0.38,2.1,5.8,0.64,1.8,69.2%,27,39,0.66,3.5,9.8,1.09,3.0,Tallon Griekspoor[NED],4,0.85,802,47.9%,5,4-1,80.0%,45.5%,11,5-6,45.5%,119,54-65,45.4%,2:33,55.6,45.8
36,Giovanni Mpetshi Perricard[FRA],1,0-1,0.0%,60.8%,64.6%,3,4.1%,6,8.1%,24.0%,66.2%,67.3%,48.0%,63.2%,80.0%,7.4,2.9,Giovanni Mpetshi Perricard[FRA],1,16.7%,17.1%,12.5%,2.1%,4.2%,29.2%,0.0%,4.8,0.8,6.0,6.0,Giovanni Mpetshi Perricard[FRA],1,-,0,0,0.00,0.0,0.0,0.00,0.0,80.0%,8,10,1.00,5.0,10.0,1.00,2.0,Giovanni Mpetshi Perricard[FRA],1,0.43,122,43.4%,0,0-0,-,0.0%,2,0-2,0.0%,20,8-12,40.0%,1:22,41.0,40.3
