Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
34,Flavio Cobolli[ITA],2,2-0,100.0%,59.7%,62.1%,6,4.3%,9,6.5%,13.0%,50.4%,62.9%,56.5%,65.0%,73.9%,6.0,2.4,Flavio Cobolli[ITA],2,49.7%,50.4%,2.8%,1.4%,48.0%,53.5%,50.0%,6.5,3.2,128.5,128.5,Flavio Cobolli[ITA],2,47.8%,11,23,1.05,4.6,11.5,2.20,5.5,40.0%,4,10,0.43,2.0,5.0,1.20,3.0,Flavio Cobolli[ITA],2,1.23,282,54.6%,0,0-0,-,0.0%,5,4-1,80.0%,45,28-17,62.2%,1:34,37.6,40.0
35,Tallon Griekspoor[NED],4,2-2,50.0%,68.3%,65.0%,44,12.5%,6,1.7%,5.0%,66.3%,74.4%,56.3%,59.3%,87.0%,6.5,2.1,Tallon Griekspoor[NED],4,27.8%,27.3%,11.4%,4.9%,17.8%,42.1%,11.3%,5.8,1.6,21.0,46.3,Tallon Griekspoor[NED],4,40.0%,6,15,0.28,1.5,3.8,0.60,1.5,70.8%,17,24,0.44,2.4,6.0,0.70,1.8,Tallon Griekspoor[NED],4,0.88,659,49.5%,3,2-1,66.7%,30.0%,10,5-5,50.0%,107,53-54,49.5%,1:55,46.1,42.0
37,Matteo Arnaldi[ITA],4,2-2,50.0%,59.2%,60.6%,24,5.4%,26,5.8%,12.9%,54.9%,66.9%,49.8%,57.1%,72.6%,7.2,2.9,Matteo Arnaldi[ITA],4,38.7%,38.7%,4.8%,3.1%,31.5%,49.1%,28.3%,6.6,2.5,99.0,94.3,Matteo Arnaldi[ITA],4,41.5%,17,41,0.68,3.4,10.3,1.42,4.3,69.1%,38,55,0.89,4.6,13.8,1.42,4.3,Matteo Arnaldi[ITA],4,0.95,839,49.6%,2,0-2,0.0%,16.7%,12,6-6,50.0%,122,62-60,50.8%,2:37,52.3,44.9
38,Jiri Lehecka[CZE],4,3-1,75.0%,69.1%,69.1%,29,9.2%,13,4.1%,10.7%,61.5%,78.2%,54.5%,61.1%,90.2%,6.2,1.9,Jiri Lehecka[CZE],4,33.8%,35.7%,9.8%,2.4%,28.7%,42.5%,19.6%,5.6,1.9,15.5,52.3,Jiri Lehecka[CZE],4,58.8%,10,17,0.33,1.7,4.3,1.00,2.5,79.2%,19,24,0.47,2.4,6.0,0.50,1.3,Jiri Lehecka[CZE],4,1.09,601,52.2%,1,1-0,100.0%,10.0%,10,7-3,70.0%,102,56-46,54.9%,1:49,43.7,43.6
40,Nuno Borges[POR],3,1-2,33.3%,61.0%,61.8%,7,3.4%,7,3.4%,10.1%,66.3%,62.5%,58.0%,64.5%,66.7%,6.2,2.4,Nuno Borges[POR],3,37.1%,37.8%,8.5%,4.0%,27.0%,49.5%,15.2%,7.5,2.8,15.0,60.3,Nuno Borges[POR],3,22.7%,5,22,0.67,3.1,7.3,0.71,1.7,38.9%,7,18,0.55,2.6,6.0,1.57,3.7,Nuno Borges[POR],3,0.95,453,47.9%,2,1-1,50.0%,28.6%,7,2-5,28.6%,66,27-39,40.9%,1:44,44.4,41.2
41,Jordan Thompson[AUS],4,2-2,50.0%,69.9%,69.2%,14,6.4%,4,1.8%,4.6%,60.3%,76.5%,59.8%,62.7%,80.0%,5.5,1.7,Jordan Thompson[AUS],4,33.7%,35.6%,11.2%,3.3%,28.3%,42.7%,14.6%,6.7,2.3,19.5,19.3,Jordan Thompson[AUS],4,26.1%,6,23,0.56,2.6,5.8,0.67,1.5,42.9%,6,14,0.35,1.6,3.5,0.89,2.0,Jordan Thompson[AUS],4,1.12,495,49.7%,2,2-0,100.0%,22.2%,9,5-4,55.6%,81,38-43,46.9%,1:28,39.2,42.8
42,Alejandro Tabilo[CHI],3,2-1,66.7%,58.0%,59.2%,9,3.2%,12,4.3%,10.4%,59.1%,63.3%,50.4%,56.3%,74.4%,7.2,3.0,Alejandro Tabilo[CHI],3,38.6%,39.7%,7.2%,2.8%,32.1%,49.5%,25.6%,6.4,2.5,108.0,96.3,Alejandro Tabilo[CHI],3,45.5%,10,22,0.56,2.8,7.3,1.25,3.3,66.7%,20,30,0.77,3.8,10.0,1.25,3.3,Alejandro Tabilo[CHI],3,0.92,530,48.9%,0,0-0,-,0.0%,8,5-3,62.5%,78,39-39,50.0%,1:58,44.4,40.2
43,Gael Monfils[FRA],3,2-1,66.7%,69.9%,72.8%,38,9.6%,30,7.6%,18.4%,58.7%,80.2%,55.2%,67.7%,91.9%,6.4,1.9,Gael Monfils[FRA],3,34.1%,33.2%,6.6%,4.5%,29.6%,40.5%,16.7%,6.6,2.3,30.0,48.7,Gael Monfils[FRA],3,32.3%,10,31,0.52,2.8,10.3,0.91,3.3,68.8%,11,16,0.26,1.5,5.3,0.45,1.7,Gael Monfils[FRA],3,1.13,791,52.0%,6,2-4,33.3%,54.5%,11,7-4,63.6%,122,67-55,54.9%,3:02,49.6,41.4
44,Lorenzo Sonego[ITA],2,1-1,50.0%,69.3%,69.8%,13,6.5%,7,3.5%,9.3%,62.3%,79.8%,52.0%,57.4%,87.9%,6.0,1.8,Lorenzo Sonego[ITA],2,25.6%,25.2%,5.2%,2.3%,23.5%,28.4%,14.7%,5.1,1.3,83.5,83.5,Lorenzo Sonego[ITA],2,71.4%,5,7,0.21,1.2,3.5,0.83,2.5,76.5%,13,17,0.52,2.8,8.5,0.67,2.0,Lorenzo Sonego[ITA],2,0.83,371,49.1%,1,0-1,0.0%,16.7%,6,3-3,50.0%,67,34-33,50.7%,2:24,48.0,46.6
45,Marcos Giron[USA],3,2-1,66.7%,61.4%,60.5%,5,2.2%,0,0.0%,0.0%,58.8%,66.4%,54.3%,54.3%,76.5%,6.7,2.6,Marcos Giron[USA],3,40.4%,37.6%,8.9%,9.9%,30.8%,53.5%,29.4%,6.0,2.4,32.0,39.7,Marcos Giron[USA],3,50.0%,10,20,0.59,2.9,6.7,1.43,3.3,57.9%,11,19,0.56,2.7,6.3,1.14,2.7,Marcos Giron[USA],3,1.05,431,51.5%,1,1-0,100.0%,14.3%,7,5-2,71.4%,68,36-32,52.9%,1:45,45.1,44.0
46,Luciano Darderi[ITA],1,1-0,100.0%,74.4%,72.1%,12,14.6%,2,2.4%,7.4%,67.1%,76.4%,70.4%,76.0%,100.0%,6.8,1.8,Luciano Darderi[ITA],1,32.2%,34.6%,9.2%,1.1%,27.3%,40.6%,0.0%,7.3,2.3,87.0,87.0,Luciano Darderi[ITA],1,0.0%,0,2,0.17,1.0,2.0,0.00,0.0,100.0%,3,3,0.25,1.5,3.0,0.00,0.0,Luciano Darderi[ITA],1,1.26,169,52.7%,2,2-0,100.0%,100.0%,2,2-0,100.0%,24,12-12,50.0%,1:56,58.0,41.2
47,Miomir Kecmanovic[SRB],5,3-2,60.0%,63.8%,63.4%,28,5.7%,13,2.7%,6.7%,60.5%,75.0%,46.6%,50.0%,81.9%,6.8,2.5,Miomir Kecmanovic[SRB],5,36.5%,41.4%,15.9%,3.0%,25.8%,53.9%,20.0%,6.3,2.3,76.0,70.6,Miomir Kecmanovic[SRB],5,41.7%,15,36,0.48,2.4,7.2,1.00,3.0,71.1%,32,45,0.63,3.0,9.0,0.87,2.6,Miomir Kecmanovic[SRB],5,1.01,960,50.4%,2,2-0,100.0%,13.3%,15,9-6,60.0%,147,74-73,50.3%,2:08,42.6,39.9
48,David Goffin[BEL],1,0-1,0.0%,66.7%,63.6%,8,10.7%,1,1.3%,3.3%,60.0%,75.6%,53.3%,55.2%,76.9%,5.8,1.9,David Goffin[BEL],1,34.9%,34.8%,10.8%,6.0%,17.4%,56.8%,14.3%,5.9,2.1,102.0,102.0,David Goffin[BEL],1,33.3%,2,6,0.43,2.0,6.0,0.67,2.0,50.0%,3,6,0.46,2.0,6.0,1.00,3.0,David Goffin[BEL],1,1.05,158,50.0%,0,0-0,-,0.0%,3,1-2,33.3%,27,12-15,44.4%,1:54,38.0,43.3
49,Pedro Martinez[ESP],1,1-0,100.0%,61.0%,61.0%,0,0.0%,0,0.0%,0.0%,80.0%,60.0%,65.0%,65.0%,73.3%,6.7,2.6,Pedro Martinez[ESP],1,46.4%,46.2%,3.1%,3.1%,43.6%,50.0%,40.0%,6.5,3.0,88.5,88.5,Pedro Martinez[ESP],1,60.0%,6,10,0.67,3.3,10.0,2.00,6.0,63.6%,7,11,0.73,3.7,11.0,1.33,4.0,Pedro Martinez[ESP],1,1.19,197,53.8%,0,0-0,-,0.0%,3,2-1,66.7%,30,17-13,56.7%,2:39,53.0,48.4
