Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],25,17-8,68.0%,67.2%,63.9%,355,17.2%,93,4.5%,11.6%,61.1%,79.3%,48.4%,54.7%,86.5%,6.3,2.1,25,36.5%,37.2%,6.9%,3.0%,29.8%,49.0%,20.3%,6.4,2.4,33.5,55.0,25,37.9%,66,174,0.54,2.6,7.0,1.00,2.6,66.7%,88,132,0.40,2.0,5.3,0.67,1.8,25,1.12,4159,51.8%,18,12-6,66.7%,27.3%,66,43-23,65.2%,652,349-303,53.5%,1:54,43.3,41.2
22,Ugo Humbert[FRA],20,12-8,60.0%,67.3%,65.7%,150,10.1%,43,2.9%,7.2%,59.6%,76.8%,53.2%,57.3%,84.6%,6.0,2.0,20,35.3%,36.4%,9.7%,3.9%,27.0%,49.2%,19.2%,6.4,2.3,53.0,73.9,20,34.8%,46,132,0.55,2.5,6.6,0.88,2.3,59.6%,56,94,0.38,1.8,4.7,0.73,1.9,20,1.08,3015,51.0%,7,4-3,57.1%,13.5%,52,33-19,63.5%,486,255-231,52.5%,1:49,42.1,43.5
23,Sebastian Korda[USA],16,8-8,50.0%,65.7%,64.2%,121,9.5%,39,3.1%,8.1%,62.4%,73.5%,52.7%,57.4%,83.7%,6.3,2.2,16,33.6%,34.0%,8.2%,3.6%,26.6%,45.8%,17.7%,6.2,2.1,46.0,73.5,16,42.4%,36,85,0.42,2.0,5.3,0.86,2.3,61.6%,53,86,0.42,2.0,5.4,0.79,2.1,16,0.98,2530,49.8%,10,4-6,40.0%,23.8%,42,21-21,50.0%,406,206-200,50.7%,1:49,41.5,41.4
24,Karen Khachanov[RUS],19,9-10,47.4%,64.6%,63.6%,104,6.9%,37,2.5%,6.4%,61.9%,72.5%,51.7%,55.3%,78.9%,6.1,2.2,19,37.3%,37.9%,7.8%,3.7%,27.6%,53.2%,22.1%,6.5,2.4,57.0,99.5,19,35.9%,55,153,0.61,3.1,8.1,1.10,2.9,60.0%,78,130,0.53,2.6,6.8,1.04,2.7,19,1.05,3113,50.5%,9,6-3,66.7%,18.0%,50,26-24,52.0%,495,249-246,50.3%,2:02,46.3,44.6
25,Alexei Popyrin[AUS],14,5-9,35.7%,63.7%,63.3%,97,8.4%,50,4.4%,11.8%,63.2%,73.6%,46.7%,53.0%,80.2%,6.5,2.4,14,33.9%,34.6%,7.0%,2.6%,26.4%,45.5%,12.0%,6.6,2.2,45.0,59.6,14,22.9%,22,96,0.52,2.7,6.9,0.61,1.6,66.7%,70,105,0.59,2.9,7.5,0.97,2.5,14,0.93,2356,48.4%,5,3-2,60.0%,13.9%,36,14-22,38.9%,360,164-196,45.6%,2:04,48.3,44.3
26,Alejandro Davidovich Fokina[ESP],32,21-11,65.6%,61.9%,61.8%,102,3.9%,58,2.2%,6.5%,65.5%,67.1%,52.0%,55.6%,77.6%,6.7,2.5,32,40.4%,41.3%,7.6%,3.8%,31.4%,54.4%,29.6%,6.5,2.6,38.5,57.4,32,44.5%,114,256,0.66,3.2,8.0,1.43,3.6,65.6%,166,253,0.65,3.2,7.9,1.09,2.7,32,1.06,5082,51.3%,20,10-10,50.0%,25.0%,80,48-32,60.0%,773,415-358,53.7%,1:58,47.3,44.7
27,Felix Auger Aliassime[CAN],27,17-10,63.0%,67.5%,65.7%,276,12.5%,84,3.8%,12.2%,68.7%,74.4%,52.2%,59.5%,84.3%,6.2,2.0,27,37.1%,37.8%,6.9%,3.1%,30.1%,49.1%,19.2%,6.7,2.5,72.0,106.4,27,29.9%,69,231,0.64,3.2,8.6,0.96,2.6,67.6%,117,173,0.49,2.4,6.4,0.78,2.1,27,1.14,4611,51.6%,16,10-6,62.5%,22.2%,72,41-31,56.9%,715,369-346,51.6%,2:12,49.5,46.4
28,Denis Shapovalov[CAN],22,13-9,59.1%,64.0%,66.0%,165,10.3%,133,8.3%,19.5%,57.5%,74.5%,49.7%,61.7%,81.6%,6.3,2.3,22,36.7%,36.7%,4.0%,2.3%,31.9%,46.3%,21.5%,6.4,2.4,46.0,67.7,22,43.1%,53,123,0.50,2.4,5.6,1.04,2.4,62.1%,77,124,0.49,2.4,5.6,0.92,2.1,22,1.02,3181,50.5%,14,5-9,35.7%,27.5%,51,27-24,52.9%,501,261-240,52.1%,1:41,43.7,42.0
29,Brandon Nakashima[USA],26,14-12,53.8%,67.4%,64.2%,211,11.5%,27,1.5%,4.2%,65.2%,75.1%,52.9%,55.2%,85.0%,6.1,2.0,26,35.8%,36.2%,6.9%,3.3%,28.5%,47.4%,18.8%,6.5,2.3,53.0,61.8,26,42.0%,55,131,0.45,2.2,5.0,0.92,2.1,58.7%,64,109,0.36,1.8,4.2,0.75,1.7,26,1.10,3727,51.3%,12,4-8,33.3%,20.0%,60,31-29,51.7%,594,311-283,52.4%,1:45,45.7,44.1
30,Matteo Berrettini[ITA],21,12-9,57.1%,69.7%,66.5%,224,13.2%,33,1.9%,6.6%,70.5%,76.6%,53.1%,56.9%,88.3%,6.2,1.9,21,34.1%,34.6%,7.9%,3.4%,27.5%,46.8%,16.8%,6.3,2.2,26.0,33.9,21,37.7%,46,122,0.45,2.3,5.8,0.85,2.2,69.2%,72,104,0.38,1.9,5.0,0.59,1.5,21,1.12,3416,51.7%,16,8-8,50.0%,29.6%,54,31-23,57.4%,547,288-259,52.7%,2:01,47.2,44.7
