Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
28,Denis Shapovalov[CAN],8,3-5,37.5%,65.9%,68.1%,61,12.8%,44,9.2%,22.2%,58.6%,77.5%,49.5%,63.6%,80.2%,5.9,2.0,Denis Shapovalov[CAN],8,32.1%,31.8%,4.9%,2.8%,26.8%,42.3%,15.0%,6.3,2.0,51.0,109.6,Denis Shapovalov[CAN],8,33.3%,12,36,0.45,2.1,4.5,0.71,1.5,54.3%,19,35,0.43,2.1,4.4,0.94,2.0,Denis Shapovalov[CAN],8,0.94,985,48.5%,3,0-3,0.0%,17.6%,17,6-11,35.3%,161,77-84,47.8%,1:23,39.1,40.4
29,Brandon Nakashima[USA],9,6-3,66.7%,70.1%,67.5%,70,10.7%,8,1.2%,3.4%,64.3%,78.1%,55.8%,57.8%,88.9%,6.0,1.8,Brandon Nakashima[USA],9,37.2%,36.3%,3.9%,3.5%,28.9%,49.8%,20.0%,6.8,2.5,55.0,70.8,Brandon Nakashima[USA],9,35.6%,21,59,0.56,2.8,6.6,1.00,2.3,63.6%,21,33,0.31,1.6,3.7,0.57,1.3,Brandon Nakashima[USA],9,1.24,1369,52.9%,5,2-3,40.0%,23.8%,21,13-8,61.9%,213,117-96,54.9%,1:55,49.3,45.4
30,Matteo Berrettini[ITA],8,4-4,50.0%,70.5%,68.3%,58,11.2%,10,1.9%,6.1%,68.0%,79.8%,50.9%,54.2%,84.6%,5.7,1.7,Matteo Berrettini[ITA],8,34.1%,34.0%,8.3%,4.4%,25.4%,48.8%,16.5%,6.2,2.1,17.5,23.0,Matteo Berrettini[ITA],8,41.7%,15,36,0.40,2.0,4.5,0.83,1.9,57.6%,19,33,0.36,1.8,4.1,0.78,1.8,Matteo Berrettini[ITA],8,1.16,1079,51.5%,4,2-2,50.0%,22.2%,18,10-8,55.6%,182,92-90,50.5%,1:43,45.6,45.6
31,Hubert Hurkacz[POL],2,1-1,50.0%,63.7%,58.7%,14,15.4%,2,2.2%,5.1%,57.1%,71.2%,53.8%,56.8%,76.5%,5.4,1.9,Hubert Hurkacz[POL],2,36.5%,34.8%,5.8%,5.8%,30.2%,43.1%,18.8%,6.5,2.4,22.5,22.5,Hubert Hurkacz[POL],2,42.9%,3,7,0.44,1.8,3.5,0.75,1.5,20.0%,1,5,0.29,1.3,2.5,1.00,2.0,Hubert Hurkacz[POL],2,1.01,195,49.2%,0,0-0,-,0.0%,4,2-2,50.0%,33,16-17,48.5%,1:15,37.5,46.2
32,Alex Michelsen[USA],7,5-2,71.4%,64.4%,63.7%,41,7.5%,17,3.1%,9.0%,65.5%,72.8%,48.4%,53.2%,77.6%,6.4,2.3,Alex Michelsen[USA],7,40.1%,42.0%,8.1%,2.5%,29.8%,59.0%,29.4%,6.7,2.7,64.0,55.0,Alex Michelsen[USA],7,47.2%,25,53,0.62,2.9,7.6,1.39,3.6,54.8%,23,42,0.49,2.3,6.0,1.06,2.7,Alex Michelsen[USA],7,1.13,1114,52.0%,6,4-2,66.7%,33.3%,18,12-6,66.7%,170,91-79,53.5%,1:56,45.2,43.8
33,Sebastian Baez[ARG],3,3-0,100.0%,62.2%,62.3%,6,3.0%,4,2.0%,7.5%,73.6%,62.8%,60.4%,65.3%,83.9%,6.5,2.5,Sebastian Baez[ARG],3,46.8%,44.7%,1.1%,4.7%,45.0%,50.0%,41.4%,6.6,3.1,87.0,96.3,Sebastian Baez[ARG],3,57.1%,12,21,0.72,3.5,7.0,2.00,4.0,73.7%,14,19,0.61,3.2,6.3,0.83,1.7,Sebastian Baez[ARG],3,1.24,391,54.7%,0,0-0,-,0.0%,6,6-0,100.0%,60,38-22,63.3%,1:39,49.3,45.4
34,Flavio Cobolli[ITA],6,0-6,0.0%,58.2%,59.4%,10,2.6%,15,3.8%,8.0%,52.3%,63.9%,51.9%,56.4%,69.5%,6.6,2.8,Flavio Cobolli[ITA],6,34.1%,34.6%,8.1%,3.6%,28.0%,45.3%,9.7%,6.8,2.3,26.5,46.0,Flavio Cobolli[ITA],6,17.6%,6,34,0.55,2.8,5.7,0.50,1.0,57.1%,24,42,0.71,3.5,7.0,1.50,3.0,Flavio Cobolli[ITA],6,0.82,811,45.7%,3,1-2,33.3%,25.0%,12,1-11,8.3%,121,47-74,38.8%,1:35,47.7,42.3
35,Tallon Griekspoor[NED],6,6-0,100.0%,70.0%,68.8%,58,11.3%,17,3.3%,9.4%,65.0%,76.9%,57.2%,63.2%,92.3%,6.6,2.0,Tallon Griekspoor[NED],6,32.1%,30.5%,8.9%,6.1%,24.1%,44.1%,16.0%,6.3,2.0,56.5,55.3,Tallon Griekspoor[NED],6,44.4%,12,27,0.36,1.9,4.5,0.86,2.0,81.3%,26,32,0.41,2.3,5.3,0.43,1.0,Tallon Griekspoor[NED],6,1.07,988,51.8%,7,6-1,85.7%,50.0%,14,12-2,85.7%,153,84-69,54.9%,1:55,49.2,41.8
36,Giovanni Mpetshi Perricard[FRA],4,2-2,50.0%,73.5%,72.8%,62,18.9%,20,6.1%,17.7%,65.5%,81.9%,57.5%,69.9%,94.1%,6.4,1.7,Giovanni Mpetshi Perricard[FRA],4,23.0%,25.7%,12.2%,0.7%,19.2%,31.3%,3.9%,6.0,1.4,49.0,54.7,Giovanni Mpetshi Perricard[FRA],4,15.4%,2,13,0.25,1.4,3.3,0.22,0.5,78.6%,11,14,0.27,1.6,3.5,0.33,0.8,Giovanni Mpetshi Perricard[FRA],4,0.87,632,49.2%,6,3-3,50.0%,66.7%,9,4-5,44.4%,102,50-52,49.0%,1:44,46.2,39.5
37,Matteo Arnaldi[ITA],6,3-3,50.0%,66.7%,67.3%,26,6.4%,16,3.9%,9.3%,57.9%,72.6%,58.7%,64.7%,86.4%,6.2,2.1,Matteo Arnaldi[ITA],6,32.3%,32.8%,7.7%,2.9%,27.1%,42.5%,14.1%,5.9,1.9,28.5,41.7,Matteo Arnaldi[ITA],6,42.9%,9,21,0.33,1.5,3.5,0.64,1.5,64.0%,16,25,0.38,1.8,4.2,0.64,1.5,Matteo Arnaldi[ITA],6,0.97,787,50.2%,1,1-0,100.0%,7.1%,14,8-6,57.1%,130,66-64,50.8%,1:41,43.3,46.2
