Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
28,Denis Shapovalov[CAN],1,1-0,100.0%,69.9%,65.5%,13,17.8%,2,2.7%,8.7%,68.5%,72.0%,65.2%,71.4%,100.0%,6.6,2.0,Denis Shapovalov[CAN],1,35.6%,37.3%,6.8%,1.4%,36.4%,33.3%,10.0%,7.3,2.6,5.0,5.0,Denis Shapovalov[CAN],1,20.0%,1,5,0.50,2.5,5.0,0.50,1.0,100.0%,1,1,0.09,0.5,1.0,0.00,0.0,Denis Shapovalov[CAN],1,1.18,146,52.7%,1,1-0,100.0%,50.0%,2,2-0,100.0%,21,12-9,57.1%,1:40,50.0,41.1
31,Hubert Hurkacz[POL],1,0-1,0.0%,74.0%,68.4%,17,17.7%,0,0.0%,0.0%,66.7%,79.7%,62.5%,62.5%,94.1%,5.6,1.5,Hubert Hurkacz[POL],1,26.0%,27.5%,13.5%,3.1%,17.7%,41.2%,5.9%,5.6,1.5,4.0,4.0,Hubert Hurkacz[POL],1,100.0%,1,1,0.06,0.3,1.0,0.33,1.0,50.0%,1,2,0.12,0.7,2.0,0.33,1.0,Hubert Hurkacz[POL],1,1.00,192,50.0%,1,0-1,0.0%,33.3%,3,1-2,33.3%,34,17-17,50.0%,2:18,46.0,43.1
33,Sebastian Baez[ARG],3,1-2,33.3%,60.4%,60.5%,4,1.8%,3,1.4%,5.3%,73.7%,61.9%,56.1%,59.3%,70.6%,6.4,2.5,Sebastian Baez[ARG],3,43.1%,41.0%,3.4%,6.0%,32.8%,56.4%,32.4%,6.8,2.9,60.0,69.3,Sebastian Baez[ARG],3,42.3%,11,26,0.76,3.7,8.7,1.57,3.7,58.3%,14,24,0.71,3.4,8.0,1.43,3.3,Sebastian Baez[ARG],3,1.09,449,51.4%,0,0-0,-,0.0%,7,3-4,42.9%,68,35-33,51.5%,1:52,48.1,45.0
34,Flavio Cobolli[ITA],1,1-0,100.0%,59.4%,60.3%,3,4.3%,3,4.3%,7.9%,44.9%,74.2%,47.4%,51.4%,80.0%,6.9,2.8,Flavio Cobolli[ITA],1,43.2%,43.8%,1.4%,0.0%,46.8%,25.0%,40.0%,7.4,3.2,36.0,36.0,Flavio Cobolli[ITA],1,36.4%,4,11,1.10,5.5,11.0,2.00,4.0,50.0%,2,4,0.40,2.0,4.0,1.00,2.0,Flavio Cobolli[ITA],1,1.07,143,51.0%,0,0-0,-,0.0%,2,2-0,100.0%,20,12-8,60.0%,1:46,53.0,44.5
35,Tallon Griekspoor[NED],1,0-1,0.0%,70.4%,72.3%,10,12.3%,6,7.4%,20.0%,63.0%,76.5%,60.0%,75.0%,91.7%,6.8,2.0,Tallon Griekspoor[NED],1,30.1%,28.6%,3.6%,3.6%,27.5%,34.4%,8.3%,6.9,2.1,57.0,57.0,Tallon Griekspoor[NED],1,25.0%,1,4,0.33,2.0,4.0,0.50,1.0,0.0%,0,1,0.08,0.5,1.0,0.50,1.0,Tallon Griekspoor[NED],1,1.02,164,50.0%,2,0-2,0.0%,100.0%,2,0-2,0.0%,24,12-12,50.0%,2:03,61.5,45.0
38,Jiri Lehecka[CZE],1,1-0,100.0%,80.0%,75.0%,3,20.0%,0,0.0%,0.0%,66.7%,100.0%,40.0%,40.0%,100.0%,5.0,1.0,Jiri Lehecka[CZE],1,55.6%,55.6%,0.0%,0.0%,55.6%,-,50.0%,4.5,2.5,293.0,293.0,Jiri Lehecka[CZE],1,100.0%,1,1,0.50,1.0,1.0,1.00,1.0,-,0,0,0.00,0.0,0.0,0.00,0.0,Jiri Lehecka[CZE],1,2.78,24,70.8%,0,0-0,-,0.0%,1,1-0,100.0%,5,4-1,80.0%,0:13,13.0,32.5
39,Alexandre Muller[FRA],2,1-1,50.0%,58.9%,59.4%,4,2.7%,4,2.7%,10.3%,73.3%,67.3%,35.9%,40.0%,66.7%,7.0,2.9,Alexandre Muller[FRA],2,40.2%,42.1%,5.7%,0.8%,35.8%,48.8%,25.0%,6.1,2.5,68.5,68.5,Alexandre Muller[FRA],2,38.5%,5,13,0.65,2.6,6.5,1.00,2.5,61.1%,11,18,0.86,3.6,9.0,1.40,3.5,Alexandre Muller[FRA],2,0.98,268,50.4%,0,0-0,-,0.0%,5,2-3,40.0%,41,19-22,46.3%,1:35,37.8,42.3
43,Gael Monfils[FRA],1,1-0,100.0%,73.3%,76.9%,4,6.7%,4,6.7%,14.8%,55.0%,87.9%,55.6%,65.2%,100.0%,6.0,1.6,Gael Monfils[FRA],1,37.5%,35.6%,3.1%,4.7%,28.6%,54.5%,22.2%,7.1,2.7,66.0,66.0,Gael Monfils[FRA],1,40.0%,2,5,0.56,2.5,5.0,1.00,2.0,100.0%,6,6,0.60,3.0,6.0,0.00,0.0,Gael Monfils[FRA],1,1.41,124,54.8%,0,0-0,-,0.0%,2,2-0,100.0%,19,12-7,63.2%,1:37,48.5,46.9
46,Luciano Darderi[ITA],1,1-0,100.0%,69.9%,71.4%,3,3.6%,3,3.6%,9.4%,61.4%,72.5%,65.6%,72.4%,91.7%,6.9,2.1,Luciano Darderi[ITA],1,29.6%,27.7%,12.3%,7.4%,23.5%,40.0%,8.3%,6.8,2.0,37.0,37.0,Luciano Darderi[ITA],1,100.0%,1,1,0.08,0.5,1.0,0.50,1.0,75.0%,3,4,0.33,2.0,4.0,0.50,1.0,Luciano Darderi[ITA],1,0.98,164,50.0%,2,2-0,100.0%,100.0%,2,2-0,100.0%,24,12-12,50.0%,2:03,61.5,45.0
47,Miomir Kecmanovic[SRB],1,1-0,100.0%,64.8%,61.3%,8,9.1%,0,0.0%,0.0%,67.0%,67.8%,58.6%,58.6%,85.7%,6.3,2.2,Miomir Kecmanovic[SRB],1,42.4%,41.5%,1.2%,2.4%,38.2%,50.0%,28.6%,6.1,2.6,60.0,60.0,Miomir Kecmanovic[SRB],1,66.7%,4,6,0.43,2.0,6.0,1.33,4.0,71.4%,5,7,0.50,2.3,7.0,0.67,2.0,Miomir Kecmanovic[SRB],1,1.20,173,53.8%,0,0-0,-,0.0%,3,2-1,66.7%,28,16-12,57.1%,2:10,43.3,45.1
50,Zizou Bergs[BEL],1,0-1,0.0%,62.5%,64.4%,2,3.1%,3,4.7%,13.6%,65.6%,71.4%,45.5%,52.6%,77.8%,7.1,2.7,Zizou Bergs[BEL],1,26.7%,23.1%,6.7%,6.7%,12.1%,44.4%,0.0%,6.0,1.6,52.0,52.0,Zizou Bergs[BEL],1,0.0%,0,6,0.60,3.0,6.0,0.00,0.0,60.0%,3,5,0.56,2.5,5.0,1.00,2.0,Zizou Bergs[BEL],1,0.71,124,45.2%,0,0-0,-,0.0%,2,0-2,0.0%,19,7-12,36.8%,1:37,48.5,46.9
62,Kei Nishikori[JPN],1,0-1,0.0%,56.0%,54.3%,4,5.3%,1,1.3%,3.7%,64.0%,58.3%,51.9%,53.8%,66.7%,6.3,2.8,Kei Nishikori[JPN],1,33.8%,33.8%,2.6%,1.3%,26.7%,58.8%,16.7%,6.4,2.2,67.0,67.0,Kei Nishikori[JPN],1,33.3%,2,6,0.50,2.0,6.0,0.67,2.0,50.0%,4,8,0.67,2.7,8.0,1.33,4.0,Kei Nishikori[JPN],1,0.77,152,44.7%,0,0-0,-,0.0%,3,1-2,33.3%,24,10-14,41.7%,1:43,34.3,40.7
64,Laslo Djere[SRB],1,1-0,100.0%,59.6%,63.9%,3,3.2%,8,8.5%,19.5%,56.4%,69.8%,46.3%,57.6%,73.3%,6.3,2.5,Laslo Djere[SRB],1,39.6%,37.6%,0.0%,3.1%,35.4%,48.4%,31.3%,6.0,2.4,31.0,31.0,Laslo Djere[SRB],1,62.5%,5,8,0.50,2.7,8.0,1.67,5.0,60.0%,6,10,0.67,3.3,10.0,1.33,4.0,Laslo Djere[SRB],1,0.98,190,49.5%,0,0-0,-,0.0%,3,2-1,66.7%,31,16-15,51.6%,2:25,48.3,45.8
65,Joao Fonseca[BRA],1,1-0,100.0%,62.7%,62.3%,4,5.3%,2,2.7%,7.4%,64.0%,72.9%,44.4%,48.0%,72.7%,6.8,2.5,Joao Fonseca[BRA],1,42.6%,43.8%,4.4%,1.5%,46.5%,36.0%,36.4%,6.2,2.6,28.0,28.0,Joao Fonseca[BRA],1,44.4%,4,9,0.82,4.5,9.0,2.00,4.0,25.0%,1,4,0.36,2.0,4.0,1.50,3.0,Joao Fonseca[BRA],1,1.14,143,53.1%,1,1-0,100.0%,50.0%,2,2-0,100.0%,22,12-10,54.5%,1:45,52.5,44.1
72,Hamad Medjedovic[SRB],1,0-1,0.0%,63.9%,66.7%,4,5.6%,5,6.9%,17.9%,61.1%,79.5%,39.3%,47.8%,81.8%,6.5,2.4,Hamad Medjedovic[SRB],1,25.8%,32.1%,19.7%,0.0%,18.2%,33.3%,9.1%,6.0,1.5,17.0,17.0,Hamad Medjedovic[SRB],1,50.0%,1,2,0.18,1.0,2.0,0.50,1.0,71.4%,5,7,0.64,3.5,7.0,1.00,2.0,Hamad Medjedovic[SRB],1,0.71,138,45.7%,1,0-1,0.0%,50.0%,2,0-2,0.0%,22,10-12,45.5%,1:40,50.0,43.5
80,Aleksandar Kovacevic[USA],1,0-1,0.0%,70.7%,70.0%,7,7.1%,2,2.0%,5.1%,60.6%,73.3%,66.7%,70.3%,87.5%,6.2,1.8,Aleksandar Kovacevic[USA],1,25.7%,30.6%,18.1%,1.0%,21.8%,37.0%,0.0%,6.6,1.7,23.0,23.0,Aleksandar Kovacevic[USA],1,0.0%,0,1,0.06,0.3,1.0,0.00,0.0,33.3%,1,3,0.19,1.0,3.0,0.67,2.0,Aleksandar Kovacevic[USA],1,0.88,204,47.5%,2,1-1,50.0%,66.7%,3,1-2,33.3%,32,14-18,43.8%,2:39,53.0,46.8
94,Reilly Opelka[USA],1,0-1,0.0%,44.4%,44.4%,0,0.0%,0,0.0%,-,100.0%,44.4%,-,-,50.0%,4.5,2.5,Reilly Opelka[USA],1,20.0%,25.0%,20.0%,0.0%,0.0%,60.0%,0.0%,5.0,1.0,28.0,28.0,Reilly Opelka[USA],1,-,0,0,0.00,0.0,0.0,0.00,0.0,0.0%,0,1,0.50,1.0,1.0,1.00,1.0,Reilly Opelka[USA],1,0.36,24,29.2%,0,0-0,-,0.0%,1,0-1,0.0%,5,1-4,20.0%,0:13,13.0,32.5
