Player,Rk,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,TB/S,S W%,G W%
Sebastian Korda[USA],-0.9451097315920058,0.32745202879205776,0.7962840590513406,0.2276156934616895,-0.3611658734445676,0.7912092218917836,-0.5696338541991466,-0.6939805148480963,-0.6872903918091946,0.46284777962409385,0.11327969700221735,-0.32454988227196213,0.1438016068870548,0.4752070481757748,-0.3605542875741979,0.7948373447231237,0.20190710380364654,0.8551461997443185,0.5207065290735732,0.41298772853009186,0.3239179880725263,0.5707848965803372,0.5675296218476602,0.2592536422439979,0.7981256620129887,0.5214652218945883,-0.38723695727166974,-0.43484301143637194,-0.4974271825061881,-0.6815261017319175,-0.19370019417883155,-0.33835402161588396,0.3724324378647935,-0.2661870309885016,-0.25523666543349904,0.5852548193489798,0.444939073716595
Karen Khachanov[RUS],-0.9106217612906389,1.3075235661301472,0.9053523290920387,0.6289838246803956,0.23697314744596884,0.42334072758047453,-1.019242351875694,-0.9395275876499602,0.48141999794929685,0.46284777962409385,0.44163773763703584,-0.10380641272668044,0.317801551220394,0.2250980754516842,0.695266800271064,-0.11381042811278017,-0.20118857318512784,0.968357584840183,0.3400732937857864,0.3158058963157104,1.2861569892797624,0.387020003047156,0.7748559412680218,0.4129429271670861,0.8415640570318376,0.6896250165772074,-0.37249216543709457,-0.6662917110718599,-0.4974271825061881,-0.6815261017319175,-0.19370019417883155,-0.33835402161588396,0.4518098573451263,0.9371023146606313,0.34730833926567434,0.9552960087046014,0.4062826732796112
Alexei Popyrin[AUS],-0.8761337909892719,0.47823226530560997,0.9356490707700105,0.6003146724504849,0.369892929866088,0.922590827002965,0.13689378500685578,0.14087953267824072,-0.06017749974366092,0.8413328857594355,0.012246453729965502,0.09241000464689812,0.7765286771901,0.0750326918172276,0.08613924959110576,0.8857021220067143,0.08334955174812467,0.08530878109244139,0.02049141596893288,-0.544947474725954,0.6682982621888003,0.6626673433469283,0.9821822606883843,0.7971661394748063,0.32030331680565205,0.1851456325293488,0.9103047241709427,-0.43484301143637194,-0.30874790638315197,-0.39803415185183433,-0.7091926464289466,-0.7339884484659529,0.4518098573451263,0.3138847252806024,0.5267898300271299,0.9552960087046014,0.464267273935087
Alejandro Davidovich Fokina[ESP],-0.8416458206879049,0.47823226530560997,-0.00960926958271022,-0.3170981989065545,-0.19501614541941859,-0.6014357922867425,-0.31271471266969125,-0.031003418283063824,1.2795636787599793,-0.8744662620541107,0.18905462945640622,0.1659911611619911,-0.10928922123416156,0.35015256181373017,0.2891817664844248,0.15878390373799076,0.08334955174812467,0.2890892742649962,0.32617842953287934,0.42687084741785986,0.46572163035569797,0.20325510951397383,0.5675296218476602,0.3360982847055423,0.7546872669941399,0.6896250165772074,0.040362005931009894,0.1823535209249304,0.44596919810899616,0.31069572284837477,0.2530599311046014,0.1891585475175411,0.05492275994346225,-0.7264092508383693,0.20628716795310184,0.026081466544930324,0.17434427065770808
Felix Auger Aliassime[CAN],-0.807157850386538,0.32745202879205776,-0.00960926958271022,0.2276156934616895,0.5360426578912371,0.7386565798473105,1.5499490634188609,1.589607262209238,-0.08868263120118518,0.31145373716995717,0.037504764548028466,1.0980191436865023,0.317801551220394,0.2000871781792736,-0.7260308179821726,0.43137823558876165,0.4864452287368977,-0.18639854313763457,-0.021193176789787143,0.14920846966248427,0.1618566826060444,-0.07239223078579944,-0.05444933641342747,-0.12496957006372232,0.1465497367302569,0.016985837846728993,-0.1513202879184672,-0.5119925779815343,-0.4974271825061881,-0.5397801267918763,-0.26243252114551363,-0.33835402161588396,0.21367759890412788,-0.7264092508383693,-0.6270197534393712,0.08364342933358257,0.1936724708762
Denis Shapovalov[CAN],-0.772669880085171,0.553622383562386,0.26306140551903656,0.8583370425196561,1.7323206996723062,0.922590827002965,2.513395844154319,2.399912602455389,-0.402239077233952,1.4469090555759794,-0.13930341117841227,1.490451978433665,0.9505286215234375,0.4752070481757748,-1.4569838787981222,0.15878390373799076,0.9606754369589853,-0.05054488102259722,0.32617842953287934,-0.08680455142958422,0.6277829358221798,0.7545497901135194,1.1895085801087468,0.48978756962863057,0.8415640570318376,0.35330542721196856,0.2910234671187876,-1.1291891103428362,-1.0634650108752992,-1.319382988962106,-0.8810234638456513,-1.1296228753160218,0.7693195352664576,-0.7264092508383693,-0.17831602653573186,0.5030234439366195,0.8121748778679416
Brandon Nakashima[USA],-0.738181909783804,0.32745202879205776,0.1903492254919034,1.0303519558990986,0.40312287547111786,0.843761863936256,-1.404621064169877,-1.2832934895725698,1.1655431529298823,0.3871507583970283,1.2499036838150506,0.5093698915657611,1.0454376820688942,-0.7253160208998668,0.4922242833777444,-0.022945650829189652,-0.7465533126405285,-0.5033904214060538,-0.6047774754118667,-0.2672850969705784,-0.10149293877698866,-0.8074518049185277,-0.6764282946745142,-0.8165713522176182,-0.722218163646718,-0.8238131355663693,0.7038776384868904,-0.9748899772525106,-1.0634650108752992,-1.1067640265520433,-1.0528542812623565,-1.1296228753160218,0.09461146968362866,0.07418565244212957,-0.28087687839942094,0.412568930983024,0.21300067109469192
Matteo Berrettini[ITA],-0.7036939394824371,-0.5018392720324794,0.4690792489292445,0.7436604336000227,-0.09532630860432918,1.0802487531363831,-1.2119317080227854,-1.1605199531716377,0.8804918383546396,0.9674945878045494,-0.4929197626312937,-1.1829967082813775,0.9188922680082852,-0.375163459086138,-1.0508988450114833,-1.0224582009486847,0.08334955174812467,-1.0468050698662033,-0.22961614058338686,0.09367599411140991,-0.5978056867680894,-0.43992201785216384,-0.26177565583379003,-0.43234813990989807,-0.07064223836398657,-0.31933375151850985,0.8365807649980669,-0.6662917110718599,-0.4974271825061881,-0.7523990892019389,-0.8466573003623103,-0.9977447330326653,0.21367759890412788,0.07418565244212957,0.10372631608941275,0.7414944326324654,0.4062826732796112
Hubert Hurkacz[POL],-0.6692059691810701,0.6290125018191621,0.7053938340174251,1.5177275438075273,0.868342113941535,1.6846041366478188,-0.7623232103462383,-0.792199343968842,-0.08868263120118518,1.497373736394025,1.0730955080886098,0.6320051524242494,1.2827103334325363,-0.4752070481757748,-0.07629476392354992,-0.8407286463815037,-0.46201518770727595,-0.14111398909928755,-0.6186723396647734,-0.36446692918495904,0.4150774723974224,-0.7155693581519366,-0.46910197525415165,-0.12496957006372232,-0.6787797686278692,-0.31933375151850985,0.9545390996746682,-1.206338676887999,-1.0634650108752992,-0.6815261017319175,-1.1903189351957206,-0.9977447330326653,0.5708759865656255,0.15088935575044088,1.4626576032832912,0.7086018824675203,0.464267273935087
Alex Michelsen[USA],-0.6347179988797031,1.4583038026436994,0.46301990059365017,-0.20242158998692417,-0.02886641739426958,-0.6277121133089789,-0.18425514190496342,0.06721541083768183,1.0800277585573095,-0.5464458367368146,-0.08878678954228635,-0.07927936055498551,-0.014380160688706532,0.5252288427205932,-0.4823797977101891,0.34051345830517177,0.5812912703813152,0.26644699724582327,0.7013397643613596,0.6767669873976979,1.4077029683796238,0.5707848965803372,0.36020330242729764,0.4129429271670861,0.9284408470695341,0.8577848112598272,-0.16606507975304236,-0.12624474525572077,-0.12006863026011493,-0.1854151894417717,-0.056235540245467446,-0.07459773704917172,0.3724324378647935,-0.007312032322951195,0.5267898300271299,0.5194697190190924,0.5415800748090547
Sebastian Baez[ARG],-0.6002300285783362,-0.5018392720324794,-1.4456748251185751,-2.065916484930917,-1.9562032624859944,-1.6787649541984326,-0.6980934249638744,-0.17833166196418196,2.533789462891044,-2.9939828564120243,-0.6444696275396701,-0.790563873534215,-2.2131067299917855,0.125054486362046,0.4516157799990799,0.24964868102158128,-0.17747706277402345,-0.005260326984251437,-0.17403668357176016,-0.4477656425115725,-0.476259707668228,0.20325510951397383,-0.05444933641342747,0.028719714859365898,-0.2878342134582305,-0.31933375151850985,-0.844325504143498,2.0339431180088354,1.9554034070932906,1.9407744346588554,1.9713681052716512,1.9035743972011725,-1.2548046614820292,1.2726810166344928,-1.626988059110339,-1.3965213280889024,-1.5265373485695803
Flavio Cobolli[ITA],-0.5657420582769692,0.8551828565894904,0.5660288222987545,-0.8331429390448909,-0.627005438284806,-0.5226068292200334,0.458042711918675,-0.006448711002877412,-2.2550726219730257,-0.19319307101049846,-0.41714483017710485,-0.47171219530214537,-0.6154708774765978,0.0,-0.6042053078461809,0.6131077901559427,-0.3197461252406497,0.2438047202266504,0.10386060148637331,0.44075396630562863,0.729071251738731,-0.16427467755239053,-0.05444933641342747,0.18240899978245412,0.23342652676795447,0.5214652218945883,0.27627867528421246,1.108148319466883,1.2006863026011434,1.5155365098387303,0.5623554024546706,0.7166711166509662,-0.42134175693853465,1.0617458325366367,-0.5244589015756821,0.14942852966347087,-0.32818893502308094
Tallon Griekspoor[NED],-0.5312540879756023,1.0813532113598188,0.1418744388071491,1.001682803669194,0.9015720595465612,0.9488671480252014,0.07266399962449231,0.36187189819991844,0.9660072327272092,0.9422622473955239,0.16379631863834326,0.41126168287896775,0.8398013842204045,-1.2005230690756403,0.9795263239217108,-0.3864047599635517,-0.9125338855182584,-1.137374177942896,-0.9104644889758131,-0.017388956990740327,0.14159901942273417,-1.542511379051256,-1.2984072529356014,-1.3544838494484266,-1.0697253237975077,-1.1601327249316085,0.010872422261859575,-1.1291891103428362,-1.0634650108752992,-1.0358910390820222,-0.7435588099122876,-0.7339884484659529,-0.2228982082377026,0.07418565244212957,1.385736964385525,0.14942852966347087,-0.15423513305665468
Giovanni Mpetshi Perricard[FRA],-0.49676611767423523,-0.7280096268028077,-0.00960926958271022,1.804419066106603,1.6326308628572206,4.075749349671326,2.7703149856837745,2.6700143825374387,-0.37373394577642777,2.2291116082556885,0.7194791566357284,2.7413316391902427,1.4883466312810243,-2.7261878026926,0.5328327867564083,-0.6589990918143233,-1.7424367499069109,-3.763878312166948,-1.8692101224263729,-0.433882523623803,-1.3169527297756027,-3.0126305273167118,-2.9570178082985006,-3.0450659836023957,-2.546630754438365,-2.673570877075185,0.232044299780487,-1.9006847757944632,-1.8181821153674464,-1.957239876192294,-1.3277835891290843,-1.3933791598827343,-0.580096595899198,0.3762064842186048,2.7190280386134824,-0.18772010952720658,-0.3088607348045901
Matteo Arnaldi[ITA],-0.46227814737286826,0.553622383562386,0.26306140551903656,-0.6324588734355379,-0.7599252207049252,-0.102185692864252,0.07266399962449231,-0.27655049108492763,-1.713475124280068,-0.21842541141952124,-0.2403366544506641,-0.42265809095875007,-0.4256527563856842,0.1750762809068644,-1.5788093889341137,-0.6589990918143233,0.5575797599702109,-0.4128213133293635,0.14554519424509332,0.05202663744810357,0.6682982621888003,0.2951375562805649,0.5675296218476602,0.6434768545517181,0.45061850186219843,0.5214652218945883,-0.7116223776323233,0.028054387834604805,0.2572899219859591,0.381568710318396,0.5967215659380117,0.7166711166509662,-0.2228982082377026,0.6063175941435388,-0.024474748740198594,0.3550069681943717,-0.1349069328381617
