Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],5,3-2,60.0%,65.9%,64.6%,37,11.2%,14,4.2%,11.1%,61.9%,76.1%,49.2%,55.4%,82.5%,5.8,2.0,21,Jakub Mensik[CZE],5,35.5%,38.8%,11.9%,2.1%,33.0%,40.6%,20.4%,6.1,2.1,31.0,36.2,21,Jakub Mensik[CZE],5,36.7%,11,30,0.56,2.5,6.0,0.92,2.2,44.4%,8,18,0.32,1.5,3.6,0.83,2.0,21,Jakub Mensik[CZE],5,1.04,658,50.8%,1,0-1,0.0%,8.3%,12,6-6,50.0%,111,58-53,52.3%,1:29,37.2,40.7
23,Sebastian Korda[USA],4,2-2,50.0%,71.5%,70.0%,39,9.7%,8,2.0%,5.4%,63.1%,81.2%,55.0%,58.2%,90.6%,6.3,1.8,23,Sebastian Korda[USA],4,30.0%,32.1%,16.1%,4.5%,20.7%,47.3%,9.0%,6.3,1.9,13.0,23.5,23,Sebastian Korda[USA],4,20.7%,6,29,0.43,2.4,7.3,0.50,1.5,71.4%,15,21,0.33,1.8,5.3,0.50,1.5,23,Sebastian Korda[USA],4,1.05,827,50.3%,6,3-3,50.0%,50.0%,12,6-6,50.0%,131,64-67,48.9%,2:08,42.7,37.1
24,Karen Khachanov[RUS],7,4-3,57.1%,68.0%,66.8%,53,7.9%,14,2.1%,5.3%,61.2%,76.5%,54.6%,57.7%,85.8%,6.4,2.0,24,Karen Khachanov[RUS],7,35.0%,35.2%,10.9%,5.7%,20.6%,54.4%,23.4%,6.4,2.3,31.0,71.3,24,Karen Khachanov[RUS],7,40.3%,25,62,0.58,3.0,8.9,1.19,3.6,68.8%,33,48,0.45,2.3,6.9,0.71,2.1,24,Karen Khachanov[RUS],7,1.09,1363,51.4%,7,3-4,42.9%,33.3%,21,12-9,57.1%,213,116-97,54.5%,2:29,49.7,46.0
25,Alexei Popyrin[AUS],3,2-1,66.7%,67.6%,66.0%,31,12.1%,10,3.9%,10.3%,62.1%,76.1%,53.6%,59.8%,91.9%,6.9,2.2,25,Alexei Popyrin[AUS],3,26.7%,25.8%,10.5%,4.8%,16.0%,44.3%,8.3%,5.8,1.6,10.0,56.3,25,Alexei Popyrin[AUS],3,100.0%,3,3,0.08,0.4,1.0,0.43,1.0,80.0%,12,15,0.41,2.1,5.0,0.43,1.0,25,Alexei Popyrin[AUS],3,0.82,466,49.1%,2,1-1,50.0%,28.6%,7,4-3,57.1%,73,37-36,50.7%,1:22,35.1,31.7
26,Alejandro Davidovich Fokina[ESP],3,2-1,66.7%,63.7%,63.5%,13,6.1%,7,3.3%,9.2%,64.2%,72.1%,48.7%,53.6%,75.0%,5.9,2.1,26,Alejandro Davidovich Fokina[ESP],3,43.6%,43.7%,4.8%,3.6%,31.4%,58.4%,33.3%,6.9,3.0,162.0,137.0,26,Alejandro Davidovich Fokina[ESP],3,46.2%,12,26,0.72,3.7,8.7,1.71,4.0,43.8%,7,16,0.44,2.3,5.3,1.29,3.0,26,Alejandro Davidovich Fokina[ESP],3,1.20,462,52.8%,2,2-0,100.0%,28.6%,7,5-2,71.4%,72,39-33,54.2%,1:53,48.3,43.9
27,Felix Auger Aliassime[CAN],8,2-6,25.0%,64.6%,62.9%,62,10.8%,21,3.7%,11.5%,68.1%,72.3%,48.1%,54.3%,78.7%,6.4,2.3,27,Felix Auger Aliassime[CAN],8,34.0%,34.6%,8.8%,3.7%,25.3%,48.6%,17.4%,6.4,2.2,64.5,84.4,27,Felix Auger Aliassime[CAN],8,38.1%,16,42,0.46,2.2,5.3,0.84,2.0,66.1%,37,56,0.63,2.9,7.0,1.00,2.4,27,Felix Auger Aliassime[CAN],8,0.96,1162,49.1%,5,2-3,40.0%,26.3%,19,7-12,36.8%,181,86-95,47.5%,1:36,40.4,39.6
28,Denis Shapovalov[CAN],6,4-2,66.7%,68.5%,72.9%,48,8.8%,51,9.3%,23.9%,61.0%,79.9%,50.7%,66.7%,89.5%,6.3,2.0,28,Denis Shapovalov[CAN],6,33.0%,33.4%,7.7%,3.2%,26.0%,45.5%,17.2%,6.4,2.1,75.5,95.5,28,Denis Shapovalov[CAN],6,46.9%,15,32,0.37,1.9,5.3,0.88,2.5,72.7%,24,33,0.38,1.9,5.5,0.53,1.5,28,Denis Shapovalov[CAN],6,1.05,1104,50.5%,7,3-4,42.9%,41.2%,17,10-7,58.8%,173,92-81,53.2%,2:05,44.2,40.9
29,Brandon Nakashima[USA],11,8-3,72.7%,70.0%,67.4%,90,12.1%,15,2.0%,6.1%,67.0%,78.4%,52.8%,56.3%,88.8%,6.0,1.8,29,Brandon Nakashima[USA],11,34.9%,34.8%,8.5%,4.6%,26.3%,48.0%,19.7%,6.3,2.2,94.0,90.8,29,Brandon Nakashima[USA],11,38.7%,24,62,0.51,2.5,5.6,0.96,2.2,71.4%,35,49,0.39,2.0,4.5,0.56,1.3,29,Brandon Nakashima[USA],11,1.16,1509,52.2%,3,3-0,100.0%,12.0%,25,17-8,68.0%,247,135-112,54.7%,1:39,43.6,43.4
30,Matteo Berrettini[ITA],9,6-3,66.7%,72.6%,70.0%,64,11.3%,6,1.1%,3.5%,69.6%,78.4%,59.3%,61.4%,90.5%,6.0,1.6,30,Matteo Berrettini[ITA],9,33.0%,32.8%,5.3%,2.9%,29.6%,39.4%,16.0%,6.3,2.1,30.0,46.2,30,Matteo Berrettini[ITA],9,44.1%,15,34,0.36,1.8,3.8,0.79,1.7,70.0%,21,30,0.32,1.6,3.3,0.47,1.0,30,Matteo Berrettini[ITA],9,1.20,1154,52.4%,6,5-1,83.3%,31.6%,19,13-6,68.4%,189,101-88,53.4%,1:33,44.1,43.6
31,Hubert Hurkacz[POL],2,1-1,50.0%,68.8%,65.3%,29,12.6%,3,1.3%,4.1%,68.0%,75.8%,54.1%,56.3%,89.2%,6.2,1.9,31,Hubert Hurkacz[POL],2,35.1%,33.6%,3.8%,4.2%,27.7%,45.9%,14.3%,6.8,2.4,64.0,64.0,31,Hubert Hurkacz[POL],2,31.3%,5,16,0.46,2.3,8.0,0.71,2.5,69.2%,9,13,0.35,1.9,6.5,0.57,2.0,31,Hubert Hurkacz[POL],2,1.13,470,51.7%,3,1-2,33.3%,42.9%,7,3-4,42.9%,72,38-34,52.8%,0:00,0.0,0.0
