Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],9,6-3,66.7%,66.2%,61.4%,147,17.4%,27,3.2%,8.4%,62.0%,77.5%,47.7%,52.0%,85.7%,6.7,2.3,21,Jakub Mensik[CZE],9,34.0%,34.7%,8.3%,3.3%,25.8%,48.9%,14.0%,6.6,2.3,6.0,6.7,21,Jakub Mensik[CZE],9,26.1%,18,69,0.53,2.8,7.7,0.72,2.0,64.7%,33,51,0.40,2.0,5.7,0.72,2.0,21,Jakub Mensik[CZE],9,1.00,1701,50.0%,9,8-1,88.9%,36.0%,25,15-10,60.0%,255,126-129,49.4%,2:13,48.0,42.3
22,Ugo Humbert[FRA],6,1-5,16.7%,58.7%,56.7%,39,7.9%,13,2.6%,7.0%,62.3%,68.0%,43.2%,46.5%,69.7%,6.5,2.7,22,Ugo Humbert[FRA],6,31.4%,32.2%,11.3%,4.2%,22.4%,48.4%,15.6%,5.9,1.8,3.0,3.7,22,Ugo Humbert[FRA],6,32.4%,12,37,0.48,2.2,6.2,0.71,2.0,54.9%,28,51,0.67,3.0,8.5,1.35,3.8,22,Ugo Humbert[FRA],6,0.76,943,45.6%,1,0-1,0.0%,5.9%,17,4-13,23.5%,153,65-88,42.5%,1:59,41.8,45.2
23,Sebastian Korda[USA],6,3-3,50.0%,60.7%,59.1%,34,6.8%,10,2.0%,5.2%,61.9%,69.4%,46.6%,49.2%,74.7%,6.7,2.6,23,Sebastian Korda[USA],6,34.0%,33.8%,8.0%,4.3%,23.3%,55.9%,17.1%,6.1,2.1,9.0,7.1,23,Sebastian Korda[USA],6,35.1%,13,37,0.49,2.5,6.2,0.87,2.2,59.6%,28,47,0.63,3.1,7.8,1.27,3.2,23,Sebastian Korda[USA],6,0.86,966,47.8%,4,2-2,50.0%,26.7%,15,6-9,40.0%,151,69-82,45.7%,1:28,35.2,32.8
24,Karen Khachanov[RUS],5,2-3,40.0%,63.0%,60.1%,29,9.0%,4,1.2%,3.5%,64.5%,70.3%,49.6%,51.4%,78.0%,6.5,2.4,24,Karen Khachanov[RUS],5,36.1%,37.7%,8.5%,2.5%,23.4%,57.6%,20.8%,6.0,2.2,6.0,6.4,24,Karen Khachanov[RUS],5,44.0%,11,25,0.47,2.3,5.0,1.00,2.2,60.7%,17,28,0.56,2.5,5.6,1.00,2.2,24,Karen Khachanov[RUS],5,0.97,643,49.6%,0,0-0,-,0.0%,11,5-6,45.5%,103,50-53,48.5%,1:37,44.2,45.3
25,Alexei Popyrin[AUS],9,6-3,66.7%,63.7%,62.4%,86,10.1%,33,3.9%,10.5%,63.4%,74.4%,45.4%,50.7%,84.2%,7.1,2.6,25,Alexei Popyrin[AUS],9,34.6%,33.5%,9.0%,6.2%,24.1%,50.6%,16.4%,6.7,2.3,6.0,6.0,25,Alexei Popyrin[AUS],9,29.0%,20,69,0.57,2.7,7.7,0.77,2.2,77.1%,64,83,0.69,3.2,9.2,0.73,2.1,25,Alexei Popyrin[AUS],9,0.96,1675,49.5%,5,3-2,60.0%,19.2%,26,14-12,53.8%,242,121-121,50.0%,2:15,46.7,43.5
26,Alejandro Davidovich Fokina[ESP],8,4-4,50.0%,58.7%,59.0%,17,2.1%,17,2.1%,6.6%,68.8%,63.7%,47.5%,50.8%,74.6%,7.2,3.0,26,Alejandro Davidovich Fokina[ESP],8,39.4%,39.6%,7.8%,4.7%,31.4%,52.7%,28.8%,6.3,2.5,5.5,5.1,26,Alejandro Davidovich Fokina[ESP],8,49.2%,32,65,0.59,3.0,8.1,1.45,4.0,70.1%,68,97,0.85,4.4,12.1,1.32,3.6,26,Alejandro Davidovich Fokina[ESP],8,0.95,1526,49.8%,7,2-5,28.6%,31.8%,22,11-11,50.0%,225,117-108,52.0%,1:57,42.5,36.8
27,Felix Auger Aliassime[CAN],8,5-3,62.5%,67.1%,64.8%,82,14.9%,25,4.5%,13.0%,64.9%,76.5%,49.7%,57.1%,81.2%,6.5,2.1,27,Felix Auger Aliassime[CAN],8,35.0%,35.2%,6.9%,3.3%,28.2%,47.7%,19.0%,6.8,2.4,5.5,6.0,27,Felix Auger Aliassime[CAN],8,34.8%,16,46,0.55,2.4,5.8,0.84,2.0,59.0%,23,39,0.46,2.1,4.9,0.84,2.0,27,Felix Auger Aliassime[CAN],8,1.06,1119,50.8%,3,1-2,33.3%,15.8%,19,10-9,52.6%,169,85-84,50.3%,0:50,21.2,21.6
28,Denis Shapovalov[CAN],7,3-4,42.9%,63.5%,64.6%,53,9.6%,38,6.9%,17.7%,61.2%,71.1%,51.6%,62.7%,82.4%,6.5,2.4,28,Denis Shapovalov[CAN],7,30.0%,30.6%,7.3%,2.4%,25.3%,39.9%,9.5%,6.0,1.8,5.0,5.7,28,Denis Shapovalov[CAN],7,33.3%,8,24,0.29,1.4,3.4,0.47,1.1,59.5%,22,37,0.44,2.2,5.3,0.88,2.1,28,Denis Shapovalov[CAN],7,0.82,1061,47.5%,4,2-2,50.0%,23.5%,17,7-10,41.2%,169,78-91,46.2%,1:22,33.8,32.5
29,Brandon Nakashima[USA],5,0-5,0.0%,59.3%,56.9%,34,7.7%,7,1.6%,4.2%,62.0%,68.1%,44.9%,46.9%,69.7%,6.7,2.7,29,Brandon Nakashima[USA],5,27.0%,27.5%,12.0%,3.8%,15.9%,46.8%,4.5%,5.9,1.6,8.0,7.2,29,Brandon Nakashima[USA],5,20.0%,3,15,0.22,1.0,3.0,0.20,0.6,60.0%,30,50,0.76,3.3,10.0,1.33,4.0,29,Brandon Nakashima[USA],5,0.66,833,44.1%,3,1-2,33.3%,20.0%,15,3-12,20.0%,133,49-84,36.8%,1:22,27.2,29.4
30,Matteo Berrettini[ITA],6,2-4,33.3%,64.9%,60.4%,70,13.2%,6,1.1%,4.1%,72.1%,73.8%,41.9%,43.7%,85.0%,6.6,2.3,30,Matteo Berrettini[ITA],6,28.8%,29.5%,9.3%,3.0%,21.7%,44.8%,13.9%,6.0,1.7,5.0,4.8,30,Matteo Berrettini[ITA],6,40.7%,11,27,0.34,1.8,4.5,0.73,1.8,70.7%,29,41,0.51,2.7,6.8,0.80,2.0,30,Matteo Berrettini[ITA],6,0.82,1002,47.9%,6,2-4,33.3%,40.0%,15,6-9,40.0%,159,79-80,49.7%,2:06,50.2,45.1
