Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],44,28-16,63.6%,65.6%,63.1%,488,14.6%,153,4.6%,11.9%,61.4%,77.0%,47.4%,53.8%,83.1%,6.3,2.2,21,Jakub Mensik[CZE],44,36.4%,37.2%,7.4%,3.0%,29.5%,49.2%,20.2%,6.4,2.3,39.0,55.5,21,Jakub Mensik[CZE],44,39.6%,105,265,0.51,2.5,6.0,0.97,2.4,61.8%,144,233,0.44,2.2,5.3,0.82,2.0,21,Jakub Mensik[CZE],44,1.06,6697,50.9%,24,17-7,70.8%,22.2%,108,65-43,60.2%,1048,543-505,51.8%,1:44,42.4,41.0
22,Ugo Humbert[FRA],45,25-20,55.6%,66.7%,65.3%,305,9.1%,88,2.6%,6.7%,60.9%,75.1%,53.6%,57.5%,85.3%,6.3,2.1,22,Ugo Humbert[FRA],45,35.8%,36.5%,7.7%,3.4%,28.2%,48.3%,20.6%,6.3,2.3,39.0,60.0,22,Ugo Humbert[FRA],45,37.6%,108,287,0.55,2.6,6.4,0.96,2.4,64.3%,142,221,0.41,2.0,4.9,0.71,1.8,22,Ugo Humbert[FRA],45,1.08,6669,51.4%,20,7-13,35.0%,17.9%,112,65-47,58.0%,1061,565-496,53.3%,1:44,42.0,42.3
23,Sebastian Korda[USA],33,22-11,66.7%,67.2%,65.5%,222,9.9%,57,2.5%,6.5%,61.3%,75.7%,54.0%,57.7%,85.5%,6.2,2.0,23,Sebastian Korda[USA],33,35.9%,36.1%,7.7%,4.0%,26.5%,51.1%,20.2%,6.4,2.3,42.0,88.6,23,Sebastian Korda[USA],33,40.7%,74,182,0.50,2.4,5.5,0.99,2.2,64.7%,97,150,0.41,2.0,4.5,0.71,1.6,23,Sebastian Korda[USA],33,1.10,4589,51.3%,17,7-10,41.2%,22.7%,75,45-30,60.0%,732,387-345,52.9%,1:35,41.9,41.0
24,Karen Khachanov[RUS],42,23-19,54.8%,65.8%,64.5%,250,8.2%,76,2.5%,6.9%,63.6%,73.8%,51.8%,55.6%,80.8%,6.1,2.1,24,Karen Khachanov[RUS],42,36.6%,38.5%,10.0%,3.1%,25.9%,54.6%,22.0%,6.3,2.3,43.5,79.0,24,Karen Khachanov[RUS],42,38.2%,110,288,0.58,2.9,6.9,1.10,2.6,60.1%,143,238,0.48,2.4,5.7,0.95,2.3,24,Karen Khachanov[RUS],42,1.07,6202,50.9%,18,11-7,61.1%,18.0%,100,55-45,55.0%,995,511-484,51.4%,1:49,45.8,44.3
25,Alexei Popyrin[AUS],38,19-19,50.0%,64.9%,63.5%,295,10.6%,106,3.8%,10.5%,63.7%,74.9%,47.4%,52.9%,82.5%,6.6,2.3,25,Alexei Popyrin[AUS],38,34.2%,34.5%,8.1%,3.8%,26.2%,46.4%,14.7%,6.5,2.2,35.5,48.8,25,Alexei Popyrin[AUS],38,28.7%,64,223,0.51,2.5,5.9,0.73,1.7,67.4%,153,227,0.54,2.6,6.0,0.84,1.9,25,Alexei Popyrin[AUS],38,0.97,5588,49.5%,17,11-6,64.7%,19.3%,88,44-44,50.0%,858,414-444,48.3%,1:40,43.0,40.6
26,Alejandro Davidovich Fokina[ESP],45,26-19,57.8%,62.6%,62.4%,188,5.3%,102,2.9%,8.5%,66.4%,68.0%,52.0%,56.8%,79.3%,6.7,2.5,26,Alejandro Davidovich Fokina[ESP],45,39.3%,40.7%,9.0%,3.7%,29.9%,53.0%,27.0%,6.5,2.6,41.0,71.8,26,Alejandro Davidovich Fokina[ESP],45,43.2%,143,331,0.63,3.1,7.4,1.32,3.2,66.8%,223,334,0.62,3.1,7.4,1.03,2.5,26,Alejandro Davidovich Fokina[ESP],45,1.05,7019,51.1%,28,12-16,42.9%,25.9%,108,62-46,57.4%,1065,568-497,53.3%,1:56,48.2,44.5
27,Felix Auger Aliassime[CAN],47,28-19,59.6%,67.8%,66.2%,440,12.8%,143,4.2%,12.4%,66.5%,75.7%,52.1%,59.5%,86.1%,6.3,2.0,27,Felix Auger Aliassime[CAN],47,36.6%,36.9%,6.4%,3.3%,29.9%,48.4%,19.8%,6.7,2.4,60.0,83.2,27,Felix Auger Aliassime[CAN],47,32.4%,108,333,0.61,2.9,7.1,0.96,2.3,69.7%,175,251,0.46,2.2,5.3,0.67,1.6,27,Felix Auger Aliassime[CAN],47,1.14,7084,51.7%,26,11-15,42.3%,23.0%,113,64-49,56.6%,1091,577-514,52.9%,1:43,42.8,40.9
28,Denis Shapovalov[CAN],44,28-16,63.6%,67.4%,69.1%,325,10.8%,218,7.2%,18.4%,60.8%,77.2%,52.3%,64.1%,85.8%,6.2,2.0,28,Denis Shapovalov[CAN],44,37.5%,37.4%,4.9%,3.0%,31.9%,48.5%,23.1%,6.4,2.4,48.5,83.1,28,Denis Shapovalov[CAN],44,45.8%,110,240,0.50,2.5,5.5,1.13,2.5,64.2%,124,193,0.40,2.0,4.4,0.71,1.6,28,Denis Shapovalov[CAN],44,1.15,6083,52.3%,23,11-12,47.8%,23.7%,97,60-37,61.9%,964,528-436,54.8%,1:32,41.7,39.9
29,Brandon Nakashima[USA],55,30-25,54.5%,67.7%,64.5%,451,11.9%,59,1.6%,4.6%,66.3%,74.9%,53.7%,56.3%,86.3%,6.1,2.0,29,Brandon Nakashima[USA],55,34.1%,34.9%,8.9%,3.5%,25.8%,47.6%,17.0%,6.3,2.2,53.0,84.4,29,Brandon Nakashima[USA],55,37.5%,104,277,0.45,2.2,5.0,0.83,1.9,64.1%,152,237,0.38,1.9,4.3,0.68,1.5,29,Brandon Nakashima[USA],55,1.06,7665,50.7%,25,10-15,40.0%,20.0%,125,66-59,52.8%,1232,639-593,51.9%,1:41,44.3,43.4
30,Matteo Berrettini[ITA],52,36-16,69.2%,70.8%,67.5%,498,13.3%,60,1.6%,5.3%,69.8%,78.2%,53.5%,56.5%,89.8%,6.1,1.8,30,Matteo Berrettini[ITA],52,34.5%,35.0%,6.8%,2.9%,27.6%,47.0%,17.4%,6.4,2.2,48.0,64.2,30,Matteo Berrettini[ITA],52,38.1%,106,278,0.46,2.3,5.3,0.88,2.0,70.0%,147,210,0.34,1.8,4.0,0.53,1.2,30,Matteo Berrettini[ITA],52,1.18,7644,52.3%,33,23-10,69.7%,27.5%,120,82-38,68.3%,1226,660-566,53.8%,1:49,47.2,44.4
