Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
22,Ugo Humbert[FRA],3,1-2,33.3%,62.3%,59.2%,29,11.7%,7,2.8%,6.8%,58.3%,71.5%,49.5%,53.1%,80.0%,7.1,2.7,22,Ugo Humbert[FRA],3,29.0%,28.3%,8.7%,4.3%,18.0%,44.7%,11.1%,5.8,1.7,24.0,41.0,22,Ugo Humbert[FRA],3,33.3%,4,12,0.33,1.7,4.0,0.57,1.3,58.8%,10,17,0.49,2.4,5.7,1.00,2.3,22,Ugo Humbert[FRA],3,0.77,454,47.1%,2,1-1,50.0%,28.6%,7,3-4,42.9%,71,32-39,45.1%,1:60,51.3,47.4
23,Sebastian Korda[USA],3,1-2,33.3%,59.3%,58.1%,17,7.9%,8,3.7%,9.9%,62.5%,68.9%,43.2%,47.9%,72.7%,6.5,2.7,23,Sebastian Korda[USA],3,37.6%,37.5%,8.8%,5.4%,24.8%,53.3%,23.5%,6.0,2.3,29.0,28.7,23,Sebastian Korda[USA],3,34.8%,8,23,0.68,2.9,7.7,1.00,2.7,66.7%,18,27,0.82,3.4,9.0,1.13,3.0,23,Sebastian Korda[USA],3,0.92,421,48.7%,0,0-0,-,0.0%,8,3-5,37.5%,67,32-35,47.8%,1:39,37.1,42.3
24,Karen Khachanov[RUS],2,1-1,50.0%,61.5%,59.8%,12,8.1%,4,2.7%,8.9%,69.6%,67.0%,48.9%,53.7%,72.0%,5.9,2.3,24,Karen Khachanov[RUS],2,40.2%,42.9%,7.7%,1.2%,29.7%,64.7%,30.8%,6.5,2.6,68.0,68.0,24,Karen Khachanov[RUS],2,33.3%,8,24,0.92,4.8,12.0,1.60,4.0,50.0%,7,14,0.56,2.8,7.0,1.40,3.5,24,Karen Khachanov[RUS],2,1.04,317,50.2%,0,0-0,-,0.0%,5,2-3,40.0%,51,26-25,51.0%,1:59,47.4,44.9
25,Alexei Popyrin[AUS],1,1-0,100.0%,64.1%,60.8%,10,15.6%,3,4.7%,11.5%,59.4%,84.2%,34.6%,39.1%,88.9%,7.1,2.6,25,Alexei Popyrin[AUS],1,50.0%,49.1%,6.5%,8.1%,37.0%,60.0%,44.4%,6.9,3.4,8.0,8.0,25,Alexei Popyrin[AUS],1,44.4%,4,9,1.00,4.5,9.0,2.00,4.0,83.3%,5,6,0.67,3.0,6.0,0.50,1.0,25,Alexei Popyrin[AUS],1,1.39,126,57.1%,0,0-0,-,0.0%,2,2-0,100.0%,18,12-6,66.7%,1:29,44.5,42.4
26,Alejandro Davidovich Fokina[ESP],2,0-2,0.0%,59.6%,59.9%,5,3.2%,4,2.6%,6.8%,62.2%,61.9%,55.9%,60.0%,75.0%,6.5,2.6,26,Alejandro Davidovich Fokina[ESP],2,28.9%,32.0%,12.8%,1.3%,21.4%,43.1%,8.3%,6.2,1.8,40.5,40.5,26,Alejandro Davidovich Fokina[ESP],2,25.0%,2,8,0.33,1.6,4.0,0.40,1.0,33.3%,3,9,0.38,1.8,4.5,1.20,3.0,26,Alejandro Davidovich Fokina[ESP],2,0.71,305,44.6%,1,0-1,0.0%,20.0%,5,1-4,20.0%,48,20-28,41.7%,1:54,45.4,44.7
27,Felix Auger Aliassime[CAN],3,2-1,66.7%,71.2%,68.8%,33,14.4%,7,3.1%,9.2%,66.8%,77.8%,57.9%,63.8%,89.5%,6.0,1.7,27,Felix Auger Aliassime[CAN],3,35.0%,34.9%,7.3%,4.1%,25.0%,51.1%,13.5%,6.6,2.3,22.0,45.0,27,Felix Auger Aliassime[CAN],3,25.0%,5,20,0.54,2.5,6.7,0.63,1.7,66.7%,8,12,0.32,1.5,4.0,0.50,1.3,27,Felix Auger Aliassime[CAN],3,1.21,475,52.4%,2,1-1,50.0%,25.0%,8,4-4,50.0%,75,39-36,52.0%,1:59,44.5,45.0
28,Denis Shapovalov[CAN],2,2-0,100.0%,72.4%,68.8%,26,20.5%,5,3.9%,11.6%,66.1%,76.2%,65.1%,73.7%,100.0%,6.0,1.7,28,Denis Shapovalov[CAN],2,36.6%,37.4%,6.0%,2.2%,35.6%,39.4%,15.0%,6.7,2.5,80.5,80.5,28,Denis Shapovalov[CAN],2,42.9%,3,7,0.35,1.8,3.5,0.75,1.5,100.0%,3,3,0.14,0.8,1.5,0.00,0.0,28,Denis Shapovalov[CAN],2,1.33,261,54.0%,1,1-0,100.0%,25.0%,4,4-0,100.0%,41,24-17,58.5%,1:27,43.5,40.0
30,Matteo Berrettini[ITA],3,2-1,66.7%,75.7%,74.1%,23,12.2%,4,2.1%,7.5%,72.0%,83.8%,54.7%,59.2%,94.1%,5.6,1.4,30,Matteo Berrettini[ITA],3,36.0%,38.2%,10.1%,2.6%,24.8%,52.6%,26.5%,5.6,2.0,91.0,107.7,30,Matteo Berrettini[ITA],3,64.3%,9,14,0.41,2.0,4.7,1.29,3.0,77.8%,7,9,0.26,1.3,3.0,0.29,0.7,30,Matteo Berrettini[ITA],3,1.48,378,55.8%,1,0-1,0.0%,14.3%,7,5-2,71.4%,68,41-27,60.3%,1:28,37.7,41.9
31,Hubert Hurkacz[POL],2,0-2,0.0%,71.4%,65.8%,30,16.2%,0,0.0%,0.0%,70.3%,79.2%,52.7%,52.7%,96.6%,6.4,1.8,31,Hubert Hurkacz[POL],2,21.4%,22.7%,13.7%,2.4%,12.8%,37.3%,3.4%,5.8,1.2,2.5,2.5,31,Hubert Hurkacz[POL],2,50.0%,1,2,0.07,0.4,1.0,0.20,0.5,80.0%,4,5,0.17,1.0,2.5,0.20,0.5,31,Hubert Hurkacz[POL],2,0.75,353,47.6%,3,0-3,0.0%,60.0%,5,1-4,20.0%,58,29-29,50.0%,2:04,49.4,42.0
32,Alex Michelsen[USA],2,0-2,0.0%,57.2%,58.0%,1,0.6%,3,1.8%,5.7%,68.1%,61.9%,47.2%,50.0%,69.6%,7.2,3.1,32,Alex Michelsen[USA],2,29.1%,30.7%,11.5%,2.7%,16.3%,54.0%,4.0%,5.9,1.7,52.0,52.0,32,Alex Michelsen[USA],2,11.1%,1,9,0.36,1.8,4.5,0.20,0.5,66.7%,14,21,0.91,4.2,10.5,1.40,3.5,32,Alex Michelsen[USA],2,0.68,314,43.9%,1,1-0,100.0%,20.0%,5,1-4,20.0%,48,17-31,35.4%,1:50,44.0,42.0
