Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],37,23-14,62.2%,65.6%,62.5%,537,15.9%,156,4.6%,11.6%,60.2%,77.9%,46.8%,53.0%,83.6%,6.6,2.3,21,Jakub Mensik[CZE],37,36.4%,36.7%,7.2%,3.7%,28.6%,49.9%,19.9%,6.6,2.4,32.5,52.3,21,Jakub Mensik[CZE],37,36.5%,103,282,0.55,2.6,7.6,0.94,2.8,63.0%,145,230,0.44,2.1,6.2,0.77,2.3,21,Jakub Mensik[CZE],37,1.06,6796,50.9%,37,21-16,56.8%,33.6%,110,64-46,58.2%,1034,535-499,51.7%,2:07,42.7,41.5
22,Ugo Humbert[FRA],38,25-13,65.8%,67.5%,66.0%,300,10.6%,89,3.1%,8.0%,60.8%,75.9%,54.5%,59.2%,86.4%,6.1,2.0,22,Ugo Humbert[FRA],38,35.8%,36.9%,9.1%,3.6%,27.0%,49.9%,22.2%,6.2,2.2,39.5,60.9,22,Ugo Humbert[FRA],38,40.2%,100,249,0.55,2.5,6.6,1.02,2.6,63.6%,110,173,0.37,1.8,4.6,0.64,1.7,22,Ugo Humbert[FRA],38,1.10,5624,51.8%,13,4-9,30.8%,13.3%,98,64-34,65.3%,914,500-414,54.7%,1:50,42.7,44.6
23,Sebastian Korda[USA],23,15-8,65.2%,66.0%,64.1%,175,10.3%,47,2.8%,7.0%,60.6%,73.9%,53.9%,58.0%,84.4%,6.2,2.1,23,Sebastian Korda[USA],23,35.9%,36.4%,9.1%,4.5%,27.6%,49.6%,20.8%,6.4,2.3,55.0,96.4,23,Sebastian Korda[USA],23,40.4%,57,141,0.51,2.4,6.1,0.98,2.5,62.9%,73,116,0.42,2.0,5.0,0.74,1.9,23,Sebastian Korda[USA],23,1.06,3461,50.7%,13,7-6,53.8%,22.4%,58,35-23,60.3%,549,289-260,52.6%,1:45,41.6,41.8
24,Karen Khachanov[RUS],37,21-16,56.8%,66.5%,64.8%,260,9.3%,70,2.5%,6.8%,63.3%,74.7%,52.3%,56.2%,81.8%,6.1,2.1,24,Karen Khachanov[RUS],37,36.9%,38.4%,9.8%,3.7%,26.1%,54.4%,22.1%,6.5,2.4,47.0,88.7,24,Karen Khachanov[RUS],37,38.8%,102,263,0.57,2.8,7.1,1.10,2.8,58.5%,117,200,0.44,2.2,5.4,0.89,2.2,24,Karen Khachanov[RUS],37,1.10,5776,51.2%,19,12-7,63.2%,20.4%,93,52-41,55.9%,918,475-443,51.7%,1:56,46.3,44.8
25,Alexei Popyrin[AUS],30,16-14,53.3%,65.2%,63.5%,272,11.5%,95,4.0%,10.3%,61.1%,76.1%,48.0%,53.5%,82.6%,6.5,2.3,25,Alexei Popyrin[AUS],30,35.3%,35.0%,8.2%,4.8%,26.7%,48.1%,17.4%,6.4,2.3,35.5,50.9,25,Alexei Popyrin[AUS],30,32.5%,64,197,0.54,2.7,6.6,0.86,2.1,66.8%,127,190,0.52,2.6,6.3,0.85,2.1,25,Alexei Popyrin[AUS],30,1.01,4720,50.2%,14,9-5,64.3%,18.9%,74,40-34,54.1%,731,364-367,49.8%,1:54,46.1,43.4
26,Alejandro Davidovich Fokina[ESP],39,22-17,56.4%,62.1%,62.1%,170,5.2%,100,3.1%,9.1%,66.4%,67.6%,51.3%,56.5%,77.5%,6.6,2.5,26,Alejandro Davidovich Fokina[ESP],39,38.5%,40.0%,9.3%,3.6%,28.7%,52.9%,25.7%,6.5,2.5,48.0,78.6,26,Alejandro Davidovich Fokina[ESP],39,43.0%,126,293,0.60,2.9,7.5,1.25,3.2,62.8%,189,301,0.61,3.0,7.7,1.11,2.9,26,Alejandro Davidovich Fokina[ESP],39,1.02,6482,50.4%,26,13-13,50.0%,25.7%,101,55-46,54.5%,988,511-477,51.7%,2:04,48.0,44.9
27,Felix Auger Aliassime[CAN],38,24-14,63.2%,67.2%,65.7%,386,13.1%,131,4.5%,13.1%,66.0%,75.3%,51.7%,59.5%,84.9%,6.2,2.0,27,Felix Auger Aliassime[CAN],38,36.8%,37.2%,7.1%,3.6%,29.6%,48.9%,19.6%,6.6,2.4,60.0,87.9,27,Felix Auger Aliassime[CAN],38,33.7%,94,279,0.58,2.8,7.3,0.96,2.5,68.3%,155,227,0.48,2.3,6.0,0.73,1.9,27,Felix Auger Aliassime[CAN],38,1.12,6099,51.5%,19,11-8,57.9%,19.4%,98,57-41,58.2%,955,498-457,52.1%,2:03,47.6,45.9
28,Denis Shapovalov[CAN],39,26-13,66.7%,66.2%,68.1%,313,11.0%,226,7.9%,19.9%,60.1%,76.9%,50.2%,62.6%,84.4%,6.2,2.1,28,Denis Shapovalov[CAN],39,38.3%,38.1%,5.0%,3.3%,32.6%,49.9%,23.9%,6.4,2.5,48.0,70.9,28,Denis Shapovalov[CAN],39,43.8%,106,242,0.55,2.7,6.2,1.18,2.7,64.3%,128,199,0.44,2.2,5.1,0.79,1.8,28,Denis Shapovalov[CAN],39,1.13,5700,52.2%,20,10-10,50.0%,22.2%,90,56-34,62.2%,900,491-409,54.6%,1:38,42.3,40.1
29,Brandon Nakashima[USA],45,25-20,55.6%,68.7%,65.4%,403,12.4%,50,1.5%,4.5%,66.1%,75.8%,54.8%,57.4%,87.6%,6.1,1.9,29,Brandon Nakashima[USA],45,33.6%,34.6%,9.2%,3.3%,25.4%,46.2%,16.5%,6.3,2.1,53.0,80.2,29,Brandon Nakashima[USA],45,36.6%,87,238,0.45,2.2,5.3,0.80,1.9,67.5%,137,203,0.38,1.9,4.5,0.61,1.5,29,Brandon Nakashima[USA],45,1.07,6589,51.0%,23,9-14,39.1%,21.1%,109,58-51,53.2%,1060,553-507,52.2%,1:47,44.0,43.7
30,Matteo Berrettini[ITA],34,20-14,58.8%,69.4%,65.7%,381,14.3%,49,1.8%,5.8%,68.3%,77.4%,52.2%,55.4%,88.2%,6.2,1.9,30,Matteo Berrettini[ITA],34,34.2%,34.9%,7.5%,2.9%,27.2%,46.0%,17.6%,6.3,2.2,43.5,60.2,30,Matteo Berrettini[ITA],34,38.4%,76,198,0.46,2.3,5.8,0.88,2.2,69.1%,114,165,0.38,1.9,4.9,0.59,1.5,30,Matteo Berrettini[ITA],34,1.12,5414,51.5%,23,12-11,52.2%,26.7%,86,51-35,59.3%,865,458-407,52.9%,1:59,46.9,44.7
