Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],8,2-6,25.0%,64.4%,62.5%,92,13.6%,34,5.0%,13.2%,61.8%,77.5%,43.4%,50.0%,81.8%,6.8,2.4,21,Jakub Mensik[CZE],8,33.2%,33.9%,7.8%,3.0%,25.8%,46.7%,13.9%,6.3,2.1,22.5,37.9,21,Jakub Mensik[CZE],8,41.2%,14,34,0.34,1.7,4.3,0.70,1.8,61.7%,29,47,0.47,2.4,5.9,0.90,2.3,21,Jakub Mensik[CZE],8,0.93,1314,49.2%,7,4-3,57.1%,35.0%,20,8-12,40.0%,200,95-105,47.5%,1:54,45.4,41.5
22,Ugo Humbert[FRA],4,4-0,100.0%,67.2%,66.0%,21,8.0%,6,2.3%,6.3%,63.4%,75.3%,53.1%,56.7%,85.7%,6.2,2.0,22,Ugo Humbert[FRA],4,40.5%,42.6%,6.8%,1.5%,32.6%,56.2%,31.7%,6.4,2.6,31.5,78.8,22,Ugo Humbert[FRA],4,35.1%,13,37,0.90,4.1,9.3,1.44,3.3,64.7%,11,17,0.40,1.9,4.3,0.67,1.5,22,Ugo Humbert[FRA],4,1.23,526,53.8%,1,1-0,100.0%,11.1%,9,8-1,88.9%,83,49-34,59.0%,1:38,43.4,44.6
23,Sebastian Korda[USA],5,4-1,80.0%,67.8%,65.8%,32,9.3%,6,1.7%,4.6%,62.3%,75.8%,54.6%,57.3%,84.7%,5.8,1.9,23,Sebastian Korda[USA],5,36.6%,36.2%,7.3%,4.7%,22.7%,60.2%,24.1%,6.2,2.3,23.0,38.3,23,Sebastian Korda[USA],5,46.7%,14,30,0.52,2.5,6.0,1.17,2.8,52.6%,10,19,0.32,1.6,3.8,0.75,1.8,23,Sebastian Korda[USA],5,1.14,703,51.9%,3,1-2,33.3%,25.0%,12,8-4,66.7%,117,64-53,54.7%,1:38,40.8,41.7
24,Karen Khachanov[RUS],5,4-1,80.0%,66.1%,63.9%,22,7.4%,2,0.7%,2.0%,66.8%,72.9%,52.5%,53.6%,85.1%,6.3,2.1,24,Karen Khachanov[RUS],5,39.9%,43.3%,10.6%,2.1%,27.1%,59.3%,34.0%,6.0,2.4,30.0,59.2,24,Karen Khachanov[RUS],5,38.1%,16,42,0.89,4.2,8.4,1.60,3.2,70.8%,17,24,0.51,2.4,4.8,0.70,1.4,24,Karen Khachanov[RUS],5,1.18,581,53.4%,0,0-0,-,0.0%,10,8-2,80.0%,94,56-38,59.6%,1:26,43.0,44.4
25,Alexei Popyrin[AUS],2,1-1,50.0%,61.7%,60.6%,20,12.3%,10,6.2%,17.9%,65.4%,70.8%,44.6%,54.3%,75.0%,6.8,2.6,25,Alexei Popyrin[AUS],2,35.6%,36.4%,4.8%,1.6%,27.3%,47.4%,11.5%,7.2,2.6,24.0,24.0,25,Alexei Popyrin[AUS],2,15.0%,3,20,0.77,4.0,10.0,0.60,1.5,70.0%,14,20,0.83,4.0,10.0,1.20,3.0,25,Alexei Popyrin[AUS],2,0.93,350,47.7%,1,1-0,100.0%,20.0%,5,2-3,40.0%,50,21-29,42.0%,1:58,47.2,40.5
26,Alejandro Davidovich Fokina[ESP],5,3-2,60.0%,63.9%,64.3%,12,3.3%,9,2.5%,7.8%,68.3%,68.8%,53.4%,57.9%,80.0%,6.7,2.4,26,Alejandro Davidovich Fokina[ESP],5,39.7%,44.8%,14.9%,2.9%,33.5%,50.8%,29.1%,6.3,2.5,27.0,91.0,26,Alejandro Davidovich Fokina[ESP],5,47.1%,16,34,0.62,3.1,6.8,1.45,3.2,69.4%,25,36,0.65,3.3,7.2,1.00,2.2,26,Alejandro Davidovich Fokina[ESP],5,1.10,714,52.1%,3,2-1,66.7%,27.3%,11,7-4,63.6%,110,60-50,54.5%,1:54,51.8,47.9
27,Felix Auger Aliassime[CAN],7,5-2,71.4%,70.1%,67.7%,77,15.2%,19,3.8%,11.2%,66.3%,77.6%,55.3%,62.3%,93.8%,6.3,1.9,27,Felix Auger Aliassime[CAN],7,35.2%,35.2%,4.7%,2.7%,29.1%,45.5%,17.5%,6.6,2.3,60.0,65.7,27,Felix Auger Aliassime[CAN],7,27.5%,14,51,0.64,3.2,7.3,0.88,2.0,84.4%,27,32,0.40,2.0,4.6,0.31,0.7,27,Felix Auger Aliassime[CAN],7,1.18,1033,52.3%,5,1-4,20.0%,31.3%,16,10-6,62.5%,160,89-71,55.6%,1:32,40.1,37.3
28,Denis Shapovalov[CAN],5,3-2,60.0%,70.1%,72.3%,32,8.9%,23,6.4%,18.3%,64.8%,75.4%,60.3%,73.8%,89.8%,6.1,1.8,28,Denis Shapovalov[CAN],5,37.2%,39.6%,9.2%,2.0%,32.1%,48.0%,23.7%,6.8,2.5,50.0,42.4,28,Denis Shapovalov[CAN],5,45.2%,14,31,0.53,2.8,6.2,1.27,2.8,66.7%,12,18,0.31,1.6,3.6,0.55,1.2,28,Denis Shapovalov[CAN],5,1.24,759,52.7%,4,2-2,50.0%,36.4%,11,7-4,63.6%,118,67-51,56.8%,1:20,36.5,31.7
29,Brandon Nakashima[USA],4,3-1,75.0%,66.8%,64.1%,32,12.5%,7,2.7%,7.3%,62.5%,72.5%,57.3%,61.8%,88.1%,6.1,2.0,29,Brandon Nakashima[USA],4,37.5%,37.9%,5.0%,2.3%,33.1%,44.1%,24.4%,6.3,2.4,63.0,66.8,29,Brandon Nakashima[USA],4,50.0%,10,20,0.49,2.5,5.0,1.25,2.5,58.3%,7,12,0.29,1.5,3.0,0.63,1.3,29,Brandon Nakashima[USA],4,1.13,515,52.0%,2,1-1,50.0%,25.0%,8,6-2,75.0%,83,47-36,56.6%,1:39,49.4,46.0
30,Matteo Berrettini[ITA],7,3-4,42.9%,70.6%,67.4%,70,12.3%,7,1.2%,4.7%,73.6%,76.6%,54.0%,56.6%,89.9%,6.4,1.9,30,Matteo Berrettini[ITA],7,29.9%,30.3%,8.2%,3.0%,24.3%,41.0%,7.9%,6.3,1.9,18.0,45.3,30,Matteo Berrettini[ITA],7,20.6%,7,34,0.38,2.0,4.9,0.41,1.0,80.4%,37,46,0.52,2.7,6.6,0.53,1.3,30,Matteo Berrettini[ITA],7,1.02,1126,50.4%,5,4-1,80.0%,29.4%,17,9-8,52.9%,178,87-91,48.9%,1:58,48.7,44.1
