Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],7,6-1,85.7%,64.0%,60.1%,104,15.4%,25,3.7%,9.8%,62.2%,73.6%,48.2%,53.5%,78.4%,6.6,2.4,21,Jakub Mensik[CZE],7,39.9%,40.4%,7.8%,4.3%,31.3%,54.3%,29.7%,6.8,2.7,23.0,58.6,21,Jakub Mensik[CZE],7,36.6%,30,82,0.81,3.9,11.7,1.43,4.3,60.0%,33,55,0.54,2.6,7.9,1.05,3.1,21,Jakub Mensik[CZE],7,1.11,1365,51.8%,7,5-2,71.4%,33.3%,21,15-6,71.4%,203,110-93,54.2%,2:06,42.0,38.7
22,Ugo Humbert[FRA],12,7-5,58.3%,67.9%,66.8%,95,9.7%,32,3.3%,8.2%,60.4%,76.9%,54.1%,59.0%,87.3%,6.2,2.0,22,Ugo Humbert[FRA],12,35.9%,36.3%,7.6%,3.8%,27.3%,50.3%,21.9%,6.2,2.2,53.5,71.3,22,Ugo Humbert[FRA],12,45.2%,33,73,0.48,2.3,6.1,1.03,2.8,69.2%,45,65,0.41,2.0,5.4,0.63,1.7,22,Ugo Humbert[FRA],12,1.12,1923,52.2%,5,2-3,40.0%,15.6%,32,20-12,62.5%,309,171-138,55.3%,1:51,41.5,41.5
23,Sebastian Korda[USA],9,4-5,44.4%,63.5%,61.6%,66,9.8%,21,3.1%,8.4%,62.9%,69.2%,53.8%,58.7%,78.2%,6.1,2.2,23,Sebastian Korda[USA],9,35.5%,35.2%,6.5%,4.0%,30.0%,45.2%,20.5%,6.5,2.3,134.0,255.7,23,Sebastian Korda[USA],9,38.3%,23,60,0.54,2.5,6.7,0.96,2.6,52.9%,27,51,0.46,2.1,5.7,1.00,2.7,23,Sebastian Korda[USA],9,0.97,1399,49.0%,3,0-3,0.0%,12.5%,24,10-14,41.7%,222,109-113,49.1%,1:28,33.2,34.1
24,Karen Khachanov[RUS],11,7-4,63.6%,66.4%,65.6%,74,7.6%,28,2.9%,7.9%,63.7%,73.9%,53.1%,57.7%,83.5%,6.2,2.1,24,Karen Khachanov[RUS],11,37.1%,39.6%,11.5%,3.4%,27.0%,53.3%,21.7%,6.4,2.4,86.0,163.7,24,Karen Khachanov[RUS],11,36.1%,35,97,0.60,2.9,8.8,1.06,3.2,63.9%,46,72,0.46,2.2,6.5,0.79,2.4,24,Karen Khachanov[RUS],11,1.10,1999,51.4%,5,5-0,100.0%,15.2%,33,20-13,60.6%,319,167-152,52.4%,1:50,36.5,36.2
25,Alexei Popyrin[AUS],11,8-3,72.7%,67.4%,66.8%,105,11.6%,45,5.0%,13.7%,63.7%,78.5%,47.9%,55.5%,85.2%,6.4,2.1,25,Alexei Popyrin[AUS],11,37.4%,37.3%,6.7%,4.1%,28.8%,50.3%,21.8%,6.5,2.4,43.0,44.8,25,Alexei Popyrin[AUS],11,39.2%,31,79,0.56,2.8,7.2,1.11,2.8,69.1%,47,68,0.48,2.4,6.2,0.75,1.9,25,Alexei Popyrin[AUS],11,1.15,1830,52.2%,6,5-1,83.3%,21.4%,28,19-9,67.9%,284,152-132,53.5%,1:53,44.5,40.9
26,Alejandro Davidovich Fokina[ESP],8,4-4,50.0%,61.9%,61.9%,29,3.6%,18,2.2%,6.9%,67.5%,67.0%,51.3%,55.1%,80.0%,6.7,2.6,26,Alejandro Davidovich Fokina[ESP],8,40.6%,41.9%,8.2%,3.8%,32.2%,53.3%,32.2%,6.3,2.5,24.5,28.4,26,Alejandro Davidovich Fokina[ESP],8,49.3%,37,75,0.65,3.1,9.4,1.54,4.6,61.9%,39,63,0.53,2.6,7.9,1.00,3.0,26,Alejandro Davidovich Fokina[ESP],8,1.07,1522,51.8%,7,0-7,0.0%,29.2%,24,12-12,50.0%,235,133-102,56.6%,1:55,38.2,36.1
27,Felix Auger Aliassime[CAN],10,4-6,40.0%,66.1%,66.2%,63,9.4%,33,4.9%,13.9%,64.8%,72.2%,54.9%,63.7%,75.9%,5.8,2.0,27,Felix Auger Aliassime[CAN],10,36.5%,36.5%,4.9%,2.8%,27.5%,51.6%,20.3%,6.6,2.4,81.5,178.7,27,Felix Auger Aliassime[CAN],10,38.7%,24,62,0.53,2.5,6.2,0.96,2.4,56.3%,36,64,0.55,2.6,6.4,1.12,2.8,27,Felix Auger Aliassime[CAN],10,1.08,1449,50.2%,4,2-2,50.0%,16.0%,25,11-14,44.0%,234,112-122,47.9%,1:32,36.7,38.0
28,Denis Shapovalov[CAN],10,6-4,60.0%,64.5%,68.4%,64,7.3%,79,9.0%,22.7%,60.2%,71.9%,53.4%,69.1%,84.4%,6.5,2.3,28,Denis Shapovalov[CAN],10,36.5%,36.0%,3.9%,2.9%,33.3%,42.7%,20.9%,6.6,2.4,58.0,58.7,28,Denis Shapovalov[CAN],10,40.0%,28,70,0.52,2.6,7.0,1.04,2.8,71.6%,53,74,0.55,2.7,7.4,0.78,2.1,28,Denis Shapovalov[CAN],10,1.03,1757,50.4%,8,2-6,25.0%,29.6%,27,14-13,51.9%,269,142-127,52.8%,1:43,38.0,35.0
29,Brandon Nakashima[USA],11,7-4,63.6%,67.2%,64.0%,109,12.0%,16,1.8%,5.1%,65.7%,74.1%,54.0%,56.9%,89.5%,6.4,2.1,29,Brandon Nakashima[USA],11,33.7%,34.3%,8.6%,3.6%,24.0%,48.4%,15.6%,6.2,2.1,53.0,86.5,29,Brandon Nakashima[USA],11,38.6%,22,57,0.40,2.0,5.2,0.76,2.0,71.7%,38,53,0.37,1.8,4.8,0.52,1.4,29,Brandon Nakashima[USA],11,1.03,1782,50.8%,5,3-2,60.0%,17.2%,29,18-11,62.1%,284,150-134,52.8%,1:38,37.3,36.4
30,Matteo Berrettini[ITA],10,4-6,40.0%,65.3%,62.2%,114,12.2%,23,2.5%,7.5%,67.2%,71.5%,52.6%,56.9%,86.0%,6.5,2.3,30,Matteo Berrettini[ITA],10,32.2%,32.6%,7.0%,2.8%,25.1%,43.7%,17.0%,6.1,2.0,20.0,35.8,30,Matteo Berrettini[ITA],10,41.7%,25,60,0.41,2.1,6.0,0.86,2.5,67.2%,41,61,0.43,2.1,6.1,0.69,2.0,30,Matteo Berrettini[ITA],10,0.93,1830,49.1%,10,2-8,20.0%,34.5%,29,12-17,41.4%,290,148-142,51.0%,2:17,47.3,45.0
