Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
23‑May‑2022,Roland Garros,Clay,R64,12,89,(11)Sinnerd.Roberto Carballes Baena[ESP],3-6 6-4 6-4 6-3,,1.12,8.5%,2.3%,58.9%,67.1%,52.8%,9/13,
23‑May‑2022,Roland Garros,Clay,R128,12,186,(11)Sinnerd.(Q)Bjorn Fratangelo[USA],6-3 6-2 6-3,,1.67,7.8%,2.6%,61.0%,78.7%,63.3%,2/2,
9‑May‑2022,Rome Masters,Clay,QF,13,5,(4)Stefanos Tsitsipas[GRE]d.(10)Sinner,7-6(5) 6-2,(ch),0.95,4.4%,2.9%,66.2%,73.3%,30.4%,3/6,2:27
9‑May‑2022,Rome Masters,Clay,R16,13,54,(10)Sinnerd.Filip Krajinovic[SRB],6-2 7-6(6),,0.98,18.6%,2.9%,54.3%,81.6%,43.8%,1/2,1:41
9‑May‑2022,Rome Masters,Clay,R32,13,56,(10)Sinnerd.Fabio Fognini[ITA],6-2 3-6 6-3,,1.23,2.8%,1.4%,46.5%,72.7%,55.3%,2/5,2:03
9‑May‑2022,Rome Masters,Clay,R64,13,40,(10)Sinnerd.Pedro Martinez[ESP],6-4 6-3,(ch),1.31,7.0%,1.8%,61.4%,77.1%,54.5%,1/2,1:24
2‑May‑2022,Madrid Masters,Clay,R16,12,10,(8)Felix Auger Aliassime[CAN]d.(10)Sinner,6-1 6-2,(ch),0.38,1.6%,1.6%,67.7%,47.6%,50.0%,4/8,1:19
2‑May‑2022,Madrid Masters,Clay,R32,12,22,(10)Sinnerd.Alex De Minaur[AUS],6-4 6-1,(ch),1.50,2.0%,6.0%,60.0%,70.0%,55.0%,2/4,1:14
2‑May‑2022,Madrid Masters,Clay,R64,12,35,(10)Sinnerd.Tommy Paul[USA],6-7(4) 7-6(4) 6-3,(ch),1.22,7.4%,2.8%,59.3%,71.9%,65.9%,2/4,3:00
11‑Apr‑2022,Monte Carlo Masters,Clay,QF,12,3,(2)Alexander Zverev[GER]d.(9)Sinner,5-7 6-3 7-6(5),,0.91,3.0%,3.0%,55.0%,72.7%,37.8%,3/8,3:07
11‑Apr‑2022,Monte Carlo Masters,Clay,R16,12,8,(9)Sinnerd.(5)Andrey Rublev[RUS],5-7 6-1 6-3,(ch),1.30,7.1%,2.4%,56.5%,70.8%,51.4%,6/10,2:20
11‑Apr‑2022,Monte Carlo Masters,Clay,R32,12,81,(9)Sinnerd.(Q)Emil Ruusuvuori[FIN],7-5 6-3,(ch),1.03,3.9%,3.9%,53.9%,65.9%,48.6%,6/8,1:43
11‑Apr‑2022,Monte Carlo Masters,Clay,R64,12,198,(9)Sinnerd.(PR)Borna Coric[CRO],6-3 2-6 6-3,(ch),1.22,5.6%,6.7%,55.6%,78.0%,50.0%,7/9,2:27
21‑Mar‑2022,Miami Masters,Hard,QF,11,103,Francisco Cerundolo[ARG]d.(9)Sinner,4-1 RET,(ch),0.65,7.7%,0.0%,46.2%,66.7%,42.9%,0/1,0:22
21‑Mar‑2022,Miami Masters,Hard,R16,11,102,(9)Sinnerd.(WC)Nick Kyrgios[AUS],7-6(3) 6-3,(ch),1.27,11.4%,5.7%,65.7%,82.6%,45.8%,2/2,1:39
21‑Mar‑2022,Miami Masters,Hard,R32,11,19,(9)Sinnerd.(17)Pablo Carreno Busta[ESP],5-7 7-5 7-5,(ch),0.98,10.7%,0.7%,60.7%,67.1%,49.1%,13/17,3:11
21‑Mar‑2022,Miami Masters,Hard,R64,11,71,(9)Sinnerd.Emil Ruusuvuori[FIN],6-4 3-6 7-6(8),(ch),0.95,3.0%,2.0%,62.4%,77.8%,39.5%,6/8,2:40
7‑Mar‑2022,Indian Wells Masters,Hard,R16,10,132,(WC)Nick Kyrgios[AUS]d.(10)Sinner,W/O,,,,,,,,,
7‑Mar‑2022,Indian Wells Masters,Hard,R32,10,62,(10)Sinnerd.Benjamin Bonzi[FRA],7-6(5) 3-6 6-4,,0.96,10.6%,0.9%,61.9%,71.4%,41.9%,6/10,2:37
7‑Mar‑2022,Indian Wells Masters,Hard,R64,10,52,(10)Sinnerd.Laslo Djere[SRB],6-3 6-3,,1.50,3.6%,5.5%,45.5%,76.0%,63.3%,5/6,1:28
4‑Mar‑2022,Davis Cup QLS R1: ITA vs SVK,Hard,RR,11,110,Sinnerd.Norbert Gombos[SVK],6-4 4-6 6-4,,1.04,11.0%,1.2%,72.0%,76.3%,47.8%,0/2,2:00
4‑Mar‑2022,Davis Cup QLS R1: ITA vs SVK,Hard,RR,11,203,Sinnerd.Filip Horansky[SVK],7-5 6-4,,1.88,11.5%,0.0%,63.5%,81.8%,73.7%,0/1,1:31
21‑Feb‑2022,Dubai,Hard,QF,10,11,(5)Hubert Hurkacz[POL]d.(4)Sinner,6-3 6-3,(ch),0.64,6.7%,1.7%,70.0%,71.4%,27.8%,5/8,1:24
