Elo Rank,Player,Age,Elo,Unnamed: 4,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Unnamed: 11,Peak Elo,Peak Month,Unnamed: 14,ATP Rank,Log diff
401,Aleksandre Bakshi,27.7,1371.4,,373,1344.1,274,1435.7,279,1435.7,,1613.0,2024-07,,457.0,-0.13
402,Ramkumar Ramanathan,30.2,1371.4,,377,1341.5,350,1369.9,348,1397.0,,1622.0,2018-04,,558.0,-0.33
403,Sasi Kumar Mukund,28.0,1369.9,,372,1344.8,441,1273.1,444,1348.3,,1498.8,2019-02,,456.0,-0.12
404,Marvin Moeller,25.6,1369.7,,321,1396.5,379,1341.0,283,1434.8,,1567.7,2021-07,,478.0,-0.17
405,Blake Ellis,26.1,1365.6,,385,1338.1,427,1292.8,376,1382.8,,1490.7,2018-02,,291.0,0.33
406,Martin Damm,21.5,1363.9,,362,1355.9,464,1249.2,199,1490.0,,1767.9,1999-11,,740.0,-0.6
407,Micah Braswell,23.2,1361.1,,395,1327.2,429,1290.6,379,1380.6,,1418.6,2025-01,,422.0,-0.04
408,Hiroki Moriya,34.3,1359.9,,394,1327.7,456,1258.4,430,1357.2,,1584.0,2012-12,,452.0,-0.1
409,Lukas Pokorny,23.1,1358.1,,407,1321.3,401,1327.3,381,1379.1,,1383.5,2025-02,,418.0,-0.02
410,Joel Schwaerzler,19.2,1357.8,,432,1290.3,386,1334.6,382,1378.9,,1621.9,2024-05,,320.0,0.25
411,Alexey Zakharov,24.7,1357.5,,430,1291.5,304,1408.1,384,1378.7,,1479.8,2024-07,,378.0,0.08
412,Daniel Michalski,25.1,1357.4,,346,1371.0,385,1334.8,294,1428.7,,1590.8,2020-02,,319.0,0.26
413,Tristan Lamasine,31.8,1356.2,,357,1362.7,415,1308.1,296,1427.2,,1641.8,2015-09,,634.0,-0.43
414,Evgeny Karlovskiy,30.5,1354.0,,390,1331.1,388,1333.9,411,1366.5,,1560.3,2020-01,,416.0,0.0
415,Robin Bertrand,22.1,1351.7,,392,1330.2,421,1298.8,387,1375.9,,1540.9,2024-07,,295.0,0.34
416,Jules Marie,33.3,1351.4,,416,1310.3,417,1306.9,453,1339.5,,1467.6,2024-02,,533.0,-0.25
417,Florent Bax,25.8,1350.5,,412,1315.9,408,1315.2,390,1375.2,,1449.1,2025-04,,417.0,0.0
418,Carlos Sanchez Jover,24.6,1350.3,,447,1259.1,396,1330.2,391,1375.1,,1440.5,2023-09,,266.0,0.45
419,Ergi Kirkin,26.2,1349.7,,393,1329.7,387,1334.0,419,1361.9,,1516.7,2022-05,,429.0,-0.02
420,Moerani Bouzige,25.7,1348.7,,397,1326.1,433,1284.4,392,1374.4,,1416.7,2024-12,,381.0,0.1
421,Mika Brunold,20.5,1347.8,,378,1341.3,435,1283.6,393,1373.9,,1492.5,2023-03,,304.0,0.33
422,Alexander Weis,27.3,1344.2,,443,1273.1,406,1317.5,396,1372.1,,1438.4,2023-05,,447.0,-0.06
423,Adria Soriano Barrera,25.7,1343.2,,396,1326.7,423,1297.7,397,1371.6,,1384.5,2023-06,,424.0,0.0
424,Toby Alex Kodat,22.2,1342.2,,426,1294.3,418,1303.3,399,1371.1,,1535.4,2024-05,,352.0,0.19
425,Renzo Olivo,33.1,1341.4,,419,1308.5,404,1320.5,450,1342.5,,1643.4,2015-02,,354.0,0.18
426,Christian Langmo,28.8,1341.3,,398,1325.8,485,1189.2,400,1370.6,,1411.8,2023-04,,321.0,0.28
427,Lucas Poullain,29.3,1337.7,,413,1315.1,453,1263.7,402,1368.9,,1590.8,2023-10,,414.0,0.03
428,Antoine Ghibaudo,20.0,1337.1,,411,1317.6,442,1272.5,404,1368.6,,1359.9,2024-11,,605.0,-0.35
429,Neil Oberleitner,25.7,1336.6,,448,1258.6,391,1333.8,405,1368.3,,1378.0,2024-07,,384.0,0.11
430,Juan Carlos Prado Angelo,20.1,1335.6,,439,1276.0,402,1323.8,406,1367.8,,1464.8,2024-11,,311.0,0.32
431,Conner Huertas Del Pino,29.3,1334.6,,417,1309.8,420,1302.1,409,1367.3,,1354.2,2025-04,,559.0,-0.26
432,Marek Gengel,29.4,1334.2,,408,1321.0,470,1228.1,443,1348.5,,1505.8,2023-01,,243.0,0.58
433,Hernan Casanova,31.2,1333.2,,465,1232.9,403,1320.7,460,1335.8,,1474.0,2022-09,,503.0,-0.15
434,Oleg Prihodko,27.5,1332.5,,423,1300.7,440,1275.3,412,1366.2,,1514.0,2021-12,,332.0,0.27
435,Dan Added,25.8,1331.8,,420,1307.7,446,1270.6,413,1365.9,,1509.3,2023-03,,371.0,0.16
436,Garrett Johns,24.3,1329.3,,414,1312.3,432,1286.2,414,1364.6,,1408.0,2025-03,,364.0,0.18
437,Felix Gill,22.2,1328.8,,427,1293.7,411,1311.9,492,1276.5,,1476.8,2024-02,,595.0,-0.31
438,Pedro Sakamoto,31.8,1324.8,,438,1279.5,409,1314.6,417,1362.4,,1495.6,2019-05,,353.0,0.22
439,Tom Paris,22.6,1323.6,,400,1324.8,467,1235.3,420,1361.8,,1404.4,2025-03,,410.0,0.07
440,Masamichi Imamura,26.2,1321.3,,428,1293.7,445,1270.7,421,1360.7,,1394.5,2024-11,,341.0,0.25
441,Mateus Alves,24.2,1321.3,,474,1214.6,405,1319.9,422,1360.6,,1422.1,2024-11,,322.0,0.31
442,Petr Bar Biryukov,22.9,1321.1,,422,1301.7,447,1270.5,423,1360.5,,1329.9,2025-02,,339.0,0.27
443,Strong Kirchheimer,29.5,1320.6,,424,1298.6,476,1210.2,425,1360.3,,1390.2,2023-09,,608.0,-0.32
444,Tyler Zink,24.1,1320.4,,406,1322.2,449,1269.2,426,1360.2,,1379.8,2025-03,,370.0,0.18
445,Dane Sweeny,23.9,1317.8,,429,1293.7,471,1224.1,484,1302.7,,1568.3,2024-02,,581.0,-0.27
446,Maxime Janvier,28.5,1317.3,,440,1274.7,425,1296.6,371,1387.5,,1601.5,2019-09,,420.0,0.06
447,Diego Dedura Palomero,17.1,1315.6,,458,1240.9,416,1307.9,429,1357.8,,1330.8,2025-04,,374.0,0.18
448,Daniel Merida Aguilar,20.5,1308.4,,481,1196.4,394,1332.8,433,1354.2,,1333.6,2025-03,,335.0,0.29
449,Daniel Dutra Da Silva,36.7,1306.6,,455,1247.8,438,1276.0,434,1353.3,,1519.5,2009-02,,346.0,0.26
450,Yanki Erel,24.5,1304.0,,425,1294.4,473,1220.6,462,1334.7,,1467.9,2022-07,,590.0,-0.27
451,Oleksandr Ovcharenko,23.4,1301.1,,441,1274.7,452,1264.3,439,1350.5,,1385.7,2025-02,,355.0,0.24
452,Ryan Seggerman,25.7,1301.1,,450,1254.6,389,1333.9,438,1350.6,,1512.4,2024-08,,415.0,0.09
453,Fajing Sun,28.5,1300.3,,436,1280.7,487,1181.8,440,1350.2,,1333.1,2024-10,,289.0,0.45
454,Guido Ivan Justo,27.3,1300.1,,462,1235.7,426,1293.3,441,1350.1,,1319.7,2025-04,,387.0,0.16
455,Gonzalo Villanueva,30.2,1294.4,,479,1201.3,428,1290.8,446,1347.2,,1454.7,2022-05,,428.0,0.06
456,Pedro Boscardin Dias,22.2,1293.9,,485,1184.9,431,1289.0,447,1347.0,,1424.7,2022-05,,398.0,0.14
457,Alex Marti Pujolras,26.0,1286.9,,435,1285.0,458,1257.7,448,1343.5,,1359.7,2023-04,,343.0,0.29
458,Sebastian Fanselow,33.0,1286.6,,444,1271.2,460,1256.7,469,1325.7,,1540.8,2019-01,,661.0,-0.37
459,Roberto Cid,31.6,1285.9,,434,1287.2,461,1252.9,445,1347.3,,1621.4,2018-06,,445.0,0.03
460,Franco Roncadelli,25.2,1283.7,,468,1227.9,454,1263.2,451,1341.8,,1395.8,2024-09,,367.0,0.23
461,Keegan Smith,26.6,1283.2,,452,1250.6,486,1184.7,452,1341.6,,1403.9,2021-12,,545.0,-0.17
462,Yusuke Takahashi,27.2,1278.8,,449,1255.0,450,1268.0,454,1339.4,,1451.5,2018-01,,469.0,-0.02
463,Kaichi Uchida,30.6,1277.8,,451,1253.5,443,1272.3,436,1351.6,,1571.8,2023-02,,407.0,0.13
464,Rigele Te,27.5,1277.4,,460,1239.2,413,1310.0,456,1338.7,,1331.9,2024-05,,494.0,-0.06
465,Saba Purtseladze,23.4,1276.0,,454,1248.6,475,1212.0,458,1338.0,,1437.9,2024-09,,288.0,0.48
466,Charles Broom,26.8,1271.9,,477,1204.7,465,1245.9,428,1359.3,,1536.4,2024-06,,349.0,0.29
467,Jose Pereira,34.2,1270.7,,464,1233.4,457,1258.3,461,1335.4,,1354.7,2022-04,,600.0,-0.25
468,Mariano Kestelboim,29.2,1265.6,,478,1204.2,451,1267.2,463,1332.8,,1290.0,2025-04,,404.0,0.15
469,Juan Alejandro Hernandez Serrano,25.8,1260.4,,463,1234.0,478,1207.0,465,1330.2,,1291.9,2025-04,,523.0,-0.11
470,Martin Krumich,21.6,1260.2,,459,1240.1,469,1230.8,466,1330.1,,1347.7,2022-05,,491.0,-0.04
471,Kris Van Wyk,28.5,1259.3,,453,1249.6,340,1379.7,380,1379.7,,1448.8,2024-10,,386.0,0.2
472,Tomas Farjat,23.7,1258.4,,470,1222.6,455,1261.1,467,1329.2,,1344.4,2024-08,,490.0,-0.04
473,Valerio Aboian,22.8,1257.6,,483,1188.7,459,1257.1,468,1328.8,,1355.1,2024-04,,434.0,0.09
474,Petr Nesterov,22.0,1250.6,,442,1274.2,472,1223.1,470,1325.3,,1421.9,2024-08,,439.0,0.08
475,Kasidit Samrej,24.2,1247.7,,466,1232.5,382,1338.0,394,1373.9,,1424.3,2019-04,,394.0,0.19
476,Justin Engel,17.5,1244.6,,457,1243.0,481,1202.6,472,1322.3,,1451.7,2024-10,,345.0,0.32
477,Alejo Lorenzo Lingua Lavallen,24.1,1244.0,,467,1232.0,468,1233.6,473,1322.0,,1431.1,2024-05,,423.0,0.12
478,Yi Zhou,20.1,1242.2,,469,1223.0,474,1212.9,474,1321.1,,1365.8,2024-02,,369.0,0.26
479,Luciano Emanuel Ambrogi,21.4,1240.7,,487,1171.5,462,1252.6,475,1320.4,,1410.3,2024-09,,376.0,0.24
480,Bruno Kuzuhara,21.0,1229.9,,482,1194.7,477,1209.2,476,1315.0,,1335.1,2024-07,,539.0,-0.12
481,Miguel Damas,25.2,1225.6,,471,1218.9,484,1189.6,477,1312.8,,1310.3,2022-04,,430.0,0.11
482,Naoki Nakagawa,28.3,1225.6,,472,1217.6,493,1117.0,478,1312.8,,1327.7,2024-09,,350.0,0.32
483,Benjamin Lock,31.7,1221.0,,480,1200.7,479,1204.1,471,1324.4,,1579.9,2015-07,,356.0,0.31
484,Vadym Ursu,28.3,1213.5,,484,1187.5,490,1162.9,489,1285.7,,1255.5,2024-10,,458.0,0.06
485,Leonardo Aboian,27.0,1212.5,,473,1216.3,480,1202.7,479,1306.3,,1275.4,2024-06,,639.0,-0.28
486,Andrea Picchione,26.8,1211.4,,476,1210.0,482,1196.5,480,1305.7,,1366.1,2024-04,,419.0,0.15
487,Karan Singh,21.8,1210.8,,488,1162.8,463,1252.3,482,1305.4,,1339.8,2025-02,,518.0,-0.06
488,Maxime Chazal,31.8,1202.1,,490,1146.5,483,1194.6,485,1301.1,,1382.8,2015-09,,358.0,0.31
489,Alexis Gautier,27.7,1191.5,,492,1127.5,466,1241.3,486,1295.8,,1509.5,2021-10,,750.0,-0.43
490,Ryan Nijboer,25.5,1178.7,,486,1176.2,488,1180.2,487,1289.3,,1353.7,2024-05,,408.0,0.18
491,Kiranpal Pannu,28.2,1171.9,,489,1157.5,491,1155.1,488,1285.9,,1371.7,2024-02,,502.0,-0.02
492,Matthew Dellavedova,24.7,1154.2,,491,1139.5,492,1147.1,491,1277.1,,1201.5,2024-01,,396.0,0.22
493,Ajeet Rai,26.0,1122.9,,493,1096.4,489,1171.4,493,1261.4,,1293.8,2019-09,,477.0,0.03
