Elo Rank,Player,Age,Elo,Unnamed: 4,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Unnamed: 11,Peak Elo,Peak Month,Unnamed: 14,ATP Rank,Log diff
214,Radu Albot,35.4,1552.5,,199,1521.3,196,1520.5,140,1545.1,,1823.4,2019-05,,277.0,-0.26
215,Marco Trungelliti,35.2,1552.0,,230,1485.1,171,1546.9,269,1440.0,,1693.1,2018-07,,183.0,0.16
216,Li Tu,28.9,1551.6,,207,1513.5,232,1472.9,142,1543.6,,1633.5,2022-10,,168.0,0.25
217,Alejandro Moro Canas,24.3,1549.9,,204,1516.0,210,1504.5,145,1536.5,,1673.5,2024-07,,197.0,0.1
218,Joris De Loore,31.3,1549.5,,180,1538.2,222,1481.7,228,1470.6,,1665.1,2016-10,,399.0,-0.6
219,Calvin Hemery,30.1,1548.6,,224,1496.1,192,1528.2,246,1451.1,,1651.1,2015-06,,176.0,0.22
220,Jozef Kovalik,32.4,1545.7,,260,1457.6,168,1549.8,358,1392.2,,1721.8,2018-07,,173.0,0.24
221,Gijs Brouwer,28.8,1545.4,,233,1483.1,217,1490.4,170,1515.2,,1656.6,2023-04,,219.0,0.01
222,Elias Ymer,28.9,1544.7,,215,1502.1,197,1519.3,171,1515.2,,1751.8,2015-06,,263.0,-0.17
223,Coleman Wong,20.8,1543.4,,184,1533.8,332,1388.0,267,1440.4,,1666.1,2024-09,,174.0,0.25
224,Benjamin Hassan,30.2,1543.4,,212,1505.9,199,1518.8,233,1463.5,,1680.2,2023-10,,239.0,-0.06
225,Ugo Blanchet,26.2,1541.9,,201,1519.8,201,1518.2,240,1459.7,,1659.4,2023-10,,186.0,0.19
226,Luka Pavlovic,25.0,1541.8,,380,1340.3,190,1532.2,227,1470.9,,1621.4,2025-04,,238.0,-0.05
227,Dominic Stricker,22.6,1541.1,,206,1513.8,208,1506.7,164,1520.9,,1798.6,2021-06,,258.0,-0.13
228,James Trotter,25.7,1539.9,,196,1524.2,395,1330.8,261,1442.8,,1658.1,2025-01,,170.0,0.29
229,Martin Landaluce,19.2,1538.2,,173,1546.2,238,1463.4,229,1469.1,,1741.8,2024-10,,147.0,0.44
230,Juan Pablo Ficovich,28.2,1535.2,,269,1448.5,183,1536.6,252,1447.6,,1597.4,2020-10,,152.0,0.41
231,James Mccabe,21.7,1533.7,,225,1495.8,376,1345.4,187,1501.5,,1584.1,2025-03,,177.0,0.27
232,Kimmer Coppejans,31.2,1532.4,,263,1453.0,205,1508.2,247,1449.7,,1697.0,2015-04,,275.0,-0.17
233,Murphy Cassone,22.6,1531.3,,193,1526.1,330,1388.3,231,1465.7,,1684.9,2025-02,,208.0,0.11
234,Mitchell Krueger,31.2,1530.2,,227,1488.4,234,1470.8,200,1488.8,,1653.6,2022-04,,151.0,0.44
235,Duje Ajdukovic,24.2,1529.7,,191,1529.2,215,1499.0,315,1414.9,,1687.6,2024-09,,175.0,0.29
236,Juan Pablo Varillas,29.5,1529.6,,305,1404.9,195,1523.0,355,1392.9,,1730.0,2021-10,,241.0,-0.02
237,Jan Choinski,28.8,1525.7,,256,1459.4,200,1518.5,407,1367.6,,1632.0,2023-08,,187.0,0.24
238,Marat Sharipov,22.5,1525.2,,226,1491.7,346,1372.6,235,1462.6,,1613.9,2025-02,,247.0,-0.04
239,Denis Kudla,32.2,1523.8,,211,1506.0,236,1468.3,166,1518.8,,1784.4,2015-07,,593.0,-0.91
240,Vitaliy Sachko,27.7,1523.3,,277,1441.7,213,1502.2,298,1425.2,,1643.5,2023-07,,254.0,-0.06
241,Federico Cina,18.0,1521.0,,221,1497.5,362,1359.6,236,1460.5,,1528.0,2025-04,,323.0,-0.29
242,Pedro Cachin,29.9,1521.0,,298,1410.1,194,1525.3,347,1397.1,,1767.7,2023-07,,360.0,-0.4
243,Stefano Napolitano,29.9,1520.6,,247,1471.3,211,1502.8,188,1500.1,,1662.1,2024-05,,440.0,-0.59
244,Gauthier Onclin,24.1,1519.3,,242,1475.7,225,1480.5,226,1471.5,,1591.3,2023-07,,192.0,0.24
