Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA
20‑Feb‑2023,Rio De Janeiro,Clay,F,2,13,(2)Cameron Norrie[GBR]d.(1)Alcaraz,5-7 6-4 7-5,(ch),0.98,3.5%,3.5%,67.8%,66.7%,40.5%,10/16,2:41,50.0%,41.0%,2.9%,35.4%,50.0%,5/9,220,4,4,115,78,37,3
20‑Feb‑2023,Rio De Janeiro,Clay,SF,2,139,(1)Alcarazd.(Q)Nicolas Jarry[CHI],6-7(2) 7-5 6-0,(ch),1.32,5.3%,3.2%,64.9%,70.5%,63.6%,4/5,2:42,55.0%,42.1%,4.2%,32.2%,58.3%,5/6,189,5,3,94,61,33,4
20‑Feb‑2023,Rio De Janeiro,Clay,QF,2,80,(1)Alcarazd.Dusan Lajovic[SRB],6-4 7-6(0),,1.25,1.3%,1.3%,62.3%,70.8%,51.7%,5/8,1:54,55.2%,45.6%,1.5%,40.5%,51.6%,4/6,145,1,1,77,48,29,1
20‑Feb‑2023,Rio De Janeiro,Clay,R16,2,86,(1)Alcarazd.Fabio Fognini[ITA],6-7(5) 6-2 6-4,,1.17,2.2%,0.0%,69.9%,61.5%,46.4%,0/5,2:47,53.4%,50.5%,0.9%,43.9%,60.0%,8/17,204,2,0,93,65,28,1
20‑Feb‑2023,Rio De Janeiro,Clay,R32,2,556,(1)Alcarazd.(WC)Mateus Alves[BRA],6-4 6-4,(ch),1.33,7.0%,7.0%,66.7%,73.7%,47.4%,2/4,1:56,54.5%,46.7%,6.7%,36.7%,65.4%,4/9,132,4,4,57,38,19,5
13‑Feb‑2023,Buenos Aires,Clay,F,2,12,(1)Alcarazd.(2)Cameron Norrie[GBR],6-3 7-5,(ch),1.28,5.1%,3.4%,64.4%,76.3%,52.4%,1/2,1:33,54.1%,41.3%,3.2%,37.1%,46.4%,4/6,122,3,2,59,38,21,2
13‑Feb‑2023,Buenos Aires,Clay,SF,2,74,(1)Alcarazd.Bernabe Zapata Miralles[ESP],6-2 6-2,(ch),1.76,6.3%,0.0%,68.8%,72.7%,60.0%,1/2,1:16,61.9%,55.1%,2.0%,50.0%,64.7%,5/7,97,3,0,48,33,15,1
13‑Feb‑2023,Buenos Aires,Clay,QF,2,90,(1)Alcarazd.(Q)Dusan Lajovic[SRB],6-4 6-2,(ch),1.42,2.0%,7.8%,64.7%,69.7%,50.0%,3/5,1:33,57.0%,52.9%,1.4%,52.3%,53.8%,5/10,121,1,4,51,33,18,1
13‑Feb‑2023,Buenos Aires,Clay,R16,2,57,(1)Alcarazd.Laslo Djere[SRB],6-2 4-6 6-2,(ch),1.35,5.5%,0.0%,69.9%,72.5%,68.2%,6/7,2:00,54.7%,39.0%,7.8%,35.4%,44.8%,4/12,150,4,0,73,51,22,6
31‑Oct‑2022,Paris Masters,Hard,QF,1,18,Holger Rune[DEN]d.(1)Alcaraz,6-3 6-6 RET,,0.98,5.0%,1.7%,63.3%,81.6%,54.5%,3/4,1:40,47.7%,27.8%,6.9%,24.5%,36.8%,0/2,132,3,1,60,38,22,5
31‑Oct‑2022,Paris Masters,Hard,R16,1,28,(1)Alcarazd.Grigor Dimitrov[BUL],6-1 6-3,(ch),1.54,2.1%,6.4%,63.8%,76.7%,47.1%,3/4,1:11,58.5%,52.5%,5.1%,43.9%,72.2%,5/7,106,1,3,47,30,17,3
31‑Oct‑2022,Paris Masters,Hard,R32,1,38,(1)Alcarazd.Yoshihito Nishioka[JPN],6-4 6-4,(ch),1.91,19.6%,2.2%,73.9%,85.3%,66.7%,0/1,1:12,56.2%,37.3%,0.0%,29.3%,55.6%,3/6,105,9,1,46,34,12,0
24‑Oct‑2022,Basel,Hard,SF,1,9,(3)Felix Auger Aliassime[CAN]d.(1)Alcaraz,6-3 6-2,(ch),0.54,0.0%,6.1%,69.4%,61.8%,33.3%,5/8,1:21,39.0%,25.5%,17.6%,18.2%,38.9%,0/1,100,0,3,49,34,15,9
24‑Oct‑2022,Basel,Hard,QF,1,15,(1)Alcarazd.(5)Pablo Carreno Busta[ESP],6-3 6-4,,1.33,1.6%,3.1%,67.2%,76.7%,47.6%,4/5,1:39,55.5%,43.8%,0.0%,38.9%,50.0%,3/12,128,1,2,64,43,21,0
24‑Oct‑2022,Basel,Hard,R16,1,35,(1)Alcarazd.Botic Van De Zandschulp[NED],6-4 6-2,(ch),1.36,1.7%,1.7%,75.0%,73.3%,46.7%,1/2,1:26,56.5%,45.5%,5.5%,32.1%,59.3%,4/6,115,1,1,60,45,15,3
24‑Oct‑2022,Basel,Hard,R32,1,45,(1)Alcarazd.Jack Draper[GBR],3-6 6-2 7-5,(ch),1.01,1.1%,2.2%,76.9%,67.1%,42.9%,4/7,2:17,50.6%,38.8%,10.6%,32.1%,51.7%,4/9,176,1,2,91,70,21,9
3‑Oct‑2022,Astana,Hard,R32,1,66,(LL)David Goffin[BEL]d.(1)Alcaraz,7-5 6-3,(ch),0.74,1.3%,1.3%,72.0%,48.1%,47.6%,6/11,1:46,43.8%,38.7%,0.0%,27.3%,51.7%,3/10,137,1,1,75,54,21,0
18‑Sep‑2022,Davis Cup Finals RR: ESP vs KOR,Hard,RR,1,74,Alcarazd.Soon Woo Kwon[KOR],6-4 7-6(1),,,,,,,,,,,,,,,,,,,,,,
16‑Sep‑2022,Davis Cup Finals RR: ESP vs CAN,Hard,RR,1,13,Felix Auger Aliassime[CAN]d.Alcaraz,6-7(3) 6-4 6-2,,,,,,,,,,,,,,,,,,,,,,
29‑Aug‑2022,US Open,Hard,F,4,7,(3)Alcarazd.(5)Casper Ruud[NOR],6-4 2-6 7-6(1) 6-3,(ch),1.00,10.6%,2.3%,64.4%,74.1%,51.1%,7/10,3:20,51.0%,34.2%,3.4%,33.8%,34.8%,3/11,249,14,3,132,85,47,4
29‑Aug‑2022,US Open,Hard,SF,4,26,(3)Alcarazd.(22)Frances Tiafoe[USA],6-7(6) 6-3 6-1 6-7(5) 6-3,(ch),1.35,4.0%,2.0%,70.0%,74.3%,60.0%,4/7,4:19,54.6%,40.5%,9.2%,28.9%,50.6%,9/20,313,6,3,150,105,45,15
29‑Aug‑2022,US Open,Hard,QF,4,13,(3)Alcarazd.(11)Jannik Sinner[ITA],6-3 6-7(7) 6-7(0) 7-5 6-3,(ch),1.16,3.0%,3.0%,65.1%,62.7%,59.3%,9/16,5:15,52.1%,44.6%,3.8%,35.9%,55.2%,11/26,382,5,5,169,110,59,8
29‑Aug‑2022,US Open,Hard,R16,4,17,(3)Alcarazd.(15)Marin Cilic[CRO],6-4 3-6 6-4 4-6 6-3,(ch),1.01,2.1%,2.8%,72.0%,62.1%,60.0%,4/9,3:54,50.2%,38.7%,9.9%,26.0%,52.2%,6/18,285,3,4,143,103,40,14
29‑Aug‑2022,US Open,Hard,R32,4,43,(3)Alcarazd.Jenson Brooksby[USA],6-3 6-3 6-3,(ch),1.50,10.8%,4.1%,70.3%,75.0%,45.5%,1/4,2:11,57.5%,50.5%,2.2%,39.7%,73.3%,7/11,167,8,3,74,52,22,2
29‑Aug‑2022,US Open,Hard,R64,4,78,(3)Alcarazd.Federico Coria[ARG],6-2 6-1 7-5,,1.38,3.9%,2.9%,71.6%,67.1%,55.2%,13/14,2:10,57.5%,50.0%,0.0%,46.3%,56.7%,7/10,186,4,3,102,73,29,0
29‑Aug‑2022,US Open,Hard,R128,4,37,(3)Alcarazd.Sebastian Baez[ARG],7-5 7-5 2-0 RET,,1.16,1.0%,6.0%,62.0%,67.7%,52.6%,8/10,2:30,53.8%,44.0%,1.2%,38.3%,58.3%,5/13,184,1,6,100,62,38,1
15‑Aug‑2022,Cincinnati Masters,Hard,QF,4,11,(9)Cameron Norrie[GBR]d.(3)Alcaraz,7-6(4) 6-7(4) 6-4,(ch),1.16,4.7%,3.7%,64.5%,69.6%,65.8%,5/8,3:03,51.1%,36.7%,2.3%,31.0%,48.8%,2/13,235,5,4,107,69,38,3
15‑Aug‑2022,Cincinnati Masters,Hard,R16,4,17,(3)Alcarazd.(14)Marin Cilic[CRO],7-6(4) 6-1,,1.71,12.7%,6.3%,66.7%,83.3%,52.4%,2/3,1:39,59.2%,46.3%,6.0%,39.6%,63.2%,3/6,130,8,4,63,42,21,4
15‑Aug‑2022,Cincinnati Masters,Hard,R32,4,72,(3)Alcarazd.(WC)Mackenzie Mcdonald[USA],6-3 6-2,(ch),2.43,12.8%,2.6%,51.3%,85.0%,78.9%,0/0,1:05,59.6%,43.6%,1.8%,41.7%,47.4%,4/7,94,5,1,39,20,19,1
8‑Aug‑2022,Canada Masters,Hard,R32,4,34,Tommy Paul[USA]d.(2)Alcaraz,6-7(4) 7-6(7) 6-3,(ch),0.96,3.2%,3.2%,65.6%,67.1%,44.2%,15/19,3:20,49.0%,39.2%,3.1%,35.3%,46.7%,3/11,255,4,4,125,82,43,4
25‑Jul‑2022,Umag,Clay,F,5,10,(2)Jannik Sinner[ITA]d.(1)Alcaraz,6-7(5) 6-1 6-1,(ch),0.73,2.7%,4.0%,66.7%,62.0%,56.0%,4/9,2:25,43.1%,29.3%,6.5%,22.6%,38.5%,0/9,167,2,3,75,50,25,6
25‑Jul‑2022,Umag,Clay,SF,5,168,(1)Alcarazd.(Q)Giulio Zeppieri[ITA],7-5 4-6 6-3,(ch),1.18,2.9%,4.8%,58.7%,67.2%,51.2%,9/13,2:55,53.2%,46.6%,8.5%,38.0%,59.6%,6/15,222,3,5,104,61,43,10
25‑Jul‑2022,Umag,Clay,QF,5,120,(1)Alcarazd.Facundo Bagnis[ARG],6-0 6-4,,1.58,3.8%,5.8%,61.5%,81.3%,45.0%,1/1,1:24,59.3%,51.8%,3.6%,41.7%,70.0%,4/10,108,2,3,52,32,20,2
25‑Jul‑2022,Umag,Clay,R16,5,117,(1)Alcarazd.(LL)Norbert Gombos[SVK],6-2 6-3,,1.38,3.3%,1.6%,62.3%,71.1%,60.9%,7/7,1:37,56.1%,45.2%,1.6%,41.2%,50.0%,4/12,123,2,1,61,38,23,1
18‑Jul‑2022,Hamburg,Clay,F,6,62,Lorenzo Musetti[ITA]d.(1)Alcaraz,6-4 6-7(6) 6-4,(ch),0.94,2.1%,3.1%,66.7%,65.6%,65.6%,2/6,2:46,48.7%,32.3%,1.0%,22.0%,47.5%,2/5,195,2,3,96,64,32,1
18‑Jul‑2022,Hamburg,Clay,SF,6,48,(1)Alcarazd.Alex Molcan[SVK],7-6(2) 6-1,(ch),1.49,3.8%,1.9%,75.5%,72.5%,46.2%,1/3,1:33,57.1%,50.7%,4.1%,43.1%,68.2%,5/11,126,2,1,53,40,13,3
18‑Jul‑2022,Hamburg,Clay,QF,6,26,(1)Alcarazd.(7)Karen Khachanov[RUS],6-0 6-2,,1.93,0.0%,0.0%,73.8%,71.0%,72.7%,1/1,1:09,62.6%,55.1%,2.0%,42.9%,85.7%,5/11,91,0,0,42,31,11,1
18‑Jul‑2022,Hamburg,Clay,R16,6,43,(1)Alcarazd.Filip Krajinovic[SRB],7-6(4) 6-3,,1.23,4.9%,6.6%,70.5%,65.1%,61.1%,1/3,1:52,52.3%,44.3%,0.0%,40.0%,53.6%,4/12,149,3,4,61,43,18,0
18‑Jul‑2022,Hamburg,Clay,R32,6,259,(1)Alcarazd.(WC)Nicola Kuhn[ESP],3-6 6-1 7-6(3),(ch),1.31,1.1%,1.1%,70.8%,74.6%,61.5%,1/2,2:26,53.8%,38.1%,1.0%,34.8%,45.2%,2/10,186,1,1,89,63,26,1
27‑Jun‑2022,Wimbledon,Grass,R16,7,13,(10)Jannik Sinner[ITA]d.(5)Alcaraz,6-1 6-4 6-7(8) 6-3,(ch),0.79,7.4%,2.5%,66.9%,65.4%,57.5%,8/12,3:35,44.7%,29.4%,2.8%,25.6%,34.4%,0/7,264,9,3,121,81,40,4
27‑Jun‑2022,Wimbledon,Grass,R32,7,36,(5)Alcarazd.(32)Oscar Otte[GER],6-3 6-1 6-2,,2.29,4.7%,4.7%,62.5%,87.5%,62.5%,1/1,1:38,61.5%,50.0%,5.4%,37.7%,66.7%,6/20,156,3,3,64,40,24,5
27‑Jun‑2022,Wimbledon,Grass,R64,7,53,(5)Alcarazd.Tallon Griekspoor[NED],6-4 7-6(0) 6-3,,1.31,9.0%,4.0%,59.0%,81.4%,61.0%,5/6,2:06,55.7%,35.3%,8.2%,27.7%,44.7%,3/9,185,9,4,100,59,41,7
27‑Jun‑2022,Wimbledon,Grass,R128,7,155,(5)Alcarazd.Jan Lennard Struff[GER],4-6 7-5 4-6 7-6(3) 6-4,,1.15,17.6%,4.1%,65.3%,75.7%,55.9%,6/8,4:11,50.5%,35.7%,11.0%,22.1%,51.5%,2/14,380,30,7,170,111,59,23
23‑May‑2022,Roland Garros,Clay,QF,6,3,(3)Alexander Zverev[GER]d.(6)Alcaraz,6-4 6-4 4-6 7-6(7),(ch),0.86,1.5%,2.3%,61.4%,71.6%,51.0%,5/8,,47.5%,31.3%,5.3%,26.3%,44.4%,2/6,263,2,3,132,81,51,7
23‑May‑2022,Roland Garros,Clay,R16,6,25,(6)Alcarazd.(21)Karen Khachanov[RUS],6-1 6-4 6-4,,1.49,3.5%,1.2%,53.5%,78.3%,60.0%,3/4,,56.5%,44.9%,3.1%,41.7%,50.0%,5/12,184,3,1,86,46,40,3
23‑May‑2022,Roland Garros,Clay,R32,6,30,(6)Alcarazd.(27)Sebastian Korda[USA],6-4 6-4 6-2,,1.53,1.2%,1.2%,63.0%,76.5%,70.0%,5/5,2:09,55.4%,39.6%,9.4%,28.1%,56.4%,4/15,177,1,1,81,51,30,9
23‑May‑2022,Roland Garros,Clay,R64,6,44,(6)Alcarazd.Albert Ramos[ESP],6-1 6-7(7) 5-7 7-6(2) 6-4,(ch),1.25,6.3%,1.3%,69.6%,71.8%,56.3%,1/7,,52.8%,41.2%,1.0%,37.5%,52.0%,8/31,352,10,2,158,110,48,2
23‑May‑2022,Roland Garros,Clay,R128,6,142,(6)Alcarazd.(LL)Juan Ignacio Londero[ARG],6-4 6-2 6-0,,1.90,3.0%,0.0%,68.7%,80.4%,61.9%,0/0,,59.9%,48.2%,2.4%,40.4%,60.6%,6/12,152,2,0,67,46,21,2
2‑May‑2022,Madrid Masters,Clay,F,9,3,(7)Alcarazd.(2)Alexander Zverev[GER],6-3 6-1,(ch),3.23,2.6%,0.0%,71.1%,88.9%,72.7%,0/0,1:02,65.9%,51.1%,6.4%,38.7%,75.0%,4/8,85,1,0,38,27,11,3
2‑May‑2022,Madrid Masters,Clay,SF,9,1,(7)Alcarazd.(1)Novak Djokovic[SRB],6-7(5) 7-5 7-6(5),(ch),1.01,2.9%,2.9%,66.9%,73.6%,51.1%,5/6,3:35,50.6%,34.1%,6.2%,33.7%,34.9%,2/10,265,4,4,136,91,45,8
2‑May‑2022,Madrid Masters,Clay,QF,9,4,(7)Alcarazd.(3)Rafael Nadal[ESP],6-2 1-6 6-3,(ch),1.05,5.7%,4.3%,55.7%,66.7%,51.6%,6/9,2:28,50.7%,41.9%,1.4%,42.3%,40.9%,4/5,144,4,3,70,39,31,1
2‑May‑2022,Madrid Masters,Clay,R16,9,11,(7)Alcarazd.(9)Cameron Norrie[GBR],6-4 6-7(4) 6-3,,1.01,6.7%,3.8%,69.5%,71.2%,43.8%,7/9,2:39,50.5%,37.6%,3.0%,25.4%,57.9%,5/7,206,7,4,105,73,32,3
2‑May‑2022,Madrid Masters,Clay,R32,9,27,(7)Alcarazd.Nikoloz Basilashvili[GEO],6-3 7-5,,1.44,7.4%,1.9%,64.8%,65.7%,57.9%,2/5,1:23,57.9%,53.3%,3.3%,39.4%,70.4%,6/9,114,4,1,54,35,19,2
18‑Apr‑2022,Barcelona,Clay,F,11,19,(5)Alcarazd.(8)Pablo Carreno Busta[ESP],6-3 6-2,(ch),2.88,5.3%,2.6%,68.4%,88.5%,75.0%,0/0,1:05,61.3%,45.5%,0.0%,43.9%,50.0%,4/10,93,2,1,38,26,12,0
18‑Apr‑2022,Barcelona,Clay,SF,11,25,(5)Alcarazd.(10)Alex De Minaur[AUS],6-7(4) 7-6(4) 6-4,(ch),1.05,2.2%,2.2%,58.3%,72.8%,43.1%,9/12,3:39,50.9%,41.7%,0.0%,37.7%,45.3%,4/15,283,3,3,139,81,58,0
18‑Apr‑2022,Barcelona,Clay,QF,11,5,(5)Alcarazd.(1)Stefanos Tsitsipas[GRE],6-4 5-7 6-2,(ch),1.36,1.2%,2.4%,72.3%,71.7%,60.9%,3/6,2:12,55.3%,42.5%,5.7%,34.0%,54.1%,5/7,170,1,2,83,60,23,5
18‑Apr‑2022,Barcelona,Clay,R16,11,101,(5)Alcarazd.(WC)Jaume Munar[ESP],6-3 6-3,,2.55,6.8%,2.3%,61.4%,77.8%,88.2%,0/0,1:10,62.0%,46.4%,5.4%,26.7%,69.2%,3/4,100,3,1,44,27,17,3
