Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA
11‑Apr‑2022,Monte Carlo Masters,Clay,R64,79,30,(Q)Runed.Aslan Karatsev[RUS],7-6(1) 4-6 6-3,,1.25,4.3%,4.3%,68.8%,73.4%,48.3%,7/10,2:33,53.5%,43.0%,0.9%,40.0%,46.8%,4/9,200,4,4,93,64,29,1
11‑Apr‑2022,Monte Carlo Masters,Clay,Q2,79,69,(14)Runed.(6)Maxime Cressy[USA],6-3 7-5,,1.46,6.0%,4.0%,58.0%,65.5%,71.4%,0/2,1:22,55.2%,46.7%,5.3%,38.5%,55.6%,5/13,125,3,2,50,29,21,4
11‑Apr‑2022,Monte Carlo Masters,Clay,Q1,79,118,(14)Runed.(Alt)Radu Albot[MDA],6-2 6-3,,1.49,6.0%,4.0%,62.0%,67.7%,73.7%,2/2,1:07,57.7%,44.7%,0.0%,33.3%,64.7%,4/6,97,3,2,50,31,19,0
4‑Apr‑2022,Sanremo CH,Clay,F,91,493,(1)Runed.(Q)Francesco Passaro[ITA],6-1 2-6 6-4,,1.07,2.3%,4.5%,65.9%,58.6%,50.0%,4/8,1:58,51.8%,47.5%,1.3%,32.6%,67.6%,6/11,168,2,4,88,58,30,1
4‑Apr‑2022,Sanremo CH,Clay,SF,91,249,(1)Runed.Andrea Arnaboldi[ITA],6-4 6-1,,2.58,2.4%,0.0%,64.3%,77.8%,86.7%,0/0,1:08,62.9%,49.1%,0.0%,47.1%,52.4%,4/6,97,1,0,42,27,15,0
4‑Apr‑2022,Sanremo CH,Clay,QF,91,541,(1)Runed.Matteo Gigante[ITA],6-3 6-0,,2.18,9.8%,2.4%,65.9%,85.2%,50.0%,0/1,0:52,65.9%,58.5%,4.9%,55.2%,66.7%,5/7,82,4,1,41,27,14,2
4‑Apr‑2022,Sanremo CH,Clay,R16,91,285,(1)Runed.Nerman Fatic[BIH],6-3 6-2,,1.42,2.1%,2.1%,62.5%,80.0%,55.6%,0/0,1:14,55.4%,41.5%,0.0%,29.4%,63.2%,4/7,101,1,1,48,30,18,0
4‑Apr‑2022,Sanremo CH,Clay,R32,91,370,(1)Runed.Evgeny Tyurnev[RUS],6-3 7-6(12),,1.10,2.5%,0.0%,69.1%,66.1%,64.0%,4/4,1:45,51.9%,38.0%,10.1%,28.3%,51.5%,2/5,160,2,0,81,56,25,8
21‑Mar‑2022,Miami Masters,Hard,Q1,88,372,(WC)Shintaro Mochizuki[JPN]d.(2)Rune,6-1 0-0 RET,,0.56,0.0%,9.4%,53.1%,47.1%,40.0%,3/6,0:35,39.2%,31.6%,0.0%,28.6%,33.3%,0/2,51,0,3,32,17,15,0
7‑Mar‑2022,Indian Wells Masters,Hard,R64,86,6,(6)Matteo Berrettini[ITA]d.(Q)Rune,6-3 4-6 6-4,,1.09,6.5%,5.2%,67.5%,73.1%,56.0%,5/8,2:02,50.0%,35.5%,14.0%,28.3%,48.5%,2/8,170,5,4,77,52,25,13
7‑Mar‑2022,Indian Wells Masters,Hard,R128,86,42,(Q)Runed.Ugo Humbert[FRA],6-3 6-2,,2.05,0.0%,4.9%,58.5%,83.3%,70.6%,0/0,1:00,59.8%,45.1%,5.9%,34.5%,59.1%,4/6,92,0,2,41,24,17,3
7‑Mar‑2022,Indian Wells Masters,Hard,Q2,86,121,(3)Runed.(15)Stefan Kozlov[USA],6-4 6-2,,1.32,1.7%,5.0%,51.7%,67.7%,58.6%,3/4,1:28,55.7%,48.4%,1.6%,29.3%,85.7%,4/8,122,1,3,60,31,29,1
7‑Mar‑2022,Indian Wells Masters,Hard,Q1,86,164,(3)Runed.Mitchell Krueger[USA],6-4 3-6 6-3,,1.28,9.9%,11.3%,57.7%,85.4%,46.7%,1/4,1:55,52.4%,39.8%,0.0%,38.0%,41.9%,4/12,164,7,8,71,41,30,0
21‑Feb‑2022,Santiago,Clay,R32,88,264,(Q)Matheus Pucinelli De Almeida[BRA]d.Rune,6-4 6-4,,0.76,0.0%,10.4%,55.8%,67.4%,23.5%,6/11,1:38,44.4%,39.7%,3.4%,29.5%,71.4%,3/5,135,0,8,77,43,34,2
14‑Feb‑2022,Marseille,Hard,R16,90,15,(4)Aslan Karatsev[RUS]d.Rune,6-3 7-6(1),,0.83,1.3%,4.0%,65.3%,67.3%,38.5%,7/9,2:07,44.8%,35.4%,2.0%,25.8%,54.5%,1/10,174,1,3,75,49,26,2
14‑Feb‑2022,Marseille,Hard,R32,90,169,Runed.(LL)Zizou Bergs[BEL],1-6 6-3 6-4,,0.96,0.0%,3.6%,57.8%,75.0%,42.9%,1/4,2:03,49.1%,36.9%,7.1%,30.8%,46.9%,3/6,167,0,3,83,48,35,6
7‑Feb‑2022,Buenos Aires,Clay,R32,88,74,(WC)Sebastian Baez[ARG]d.(WC)Rune,7-6(4) 6-3,,0.81,2.7%,2.7%,60.8%,64.4%,48.3%,3/6,1:44,46.2%,33.8%,1.4%,34.6%,31.6%,2/5,145,2,2,74,45,29,1
31‑Jan‑2022,Cordoba,Clay,R32,97,76,Roberto Carballes Baena[ESP]d.Rune,6-2 6-4,,0.79,1.9%,9.4%,56.6%,56.7%,43.5%,1/6,1:23,44.5%,38.6%,5.3%,31.4%,50.0%,2/4,110,1,5,53,30,23,3
