Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2023 US Open SF,W vsAlcaraz,1.05,1.34,37.3,2.4,6.3%,78.1%,7.7%,63.1%,25.7%,50.8%
2023 US Open QF,W vsRublev,1.16,1.26,38.0,2.7,3.9%,54.9%,12.2%,53.1%,45.1%,55.3%
2023 US Open R16,W vsDe Minaur,1.17,1.43,34.5,3.6,9.3%,63.0%,12.0%,70.0%,42.9%,39.1%
2023 US Open R32,W vsBaez,1.24,1.55,27.2,2.4,8.2%,57.4%,11.9%,62.7%,53.3%,46.3%
2023 US Open R64,W vsOconnell,0.96,1.43,32.0,2.1,10.7%,62.5%,11.3%,75.5%,45.6%,46.9%
2023 US Open R128,W vsBalazs,1.13,2.84,20.2,2.0,10.3%,65.5%,20.0%,84.0%,72.7%,56.7%
2023 Cincinnati R16,L vsZverev,0.81,0.88,69.9,3.6,6.3%,70.8%,4.8%,61.9%,42.9%,28.8%
2023 Cincinnati R32,W vsMusetti,1.00,1.55,48.9,2.6,3.6%,71.4%,7.7%,61.5%,43.3%,60.7%
2023 Canada QF,L vsDe Minaur,1.08,0.84,61.3,3.6,13.3%,60.0%,7.1%,50.0%,27.5%,43.2%
2023 Canada R16,W vsMusetti,1.26,1.60,45.4,2.3,3.4%,62.1%,3.8%,76.9%,43.8%,34.5%
2023 Canada R32,W vsArnaldi,1.13,1.60,49.5,2.0,6.5%,64.5%,23.3%,76.7%,35.3%,48.5%
2023 Wimbledon SF,L vsAlcaraz,0.89,0.61,30.6,2.1,7.3%,46.3%,5.1%,61.5%,26.8%,36.8%
2023 Wimbledon QF,W vsEubanks,1.01,1.43,37.6,4.1,21.5%,78.5%,23.7%,69.5%,39.8%,32.9%
2023 Wimbledon R16,W vsLehecka,1.07,2.07,38.0,2.1,12.5%,70.8%,26.1%,82.6%,44.7%,45.9%
2023 Wimbledon R32,W vsFucsovics,1.17,1.31,34.1,3.7,3.1%,69.2%,6.5%,66.1%,35.5%,36.8%
2023 Wimbledon R64,W vsMannarino,1.14,1.51,31.6,2.3,7.7%,73.1%,6.5%,60.9%,42.3%,44.0%
2023 Wimbledon R128,W vsFery,1.06,1.47,33.7,2.3,4.5%,63.6%,11.6%,72.1%,41.5%,47.9%
2023 Halle QF,L vsBautista Agut,0.98,0.66,57.0,2.6,20.0%,66.7%,7.0%,58.1%,31.6%,18.2%
2023 Halle R16,W vsDjere,1.02,1.34,64.8,2.2,0.0%,67.3%,14.3%,69.4%,44.9%,38.3%
2023 Halle R32,W vsGiron,1.53,1.54,45.2,2.4,17.6%,73.5%,9.7%,58.1%,37.5%,30.4%
2023 s Hertogenbosch R16,L vsMannarino,0.90,0.77,54.3,5.5,12.5%,62.5%,8.1%,59.5%,21.4%,47.2%
2023 Roland Garros R128,L vsSeyboth Wild,0.97,0.91,58.3,4.1,9.3%,60.8%,5.7%,56.8%,40.7%,36.7%
2023 Rome F,W vsRune,1.12,1.35,56.1,2.4,2.9%,55.9%,12.9%,74.2%,40.5%,45.2%
2023 Rome SF,W vsTsitsipas,1.22,1.48,46.5,2.4,0.0%,68.6%,7.4%,66.7%,36.1%,42.4%
2023 Rome QF,W vsHanfmann,1.19,1.68,36.5,2.1,14.7%,58.8%,8.8%,55.9%,64.0%,56.5%
2023 Rome R16,W vsZverev,1.00,1.45,54.0,2.1,5.7%,68.6%,0.0%,72.7%,30.0%,57.1%
2023 Rome R32,W vsZapata Miralles,1.09,1.37,57.0,4.6,5.4%,56.8%,5.9%,76.5%,39.0%,45.9%
2023 Rome R64,W vsRuusuvuori,1.26,1.59,42.2,3.1,10.7%,71.4%,11.5%,50.0%,46.4%,52.2%
2023 Madrid R16,L vsKaratsev,0.87,0.63,47.9,2.7,6.3%,75.0%,6.9%,55.2%,21.2%,29.0%
2023 Madrid R32,W vsShevchenko,1.02,1.17,66.7,9.5,6.6%,63.9%,0.0%,51.7%,46.3%,50.0%
2023 Madrid R64,W vsVavassori,1.09,1.79,46.8,2.4,10.0%,73.3%,3.8%,76.9%,33.3%,50.0%
2023 Monte Carlo QF,L vsRune,0.92,0.62,51.0,2.1,3.4%,62.1%,3.4%,58.6%,31.0%,21.7%
2023 Monte Carlo R16,W vsZverev,1.00,1.08,102.3,19.5,1.9%,63.0%,4.1%,51.0%,50.0%,41.8%
2023 Miami F,W vsSinner,0.97,1.53,48.3,2.9,11.8%,70.6%,17.2%,69.0%,47.1%,48.3%
2023 Miami SF,W vsKhachanov,1.33,1.17,60.7,2.5,12.2%,65.3%,15.9%,72.7%,28.9%,25.6%
2023 Miami QF,W vsEubanks,1.11,1.45,49.4,2.4,5.4%,62.2%,20.6%,73.5%,45.7%,38.7%
2023 Miami R16,W vsHalys,1.21,2.02,35.8,2.2,17.9%,78.6%,8.0%,68.0%,45.2%,43.3%
2023 Indian Wells F,L vsAlcaraz,0.55,0.30,22.6,2.0,0.0%,60.0%,0.0%,47.8%,23.1%,26.1%
2023 Indian Wells SF,W vsTiafoe,1.02,1.48,52.7,2.2,10.5%,78.9%,13.5%,67.6%,37.5%,40.0%
2023 Indian Wells QF,W vsDavidovich Fokina,1.05,1.48,51.9,2.0,2.7%,73.0%,9.1%,69.7%,39.5%,40.5%
2023 Indian Wells R16,W vsZverev,1.10,1.13,74.0,6.6,10.3%,69.1%,7.9%,66.7%,33.8%,32.2%
2023 Indian Wells R32,W vsIvashka,1.16,1.44,48.0,2.0,7.7%,66.7%,13.5%,62.2%,45.7%,42.4%
2023 Indian Wells R64,W vsNakashima,1.09,1.69,43.3,2.3,13.3%,63.3%,7.7%,80.8%,53.1%,34.5%
2023 Dubai F,W vsRublev,0.99,2.48,39.9,2.1,23.8%,85.7%,21.1%,73.7%,50.0%,50.0%
2023 Dubai SF,W vsDjokovic,1.54,1.62,37.6,2.1,12.5%,75.0%,13.3%,56.7%,29.0%,41.9%
2023 Dubai QF,W vsCoric,0.91,1.85,40.9,2.2,4.5%,77.3%,14.3%,66.7%,65.4%,48.0%
