Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2023 Adelaide 1 R16,W vsHalys,1.22,1.69,54.5,3.5,15.4%,76.9%,10.8%,75.7%,28.6%,37.5%
2022 Tour Finals F,W vsRuud,1.23,2.15,40.5,2.3,10.0%,76.7%,20.0%,84.0%,33.3%,37.0%
2022 Tour Finals SF,W vsFritz,1.05,1.34,67.5,2.3,15.0%,67.5%,0.0%,75.0%,34.1%,40.0%
2022 Tour Finals RR,W vsTsitsipas,1.30,1.66,45.0,2.0,5.9%,73.5%,3.4%,86.2%,23.5%,29.6%
2022 Tour Finals RR,W vsMedvedev,0.93,1.13,92.0,9.7,10.3%,73.5%,3.2%,61.9%,37.5%,40.3%
2022 Tour Finals RR,W vsRublev,1.06,2.91,38.7,2.0,33.3%,91.7%,21.1%,73.7%,34.5%,55.6%
2022 Paris F,L vsRune,0.73,0.91,78.0,7.8,7.0%,72.1%,10.8%,67.6%,38.6%,36.5%
2022 Paris R32,W vsCressy,1.27,4.09,47.3,2.0,3.4%,82.8%,12.0%,96.0%,34.1%,37.8%
2022 Astana F,W vsTsitsipas,1.19,2.84,38.3,2.3,0.0%,84.0%,4.3%,87.0%,39.3%,28.6%
2022 Astana R16,W vsVan De Zandschulp,1.25,2.22,35.5,2.0,7.7%,80.8%,12.0%,64.0%,56.5%,38.9%
2022 Tel Aviv F,W vsCilic,1.22,1.76,41.1,2.1,6.9%,79.3%,17.9%,67.9%,38.7%,37.0%
2022 Tel Aviv SF,W vsSafiullin,1.01,1.60,46.6,2.0,3.0%,72.7%,19.4%,67.7%,48.5%,44.8%
2022 Laver Cup RR,L vsAuger Aliassime,0.97,0.70,53.1,2.9,5.9%,64.7%,0.0%,46.9%,31.3%,32.3%
2022 Wimbledon F,W vsKyrgios,1.03,1.41,40.8,3.3,14.8%,72.1%,10.3%,77.6%,32.3%,36.7%
2022 Wimbledon SF,W vsNorrie,0.96,1.55,34.3,3.4,16.7%,81.3%,12.5%,65.0%,51.7%,31.5%
2022 Wimbledon QF,W vsSinner,1.07,1.35,32.6,8.9,7.1%,72.9%,5.2%,63.8%,40.6%,38.5%
2022 Wimbledon R16,W vsVan Rijthoven,0.90,1.52,34.1,2.1,7.5%,69.8%,6.8%,77.3%,45.3%,45.0%
2022 Wimbledon R32,W vsKecmanovic,1.08,2.14,26.8,2.0,5.4%,70.3%,12.9%,80.6%,40.4%,58.7%
2022 Wimbledon R64,W vsKokkinakis,1.25,2.41,21.0,2.1,2.7%,78.4%,0.0%,74.3%,45.7%,45.2%
2022 Wimbledon R128,W vsKwon,1.13,1.45,35.9,2.7,14.5%,69.1%,14.3%,73.5%,40.0%,34.0%
2022 Roland Garros QF,L vsNadal,0.97,0.82,40.2,2.1,0.0%,56.2%,7.5%,58.2%,35.2%,37.3%
2022 Rome F,W vsTsitsipas,1.01,1.75,43.3,2.0,6.9%,75.9%,16.7%,70.8%,54.8%,35.7%
2022 Rome SF,W vsRuud,1.47,1.98,35.1,2.1,3.7%,66.7%,0.0%,70.8%,43.8%,40.6%
2022 Rome QF,W vsAuger Aliassime,1.09,1.44,51.2,2.3,0.0%,73.7%,10.8%,67.6%,47.4%,29.7%
2022 Rome R16,W vsWawrinka,1.10,1.91,34.1,2.1,4.2%,70.8%,4.2%,66.7%,46.7%,63.0%
2022 Rome R32,W vsKaratsev,1.06,1.77,35.9,2.0,3.6%,75.0%,0.0%,65.2%,57.6%,40.0%
2022 Madrid SF,L vsAlcaraz,0.92,0.91,94.6,5.9,3.0%,68.2%,9.5%,63.5%,40.6%,26.9%
2022 Madrid QF,W vsHurkacz,1.27,1.96,38.5,2.0,13.3%,76.7%,8.0%,76.0%,34.5%,38.5%
2022 Madrid R32,W vsMonfils,1.34,1.76,41.1,2.4,5.7%,71.4%,0.0%,57.6%,45.8%,47.4%
2022 Belgrade  F,L vsRublev,1.08,0.80,61.7,2.8,8.5%,51.1%,6.8%,52.3%,42.0%,29.8%
2022 Monte Carlo R32,L vsDavidovich Fokina,1.01,0.88,60.6,2.2,0.0%,52.4%,1.6%,46.8%,46.9%,40.9%
2021 Tour Finals SF,L vsZverev,0.93,0.83,66.7,2.8,8.5%,70.2%,24.4%,71.1%,36.0%,15.2%
2021 Tour Finals RR,W vsRublev,1.01,1.73,45.0,2.7,23.1%,76.9%,36.4%,63.6%,48.1%,52.0%
2021 Tour Finals RR,W vsRuud,0.88,1.75,50.0,3.0,14.3%,78.6%,24.0%,76.0%,47.2%,42.4%
2021 Paris F,W vsMedvedev,1.04,1.27,55.1,4.0,6.8%,61.4%,7.1%,64.3%,51.1%,39.5%
2021 Paris SF,W vsHurkacz,0.93,1.29,92.8,4.0,4.8%,69.0%,8.6%,71.4%,38.9%,44.0%
2021 Paris QF,W vsFritz,0.85,1.35,51.5,2.0,12.5%,66.7%,21.7%,65.2%,56.7%,51.7%
2021 US Open F,L vsMedvedev,0.72,0.54,23.2,2.1,6.4%,70.2%,6.7%,53.3%,29.8%,27.9%
2021 US Open SF,W vsZverev,1.22,1.22,40.0,3.5,5.1%,65.4%,11.1%,65.3%,33.3%,36.2%
2021 US Open QF,W vsBerrettini,0.94,1.41,35.2,3.2,9.8%,72.1%,10.7%,69.6%,41.3%,45.8%
2021 US Open R16,W vsBrooksby,1.14,1.47,31.5,3.2,9.3%,61.1%,7.8%,70.6%,41.8%,47.1%
2021 US Open R32,W vsNishikori,0.99,1.31,41.1,3.5,14.5%,65.2%,8.1%,69.4%,35.6%,51.4%
2021 US Open R64,W vsGriekspoor,1.09,1.91,25.1,2.1,15.8%,65.8%,20.6%,76.5%,48.7%,54.1%
2021 US Open R128,W vsRune,0.99,1.57,33.9,2.1,13.5%,75.0%,22.2%,68.9%,42.0%,46.5%
2021 Tokyo Olympics BR,L vsCarreno Busta,0.92,0.93,65.0,2.5,2.2%,63.0%,4.9%,75.6%,30.6%,32.1%
