Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2023 Marseille F,W vsBonzi,0.98,1.40,59.6,2.0,30.6%,77.8%,24.2%,72.7%,28.6%,42.4%
2023 Marseille SF,W vsBublik,1.11,1.64,54.8,2.6,30.6%,80.6%,35.5%,74.2%,34.1%,31.7%
2023 Marseille QF,W vsYmer,1.08,1.14,89.2,5.6,25.5%,56.4%,12.0%,70.0%,38.3%,40.4%
2023 Rotterdam R16,L vsDimitrov,0.78,0.88,60.6,2.5,26.3%,73.7%,30.3%,72.7%,23.9%,37.5%
2023 Rotterdam R32,W vsBautista Agut,1.00,1.15,77.3,3.7,27.9%,73.8%,17.0%,62.3%,31.8%,41.0%
2023 Australian Open R32,W vsShapovalov,1.09,1.16,49.3,2.8,8.3%,59.5%,12.2%,63.5%,44.2%,37.8%
2023 Australian Open R64,W vsSonego,1.18,1.20,39.6,6.7,6.3%,60.0%,4.2%,64.8%,42.0%,34.7%
2023 Australian Open R128,W vsMartinez,0.98,2.95,28.8,2.2,33.3%,82.1%,35.5%,90.3%,36.4%,50.0%
2023 United Cup SF,L vsFritz,0.94,0.68,68.0,2.7,25.6%,67.4%,15.4%,74.4%,28.6%,13.2%
2023 United Cup RR,L vsBerrettini,0.89,0.72,52.3,2.2,16.3%,65.1%,13.9%,66.7%,24.4%,31.4%
2023 United Cup RR,W vsBublik,1.12,1.43,70.6,2.5,22.4%,71.4%,15.6%,82.2%,27.3%,32.7%
2023 United Cup RR,W vsWawrinka,1.21,1.59,54.7,2.4,24.2%,69.7%,10.3%,86.2%,35.3%,24.2%
2022 Paris R32,L vsRune,0.71,0.47,38.0,2.3,22.6%,58.1%,6.9%,62.1%,29.6%,22.7%
2022 Paris R64,W vsMannarino,1.20,1.16,63.6,2.7,16.7%,66.7%,36.8%,76.3%,25.7%,30.3%
2022 Vienna QF,L vsCoric,0.81,0.99,84.6,3.1,35.3%,76.5%,22.2%,75.6%,24.6%,34.5%
2022 Vienna R16,W vsRuusuvuori,1.14,1.52,47.9,2.1,28.6%,77.6%,16.3%,69.8%,36.0%,33.3%
2022 Vienna R32,W vsTiafoe,1.03,1.27,64.3,3.6,40.4%,84.6%,15.2%,54.3%,32.2%,41.1%
2022 Antwerp QF,L vsThiem,0.92,0.86,76.5,17.2,15.5%,65.5%,14.5%,76.4%,26.8%,28.0%
