Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2016 Columbus CH R16,L vsSmith,1.13,0.64,47.2,2.2,6.1%,42.4%,3.2%,58.1%,29.2%,27.3%
2016 Columbus CH R32,W vsGlasspool,1.30,1.49,53.9,2.1,14.3%,62.9%,6.1%,63.6%,38.2%,46.7%
2016 Davis Cup RR,L vsMayer,0.87,0.86,50.6,6.1,1.4%,59.5%,4.3%,54.3%,45.9%,38.8%
2016 Davis Cup RR,L vsStruff,1.05,0.78,40.1,2.6,1.8%,56.4%,2.0%,47.1%,34.7%,37.2%
2016 Genova CH R32,L vsPavlasek,0.76,0.69,44.1,3.4,0.0%,63.9%,2.9%,52.9%,46.9%,28.1%
2016 Poland F5 SF,L vsJanvier,0.91,0.67,43.6,2.8,0.0%,48.4%,6.9%,48.3%,36.7%,39.3%
2016 Poland F5 QF,W vsPanfil,1.08,1.25,57.9,2.0,4.9%,58.5%,2.6%,57.9%,44.7%,52.9%
2016 Poland F5 R16,W vsSorgi,1.03,1.32,49.1,2.0,2.8%,69.4%,3.3%,53.3%,54.1%,42.9%
2016 Poland F5 R32,W vsNazaruk,1.02,1.33,63.5,2.1,2.8%,66.7%,3.1%,65.6%,40.5%,48.6%
2016 Trnava CH QF,L vsSantillan,0.98,0.70,58.2,2.7,10.0%,62.5%,2.6%,57.9%,35.9%,20.0%
2016 Trnava CH R16,W vsGimeno Traver,1.19,1.18,92.1,16.1,0.0%,54.7%,0.0%,54.2%,42.9%,47.8%
2016 Trnava CH R32,W vsMelzer,0.94,1.39,60.5,4.0,9.5%,69.0%,10.8%,73.0%,52.6%,32.4%
2016 Prague CH R16,L vsGiraldo,0.98,0.60,38.6,2.1,3.3%,53.3%,11.5%,38.5%,25.9%,40.9%
2016 Prague CH R32,W vsSatral,1.11,1.27,56.1,4.7,11.3%,66.0%,5.9%,62.7%,40.9%,41.0%
2016 Tampere CH QF,L vsCoppejans,0.99,0.67,45.0,2.2,14.7%,47.1%,6.1%,51.5%,29.0%,40.0%
2016 Tampere CH R16,W vsGeens,0.72,1.97,45.3,2.8,10.0%,80.0%,6.3%,81.3%,48.5%,58.6%
2016 Tampere CH R32,W vsZopp,1.11,1.23,65.9,4.0,8.7%,69.6%,6.8%,61.4%,38.6%,37.5%
2016 Poznan CH R32,L vsKrstin,0.74,0.81,47.7,2.3,13.9%,61.1%,3.1%,62.5%,47.4%,36.8%
2016 Poland F4 R16,L vsNiklas Salminen,0.70,0.67,53.9,2.0,3.6%,57.1%,15.4%,61.5%,45.0%,32.5%
2016 Poland F4 R32,W vsThivant,1.09,2.38,37.0,2.3,9.5%,66.7%,5.0%,75.0%,65.0%,63.2%
2016 Poland F3 QF,L vsMajchrzak,0.92,0.66,44.0,2.1,10.3%,56.4%,0.0%,58.3%,21.2%,41.4%
2016 Poland F3 R32,W vsRoy,1.05,1.71,46.5,2.4,13.3%,83.3%,3.8%,57.7%,51.7%,40.7%
2016 Czech Republic F3 F,L vsMichalicka,0.83,0.90,86.9,5.8,9.3%,57.4%,2.0%,66.7%,35.7%,47.1%
2016 Czech Republic F3 SF,W vsMertl,1.24,1.66,44.0,2.2,0.0%,65.7%,3.3%,70.0%,42.9%,44.0%
2016 Le Gosier CH R16,L vsNishioka,1.04,0.50,33.6,2.0,14.3%,33.3%,0.0%,35.3%,31.8%,31.6%
2016 Le Gosier CH R32,W vsMilojevic,1.01,1.19,71.8,3.7,14.3%,62.5%,7.8%,68.6%,40.7%,40.4%
2016 USA F11 R32,L vsLaaksonen,0.87,0.73,46.7,2.7,2.6%,46.2%,11.1%,58.3%,33.3%,48.6%
2016 Davis Cup RR,L vsMayer,0.92,0.47,28.4,2.0,8.8%,57.9%,8.0%,58.0%,20.0%,23.1%
2016 Portugal F1 QF,L vsOrtega Olmedo,1.09,0.69,47.7,2.3,3.2%,38.7%,3.4%,58.6%,34.6%,30.4%
2016 Portugal F1 R32,W vsBoluda Purkiss,1.25,1.13,76.0,12.6,0.0%,59.7%,5.1%,62.7%,38.0%,31.9%
2016 Wroclaw CH R32,L vsLacko,0.94,0.81,67.8,6.5,17.2%,69.0%,10.9%,60.0%,26.9%,34.0%
2016 Great Britain F2 R16,W vsOakley,1.33,3.18,31.0,2.2,9.1%,68.2%,4.8%,76.2%,47.1%,87.5%
2016 Great Britain F2 R32,W vsCanter,1.11,1.69,44.6,2.0,3.3%,60.0%,3.7%,85.2%,37.5%,48.3%
2015 France F21 R32,L vsArends,0.89,0.83,68.9,6.2,9.8%,54.9%,0.0%,60.9%,40.7%,37.5%
2015 Portugal F12 F,L vsVivero Gonzalez,0.84,0.82,57.6,4.7,13.2%,58.5%,14.0%,72.0%,33.3%,35.3%
2015 Portugal F12 SF,W vsRodriguez,1.17,1.64,62.9,2.8,8.3%,72.2%,2.9%,73.5%,30.0%,46.8%
2015 Portugal F12 QF,W vsRuano,1.20,1.91,37.2,2.1,3.4%,65.5%,4.0%,68.0%,39.1%,68.2%
2015 Portugal F12 R16,W vsDomingues,1.24,1.22,64.9,2.4,2.0%,67.3%,0.0%,59.6%,30.2%,42.1%
2015 Portugal F12 R32,W vsYamada,1.14,2.36,42.4,2.4,12.0%,80.0%,9.5%,81.0%,40.0%,40.9%
2015 Szczecin CH R16,L vsCarreno Busta,0.84,0.81,63.6,11.2,7.1%,66.7%,2.9%,60.0%,35.7%,34.2%
2015 Szczecin CH R32,W vsLamasine,1.26,1.59,43.7,2.6,10.0%,56.7%,7.4%,74.1%,41.2%,48.3%
2015 Poland F5 F,W vsStanek,1.23,1.39,66.3,2.8,2.4%,56.1%,2.6%,71.1%,48.6%,33.3%
2015 Poland F3 R32,L vsGomez Herrera,0.87,0.76,47.9,11.4,2.3%,56.8%,0.0%,55.0%,35.7%,41.0%
2015 Poznan CH R32,L vsGhem,0.89,0.51,33.7,2.1,3.0%,48.5%,0.0%,46.9%,34.8%,25.0%
2015 Sweden F3 SF,L vsMadaras,0.87,0.91,82.5,4.8,2.1%,66.0%,0.0%,65.9%,33.9%,37.7%
