Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2023 US Open R32,W vsWawrinka,1.17,1.30,38.6,2.2,10.8%,60.0%,8.5%,62.7%,42.6%,43.4%
2023 US Open R64,W vsSonego,1.19,3.10,22.1,2.1,5.7%,85.7%,6.5%,83.9%,37.0%,41.9%
2023 US Open R128,W vsHanfmann,1.19,2.01,20.8,2.1,10.3%,66.7%,2.9%,74.3%,41.2%,59.2%
2023 Canada F,W vsDe Minaur,0.87,1.43,50.7,2.1,11.1%,66.7%,8.0%,64.0%,59.3%,53.8%
2023 Canada SF,W vsPaul,1.16,1.31,61.9,2.6,2.8%,69.4%,8.8%,47.1%,36.4%,58.1%
2023 Canada QF,W vsMonfils,1.22,1.25,58.6,2.1,6.4%,66.0%,4.8%,61.9%,28.9%,45.2%
2023 Canada R32,W vsBerrettini,1.35,1.60,47.7,2.6,6.1%,72.7%,26.7%,73.3%,30.8%,33.3%
2023 Wimbledon SF,L vsDjokovic,0.77,0.75,31.0,2.2,6.3%,68.8%,11.9%,66.7%,25.4%,37.7%
2023 Wimbledon QF,W vsSafiullin,0.98,1.54,37.5,2.1,23.4%,76.6%,7.3%,70.7%,49.1%,32.0%
2023 Wimbledon R16,W vsGalan,0.94,1.74,40.5,2.5,17.0%,83.0%,9.8%,73.2%,47.7%,32.3%
2023 Wimbledon R32,W vsHalys,1.06,1.47,36.6,3.3,15.4%,78.8%,2.2%,65.2%,30.0%,47.3%
2023 Wimbledon R64,W vsSchwartzman,1.02,1.66,32.4,2.3,20.5%,70.5%,15.4%,71.8%,46.3%,47.5%
2023 Wimbledon R128,W vsCerundolo,1.03,3.29,20.1,2.0,12.5%,90.6%,11.5%,76.9%,56.8%,41.9%
2023 Halle R16,W vsSonego,1.06,1.25,61.1,5.8,12.5%,69.6%,6.0%,72.0%,43.9%,24.5%
2023 Halle R32,W vsGasquet,0.99,1.29,59.4,2.0,8.3%,62.5%,15.6%,71.1%,41.0%,45.9%
2023 s Hertogenbosch QF,L vsRuusuvuori,0.80,0.46,36.5,2.1,3.3%,50.0%,7.4%,70.4%,27.6%,17.4%
2023 s Hertogenbosch R16,W vsBublik,0.96,1.78,49.1,2.4,15.4%,65.4%,26.1%,87.0%,46.2%,44.7%
2023 Roland Garros R64,L vsAltmaier,0.86,0.92,70.1,42.2,7.0%,66.0%,4.6%,60.9%,33.3%,44.4%
2023 Roland Garros R128,W vsMuller,1.34,2.47,20.5,2.2,10.5%,76.3%,3.1%,68.8%,44.4%,55.9%
2023 Rome R16,L vsCerundolo,1.00,0.78,50.1,4.2,2.2%,60.9%,2.4%,46.3%,36.7%,34.9%
2023 Rome R32,W vsShevchenko,0.94,1.27,59.3,2.8,2.3%,67.4%,0.0%,65.8%,45.1%,44.4%
2023 Rome R64,W vsKokkinakis,1.27,5.71,31.6,2.0,10.0%,85.0%,0.0%,95.0%,52.0%,37.5%
2023 Monte Carlo SF,L vsRune,0.88,0.84,75.1,4.7,0.0%,61.7%,1.8%,60.7%,33.3%,41.5%
2023 Monte Carlo QF,W vsMusetti,1.49,2.52,32.3,2.0,3.4%,48.3%,0.0%,92.3%,52.2%,52.6%
