Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2022 US Open SF,W vsKhachanov,89% (17/19),46% (6/13),3/5,1/1,40% (2/5),0/1,0/0,100% (6/6),17% (1/6)
2022 US Open QF,W vsBerrettini,72% (13/18),36% (5/14),3/9,1/3,78% (7/9),2/2,0/0,67% (4/6),60% (3/5)
2022 US Open R16,W vsMoutet,65% (17/26),41% (7/17),3/5,1/3,83% (5/6),0/1,0/0,67% (4/6),0% (0/5)
2022 US Open R32,W vsPaul,56% (22/39),39% (7/18),3/5,1/1,17% (1/6),4/6,0/0,75% (12/16),47% (7/15)
2022 US Open R64,W vsVan Rijthoven,95% (20/21),50% (4/8),3/3,1/1,86% (6/7),0/1,0/0,60% (3/5),17% (1/6)
2022 US Open R128,W vsEdmund,87% (13/15),43% (6/14),3/4,1/1,75% (6/8),0/0,0/0,- (0/0),- (0/0)
2022 Cincinnati R32,L vsShelton,50% (6/12),- (0/0),0/0,0/0,25% (1/4),0/2,0/1,- (0/0),- (0/0)
2022 Canada SF,L vsHurkacz,64% (9/14),38% (3/8),1/1,0/0,38% (3/8),1/3,1/2,- (0/0),- (0/0)
2022 Canada QF,W vsAuger Aliassime,78% (7/9),71% (5/7),2/3,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2022 Gstaad F,W vsBerrettini,82% (14/17),18% (2/11),2/3,1/1,80% (4/5),0/1,0/0,60% (3/5),67% (4/6)
2022 Gstaad SF,W vsRamos,64% (7/11),71% (5/7),2/4,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2022 Gstaad QF,W vsMunar,67% (10/15),29% (2/7),2/3,1/2,67% (4/6),2/2,0/0,82% (9/11),50% (5/10)
2022 Gstaad R16,W vsLehecka,100% (10/10),13% (2/15),2/2,1/1,100% (5/5),0/0,0/0,- (0/0),- (0/0)
2022 Wimbledon R64,L vsHumbert,54% (13/24),44% (4/9),1/1,0/0,45% (5/11),1/4,0/1,- (0/0),- (0/0)
2022 Wimbledon R128,W vsRamos,64% (14/22),27% (4/15),3/6,1/1,67% (4/6),5/5,0/0,71% (10/14),57% (8/14)
2022 Roland Garros F,L vsNadal,67% (4/6),67% (2/3),0/0,0/0,50% (8/16),4/7,1/2,- (0/0),- (0/0)
2022 Roland Garros SF,W vsCilic,70% (16/23),33% (5/15),3/5,1/1,78% (7/9),0/1,0/0,- (0/0),- (0/0)
2022 Roland Garros QF,W vsRune,63% (17/27),29% (5/17),3/4,1/2,50% (3/6),0/1,0/0,100% (4/4),60% (3/5)
2022 Roland Garros R16,W vsHurkacz,71% (15/21),60% (6/10),3/4,1/2,40% (2/5),0/1,0/0,- (0/0),- (0/0)
2022 Roland Garros R128,W vsTsonga,69% (20/29),40% (4/10),3/3,1/1,71% (5/7),2/3,0/0,69% (11/16),56% (9/16)
2022 Geneva F,W vsSousa,64% (14/22),25% (2/8),2/9,1/4,70% (7/10),0/1,0/0,100% (9/9),56% (5/9)
2022 Geneva SF,W vsOpelka,71% (12/17),100% (1/1),2/2,1/1,- (0/0),0/0,0/0,100% (5/5),50% (2/4)
2022 Geneva R16,W vsPaire,70% (7/10),50% (5/10),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2022 Rome SF,L vsDjokovic,67% (6/9),100% (1/1),0/0,0/0,56% (5/9),1/3,0/1,- (0/0),- (0/0)
2022 Rome QF,W vsShapovalov,55% (12/22),7% (1/15),2/3,1/1,100% (2/2),2/2,0/0,88% (7/8),25% (2/8)
2022 Rome R16,W vsBrooksby,67% (10/15),33% (2/6),2/5,1/1,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2022 Rome R32,W vsVan De Zandschulp,64% (14/22),31% (4/13),2/3,1/1,80% (4/5),0/1,0/0,60% (3/5),17% (1/6)
2022 Munich QF,L vsVan De Zandschulp,60% (6/10),0% (0/1),0/0,0/0,60% (6/10),0/2,0/1,- (0/0),- (0/0)
2022 Munich R16,W vsMolcan,63% (12/19),30% (3/10),2/2,1/1,63% (5/8),1/2,0/0,- (0/0),- (0/0)
2022 Barcelona R32,W vsNakashima,38% (8/21),67% (4/6),2/5,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2022 Monte Carlo R16,L vsDimitrov,58% (7/12),50% (1/2),0/0,0/0,56% (5/9),3/5,2/3,- (0/0),- (0/0)
2022 Monte Carlo R32,W vsRune,60% (9/15),80% (4/5),2/2,1/1,40% (2/5),0/0,0/0,67% (4/6),50% (3/6)
2022 Miami F,L vsAlcaraz,50% (7/14),25% (2/8),0/0,0/0,56% (5/9),2/4,0/1,- (0/0),- (0/0)
2022 Miami SF,W vsCerundolo,62% (8/13),50% (4/8),2/3,1/1,80% (4/5),0/0,0/0,- (0/0),- (0/0)
2022 Miami QF,W vsZverev,92% (11/12),40% (2/5),2/2,1/1,50% (2/4),0/1,0/0,- (0/0),- (0/0)
2022 Miami R32,W vsBublik,82% (9/11),43% (3/7),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2022 Indian Wells R32,L vsKyrgios,57% (8/14),- (0/0),0/0,0/0,0% (0/2),2/4,0/1,- (0/0),- (0/0)
2022 Buenos Aires F,W vsSchwartzman,87% (13/15),24% (4/17),2/3,1/1,50% (2/4),0/1,0/0,- (0/0),- (0/0)
2021 Tour Finals SF,L vsMedvedev,55% (6/11),- (0/0),0/0,0/0,67% (6/9),0/2,0/1,- (0/0),- (0/0)
2021 Tour Finals RR,L vsDjokovic,70% (7/10),100% (1/1),0/0,0/0,40% (2/5),3/5,1/2,33% (2/6),40% (2/5)
2021 Tour Finals RR,W vsNorrie,69% (11/16),40% (2/5),2/5,1/4,0% (0/2),2/3,0/0,- (0/0),- (0/0)
2021 Tour Finals RR,W vsRublev,57% (12/21),60% (3/5),2/4,1/2,64% (7/11),2/3,0/0,83% (5/6),33% (2/6)
2021 Paris QF,L vsZverev,75% (9/12),0% (0/3),0/0,0/0,80% (8/10),0/2,0/1,- (0/0),- (0/0)
2021 Paris R16,W vsGiron,62% (8/13),57% (4/7),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2021 Paris R32,W vsBublik,60% (6/10),38% (6/16),2/3,1/2,67% (4/6),0/0,0/0,- (0/0),- (0/0)
2021 Vienna QF,L vsSinner,71% (5/7),20% (1/5),0/0,0/0,58% (7/12),2/4,0/1,- (0/0),- (0/0)
2021 San Diego F,W vsNorrie,78% (7/9),83% (5/6),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2021 US Open R64,L vsVan De Zandschulp,68% (15/22),17% (2/12),1/3,0/0,56% (5/9),3/6,1/2,- (0/0),- (0/0)
2021 US Open R128,W vsSugita,72% (13/18),42% (5/12),3/6,1/3,100% (4/4),0/0,0/0,- (0/0),- (0/0)
