Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2018 St. Petersburg QF,L vsThiem,100% (12/12),67% (2/3),1/1,0/0,80% (12/15),2/4,2/3,25% (1/4),20% (1/5)
2018 St. Petersburg R16,W vsKukushkin,64% (9/14),60% (3/5),2/4,1/2,80% (4/5),0/0,0/0,- (0/0),- (0/0)
2018 St. Petersburg R32,W vsSousa,100% (8/8),100% (4/4),2/2,1/1,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2018 US Open R32,L vsCoric,73% (8/11),33% (2/6),0/0,0/0,54% (7/13),0/3,0/1,- (0/0),- (0/0)
2018 US Open R64,W vsTsitsipas,84% (16/19),50% (6/12),3/4,1/1,63% (5/8),0/1,0/0,- (0/0),- (0/0)
2018 US Open R128,W vsDonskoy,71% (15/21),31% (4/13),3/6,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2018 Winston-Salem F,W vsJohnson,56% (10/18),25% (2/8),2/8,1/4,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2018 Winston-Salem SF,W vsDaniel,88% (7/8),42% (5/12),2/7,1/4,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2018 Winston-Salem QF,W vsHarrison,59% (10/17),50% (2/4),2/4,1/2,50% (1/2),0/0,0/0,83% (5/6),40% (2/5)
2018 Winston-Salem R16,W vsAndreozzi,53% (8/15),38% (5/13),2/4,1/2,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2018 Winston-Salem R32,W vsDe Minaur,62% (8/13),27% (4/15),2/3,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2018 Winston-Salem R64,W vsBasic,78% (7/9),50% (5/10),2/4,1/3,63% (5/8),0/0,0/0,- (0/0),- (0/0)
2018 Cincinnati R64,L vsCoric,56% (5/9),0% (0/2),0/0,0/0,40% (2/5),1/3,1/2,- (0/0),- (0/0)
2018 Canada R16,L vsZverev,63% (5/8),- (0/0),0/0,0/0,0% (0/3),0/2,0/1,- (0/0),- (0/0)
2018 Canada R32,W vsAuger Aliassime,63% (12/19),33% (3/9),2/4,1/3,50% (4/8),0/1,0/0,63% (5/8),50% (4/8)
2018 Canada R64,W vsSock,71% (12/17),33% (3/9),2/2,1/1,82% (9/11),1/2,0/0,- (0/0),- (0/0)
2018 Washington R32,L vsShapovalov,45% (9/20),25% (2/8),1/4,0/0,60% (6/10),1/3,0/1,- (0/0),- (0/0)
2018 Washington R64,W vsWatanuki,55% (11/20),38% (5/13),2/2,1/1,63% (5/8),2/3,1/1,- (0/0),- (0/0)
2018 Wimbledon R32,L vsMannarino,67% (16/24),64% (7/11),2/4,0/0,36% (5/14),0/3,0/1,- (0/0),- (0/0)
2018 Wimbledon R64,W vsGarcia Lopez,78% (14/18),44% (4/9),3/5,1/2,100% (5/5),0/0,0/0,- (0/0),- (0/0)
2018 Wimbledon R128,W vsCoric,62% (13/21),50% (5/10),3/5,1/3,75% (3/4),1/1,0/0,71% (5/7),43% (3/7)
2018 Eastbourne R32,L vsJohnson,46% (6/13),0% (0/3),0/0,0/0,63% (5/8),0/2,0/1,- (0/0),- (0/0)
2018 Queen's Club R16,L vsChardy,50% (9/18),- (0/0),0/0,0/0,67% (2/3),2/4,1/2,43% (3/7),43% (3/7)
2018 Queen's Club R32,W vsSock,73% (11/15),100% (2/2),2/2,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2018 s Hertogenbosch R16,L vsVerdasco,57% (4/7),25% (1/4),0/0,0/0,33% (2/6),1/3,0/1,- (0/0),- (0/0)
2018 s Hertogenbosch R32,W vsBhambri,80% (8/10),67% (4/6),2/2,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2018 Roland Garros R128,L vsPouille,38% (8/21),25% (1/4),0/0,0/0,44% (4/9),1/4,0/1,- (0/0),- (0/0)
2018 Rome R64,L vsHaase,50% (6/12),63% (5/8),1/1,0/0,22% (2/9),0/2,0/1,- (0/0),- (0/0)
2018 Madrid R64,L vsEdmund,57% (4/7),0% (0/7),0/0,0/0,43% (3/7),1/3,0/1,- (0/0),- (0/0)
2018 Estoril R32,L vsSousa,67% (8/12),60% (3/5),0/0,0/0,50% (4/8),0/2,0/1,25% (1/4),0% (0/4)
2018 Monte Carlo R32,L vsNishikori,43% (6/14),17% (1/6),0/0,0/0,60% (6/10),2/4,2/3,- (0/0),- (0/0)
2018 Monte Carlo R64,W vsFucsovics,60% (15/25),29% (4/14),2/7,1/1,88% (7/8),1/2,0/0,60% (3/5),17% (1/6)
2018 Davis Cup RR,W vsOfner,89% (8/9),100% (4/4),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2018 Miami R64,L vsZverev,59% (13/22),27% (3/11),1/4,0/0,75% (6/8),2/4,0/1,50% (3/6),33% (2/6)
2018 Miami R128,W vsTsitsipas,67% (10/15),33% (4/12),2/3,1/2,57% (4/7),0/1,0/0,- (0/0),- (0/0)
2018 Indian Wells R32,L vsCarreno Busta,50% (5/10),8% (1/12),0/0,0/0,50% (4/8),6/8,4/5,- (0/0),- (0/0)
2018 Indian Wells R64,W vsBerrettini,68% (15/22),40% (4/10),2/7,1/1,83% (10/12),1/2,0/0,43% (3/7),43% (3/7)
2018 Indian Wells R128,W vsJohnson,77% (10/13),40% (2/5),2/4,1/3,50% (1/2),0/0,0/0,100% (4/4),100% (3/3)
2018 Rotterdam QF,L vsSeppi,67% (12/18),43% (3/7),1/1,0/0,63% (5/8),3/5,3/4,80% (4/5),0% (0/6)
