Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2012 Miami R64,W vsBaghdatis,56% (10/18),67% (2/3),2/3,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2012 Indian Wells SF,L vsIsner,67% (16/24),33% (2/6),1/1,0/0,50% (1/2),6/8,3/4,64% (9/14),21% (3/14)
2012 Indian Wells QF,W vsAlmagro,69% (9/13),43% (3/7),2/2,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2012 Indian Wells R16,W vsAndujar,52% (13/25),100% (5/5),2/2,1/1,100% (8/8),2/3,0/0,33% (2/6),50% (3/6)
2012 Indian Wells R32,W vsAnderson,43% (9/21),50% (3/6),2/4,1/3,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2012 Indian Wells R64,W vsGolubev,73% (8/11),50% (4/8),2/4,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2012 Dubai SF,L vsMurray,86% (6/7),33% (1/3),0/0,0/0,20% (1/5),1/3,0/1,- (0/0),- (0/0)
2012 Dubai QF,W vsTipsarevic,91% (10/11),40% (2/5),2/2,1/1,- (0/0),1/1,0/0,57% (4/7),57% (4/7)
2012 Dubai R16,W vsStakhovsky,91% (10/11),50% (2/4),2/2,1/1,50% (1/2),0/0,0/0,50% (3/6),67% (4/6)
2012 Dubai R32,W vsStebe,69% (9/13),33% (3/9),2/4,1/2,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2012 Australian Open SF,W vsMurray,61% (17/28),42% (11/26),3/6,1/1,71% (17/24),1/3,0/0,20% (1/5),50% (3/6)
2012 Australian Open QF,W vsFerrer,87% (13/15),42% (5/12),3/4,1/1,50% (2/4),0/0,0/0,67% (4/6),60% (3/5)
2012 Australian Open R16,W vsHewitt,67% (14/21),67% (8/12),3/6,1/2,33% (2/6),3/4,0/0,- (0/0),- (0/0)
2012 Australian Open R32,W vsMahut,91% (10/11),62% (8/13),3/4,1/2,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2012 Australian Open R64,W vsGiraldo,73% (11/15),54% (7/13),3/3,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2012 Australian Open R128,W vsLorenzi,47% (9/19),69% (9/13),3/4,1/1,80% (4/5),0/0,0/0,- (0/0),- (0/0)
2011 Tour Finals RR,L vsTipsarevic,77% (10/13),50% (2/4),1/3,0/0,43% (3/7),3/5,2/3,- (0/0),- (0/0)
2011 Tour Finals RR,W vsBerdych,75% (12/16),38% (3/8),2/2,1/1,57% (4/7),1/2,1/1,60% (3/5),80% (4/5)
2011 Tour Finals RR,L vsFerrer,33% (4/12),0% (0/1),0/0,0/0,43% (3/7),0/2,0/1,- (0/0),- (0/0)
2011 Paris R32,W vsDodig,67% (10/15),40% (2/5),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2011 Basel SF,L vsNishikori,57% (8/14),57% (4/7),1/1,0/0,29% (2/7),0/2,0/1,60% (3/5),17% (1/6)
2011 Basel QF,W vsBaghdatis,69% (11/16),100% (3/3),2/2,1/1,33% (1/3),0/1,0/0,- (0/0),- (0/0)
2011 Basel R16,W vsKubot,67% (8/12),57% (4/7),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2011 Basel R32,W vsMalisse,93% (13/14),40% (4/10),2/6,1/2,75% (6/8),1/2,0/0,- (0/0),- (0/0)
2011 US Open F,W vsNadal,65% (13/20),42% (11/26),3/3,1/1,57% (8/14),0/1,0/0,40% (2/5),20% (1/5)
2011 US Open SF,W vsFederer,77% (23/30),50% (6/12),3/8,1/1,40% (2/5),6/8,2/2,50% (4/8),38% (3/8)
2011 US Open R16,W vsDolgopolov,76% (13/17),71% (5/7),3/8,1/1,67% (4/6),4/4,0/0,67% (10/15),40% (6/15)
2011 US Open R16,W vsDolgopolov,76% (13/17),71% (5/7),3/8,1/1,67% (4/6),4/4,0/0,67% (10/15),40% (6/15)
2011 US Open R16,W vsDolgopolov,76% (13/17),71% (5/7),3/8,1/1,67% (4/6),4/4,0/0,67% (10/15),40% (6/15)
2011 US Open R32,W vsDavydenko,68% (13/19),42% (5/12),3/4,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2011 US Open R32,W vsDavydenko,68% (13/19),42% (5/12),3/4,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2011 US Open R32,W vsDavydenko,68% (13/19),42% (5/12),3/4,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2011 US Open R32,W vsDavydenko,68% (13/19),42% (5/12),3/4,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2011 US Open R64,W vsBerlocq,73% (8/11),50% (10/20),3/8,1/3,50% (2/4),0/0,0/0,- (0/0),- (0/0)
