Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2019 Tour Finals RR,L vsNadal,65% (15/23),- (0/0),1/1,0/0,78% (7/9),2/4,0/1,67% (4/6),60% (3/5)
2019 Tour Finals RR,W vsMedvedev,69% (11/16),25% (1/4),2/2,1/1,- (0/0),0/0,0/0,67% (4/6),50% (3/6)
2019 Tour Finals RR,W vsZverev,69% (9/13),43% (3/7),2/3,1/2,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2019 Paris QF,L vsDjokovic,75% (3/4),- (0/0),0/0,0/0,56% (5/9),4/6,0/1,- (0/0),- (0/0)
2019 Basel SF,L vsFederer,73% (8/11),0% (0/1),0/0,0/0,75% (6/8),0/2,0/1,- (0/0),- (0/0)
2019 Shanghai SF,L vsMedvedev,67% (10/15),20% (1/5),0/0,0/0,33% (1/3),0/2,0/1,83% (5/6),0% (0/6)
2019 Shanghai QF,W vsDjokovic,58% (14/24),29% (2/7),2/4,1/3,0% (0/1),0/1,0/0,- (0/0),- (0/0)
2019 Shanghai R16,W vsHurkacz,75% (15/20),50% (1/2),2/4,1/3,80% (4/5),5/6,0/0,83% (5/6),33% (2/6)
2019 Shanghai R32,W vsAuger Aliassime,58% (11/19),17% (1/6),2/4,1/1,67% (2/3),0/0,0/0,90% (9/10),50% (5/10)
2019 Beijing F,L vsThiem,62% (8/13),38% (3/8),1/2,0/0,64% (9/14),2/4,0/1,- (0/0),- (0/0)
2019 Beijing SF,W vsZverev,53% (8/15),50% (4/8),2/7,1/6,57% (4/7),3/3,0/0,57% (4/7),57% (4/7)
2019 Beijing QF,W vsIsner,85% (11/13),50% (1/2),2/2,1/1,100% (1/1),0/0,0/0,100% (5/5),40% (2/5)
2019 Beijing R32,W vsLajovic,65% (13/20),43% (3/7),2/2,1/1,33% (1/3),1/2,0/0,- (0/0),- (0/0)
2019 US Open R128,L vsRublev,56% (18/32),23% (3/13),1/3,0/0,75% (15/20),1/4,0/1,57% (8/14),43% (6/14)
2019 Cincinnati R32,L vsStruff,56% (15/27),25% (1/4),1/1,0/0,43% (3/7),3/7,3/4,77% (10/13),46% (6/13)
2019 Canada R32,L vsHurkacz,86% (12/14),10% (1/10),1/3,0/0,0% (0/3),0/2,0/1,- (0/0),- (0/0)
2019 Washington SF,L vsKyrgios,72% (13/18),27% (3/11),1/5,0/1,67% (4/6),1/3,1/2,63% (5/8),25% (2/8)
2019 Washington R16,W vsThompson,79% (11/14),14% (1/7),2/2,1/1,100% (4/4),1/1,0/0,83% (5/6),40% (2/5)
2019 Washington R32,W vsPaul,77% (10/13),38% (3/8),2/4,1/3,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2019 Wimbledon R128,L vsFabbiano,62% (21/34),20% (2/10),2/4,0/0,55% (6/11),3/6,2/3,78% (7/9),33% (3/9)
2019 Queen's Club QF,L vsAuger Aliassime,70% (7/10),0% (0/7),0/0,0/0,40% (2/5),1/3,0/1,- (0/0),- (0/0)
2019 Queen's Club R32,W vsEdmund,63% (10/16),33% (3/9),2/8,1/7,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2019 s Hertogenbosch R16,L vsJarry,62% (13/21),17% (1/6),1/3,0/0,0% (0/3),0/2,0/1,- (0/0),- (0/0)
2019 Roland Garros R16,L vsWawrinka,59% (24/41),19% (5/27),2/8,0/0,64% (9/14),3/6,1/2,57% (4/7),29% (2/7)
2019 Roland Garros R16,L vsWawrinka,59% (24/41),19% (5/27),2/8,0/0,64% (9/14),3/6,1/2,57% (4/7),29% (2/7)
2019 Roland Garros R32,W vsKrajinovic,64% (18/28),50% (7/14),3/4,1/1,69% (11/16),4/6,0/0,69% (9/13),31% (4/13)
2019 Roland Garros R64,W vsDellien,56% (15/27),50% (8/16),3/8,1/4,67% (6/9),0/1,0/0,- (0/0),- (0/0)
2019 Roland Garros R64,W vsDellien,56% (15/27),50% (8/16),3/8,1/4,67% (6/9),0/1,0/0,- (0/0),- (0/0)
2019 Roland Garros R128,W vsMarterer,70% (14/20),67% (4/6),3/5,1/1,- (0/0),0/0,0/0,83% (5/6),40% (2/5)
2019 Rome SF,L vsNadal,70% (7/10),0% (0/2),0/0,0/0,50% (2/4),0/2,0/1,- (0/0),- (0/0)
2019 Rome R16,W vsFognini,100% (8/8),57% (4/7),2/2,1/1,0% (0/2),0/0,0/0,- (0/0),- (0/0)
2019 Rome R32,W vsSinner,62% (8/13),67% (4/6),2/2,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2019 Madrid F,L vsDjokovic,70% (7/10),- (0/0),0/0,0/0,60% (3/5),4/6,3/4,- (0/0),- (0/0)
2019 Madrid SF,W vsNadal,62% (8/13),43% (6/14),2/5,1/4,69% (11/16),2/3,0/0,- (0/0),- (0/0)
2019 Madrid QF,W vsZverev,68% (13/19),38% (3/8),2/5,1/2,80% (4/5),0/1,0/0,- (0/0),- (0/0)
2019 Madrid R16,W vsVerdasco,64% (9/14),60% (3/5),2/8,1/3,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2019 Madrid R32,W vsMannarino,90% (9/10),57% (4/7),2/3,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2019 Estoril F,W vsCuevas,50% (10/20),50% (2/4),2/5,1/4,50% (1/2),1/1,0/0,83% (5/6),40% (2/5)
2019 Estoril SF,W vsGoffin,83% (10/12),42% (5/12),2/3,1/2,62% (8/13),2/3,0/0,- (0/0),- (0/0)
2019 Estoril QF,W vsDomingues,82% (9/11),33% (3/9),2/3,1/1,50% (2/4),0/0,0/0,60% (3/5),80% (4/5)
2019 Estoril R16,W vsAndreozzi,69% (9/13),33% (3/9),2/3,1/2,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2019 Barcelona R16,L vsStruff,59% (10/17),33% (2/6),1/1,0/0,60% (6/10),5/7,2/3,- (0/0),- (0/0)
2019 Barcelona R32,W vsFucsovics,80% (8/10),80% (4/5),2/3,1/1,0% (0/2),0/0,0/0,- (0/0),- (0/0)
2019 Monte Carlo R16,L vsMedvedev,82% (9/11),75% (3/4),1/1,0/0,50% (4/8),2/4,1/2,- (0/0),- (0/0)
2019 Monte Carlo R32,W vsKukushkin,60% (9/15),36% (4/11),2/4,1/2,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2019 Miami R16,L vsShapovalov,68% (13/19),50% (2/4),1/2,0/0,67% (4/6),0/2,0/1,40% (2/5),20% (1/5)
2019 Miami R32,W vsMayer,67% (10/15),18% (2/11),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2019 Miami R64,W vsMcdonald,100% (8/8),50% (4/8),2/4,1/2,50% (1/2),0/0,0/0,80% (4/5),50% (3/6)
2019 Indian Wells R64,L vsAuger Aliassime,50% (6/12),0% (0/7),0/0,0/0,0% (0/3),0/2,0/1,- (0/0),- (0/0)
2019 Dubai F,L vsFederer,89% (8/9),0% (0/2),0/0,0/0,0% (0/2),3/5,0/1,- (0/0),- (0/0)
2019 Dubai SF,W vsMonfils,56% (14/25),20% (2/10),2/3,1/1,79% (11/14),1/2,0/0,73% (8/11),55% (6/11)
2019 Dubai QF,W vsHurkacz,74% (14/19),80% (4/5),2/3,1/1,78% (7/9),1/2,0/0,67% (6/9),20% (2/10)
2019 Dubai R16,W vsGerasimov,73% (8/11),50% (4/8),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2019 Dubai R32,W vsEbden,86% (12/14),60% (3/5),2/2,1/1,50% (2/4),1/2,0/0,- (0/0),- (0/0)
2019 Marseille F,W vsKukushkin,65% (11/17),40% (2/5),2/2,1/1,75% (3/4),0/0,0/0,100% (6/6),17% (1/6)
2019 Marseille SF,W vsGoffin,82% (9/11),100% (3/3),2/2,1/1,0% (0/1),0/0,0/0,100% (4/4),75% (3/4)
2019 Marseille QF,W vsStakhovsky,67% (10/15),33% (2/6),2/4,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2019 Marseille R16,W vsHurkacz,82% (9/11),60% (3/5),2/3,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2019 Rotterdam R32,L vsDzumhur,83% (10/12),63% (5/8),1/1,0/0,50% (5/10),2/4,2/3,- (0/0),- (0/0)
2019 Sofia QF,L vsMonfils,60% (9/15),- (0/0),0/0,0/0,75% (6/8),2/4,0/1,67% (4/6),17% (1/6)
2019 Sofia R16,W vsStruff,65% (11/17),20% (1/5),2/5,1/2,100% (1/1),0/0,0/0,67% (4/6),50% (3/6)
2019 Australian Open SF,L vsNadal,60% (6/10),0% (0/1),0/0,0/0,45% (5/11),0/3,0/1,- (0/0),- (0/0)
2019 Australian Open QF,W vsBautista Agut,61% (19/31),36% (4/11),3/7,1/2,25% (1/4),0/1,0/0,60% (3/5),100% (4/4)
2019 Australian Open R16,W vsFederer,63% (24/38),33% (1/3),3/6,1/1,100% (12/12),7/8,0/0,78% (18/23),30% (7/23)
2019 Australian Open R32,W vsBasilashvili,69% (18/26),50% (3/6),3/8,1/2,50% (2/4),2/3,0/0,88% (7/8),25% (2/8)
2019 Australian Open R64,W vsTroicki,65% (17/26),21% (4/19),3/3,1/1,50% (2/4),0/1,0/0,- (0/0),- (0/0)
2019 Australian Open R128,W vsBerrettini,72% (21/29),43% (3/7),3/5,1/1,100% (2/2),2/3,0/0,70% (7/10),27% (3/11)
2019 Sydney QF,L vsSeppi,52% (13/25),14% (1/7),1/2,0/0,60% (3/5),2/4,0/1,- (0/0),- (0/0)
2019 Sydney R16,W vsAndreozzi,69% (9/13),60% (3/5),2/6,1/5,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2018 NextGen Finals F,W vsDe Minaur,69% (9/13),60% (3/5),3/3,1/1,0% (0/2),0/0,0/0,90% (9/10),50% (5/10)
2018 Paris R32,L vsDzumhur,57% (4/7),100% (2/2),0/0,0/0,38% (3/8),3/5,3/4,- (0/0),- (0/0)
2018 Basel QF,L vsMedvedev,57% (12/21),25% (1/4),1/2,0/0,60% (3/5),0/2,0/1,- (0/0),- (0/0)
2018 Basel R16,W vsGojowczyk,89% (8/9),67% (4/6),2/2,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2018 Basel R32,W vsChardy,90% (9/10),43% (3/7),2/5,1/3,50% (1/2),0/0,0/0,100% (5/5),40% (2/5)
2018 Stockholm F,W vsGulbis,91% (10/11),100% (2/2),2/2,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2018 Stockholm SF,W vsFognini,60% (9/15),30% (3/10),2/6,1/1,100% (4/4),0/0,0/0,- (0/0),- (0/0)
2018 Stockholm QF,W vsKohlschreiber,71% (10/14),40% (2/5),2/3,1/2,75% (3/4),2/2,0/0,83% (5/6),40% (2/5)
2018 Stockholm R16,W vsMillman,63% (12/19),60% (3/5),2/3,1/1,71% (5/7),0/1,0/0,- (0/0),- (0/0)
2018 Shanghai R16,L vsAnderson,50% (9/18),33% (1/3),0/0,0/0,50% (2/4),1/3,0/1,25% (1/4),0% (0/4)
2018 Shanghai R32,W vsKhachanov,71% (10/14),50% (2/4),2/4,1/2,75% (3/4),3/3,0/0,89% (8/9),22% (2/9)
2018 Shanghai R64,W vsMonfils,68% (13/19),38% (3/8),2/7,1/2,73% (8/11),6/7,0/0,67% (4/6),60% (3/5)
2018 Tokyo QF,L vsNishikori,50% (5/10),100% (1/1),0/0,0/0,64% (7/11),3/5,2/3,- (0/0),- (0/0)
2018 Tokyo R16,W vsDe Minaur,69% (11/16),30% (6/20),2/7,1/4,50% (3/6),1/2,0/0,- (0/0),- (0/0)
