Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],11,7-4,63.6%,64.4%,62.9%,76,11.1%,28,4.1%,11.5%,64.4%,74.0%,47.1%,53.2%,82.9%,6.2,2.2,21,Jakub Mensik[CZE],11,38.4%,39.6%,6.8%,2.4%,33.3%,48.8%,28.3%,6.3,2.4,46.0,62.1,21,Jakub Mensik[CZE],11,44.8%,30,67,0.63,2.8,6.1,1.25,2.7,63.5%,33,52,0.47,2.2,4.7,0.79,1.7,21,Jakub Mensik[CZE],11,1.08,1350,51.6%,3,1-2,33.3%,12.5%,24,16-8,66.7%,217,122-95,56.2%,1:14,33.9,36.1
22,Ugo Humbert[FRA],9,2-7,22.2%,64.2%,64.2%,47,5.8%,26,3.2%,8.1%,60.2%,74.0%,49.4%,53.7%,80.8%,6.2,2.2,22,Ugo Humbert[FRA],9,34.5%,34.6%,6.7%,3.4%,29.2%,44.4%,15.0%,6.5,2.2,49.0,63.1,22,Ugo Humbert[FRA],9,28.8%,19,66,0.52,2.5,7.3,0.73,2.1,56.9%,33,58,0.45,2.2,6.4,0.96,2.8,22,Ugo Humbert[FRA],9,0.96,1631,49.2%,5,3-2,60.0%,19.2%,26,10-16,38.5%,257,124-133,48.2%,1:30,31.0,29.7
23,Sebastian Korda[USA],8,4-4,50.0%,63.4%,62.7%,44,6.5%,18,2.6%,6.9%,62.0%,69.0%,54.4%,58.5%,80.8%,6.5,2.4,23,Sebastian Korda[USA],8,35.7%,35.5%,3.4%,2.1%,32.6%,41.8%,20.0%,6.2,2.2,35.0,136.6,23,Sebastian Korda[USA],8,46.7%,21,45,0.43,2.0,5.6,0.95,2.6,63.0%,34,54,0.52,2.5,6.8,0.91,2.5,23,Sebastian Korda[USA],8,0.98,1336,49.9%,4,1-3,25.0%,18.2%,22,10-12,45.5%,209,105-104,50.2%,0:59,21.4,21.1
24,Karen Khachanov[RUS],9,5-4,55.6%,62.7%,62.4%,40,5.1%,21,2.7%,7.2%,62.7%,69.6%,51.0%,55.0%,75.2%,6.2,2.3,24,Karen Khachanov[RUS],9,39.4%,40.2%,6.2%,2.9%,32.0%,52.2%,27.4%,6.5,2.5,57.0,61.6,24,Karen Khachanov[RUS],9,36.2%,34,94,0.76,3.8,10.4,1.36,3.8,59.2%,45,76,0.61,3.0,8.4,1.24,3.4,24,Karen Khachanov[RUS],9,1.06,1579,50.9%,4,3-1,75.0%,16.0%,25,15-10,60.0%,249,128-121,51.4%,1:31,32.8,31.1
25,Alexei Popyrin[AUS],11,5-6,45.5%,62.7%,62.7%,76,8.6%,45,5.1%,14.5%,65.0%,72.2%,45.2%,52.8%,79.5%,6.7,2.5,25,Alexei Popyrin[AUS],11,35.0%,35.5%,7.1%,3.1%,26.5%,46.9%,18.1%,6.6,2.3,42.0,61.8,25,Alexei Popyrin[AUS],11,30.9%,25,81,0.59,2.8,7.4,0.86,2.3,66.3%,53,80,0.61,2.8,7.3,0.93,2.5,25,Alexei Popyrin[AUS],11,0.94,1792,48.7%,5,2-3,40.0%,17.2%,29,13-16,44.8%,270,130-140,48.1%,1:21,30.6,29.7
26,Alejandro Davidovich Fokina[ESP],12,8-4,66.7%,62.4%,62.3%,34,3.2%,20,1.9%,5.5%,66.2%,66.7%,54.0%,57.1%,80.4%,6.8,2.6,26,Alejandro Davidovich Fokina[ESP],12,42.4%,42.7%,6.4%,4.3%,35.1%,53.8%,34.2%,6.4,2.7,20.5,38.3,26,Alejandro Davidovich Fokina[ESP],12,46.1%,53,115,0.74,3.6,9.6,1.66,4.4,72.1%,80,111,0.70,3.5,9.3,0.97,2.6,26,Alejandro Davidovich Fokina[ESP],12,1.13,2065,52.8%,8,2-6,25.0%,25.0%,32,20-12,62.5%,313,180-133,57.5%,1:34,35.1,32.7
27,Felix Auger Aliassime[CAN],15,8-7,53.3%,67.3%,67.3%,96,8.8%,46,4.2%,12.0%,64.9%,75.5%,52.2%,59.3%,82.8%,6.5,2.1,27,Felix Auger Aliassime[CAN],15,39.5%,39.3%,3.8%,2.9%,32.7%,52.9%,26.3%,7.2,2.8,70.0,64.6,27,Felix Auger Aliassime[CAN],15,35.7%,45,126,0.74,3.3,8.4,1.18,3.0,64.6%,53,82,0.49,2.2,5.5,0.76,1.9,27,Felix Auger Aliassime[CAN],15,1.21,2316,52.6%,8,2-6,25.0%,21.1%,38,21-17,55.3%,340,185-155,54.4%,0:44,17.3,17.0
28,Denis Shapovalov[CAN],9,4-5,44.4%,67.3%,68.2%,66,9.1%,40,5.5%,14.1%,60.8%,72.8%,58.8%,68.4%,88.6%,6.4,2.1,28,Denis Shapovalov[CAN],9,33.2%,32.9%,2.4%,1.7%,33.5%,32.7%,17.1%,6.4,2.1,45.0,99.8,28,Denis Shapovalov[CAN],9,41.7%,20,48,0.41,2.0,5.3,0.83,2.2,72.3%,34,47,0.41,2.0,5.2,0.54,1.4,28,Denis Shapovalov[CAN],9,1.02,1477,50.0%,7,1-6,14.3%,29.2%,24,12-12,50.0%,231,121-110,52.4%,1:01,22.9,22.3
29,Brandon Nakashima[USA],10,5-5,50.0%,65.9%,62.7%,86,10.6%,10,1.2%,3.6%,66.1%,72.6%,52.7%,54.7%,84.0%,6.2,2.1,29,Brandon Nakashima[USA],10,36.4%,36.7%,6.6%,3.4%,28.3%,51.0%,18.3%,6.6,2.4,50.5,67.2,29,Brandon Nakashima[USA],10,39.7%,23,58,0.46,2.2,5.8,0.88,2.3,57.1%,28,49,0.37,1.9,4.9,0.81,2.1,29,Brandon Nakashima[USA],10,1.07,1642,51.0%,5,2-3,40.0%,19.2%,26,14-12,53.8%,257,133-124,51.8%,1:25,32.5,30.9
30,Matteo Berrettini[ITA],15,13-2,86.7%,71.9%,70.2%,101,10.3%,19,1.9%,7.0%,72.3%,79.0%,53.3%,57.3%,91.4%,6.0,1.7,30,Matteo Berrettini[ITA],15,36.4%,36.1%,5.3%,3.5%,30.5%,47.2%,18.6%,6.7,2.5,62.0,69.7,30,Matteo Berrettini[ITA],15,38.0%,30,79,0.49,2.5,5.3,0.97,2.0,70.8%,34,48,0.29,1.5,3.2,0.45,0.9,30,Matteo Berrettini[ITA],15,1.30,2068,53.3%,12,10-2,83.3%,38.7%,31,26-5,83.9%,324,179-145,55.2%,1:44,50.2,45.2
31,Hubert Hurkacz[POL],5,3-2,60.0%,68.4%,65.1%,70,12.5%,9,1.6%,4.5%,64.5%,76.8%,53.3%,55.8%,88.9%,6.2,2.0,31,Hubert Hurkacz[POL],5,36.8%,36.4%,6.0%,4.1%,28.9%,47.9%,18.4%,6.7,2.5,84.0,87.2,31,Hubert Hurkacz[POL],5,33.3%,16,48,0.55,2.7,9.6,0.89,3.2,72.2%,26,36,0.40,2.0,7.2,0.56,2.0,31,Hubert Hurkacz[POL],5,1.17,1145,52.3%,5,2-3,40.0%,27.8%,18,9-9,50.0%,177,96-81,54.2%,0:17,4.8,4.6
32,Alex Michelsen[USA],8,4-4,50.0%,61.0%,61.5%,23,3.8%,19,3.1%,10.2%,69.5%,66.0%,49.7%,55.4%,73.7%,6.5,2.5,32,Alex Michelsen[USA],8,37.4%,37.4%,6.2%,3.7%,30.5%,48.3%,22.4%,6.4,2.4,56.5,57.5,32,Alex Michelsen[USA],8,39.3%,22,56,0.57,2.8,7.0,1.10,2.8,59.0%,36,61,0.64,3.1,7.6,1.25,3.1,32,Alex Michelsen[USA],8,0.96,1242,49.0%,4,0-4,0.0%,20.0%,20,8-12,40.0%,193,92-101,47.7%,1:37,39.0,37.6
33,Sebastian Baez[ARG],33,22-11,66.7%,61.4%,61.4%,83,3.2%,52,2.0%,7.4%,73.3%,64.6%,52.8%,57.0%,75.3%,6.6,2.5,33,Sebastian Baez[ARG],33,41.9%,41.5%,3.4%,3.1%,36.9%,50.0%,32.1%,6.6,2.8,67.0,72.9,33,Sebastian Baez[ARG],33,42.9%,130,303,0.75,3.5,9.2,1.49,3.9,60.7%,153,252,0.63,2.9,7.6,1.14,3.0,33,Sebastian Baez[ARG],33,1.09,5298,51.6%,7,5-2,71.4%,8.0%,87,53-34,60.9%,806,432-374,53.6%,1:33,35.3,34.8
34,Flavio Cobolli[ITA],20,13-7,65.0%,62.3%,62.7%,85,5.4%,59,3.8%,8.5%,55.5%,70.0%,52.7%,57.6%,79.6%,6.5,2.5,34,Flavio Cobolli[ITA],20,41.5%,40.9%,3.4%,3.5%,35.8%,51.8%,30.0%,6.9,2.8,55.5,65.8,34,Flavio Cobolli[ITA],20,37.2%,71,191,0.81,3.9,9.6,1.45,3.6,62.0%,80,129,0.54,2.6,6.5,1.00,2.5,34,Flavio Cobolli[ITA],20,1.10,3194,51.8%,11,4-7,36.4%,22.4%,49,30-19,61.2%,477,262-215,54.9%,1:30,36.8,33.9
