Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],33,18-15,54.5%,63.9%,61.9%,375,13.4%,140,5.0%,12.4%,59.6%,76.3%,45.7%,52.1%,81.2%,6.6,2.4,21,Jakub Mensik[CZE],33,35.7%,36.5%,8.5%,3.6%,28.1%,49.6%,18.5%,6.4,2.3,21.0,23.1,21,Jakub Mensik[CZE],33,35.6%,79,222,0.52,2.5,6.7,0.89,2.4,64.1%,143,223,0.52,2.5,6.8,0.90,2.4,21,Jakub Mensik[CZE],33,0.99,5534,50.0%,22,15-7,68.2%,24.7%,89,48-41,53.9%,851,424-427,49.8%,1:55,42.6,41.1
22,Ugo Humbert[FRA],33,16-17,48.5%,65.5%,64.2%,225,8.4%,72,2.7%,6.9%,61.2%,74.1%,51.8%,55.7%,83.4%,6.3,2.2,22,Ugo Humbert[FRA],33,35.4%,36.1%,8.2%,3.5%,27.4%,49.2%,20.3%,6.2,2.2,28.0,27.8,22,Ugo Humbert[FRA],33,40.7%,85,209,0.50,2.3,6.3,0.96,2.6,63.2%,122,193,0.45,2.2,5.8,0.80,2.2,22,Ugo Humbert[FRA],33,1.03,5296,50.7%,16,5-11,31.3%,18.0%,89,47-42,52.8%,846,441-405,52.1%,1:47,39.8,40.1
23,Sebastian Korda[USA],22,12-10,54.5%,65.5%,63.9%,131,8.3%,35,2.2%,5.8%,61.8%,72.6%,54.1%,57.4%,81.8%,6.2,2.1,23,Sebastian Korda[USA],22,34.5%,34.5%,7.0%,3.8%,26.1%,48.3%,18.4%,6.3,2.2,16.0,21.8,23,Sebastian Korda[USA],22,37.3%,47,126,0.49,2.4,5.7,0.90,2.1,61.3%,73,119,0.47,2.3,5.4,0.88,2.1,23,Sebastian Korda[USA],22,1.00,3185,49.8%,11,4-7,36.4%,21.2%,52,25-27,48.1%,509,254-255,49.9%,1:34,39.6,38.8
24,Karen Khachanov[RUS],24,9-15,37.5%,63.7%,62.1%,148,8.3%,44,2.5%,6.9%,64.0%,71.4%,50.1%,53.8%,77.0%,6.3,2.3,24,Karen Khachanov[RUS],24,34.5%,35.6%,9.6%,3.5%,23.9%,52.5%,19.4%,6.2,2.1,18.0,21.8,24,Karen Khachanov[RUS],24,37.9%,55,145,0.51,2.5,6.0,0.96,2.3,59.4%,95,160,0.57,2.8,6.7,1.14,2.7,24,Karen Khachanov[RUS],24,0.95,3534,49.2%,9,5-4,55.6%,15.8%,57,24-33,42.1%,567,273-294,48.1%,1:49,45.9,44.4
25,Alexei Popyrin[AUS],31,17-14,54.8%,64.4%,63.3%,264,10.6%,109,4.4%,11.8%,63.0%,74.7%,46.9%,53.2%,82.0%,6.6,2.3,25,Alexei Popyrin[AUS],31,35.0%,35.3%,8.2%,4.0%,27.6%,46.8%,17.0%,6.5,2.3,20.0,22.3,25,Alexei Popyrin[AUS],31,30.7%,66,215,0.55,2.7,6.9,0.83,2.1,67.0%,138,206,0.54,2.6,6.6,0.85,2.2,25,Alexei Popyrin[AUS],31,0.98,5017,49.6%,14,9-5,64.3%,17.5%,80,41-39,51.2%,767,376-391,49.0%,1:53,43.9,42.0
26,Alejandro Davidovich Fokina[ESP],33,16-17,48.5%,61.0%,61.0%,117,4.0%,73,2.5%,7.4%,66.7%,66.3%,50.6%,54.6%,76.6%,6.8,2.7,26,Alejandro Davidovich Fokina[ESP],33,38.7%,40.1%,9.2%,3.8%,28.8%,53.2%,26.2%,6.6,2.5,26.0,26.1,26,Alejandro Davidovich Fokina[ESP],33,43.5%,111,255,0.60,2.9,7.7,1.28,3.4,67.2%,207,308,0.71,3.5,9.3,1.16,3.1,26,Alejandro Davidovich Fokina[ESP],33,0.99,5722,50.2%,27,8-19,29.6%,31.0%,87,42-45,48.3%,855,442-413,51.7%,2:03,46.7,42.6
27,Felix Auger Aliassime[CAN],24,15-9,62.5%,67.4%,66.1%,220,12.8%,78,4.5%,12.8%,64.6%,76.9%,50.2%,57.5%,83.7%,6.2,2.0,27,Felix Auger Aliassime[CAN],24,37.2%,37.8%,7.1%,3.3%,30.7%,49.0%,21.8%,6.6,2.5,16.0,20.3,27,Felix Auger Aliassime[CAN],24,37.5%,60,160,0.58,2.7,6.7,1.00,2.5,66.7%,90,135,0.49,2.3,5.6,0.75,1.9,27,Felix Auger Aliassime[CAN],24,1.14,3529,51.9%,7,4-3,57.1%,11.7%,60,35-25,58.3%,551,291-260,52.8%,1:19,31.4,32.0
28,Denis Shapovalov[CAN],29,15-14,51.7%,67.3%,69.2%,236,10.4%,168,7.4%,19.3%,61.5%,75.7%,53.8%,66.7%,85.8%,6.3,2.1,28,Denis Shapovalov[CAN],29,34.9%,34.9%,5.7%,3.1%,31.0%,42.6%,17.5%,6.4,2.2,27.0,26.8,28,Denis Shapovalov[CAN],29,40.0%,62,155,0.44,2.2,5.3,0.89,2.1,66.9%,103,154,0.43,2.2,5.3,0.73,1.8,28,Denis Shapovalov[CAN],29,1.07,4525,51.1%,21,9-12,42.9%,30.0%,70,38-32,54.3%,714,370-344,51.8%,1:30,37.5,34.8
29,Brandon Nakashima[USA],33,14-19,42.4%,66.5%,63.5%,273,10.3%,33,1.2%,3.7%,65.9%,73.4%,53.1%,55.1%,85.0%,6.3,2.1,29,Brandon Nakashima[USA],33,32.4%,33.8%,10.3%,3.2%,24.0%,46.5%,14.1%,6.2,2.0,18.0,21.3,29,Brandon Nakashima[USA],33,33.5%,59,176,0.42,2.0,5.3,0.69,1.8,66.8%,127,190,0.45,2.2,5.8,0.73,1.9,29,Brandon Nakashima[USA],33,0.97,5258,49.6%,19,8-11,42.1%,22.1%,86,40-46,46.5%,839,416-423,49.6%,1:50,42.2,41.4
30,Matteo Berrettini[ITA],29,12-17,41.4%,67.5%,63.9%,309,12.7%,40,1.6%,5.4%,69.7%,74.9%,50.4%,53.3%,86.7%,6.5,2.1,30,Matteo Berrettini[ITA],29,30.7%,31.1%,7.9%,2.9%,24.3%,42.2%,13.3%,6.1,1.9,16.0,20.2,30,Matteo Berrettini[ITA],29,38.2%,50,131,0.35,1.8,4.5,0.68,1.7,72.5%,132,182,0.49,2.5,6.3,0.68,1.7,30,Matteo Berrettini[ITA],29,0.94,4723,49.6%,25,12-13,48.0%,34.2%,73,35-38,47.9%,750,375-375,50.0%,2:02,48.5,44.9
31,Hubert Hurkacz[POL],20,8-12,40.0%,67.9%,63.5%,234,15.3%,29,1.9%,5.5%,65.2%,74.6%,55.5%,58.7%,86.2%,6.0,1.9,31,Hubert Hurkacz[POL],20,32.2%,32.5%,8.0%,3.4%,22.7%,46.9%,12.3%,6.4,2.0,24.5,22.8,31,Hubert Hurkacz[POL],20,27.7%,31,112,0.44,2.3,5.6,0.63,1.6,65.7%,67,102,0.40,2.1,5.1,0.71,1.8,31,Hubert Hurkacz[POL],20,1.00,3128,49.6%,12,3-9,25.0%,24.5%,49,21-28,42.9%,506,250-256,49.4%,1:42,41.7,39.2
32,Alex Michelsen[USA],22,8-14,36.4%,60.8%,60.6%,93,5.7%,56,3.4%,10.3%,66.7%,67.2%,47.8%,53.3%,74.2%,6.5,2.6,32,Alex Michelsen[USA],22,35.5%,36.2%,8.9%,4.0%,26.9%,48.0%,19.4%,6.3,2.2,18.0,23.1,32,Alex Michelsen[USA],22,36.0%,49,136,0.54,2.6,6.2,0.92,2.2,57.0%,86,151,0.60,2.8,6.9,1.23,3.0,32,Alex Michelsen[USA],22,0.90,3225,48.3%,10,3-7,30.0%,18.9%,53,19-34,35.8%,505,236-269,46.7%,1:40,41.6,41.0
33,Sebastian Baez[ARG],18,4-14,22.2%,56.3%,56.5%,36,2.5%,34,2.3%,9.0%,74.3%,60.2%,44.8%,49.3%,63.3%,6.7,2.9,33,Sebastian Baez[ARG],18,37.1%,37.4%,7.1%,3.7%,30.0%,47.6%,22.8%,6.4,2.4,30.0,28.1,33,Sebastian Baez[ARG],18,35.7%,51,143,0.64,3.0,7.9,1.06,2.8,56.3%,103,183,0.84,3.8,10.2,1.67,4.4,33,Sebastian Baez[ARG],18,0.85,2906,46.8%,4,2-2,50.0%,8.3%,48,15-33,31.3%,442,189-253,42.8%,1:37,36.5,36.2
34,Flavio Cobolli[ITA],30,12-18,40.0%,62.4%,62.3%,160,6.5%,94,3.8%,8.6%,55.7%,71.7%,50.7%,55.5%,77.9%,6.6,2.5,34,Flavio Cobolli[ITA],30,32.3%,32.9%,9.3%,3.7%,24.2%,45.9%,15.6%,6.1,2.0,17.0,20.5,34,Flavio Cobolli[ITA],30,39.5%,58,147,0.40,1.9,4.9,0.74,1.9,63.4%,142,224,0.60,2.9,7.5,1.05,2.7,34,Flavio Cobolli[ITA],30,0.86,4719,48.0%,18,8-10,44.4%,23.1%,78,31-47,39.7%,743,347-396,46.7%,1:43,39.8,39.4
35,Tallon Griekspoor[NED],35,14-21,40.0%,65.6%,64.6%,289,9.6%,113,3.8%,10.8%,65.2%,73.9%,49.9%,56.0%,83.7%,6.6,2.3,35,Tallon Griekspoor[NED],35,29.8%,31.1%,10.6%,2.9%,23.3%,42.4%,11.6%,6.1,1.8,12.0,17.7,35,Tallon Griekspoor[NED],35,34.4%,53,154,0.34,1.7,4.4,0.58,1.5,67.8%,156,230,0.51,2.5,6.6,0.80,2.1,35,Tallon Griekspoor[NED],35,0.86,5792,48.3%,28,14-14,50.0%,30.4%,92,40-52,43.5%,912,434-478,47.6%,1:46,40.5,38.6
36,Giovanni Mpetshi Perricard[FRA],24,12-12,50.0%,69.2%,67.4%,380,18.6%,130,6.4%,17.5%,63.7%,77.8%,54.1%,65.6%,88.4%,6.4,2.0,36,Giovanni Mpetshi Perricard[FRA],24,26.4%,26.5%,9.6%,3.4%,20.6%,36.4%,7.4%,6.0,1.6,27.0,28.1,36,Giovanni Mpetshi Perricard[FRA],24,36.5%,23,63,0.20,1.1,2.6,0.38,1.0,71.8%,94,131,0.41,2.2,5.5,0.62,1.5,36,Giovanni Mpetshi Perricard[FRA],24,0.86,3907,48.8%,24,14-10,58.3%,40.0%,60,29-31,48.3%,629,305-324,48.5%,1:45,42.1,38.8
37,Matteo Arnaldi[ITA],26,11-15,42.3%,61.1%,60.6%,151,6.9%,80,3.7%,8.5%,56.8%,68.4%,51.5%,56.3%,74.3%,6.5,2.5,37,Matteo Arnaldi[ITA],26,36.1%,36.6%,6.7%,3.1%,29.6%,47.2%,20.9%,6.3,2.3,19.0,20.8,37,Matteo Arnaldi[ITA],26,45.2%,70,155,0.46,2.2,6.0,1.00,2.7,58.6%,123,210,0.62,3.0,8.1,1.24,3.3,37,Matteo Arnaldi[ITA],26,0.93,4286,48.9%,13,8-5,61.5%,18.6%,70,33-37,47.1%,674,322-352,47.8%,1:41,37.7,36.9
38,Jiri Lehecka[CZE],25,12-13,48.0%,64.2%,62.8%,184,9.5%,66,3.4%,8.5%,59.9%,73.6%,50.1%,54.7%,83.1%,6.7,2.4,38,Jiri Lehecka[CZE],25,32.0%,33.1%,10.1%,3.3%,24.3%,44.2%,14.8%,6.1,1.9,16.0,20.6,38,Jiri Lehecka[CZE],25,39.8%,43,108,0.37,1.9,4.3,0.74,1.7,68.8%,108,157,0.54,2.7,6.3,0.84,2.0,38,Jiri Lehecka[CZE],25,0.89,3686,48.8%,11,6-5,54.5%,19.0%,58,28-30,48.3%,580,284-296,49.0%,1:44,44.7,42.2
39,Alexandre Muller[FRA],19,7-12,36.8%,57.8%,57.5%,51,3.2%,28,1.8%,5.1%,65.3%,63.8%,46.5%,49.0%,69.1%,6.9,2.9,39,Alexandre Muller[FRA],19,35.9%,36.6%,9.1%,4.1%,26.3%,49.5%,19.1%,6.3,2.2,22.0,22.2,39,Alexandre Muller[FRA],19,36.4%,43,118,0.52,2.5,6.2,0.90,2.3,58.2%,99,170,0.74,3.5,8.9,1.48,3.7,39,Alexandre Muller[FRA],19,0.85,3004,47.5%,9,5-4,55.6%,18.8%,48,17-31,35.4%,455,202-253,44.4%,1:46,41.8,40.0
40,Nuno Borges[POR],22,9-13,40.9%,61.2%,60.5%,115,6.5%,54,3.0%,8.9%,65.8%,68.0%,48.2%,52.9%,74.7%,6.7,2.6,40,Nuno Borges[POR],22,35.8%,35.6%,7.1%,4.2%,26.3%,50.7%,18.3%,6.4,2.3,20.0,23.0,40,Nuno Borges[POR],22,38.5%,50,130,0.48,2.3,5.9,0.88,2.3,58.6%,95,162,0.61,2.8,7.4,1.18,3.0,40,Nuno Borges[POR],22,0.92,3506,48.6%,9,4-5,44.4%,15.8%,57,22-35,38.6%,538,248-290,46.1%,1:38,37.8,36.9
41,Jordan Thompson[AUS],27,17-10,63.0%,65.7%,63.3%,187,9.6%,36,1.8%,4.5%,58.8%,73.8%,54.0%,56.6%,81.1%,6.0,2.1,41,Jordan Thompson[AUS],27,34.8%,35.2%,9.0%,4.3%,26.9%,48.2%,18.3%,6.2,2.1,21.0,22.7,41,Jordan Thompson[AUS],27,38.1%,59,155,0.48,2.3,5.7,0.88,2.2,56.4%,79,140,0.43,2.1,5.2,0.91,2.3,41,Jordan Thompson[AUS],27,1.01,3949,50.1%,10,9-1,90.0%,14.9%,67,39-28,58.2%,646,321-325,49.7%,1:52,45.1,45.9
