Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
26,Alejandro Davidovich Fokina[ESP],3,2-1,66.7%,57.8%,58.5%,4,1.6%,6,2.3%,7.1%,67.2%,65.1%,42.9%,46.2%,72.7%,7.8,3.3,26,Alejandro Davidovich Fokina[ESP],3,42.2%,41.7%,2.6%,2.6%,36.2%,50.0%,30.3%,7.0,2.9,32.0,24.3,26,Alejandro Davidovich Fokina[ESP],3,43.5%,10,23,0.70,3.8,7.7,1.67,3.3,73.5%,25,34,1.03,5.7,11.3,1.50,3.0,26,Alejandro Davidovich Fokina[ESP],3,1.00,486,50.4%,3,2-1,66.7%,50.0%,6,4-2,66.7%,66,34-32,51.5%,2:02,61.0,45.2
27,Felix Auger Aliassime[CAN],5,3-2,60.0%,62.7%,61.1%,52,11.6%,21,4.7%,13.2%,64.5%,72.7%,44.7%,51.4%,80.3%,6.8,2.5,27,Felix Auger Aliassime[CAN],5,33.7%,34.8%,8.0%,2.7%,26.8%,46.3%,15.2%,6.2,2.1,12.0,46.6,27,Felix Auger Aliassime[CAN],5,31.3%,10,32,0.48,2.5,6.4,0.77,2.0,68.3%,28,41,0.62,3.2,8.2,1.00,2.6,27,Felix Auger Aliassime[CAN],5,0.91,860,48.8%,3,2-1,66.7%,23.1%,13,7-6,53.8%,132,63-69,47.7%,1:58,45.3,41.1
28,Denis Shapovalov[CAN],3,2-1,66.7%,64.3%,65.8%,12,5.7%,11,5.2%,13.3%,60.5%,75.6%,47.0%,54.2%,87.1%,6.8,2.4,28,Denis Shapovalov[CAN],3,42.9%,42.8%,2.6%,2.1%,34.7%,58.5%,34.5%,6.5,2.8,31.0,29.3,28,Denis Shapovalov[CAN],3,47.6%,10,21,0.72,3.5,7.0,1.67,3.3,69.2%,9,13,0.42,2.2,4.3,0.67,1.3,28,Denis Shapovalov[CAN],3,1.20,399,54.1%,2,0-2,0.0%,33.3%,6,4-2,66.7%,60,37-23,61.7%,1:35,47.5,42.9
29,Brandon Nakashima[USA],4,0-4,0.0%,59.7%,56.2%,29,9.7%,4,1.3%,3.9%,66.0%,69.2%,41.2%,42.9%,73.3%,6.7,2.7,29,Brandon Nakashima[USA],4,31.5%,33.2%,11.3%,3.1%,21.7%,47.0%,15.9%,5.8,1.8,32.5,214.8,29,Brandon Nakashima[USA],4,46.7%,7,15,0.34,1.7,3.8,0.78,1.8,58.6%,17,29,0.64,3.2,7.3,1.33,3.0,29,Brandon Nakashima[USA],4,0.78,557,46.7%,2,0-2,0.0%,22.2%,9,1-8,11.1%,89,40-49,44.9%,1:40,44.4,43.1
30,Matteo Berrettini[ITA],3,3-0,100.0%,78.7%,76.6%,24,14.6%,3,1.8%,6.5%,72.0%,87.3%,56.5%,60.5%,100.0%,5.5,1.2,30,Matteo Berrettini[ITA],3,36.9%,37.0%,4.5%,2.5%,35.2%,41.1%,23.3%,6.6,2.4,30.0,52.7,30,Matteo Berrettini[ITA],3,38.9%,7,18,0.60,3.0,6.0,1.17,2.3,100.0%,5,5,0.17,0.8,1.7,0.00,0.0,30,Matteo Berrettini[ITA],3,1.73,362,55.8%,1,1-0,100.0%,16.7%,6,6-0,100.0%,60,37-23,61.7%,1:26,43.0,42.8
31,Hubert Hurkacz[POL],3,2-1,66.7%,70.8%,65.9%,37,17.1%,3,1.4%,4.5%,69.4%,77.3%,56.1%,58.7%,91.4%,6.2,1.8,31,Hubert Hurkacz[POL],3,31.9%,31.9%,5.3%,2.4%,25.2%,44.4%,14.3%,5.9,1.9,4.0,28.3,31,Hubert Hurkacz[POL],3,45.5%,5,11,0.31,1.6,3.7,0.71,1.7,76.9%,10,13,0.37,1.9,4.3,0.43,1.0,31,Hubert Hurkacz[POL],3,1.09,423,51.8%,2,2-0,100.0%,28.6%,7,5-2,71.4%,70,37-33,52.9%,1:38,41.9,41.6
32,Alex Michelsen[USA],5,2-3,40.0%,59.8%,59.7%,13,4.0%,8,2.5%,7.8%,68.4%,66.4%,45.6%,49.5%,70.6%,6.4,2.6,32,Alex Michelsen[USA],5,39.0%,40.2%,8.5%,3.6%,33.5%,48.4%,28.3%,6.2,2.4,124.0,357.6,32,Alex Michelsen[USA],5,44.1%,15,34,0.64,2.4,6.8,1.07,3.0,53.1%,17,32,0.63,2.3,6.4,1.07,3.0,32,Alex Michelsen[USA],5,0.97,657,49.3%,2,1-1,50.0%,14.3%,14,7-7,50.0%,104,51-53,49.0%,1:28,31.5,40.3
33,Sebastian Baez[ARG],4,3-1,75.0%,61.6%,60.6%,11,4.4%,3,1.2%,4.5%,73.2%,64.5%,53.7%,56.3%,79.5%,6.4,2.5,33,Sebastian Baez[ARG],4,43.3%,43.9%,4.1%,2.0%,33.5%,60.0%,37.5%,6.1,2.7,79.5,69.5,33,Sebastian Baez[ARG],4,48.4%,15,31,0.78,3.1,7.8,1.50,3.8,66.7%,16,24,0.62,2.4,6.0,0.80,2.0,33,Sebastian Baez[ARG],4,1.13,495,52.5%,0,0-0,-,0.0%,10,6-4,60.0%,79,46-33,58.2%,1:30,36.1,43.8
34,Flavio Cobolli[ITA],3,2-1,66.7%,65.8%,66.1%,17,7.8%,10,4.6%,11.4%,59.8%,74.8%,52.3%,59.0%,86.5%,5.9,2.0,34,Flavio Cobolli[ITA],3,38.2%,39.3%,7.1%,2.8%,32.6%,48.6%,28.6%,6.1,2.3,14.0,28.7,34,Flavio Cobolli[ITA],3,43.5%,10,23,0.66,2.9,7.7,1.25,3.3,64.3%,9,14,0.38,1.8,4.7,0.63,1.7,34,Flavio Cobolli[ITA],3,1.12,431,52.2%,1,0-1,0.0%,12.5%,8,5-3,62.5%,72,42-30,58.3%,1:39,37.1,41.3
35,Tallon Griekspoor[NED],4,1-3,25.0%,64.7%,62.6%,30,10.0%,8,2.7%,7.4%,64.0%,74.5%,47.2%,51.0%,80.4%,6.5,2.3,35,Tallon Griekspoor[NED],4,29.3%,29.8%,9.7%,3.5%,22.2%,41.2%,10.9%,5.6,1.7,18.5,42.3,35,Tallon Griekspoor[NED],4,55.6%,5,9,0.20,1.0,2.3,0.56,1.3,65.4%,17,26,0.57,2.9,6.5,1.00,2.3,35,Tallon Griekspoor[NED],4,0.83,559,48.3%,1,1-0,100.0%,11.1%,9,3-6,33.3%,92,42-50,45.7%,1:40,44.3,42.8
