Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],7,4-3,57.1%,62.2%,60.0%,137,13.6%,55,5.4%,12.4%,56.1%,75.8%,44.7%,51.0%,79.5%,6.9,2.6,21,Jakub Mensik[CZE],7,37.8%,37.6%,9.4%,6.1%,26.8%,54.1%,24.3%,6.3,2.4,34.0,78.1,21,Jakub Mensik[CZE],7,37.1%,36,97,0.66,3.1,13.9,1.16,5.1,66.3%,59,89,0.61,2.9,12.7,0.97,4.3,21,Jakub Mensik[CZE],7,1.00,1948,50.5%,8,4-4,50.0%,25.8%,31,18-13,58.1%,294,152-142,51.7%,3:12,43.3,41.3
22,Ugo Humbert[FRA],11,7-4,63.6%,67.6%,66.2%,131,11.1%,41,3.5%,9.2%,62.0%,76.0%,54.0%,59.5%,85.1%,5.9,1.9,22,Ugo Humbert[FRA],11,35.8%,36.8%,10.5%,4.6%,28.0%,49.8%,20.6%,6.5,2.3,65.0,76.5,22,Ugo Humbert[FRA],11,35.1%,40,114,0.59,2.8,10.4,0.98,3.6,60.5%,46,76,0.38,1.9,6.9,0.73,2.7,22,Ugo Humbert[FRA],11,1.11,2439,51.2%,7,5-2,71.4%,17.1%,41,25-16,61.0%,395,211-184,53.4%,2:26,39.3,39.6
23,Sebastian Korda[USA],8,4-4,50.0%,64.7%,63.4%,75,8.2%,25,2.7%,7.0%,61.3%,70.9%,54.8%,58.9%,81.9%,6.4,2.3,23,Sebastian Korda[USA],8,35.6%,37.2%,10.0%,3.5%,30.6%,44.9%,19.0%,6.4,2.3,68.5,124.6,23,Sebastian Korda[USA],8,35.0%,28,80,0.54,2.7,10.0,0.93,3.5,59.4%,38,64,0.44,2.1,8.0,0.87,3.3,23,Sebastian Korda[USA],8,1.01,1866,49.9%,8,5-3,62.5%,26.7%,30,16-14,53.3%,291,146-145,50.2%,1:40,26.8,25.8
24,Karen Khachanov[RUS],8,4-4,50.0%,66.9%,65.9%,87,9.0%,30,3.1%,8.5%,63.1%,75.3%,52.7%,57.5%,83.2%,6.2,2.1,24,Karen Khachanov[RUS],8,36.9%,37.0%,7.4%,4.2%,28.3%,49.9%,21.0%,6.8,2.5,97.0,118.3,24,Karen Khachanov[RUS],8,35.1%,33,94,0.60,2.9,11.8,1.03,4.1,60.0%,39,65,0.42,2.0,8.1,0.81,3.3,24,Karen Khachanov[RUS],8,1.12,2022,51.2%,9,5-4,55.6%,28.1%,32,18-14,56.3%,312,162-150,51.9%,2:23,35.6,33.8
25,Alexei Popyrin[AUS],9,5-4,55.6%,66.2%,65.0%,138,12.7%,53,4.9%,13.7%,64.4%,76.5%,47.7%,55.2%,84.5%,6.3,2.1,25,Alexei Popyrin[AUS],9,35.0%,34.8%,8.5%,4.8%,26.0%,48.4%,22.0%,6.1,2.1,43.0,77.0,25,Alexei Popyrin[AUS],9,46.4%,39,84,0.47,2.3,9.3,1.08,4.3,67.9%,57,84,0.48,2.3,9.3,0.75,3.0,25,Alexei Popyrin[AUS],9,1.04,2177,50.6%,4,0-4,0.0%,11.1%,36,20-16,55.6%,351,186-165,53.0%,2:36,39.0,38.7
26,Alejandro Davidovich Fokina[ESP],7,4-3,57.1%,60.8%,61.0%,30,3.4%,22,2.5%,7.3%,65.9%,65.7%,51.2%,55.2%,74.4%,6.6,2.6,26,Alejandro Davidovich Fokina[ESP],7,39.0%,39.6%,7.6%,3.8%,30.2%,53.9%,28.2%,6.4,2.5,48.0,45.3,26,Alejandro Davidovich Fokina[ESP],7,45.7%,37,81,0.62,2.9,11.6,1.32,5.3,59.5%,50,84,0.63,3.0,12.0,1.21,4.9,26,Alejandro Davidovich Fokina[ESP],7,0.99,1716,50.2%,7,3-4,42.9%,25.0%,28,14-14,50.0%,264,136-128,51.5%,2:08,32.0,31.3
27,Felix Auger Aliassime[CAN],8,4-4,50.0%,65.6%,65.6%,80,9.7%,42,5.1%,13.8%,62.9%,74.7%,50.2%,58.2%,77.9%,6.0,2.1,27,Felix Auger Aliassime[CAN],8,39.5%,40.0%,6.5%,3.6%,30.7%,53.8%,24.5%,6.7,2.6,65.5,72.0,27,Felix Auger Aliassime[CAN],8,42.5%,34,80,0.58,2.7,10.0,1.13,4.3,58.9%,43,73,0.54,2.4,9.1,1.00,3.8,27,Felix Auger Aliassime[CAN],8,1.15,1751,51.7%,3,2-1,66.7%,10.0%,30,16-14,53.3%,275,140-135,50.9%,1:45,27.9,28.6
28,Denis Shapovalov[CAN],9,5-4,55.6%,64.8%,68.0%,91,8.4%,94,8.7%,20.9%,58.5%,74.1%,51.7%,65.4%,84.0%,6.4,2.3,28,Denis Shapovalov[CAN],9,33.2%,32.2%,3.2%,2.9%,30.6%,38.2%,16.0%,6.2,2.0,26.0,43.7,28,Denis Shapovalov[CAN],9,34.6%,27,78,0.46,2.3,8.7,0.79,3.0,69.7%,62,89,0.53,2.6,9.9,0.79,3.0,28,Denis Shapovalov[CAN],9,0.94,2121,49.3%,8,3-5,37.5%,23.5%,34,18-16,52.9%,338,169-169,50.0%,1:51,29.4,28.3
29,Brandon Nakashima[USA],10,6-4,60.0%,69.2%,66.0%,125,11.9%,14,1.3%,4.0%,66.6%,75.4%,56.9%,59.2%,89.9%,6.2,1.9,29,Brandon Nakashima[USA],10,35.3%,36.6%,9.1%,3.2%,27.3%,47.2%,18.3%,6.4,2.3,18.0,36.0,29,Brandon Nakashima[USA],10,36.1%,30,83,0.51,2.4,8.3,0.86,3.0,76.4%,55,72,0.43,2.1,7.2,0.49,1.7,29,Brandon Nakashima[USA],10,1.15,2101,52.2%,8,3-5,37.5%,22.9%,35,21-14,60.0%,332,181-151,54.5%,1:58,33.6,33.6
30,Matteo Berrettini[ITA],6,3-3,50.0%,67.0%,63.3%,112,15.8%,23,3.2%,9.5%,66.1%,75.5%,50.6%,56.0%,90.6%,6.7,2.2,30,Matteo Berrettini[ITA],6,33.0%,33.7%,7.5%,2.7%,28.0%,41.1%,20.0%,6.3,2.1,32.5,45.0,30,Matteo Berrettini[ITA],6,41.5%,22,53,0.48,2.4,8.8,1.00,3.7,76.7%,33,43,0.41,2.0,7.2,0.45,1.7,30,Matteo Berrettini[ITA],6,1.00,1407,50.2%,9,2-7,22.2%,40.9%,22,11-11,50.0%,216,118-98,54.6%,2:55,47.8,44.8
31,Hubert Hurkacz[POL],10,6-4,60.0%,68.3%,64.8%,163,14.6%,28,2.5%,6.9%,64.0%,76.8%,53.1%,57.1%,86.9%,6.1,1.9,31,Hubert Hurkacz[POL],10,36.7%,35.8%,5.5%,4.6%,27.7%,49.4%,17.9%,6.9,2.5,67.5,86.3,31,Hubert Hurkacz[POL],10,30.5%,32,105,0.59,3.0,10.5,0.91,3.2,66.2%,47,71,0.39,2.0,7.1,0.69,2.4,31,Hubert Hurkacz[POL],10,1.16,2350,51.8%,9,4-5,44.4%,25.7%,35,19-16,54.3%,362,191-171,52.8%,1:35,27.2,24.3
32,Alex Michelsen[USA],8,4-4,50.0%,61.7%,61.9%,43,5.3%,29,3.6%,11.4%,68.7%,68.0%,47.8%,54.0%,73.2%,6.4,2.5,32,Alex Michelsen[USA],8,36.0%,38.0%,10.9%,3.5%,25.6%,49.7%,22.4%,6.0,2.2,15.5,96.0,32,Alex Michelsen[USA],8,43.8%,28,64,0.51,2.4,8.0,1.04,3.5,52.8%,38,72,0.57,2.7,9.0,1.26,4.3,32,Alex Michelsen[USA],8,0.94,1567,49.3%,5,2-3,40.0%,18.5%,27,14-13,51.9%,252,121-131,48.0%,2:03,36.5,37.8
33,Sebastian Baez[ARG],6,2-4,33.3%,59.8%,59.7%,19,2.6%,12,1.6%,6.4%,74.7%,62.3%,52.4%,56.0%,72.9%,6.9,2.8,33,Sebastian Baez[ARG],6,39.0%,39.9%,6.4%,2.6%,33.1%,46.9%,24.5%,6.6,2.6,55.0,73.2,33,Sebastian Baez[ARG],6,40.9%,27,66,0.60,2.8,11.0,1.13,4.5,63.7%,51,80,0.75,3.3,13.3,1.21,4.8,33,Sebastian Baez[ARG],6,0.97,1459,49.5%,3,1-2,33.3%,12.5%,24,10-14,41.7%,217,105-112,48.4%,1:41,25.3,25.0
34,Flavio Cobolli[ITA],8,4-4,50.0%,63.6%,62.9%,86,7.9%,39,3.6%,7.4%,51.7%,72.0%,54.5%,58.8%,82.8%,6.7,2.4,34,Flavio Cobolli[ITA],8,37.0%,36.5%,7.3%,4.9%,26.2%,51.5%,21.2%,6.5,2.4,54.0,54.6,34,Flavio Cobolli[ITA],8,35.7%,35,98,0.59,3.0,12.3,1.06,4.4,68.9%,62,90,0.55,2.7,11.3,0.85,3.5,34,Flavio Cobolli[ITA],8,1.01,2171,50.3%,5,1-4,20.0%,15.2%,33,17-16,51.5%,328,170-158,51.8%,2:20,34.0,31.0
35,Tallon Griekspoor[NED],9,5-4,55.6%,64.2%,64.8%,88,9.6%,56,6.1%,15.1%,59.8%,71.8%,53.0%,62.4%,81.0%,6.5,2.3,35,Tallon Griekspoor[NED],9,35.8%,36.6%,7.7%,3.2%,30.1%,47.2%,22.7%,6.2,2.2,40.0,43.9,35,Tallon Griekspoor[NED],9,42.7%,32,75,0.53,2.4,8.3,1.03,3.6,67.5%,56,83,0.58,2.7,9.2,0.87,3.0,35,Tallon Griekspoor[NED],9,1.00,1791,50.4%,5,3-2,60.0%,16.1%,31,18-13,58.1%,283,147-136,51.9%,1:21,23.5,24.4
36,Giovanni Mpetshi Perricard[FRA],7,3-4,42.9%,68.3%,65.9%,171,18.6%,55,6.0%,17.2%,65.2%,76.3%,53.1%,64.2%,86.5%,6.2,2.0,36,Giovanni Mpetshi Perricard[FRA],7,27.5%,27.2%,8.4%,3.5%,21.2%,38.9%,9.2%,5.9,1.6,41.0,58.9,36,Giovanni Mpetshi Perricard[FRA],7,50.0%,13,26,0.18,0.9,3.7,0.45,1.9,72.2%,52,72,0.49,2.5,10.3,0.69,2.9,36,Giovanni Mpetshi Perricard[FRA],7,0.87,1753,48.9%,9,6-3,66.7%,31.0%,29,14-15,48.3%,290,141-149,48.6%,2:04,30.0,29.8
37,Matteo Arnaldi[ITA],9,5-4,55.6%,60.4%,59.5%,82,7.7%,40,3.8%,9.1%,58.9%,68.9%,48.2%,53.0%,75.0%,7.0,2.8,37,Matteo Arnaldi[ITA],9,40.7%,41.5%,6.0%,2.8%,33.4%,51.2%,32.7%,6.4,2.6,32.0,42.0,37,Matteo Arnaldi[ITA],9,49.5%,49,99,0.66,3.1,11.0,1.53,5.4,67.5%,79,117,0.77,3.7,13.0,1.19,4.2,37,Matteo Arnaldi[ITA],9,1.03,2019,51.1%,6,2-4,33.3%,18.8%,32,19-13,59.4%,302,163-139,54.0%,1:31,25.5,24.2
38,Jiri Lehecka[CZE],7,5-2,71.4%,66.5%,65.3%,88,12.7%,34,4.9%,11.5%,57.2%,77.5%,51.7%,58.4%,85.2%,6.4,2.1,38,Jiri Lehecka[CZE],7,35.9%,36.0%,7.5%,4.1%,27.6%,48.2%,20.2%,6.3,2.3,81.0,83.7,38,Jiri Lehecka[CZE],7,36.7%,22,60,0.55,2.5,8.6,0.92,3.1,72.4%,42,58,0.54,2.4,8.3,0.67,2.3,38,Jiri Lehecka[CZE],7,1.07,1383,51.2%,3,1-2,33.3%,12.5%,24,14-10,58.3%,217,114-103,52.5%,2:18,40.3,42.0
39,Alexandre Muller[FRA],7,3-4,42.9%,59.7%,58.8%,41,5.0%,16,1.9%,5.7%,66.0%,66.8%,45.9%,48.7%,72.7%,6.8,2.7,39,Alexandre Muller[FRA],7,37.1%,38.6%,9.6%,3.6%,27.7%,52.0%,20.7%,6.4,2.4,35.0,45.0,39,Alexandre Muller[FRA],7,41.7%,25,60,0.50,2.5,8.6,1.04,3.6,60.2%,50,83,0.69,3.5,11.9,1.38,4.7,39,Alexandre Muller[FRA],7,0.92,1592,48.7%,7,5-2,71.4%,29.2%,24,11-13,45.8%,242,113-129,46.7%,2:02,35.5,32.1
40,Nuno Borges[POR],9,5-4,55.6%,63.5%,63.3%,90,9.1%,50,5.0%,12.9%,61.1%,72.5%,49.4%,56.7%,79.6%,6.5,2.4,40,Nuno Borges[POR],9,38.7%,38.4%,6.7%,4.6%,27.0%,55.3%,23.5%,6.6,2.6,58.0,49.7,40,Nuno Borges[POR],9,41.2%,35,85,0.57,2.7,9.4,1.09,3.9,61.3%,49,80,0.53,2.5,8.9,0.97,3.4,40,Nuno Borges[POR],9,1.06,1979,51.1%,6,2-4,33.3%,18.8%,32,17-15,53.1%,301,156-145,51.8%,2:15,37.9,36.8
41,Jordan Thompson[AUS],9,5-4,55.6%,63.1%,60.7%,85,9.3%,19,2.1%,5.0%,58.4%,71.2%,51.7%,54.4%,77.4%,6.3,2.3,41,Jordan Thompson[AUS],9,35.4%,34.6%,5.9%,4.3%,27.9%,47.2%,19.0%,6.0,2.1,53.0,59.3,41,Jordan Thompson[AUS],9,40.6%,28,69,0.47,2.2,7.7,0.90,3.1,61.2%,52,85,0.58,2.7,9.4,1.06,3.7,41,Jordan Thompson[AUS],9,0.96,1792,49.6%,3,3-0,100.0%,9.7%,31,16-15,51.6%,293,141-152,48.1%,2:17,39.9,41.4
