Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],7,3-4,42.9%,66.7%,64.8%,83,15.9%,30,5.7%,14.4%,60.0%,80.2%,46.4%,54.2%,83.1%,6.3,2.1,21,Jakub Mensik[CZE],7,36.5%,38.0%,6.9%,1.9%,30.9%,46.5%,15.3%,7.0,2.5,24.0,89.9,21,Jakub Mensik[CZE],7,25.5%,13,51,0.60,2.7,7.3,0.68,1.9,46.2%,12,26,0.31,1.4,3.7,0.74,2.0,21,Jakub Mensik[CZE],7,1.09,1114,50.6%,6,3-3,50.0%,31.6%,19,9-10,47.4%,168,82-86,48.8%,1:50,40.6,41.5
22,Ugo Humbert[FRA],6,5-1,83.3%,66.5%,65.1%,45,9.5%,14,3.0%,8.2%,64.0%,73.8%,53.5%,58.3%,84.8%,6.0,2.0,22,Ugo Humbert[FRA],6,38.9%,40.2%,9.1%,3.9%,31.1%,54.7%,28.9%,6.4,2.5,110.0,139.8,22,Ugo Humbert[FRA],6,35.5%,22,62,0.82,3.9,10.3,1.38,3.7,47.8%,11,23,0.29,1.4,3.8,0.75,2.0,22,Ugo Humbert[FRA],6,1.16,955,52.6%,1,1-0,100.0%,6.3%,16,13-3,81.3%,155,89-66,57.4%,1:57,43.7,43.9
23,Sebastian Korda[USA],1,1-0,100.0%,68.2%,68.8%,3,3.5%,2,2.4%,5.6%,57.6%,77.6%,55.6%,58.8%,92.3%,6.5,2.1,23,Sebastian Korda[USA],1,49.4%,46.9%,1.1%,5.7%,40.4%,60.0%,50.0%,7.3,3.6,69.0,69.0,23,Sebastian Korda[USA],1,46.2%,6,13,1.08,4.3,13.0,2.00,6.0,85.7%,6,7,0.54,2.3,7.0,0.33,1.0,23,Sebastian Korda[USA],1,1.56,172,58.7%,1,1-0,100.0%,33.3%,3,3-0,100.0%,25,18-7,72.0%,2:13,44.3,46.4
24,Karen Khachanov[RUS],5,2-3,40.0%,63.4%,62.0%,36,9.1%,13,3.3%,9.1%,63.9%,73.1%,46.2%,50.8%,73.5%,5.8,2.1,24,Karen Khachanov[RUS],5,40.1%,41.0%,7.7%,3.8%,30.6%,54.9%,23.9%,6.6,2.7,18.0,42.2,24,Karen Khachanov[RUS],5,44.4%,16,36,0.54,2.8,7.2,1.23,3.2,51.4%,19,37,0.54,2.8,7.4,1.38,3.6,24,Karen Khachanov[RUS],5,1.09,840,51.1%,3,2-1,66.7%,23.1%,13,6-7,46.2%,135,66-69,48.9%,2:07,48.7,45.2
25,Alexei Popyrin[AUS],6,3-3,50.0%,67.4%,66.8%,42,7.8%,16,3.0%,9.1%,67.2%,75.1%,51.7%,56.9%,85.7%,6.4,2.1,25,Alexei Popyrin[AUS],6,31.8%,32.8%,7.3%,2.0%,26.5%,40.6%,10.5%,6.4,2.0,19.0,37.2,25,Alexei Popyrin[AUS],6,25.0%,9,36,0.42,2.1,6.0,0.53,1.5,66.7%,24,36,0.43,2.1,6.0,0.71,2.0,25,Alexei Popyrin[AUS],6,0.97,1088,49.4%,4,2-2,50.0%,23.5%,17,8-9,47.1%,170,81-89,47.6%,2:13,46.8,43.8
26,Alejandro Davidovich Fokina[ESP],7,6-1,85.7%,62.5%,62.5%,23,4.0%,14,2.5%,6.8%,63.7%,67.6%,53.6%,57.5%,77.0%,6.6,2.5,26,Alejandro Davidovich Fokina[ESP],7,44.2%,44.4%,6.4%,4.8%,35.0%,57.6%,36.5%,6.8,3.0,32.0,78.9,26,Alejandro Davidovich Fokina[ESP],7,47.0%,31,66,0.78,3.7,9.4,1.72,4.4,57.4%,27,47,0.54,2.6,6.7,1.11,2.9,26,Alejandro Davidovich Fokina[ESP],7,1.18,1150,53.3%,7,4-3,57.1%,38.9%,18,13-5,72.2%,172,98-74,57.0%,2:04,48.2,45.3
27,Felix Auger Aliassime[CAN],8,4-4,50.0%,70.1%,69.3%,73,12.2%,26,4.3%,11.5%,62.2%,77.4%,58.0%,65.5%,92.6%,6.3,1.9,27,Felix Auger Aliassime[CAN],8,38.3%,37.8%,4.0%,3.1%,32.4%,50.2%,22.4%,6.8,2.6,64.5,62.9,27,Felix Auger Aliassime[CAN],8,37.3%,22,59,0.60,3.0,7.4,1.10,2.8,75.0%,21,28,0.29,1.4,3.5,0.35,0.9,27,Felix Auger Aliassime[CAN],8,1.28,1267,53.3%,5,1-4,20.0%,25.0%,20,12-8,60.0%,193,110-83,57.0%,1:22,32.9,31.1
28,Denis Shapovalov[CAN],6,2-4,33.3%,67.7%,70.7%,35,8.0%,33,7.6%,21.4%,64.8%,77.4%,50.0%,63.6%,87.1%,6.2,2.0,28,Denis Shapovalov[CAN],6,31.1%,31.2%,5.9%,2.6%,26.0%,42.2%,12.9%,6.1,1.9,24.0,112.0,28,Denis Shapovalov[CAN],6,36.0%,9,25,0.36,1.8,4.2,0.64,1.5,71.0%,22,31,0.44,2.2,5.2,0.64,1.5,28,Denis Shapovalov[CAN],6,0.97,864,49.7%,3,1-2,33.3%,21.4%,14,6-8,42.9%,140,70-70,50.0%,1:15,32.2,31.3
29,Brandon Nakashima[USA],12,3-9,25.0%,66.1%,64.3%,89,9.1%,22,2.3%,6.6%,65.6%,71.5%,55.8%,59.7%,85.3%,6.5,2.2,29,Brandon Nakashima[USA],12,29.0%,31.0%,14.0%,3.3%,21.2%,42.3%,7.1%,6.3,1.8,21.0,53.9,29,Brandon Nakashima[USA],12,23.4%,11,47,0.31,1.6,3.9,0.38,0.9,69.9%,51,73,0.49,2.5,6.1,0.76,1.8,29,Brandon Nakashima[USA],12,0.85,1948,47.5%,11,3-8,27.3%,37.9%,29,8-21,27.6%,304,139-165,45.7%,1:55,47.7,42.6
30,Matteo Berrettini[ITA],10,6-4,60.0%,70.8%,67.6%,124,15.9%,22,2.8%,9.3%,69.8%,80.0%,49.6%,54.7%,92.9%,6.2,1.8,30,Matteo Berrettini[ITA],10,34.2%,34.8%,7.4%,3.0%,27.9%,44.2%,18.0%,6.4,2.2,70.0,87.0,30,Matteo Berrettini[ITA],10,37.7%,23,61,0.48,2.4,6.1,0.92,2.3,77.5%,31,40,0.32,1.6,4.0,0.36,0.9,30,Matteo Berrettini[ITA],10,1.17,1606,52.0%,7,3-4,42.9%,28.0%,25,16-9,64.0%,254,140-114,55.1%,1:53,45.1,42.1
