Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],17,14-3,82.4%,67.6%,63.8%,228,17.2%,50,3.8%,10.2%,63.0%,79.5%,47.4%,52.7%,85.7%,6.3,2.0,21,Jakub Mensik[CZE],17,37.1%,38.2%,7.5%,2.9%,29.6%,51.1%,23.4%,6.3,2.3,21.0,33.1,21,Jakub Mensik[CZE],17,41.5%,49,118,0.56,2.7,6.9,1.14,2.9,64.7%,55,85,0.40,2.0,5.0,0.70,1.8,21,Jakub Mensik[CZE],17,1.15,2650,52.4%,13,10-3,76.9%,30.2%,43,31-12,72.1%,419,229-190,54.7%,1:49,43.1,42.0
22,Ugo Humbert[FRA],16,8-8,50.0%,65.0%,64.2%,110,8.4%,46,3.5%,8.6%,59.3%,74.1%,51.7%,56.6%,84.2%,6.5,2.3,22,Ugo Humbert[FRA],16,35.5%,35.9%,7.3%,3.5%,26.5%,50.2%,21.8%,6.2,2.2,33.5,36.8,22,Ugo Humbert[FRA],16,45.3%,43,95,0.48,2.3,5.9,1.05,2.7,63.6%,56,88,0.44,2.1,5.5,0.78,2.0,22,Ugo Humbert[FRA],16,1.01,2527,50.8%,9,2-7,22.2%,22.0%,41,22-19,53.7%,399,213-186,53.4%,1:59,46.4,45.2
23,Sebastian Korda[USA],13,7-6,53.8%,63.9%,62.9%,65,7.7%,24,2.8%,7.2%,60.6%,72.3%,51.1%,55.0%,80.0%,6.3,2.3,23,Sebastian Korda[USA],13,33.8%,32.8%,7.3%,5.0%,23.3%,52.6%,17.0%,6.4,2.2,35.0,133.1,23,Sebastian Korda[USA],13,39.0%,23,59,0.44,2.1,4.5,0.82,1.8,59.1%,39,66,0.49,2.4,5.1,0.96,2.1,23,Sebastian Korda[USA],13,0.94,1711,48.7%,8,3-5,37.5%,28.6%,28,13-15,46.4%,270,131-139,48.5%,1:31,42.1,41.4
24,Karen Khachanov[RUS],17,9-8,52.9%,65.7%,64.4%,102,8.2%,32,2.6%,7.3%,64.8%,73.1%,51.9%,56.0%,80.6%,6.2,2.1,24,Karen Khachanov[RUS],17,36.4%,38.4%,11.9%,4.1%,24.2%,55.8%,20.7%,6.3,2.3,28.0,89.5,24,Karen Khachanov[RUS],17,40.0%,42,105,0.52,2.6,6.2,1.02,2.5,62.9%,66,105,0.52,2.6,6.2,0.95,2.3,24,Karen Khachanov[RUS],17,1.06,2533,50.8%,8,7-1,87.5%,19.5%,41,22-19,53.7%,404,204-200,50.5%,1:49,45.1,43.8
25,Alexei Popyrin[AUS],20,13-7,65.0%,64.6%,63.9%,160,9.6%,73,4.4%,11.2%,61.2%,75.6%,47.1%,53.1%,83.3%,6.8,2.4,25,Alexei Popyrin[AUS],20,35.7%,35.5%,7.2%,4.4%,27.4%,48.2%,16.9%,6.7,2.4,20.5,30.1,25,Alexei Popyrin[AUS],20,27.3%,42,154,0.62,3.2,7.7,0.88,2.1,71.9%,105,146,0.60,3.0,7.3,0.85,2.1,25,Alexei Popyrin[AUS],20,1.01,3346,50.1%,12,9-3,75.0%,25.0%,48,28-20,58.3%,493,246-247,49.9%,1:59,49.6,42.7
26,Alejandro Davidovich Fokina[ESP],16,9-7,56.3%,61.8%,62.2%,43,3.3%,35,2.7%,7.8%,65.6%,66.7%,52.6%,57.0%,78.2%,6.8,2.6,26,Alejandro Davidovich Fokina[ESP],16,40.5%,41.4%,8.5%,4.6%,32.1%,51.7%,31.4%,6.5,2.6,30.0,37.2,26,Alejandro Davidovich Fokina[ESP],16,46.5%,59,127,0.68,3.3,7.9,1.51,3.7,69.3%,95,137,0.71,3.5,8.6,1.08,2.6,26,Alejandro Davidovich Fokina[ESP],16,1.06,2523,51.5%,12,3-9,25.0%,30.8%,39,22-17,56.4%,381,210-171,55.1%,1:56,47.4,43.9
27,Felix Auger Aliassime[CAN],10,3-7,30.0%,64.7%,65.6%,65,10.5%,43,6.9%,19.2%,63.9%,72.0%,51.8%,64.1%,78.2%,6.1,2.2,27,Felix Auger Aliassime[CAN],10,34.9%,34.2%,4.9%,3.6%,27.8%,46.6%,17.1%,6.3,2.2,76.5,151.3,27,Felix Auger Aliassime[CAN],10,33.3%,18,54,0.51,2.5,5.4,0.82,1.8,63.3%,38,60,0.59,2.7,6.0,1.00,2.2,27,Felix Auger Aliassime[CAN],10,0.99,1279,49.3%,2,0-2,0.0%,9.1%,22,8-14,36.4%,206,97-109,47.1%,1:40,45.3,46.7
28,Denis Shapovalov[CAN],10,4-6,40.0%,64.4%,67.5%,41,6.2%,51,7.7%,19.4%,60.5%,72.6%,51.7%,64.2%,79.6%,6.2,2.2,28,Denis Shapovalov[CAN],10,34.3%,34.8%,5.8%,2.5%,28.9%,44.3%,15.9%,6.4,2.2,47.0,45.3,28,Denis Shapovalov[CAN],10,40.5%,17,42,0.39,2.0,4.2,0.81,1.7,51.1%,23,45,0.42,2.1,4.5,1.05,2.2,28,Denis Shapovalov[CAN],10,0.96,1355,49.1%,6,3-3,50.0%,28.6%,21,8-13,38.1%,215,103-112,47.9%,1:35,45.4,42.2
29,Brandon Nakashima[USA],18,10-8,55.6%,66.7%,64.1%,134,10.2%,21,1.6%,4.5%,64.3%,74.8%,52.2%,54.7%,86.0%,6.3,2.1,29,Brandon Nakashima[USA],18,33.3%,33.2%,8.2%,4.2%,23.8%,48.6%,15.5%,6.2,2.1,29.0,56.9,29,Brandon Nakashima[USA],18,41.0%,32,78,0.38,1.9,4.3,0.76,1.8,66.3%,57,86,0.42,2.0,4.8,0.69,1.6,29,Brandon Nakashima[USA],18,1.00,2594,50.2%,8,3-5,37.5%,19.0%,42,22-20,52.4%,413,210-203,50.8%,1:42,43.9,42.7
30,Matteo Berrettini[ITA],15,8-7,53.3%,65.7%,63.1%,114,10.1%,20,1.8%,5.5%,67.6%,73.1%,50.3%,53.2%,83.1%,6.3,2.2,30,Matteo Berrettini[ITA],15,33.9%,34.4%,7.7%,3.3%,28.3%,44.0%,16.9%,6.2,2.1,16.0,33.5,30,Matteo Berrettini[ITA],15,37.0%,30,81,0.46,2.3,5.4,0.86,2.0,65.5%,57,87,0.49,2.5,5.8,0.86,2.0,30,Matteo Berrettini[ITA],15,0.99,2234,50.0%,9,6-3,66.7%,25.7%,35,19-16,54.3%,355,178-177,50.1%,1:53,48.4,45.5
31,Hubert Hurkacz[POL],10,5-5,50.0%,63.6%,60.3%,90,11.6%,16,2.1%,4.8%,56.8%,73.5%,50.6%,53.1%,81.5%,6.5,2.4,31,Hubert Hurkacz[POL],10,31.9%,32.2%,9.3%,3.9%,22.5%,45.6%,13.5%,6.0,1.9,57.0,52.6,31,Hubert Hurkacz[POL],10,34.1%,15,44,0.40,1.8,4.4,0.63,1.5,74.1%,63,85,0.71,3.5,8.5,0.92,2.2,31,Hubert Hurkacz[POL],10,0.88,1443,49.0%,3,2-1,66.7%,12.5%,24,11-13,45.8%,230,112-118,48.7%,1:44,43.3,43.2
32,Alex Michelsen[USA],11,4-7,36.4%,65.4%,64.8%,50,6.1%,20,2.4%,6.7%,63.8%,74.4%,49.5%,53.1%,86.1%,6.7,2.3,32,Alex Michelsen[USA],11,36.1%,36.1%,6.7%,3.8%,29.7%,46.5%,18.5%,6.7,2.4,60.0,106.5,32,Alex Michelsen[USA],11,31.0%,22,71,0.60,3.0,6.5,0.92,2.0,68.5%,37,54,0.44,2.3,4.9,0.71,1.5,32,Alex Michelsen[USA],11,1.04,1613,51.0%,7,1-6,14.3%,29.2%,24,10-14,41.7%,241,127-114,52.7%,1:42,46.8,41.7
33,Sebastian Baez[ARG],8,1-7,12.5%,56.2%,57.7%,7,1.1%,21,3.3%,10.9%,69.9%,62.1%,42.5%,47.7%,63.1%,6.2,2.7,33,Sebastian Baez[ARG],8,37.8%,38.1%,8.3%,4.6%,27.7%,50.9%,22.9%,6.2,2.3,50.5,69.9,33,Sebastian Baez[ARG],8,37.5%,24,64,0.61,2.9,8.0,1.09,3.0,52.5%,42,80,0.78,3.6,10.0,1.73,4.8,33,Sebastian Baez[ARG],8,0.86,1291,46.9%,2,2-0,100.0%,9.1%,22,7-15,31.8%,208,89-119,42.8%,1:55,41.7,42.7
34,Flavio Cobolli[ITA],14,7-7,50.0%,61.7%,62.0%,50,5.3%,36,3.8%,8.6%,55.4%,70.0%,51.3%,56.1%,74.5%,6.5,2.5,34,Flavio Cobolli[ITA],14,35.6%,36.4%,8.0%,3.3%,28.1%,48.3%,21.1%,6.0,2.1,33.0,69.9,34,Flavio Cobolli[ITA],14,41.3%,31,75,0.51,2.3,5.4,0.97,2.2,60.6%,57,94,0.65,2.9,6.7,1.16,2.6,34,Flavio Cobolli[ITA],14,0.93,1822,49.0%,4,3-1,75.0%,12.5%,32,16-16,50.0%,292,139-153,47.6%,1:32,40.2,42.4
35,Tallon Griekspoor[NED],15,8-7,53.3%,66.5%,66.6%,115,9.3%,60,4.8%,14.5%,66.6%,75.7%,48.2%,56.3%,86.3%,6.5,2.2,35,Tallon Griekspoor[NED],15,32.2%,32.9%,8.8%,3.2%,23.6%,45.9%,16.4%,6.0,1.9,30.0,53.9,35,Tallon Griekspoor[NED],15,39.7%,31,78,0.41,2.1,5.2,0.82,2.1,70.1%,61,87,0.46,2.3,5.8,0.68,1.7,35,Tallon Griekspoor[NED],15,0.96,2379,50.1%,11,5-6,45.5%,28.9%,38,21-17,55.3%,379,195-184,51.5%,1:54,45.1,43.2
36,Giovanni Mpetshi Perricard[FRA],9,2-7,22.2%,66.8%,65.9%,114,17.0%,50,7.4%,18.8%,60.4%,77.6%,50.4%,62.0%,86.1%,6.7,2.2,36,Giovanni Mpetshi Perricard[FRA],9,21.7%,22.0%,10.3%,2.5%,17.5%,28.0%,5.0%,5.6,1.2,43.0,63.9,36,Giovanni Mpetshi Perricard[FRA],9,35.7%,5,14,0.14,0.7,1.6,0.26,0.6,67.4%,29,43,0.43,2.3,4.8,0.74,1.6,36,Giovanni Mpetshi Perricard[FRA],9,0.65,1235,46.2%,9,2-7,22.2%,47.4%,19,4-15,21.1%,201,92-109,45.8%,1:30,42.8,39.5
37,Matteo Arnaldi[ITA],20,12-8,60.0%,61.3%,60.6%,123,7.6%,63,3.9%,8.5%,53.8%,70.5%,50.5%,55.1%,76.7%,6.5,2.5,37,Matteo Arnaldi[ITA],20,38.2%,37.7%,4.7%,3.7%,32.2%,48.7%,23.5%,6.5,2.5,35.0,93.2,37,Matteo Arnaldi[ITA],20,41.0%,57,139,0.57,2.8,7.0,1.14,2.9,61.8%,94,152,0.61,3.0,7.6,1.16,2.9,37,Matteo Arnaldi[ITA],20,0.99,3193,49.9%,4,3-1,75.0%,8.0%,50,28-22,56.0%,492,248-244,50.4%,2:02,48.9,45.9
38,Jiri Lehecka[CZE],11,4-7,36.4%,64.5%,64.2%,83,9.1%,42,4.6%,11.0%,58.0%,73.7%,51.7%,58.1%,83.2%,6.7,2.4,38,Jiri Lehecka[CZE],11,32.4%,32.5%,7.3%,3.3%,27.7%,39.2%,12.6%,6.4,2.1,26.0,37.7,38,Jiri Lehecka[CZE],11,33.3%,17,51,0.38,1.9,4.6,0.63,1.5,68.5%,50,73,0.53,2.7,6.6,0.85,2.1,38,Jiri Lehecka[CZE],11,0.91,1780,48.8%,7,5-2,71.4%,25.9%,27,13-14,48.1%,272,131-141,48.2%,1:52,45.8,41.7
39,Alexandre Muller[FRA],11,6-5,54.5%,61.4%,61.4%,29,3.4%,19,2.2%,7.2%,69.2%,65.8%,51.3%,55.3%,77.3%,6.7,2.6,39,Alexandre Muller[FRA],11,37.7%,37.8%,6.8%,4.0%,28.5%,52.5%,24.2%,6.3,2.4,24.0,66.4,39,Alexandre Muller[FRA],11,44.8%,30,67,0.54,2.5,6.1,1.11,2.7,61.8%,47,76,0.59,2.8,6.9,1.07,2.6,39,Alexandre Muller[FRA],11,0.98,1638,50.1%,4,1-3,25.0%,14.8%,27,14-13,51.9%,252,129-123,51.2%,1:46,43.1,42.7
