Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
27,Felix Auger Aliassime,11,36.4,62.9,61.8,11.2,5.2,14.6,64.6,73.1,44.1,51.6,76.0,6.5,32.3,32.0,6.1,3.4,28.5,39.8,6.4,5.0,4.9,30.9,55,0.45,2.0,5.0,0.63,1.5,55.2,0.54,2.5,6.1,1.11,2.7,48.0,33.3,37.0
28,Denis Shapovalov,2,0.0,57.3,58.4,4.7,5.2,12.8,59.2,67.2,43.0,49.3,75.9,7.3,26.3,28.2,11.1,1.8,21.3,40.9,5.5,6.5,6.5,42.9,7,0.23,1.2,3.5,0.5,1.5,69.6,0.79,3.8,11.5,1.17,3.5,43.5,0.0,16.7
29,Brandon Nakashima,5,20.0,60.9,58.6,7.8,1.6,3.9,58.4,70.1,48.1,50.0,75.0,6.8,26.3,27.2,12.0,3.3,15.4,44.0,6.0,8.0,6.8,9.5,21,0.32,1.5,4.2,0.14,0.4,63.6,0.69,3.1,8.8,1.14,3.2,44.6,50.0,28.6
30,Matteo Berrettini,1,0.0,63.6,57.3,17.3,1.9,6.5,71.6,70.7,45.7,48.8,90.9,7.4,28.1,29.3,7.4,1.5,18.2,46.8,6.1,1.0,1.0,57.1,7,0.32,1.8,7.0,1.0,4.0,80.0,0.45,2.5,10.0,0.5,2.0,47.5,0.0,25.0
31,Hubert Hurkacz,6,16.7,67.6,63.1,15.1,1.7,4.8,65.1,76.8,50.5,53.0,89.0,6.6,27.1,26.9,7.0,2.8,17.7,44.3,6.2,5.5,5.8,29.2,24,0.26,1.4,4.0,0.41,1.2,75.6,0.45,2.4,6.8,0.59,1.7,47.8,25.0,29.4
32,Alex Michelsen,5,20.0,58.4,58.3,4.2,2.9,7.9,63.1,68.5,41.0,44.5,69.0,6.5,31.8,32.4,8.8,3.4,24.2,42.8,6.2,4.0,4.2,36.0,25,0.44,2.1,5.0,0.75,1.8,58.1,0.74,3.6,8.6,1.5,3.6,45.5,0.0,16.7
33,Sebastian Baez,4,0.0,55.4,55.4,1.9,1.6,6.1,74.1,59.8,42.7,45.5,63.3,6.4,34.0,37.1,10.7,1.3,23.9,48.8,6.2,5.5,5.3,35.3,17,0.34,1.5,4.3,0.55,1.5,40.0,0.61,2.7,7.5,1.64,4.5,44.8,0.0,18.2
34,Flavio Cobolli,8,0.0,55.3,55.0,4.9,3.4,7.5,53.9,65.2,43.8,47.3,64.4,7.0,30.9,31.4,9.9,3.8,22.3,43.8,6.1,7.0,7.1,28.2,39,0.43,2.0,4.9,0.55,1.4,66.3,1.06,4.6,11.5,1.55,3.9,43.8,0.0,10.0
35,Tallon Griekspoor,17,11.8,62.8,61.3,10.0,3.8,11.5,66.6,71.7,45.2,51.0,77.9,6.5,27.1,29.5,13.8,2.3,20.3,41.6,5.9,3.0,4.6,26.2,61,0.29,1.4,3.6,0.37,0.9,60.3,0.56,2.7,6.8,1.07,2.7,45.7,30.8,23.3
36,Giovanni Mpetshi Perricard,1,0.0,67.3,71.4,12.7,10.9,19.4,43.6,83.3,54.8,68.0,80.0,5.5,23.2,24.0,8.9,1.8,26.5,18.2,5.6,3.0,3.0,0.0,3,0.3,1.5,3.0,0.0,0.0,0.0,0.2,1.0,2.0,1.0,2.0,45.0,-,0.0
