Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
11,Daniil Medvedev,8,75.0,68.0,67.8,11.0,5.0,14.7,66.3,75.0,54.1,63.4,87.0,6.3,36.0,36.7,8.0,3.5,26.5,52.3,6.4,41.5,42.3,49.1,53,0.4,2.0,6.6,1.0,3.3,64.6,0.37,1.8,6.0,0.65,2.1,51.9,62.5,65.4
12,Tommy Paul,12,83.3,68.1,66.7,8.2,2.0,5.5,63.5,74.9,56.3,59.5,85.0,6.1,38.6,39.3,6.0,2.7,33.0,49.2,6.2,28.0,44.7,44.7,94,0.56,2.7,7.8,1.2,3.5,68.3,0.47,2.3,6.8,0.74,2.2,53.4,100.0,71.4
13,Ben Shelton,8,50.0,68.4,67.2,12.2,4.2,13.8,69.6,75.9,51.1,59.2,90.6,6.5,31.6,31.9,9.3,4.1,23.4,46.5,6.4,109.5,115.0,32.7,55,0.4,2.0,6.9,0.64,2.3,78.7,0.44,2.2,7.6,0.46,1.6,50.2,25.0,46.4
14,Arthur Fils,9,66.7,65.6,66.5,7.3,5.0,12.8,61.1,75.3,50.4,57.8,83.8,6.4,33.9,34.4,7.3,3.1,26.6,46.1,6.2,36.0,45.6,35.4,65,0.48,2.4,7.2,0.85,2.6,68.1,0.51,2.6,7.7,0.81,2.4,50.1,66.7,59.3
15,Grigor Dimitrov,6,66.7,73.5,72.6,14.3,4.2,10.2,59.2,85.6,55.9,62.3,90.5,5.4,37.8,39.6,10.6,4.0,27.7,53.8,6.2,28.0,38.2,48.8,41,0.51,2.4,6.8,1.18,3.3,69.2,0.31,1.5,4.3,0.47,1.3,54.8,0.0,70.6
16,Frances Tiafoe,6,50.0,66.1,65.4,8.7,3.6,9.1,60.5,77.4,48.7,53.6,87.1,6.6,34.4,37.2,13.1,3.3,29.3,45.2,6.2,64.5,59.3,44.2,43,0.42,2.0,7.2,0.9,3.2,69.8,0.43,2.0,7.2,0.62,2.2,50.5,40.0,57.1
17,Andrey Rublev,2,0.0,63.2,62.6,7.5,3.5,8.8,60.2,74.4,46.3,50.7,81.8,6.1,32.8,37.3,14.4,1.5,25.4,46.5,6.5,87.5,87.5,25.0,12,0.39,2.0,6.0,0.5,1.5,45.5,0.33,1.8,5.5,1.0,3.0,48.0,0.0,16.7
18,Francisco Cerundolo,3,0.0,63.3,63.5,6.0,3.8,9.6,60.4,71.2,51.2,56.6,80.9,6.7,25.6,25.6,6.1,2.2,20.1,35.7,5.8,44.0,30.7,28.6,14,0.29,1.6,4.7,0.44,1.3,67.9,0.6,3.1,9.3,1.0,3.0,45.7,33.3,22.2
19,Stefanos Tsitsipas,4,50.0,72.7,71.4,12.7,3.2,9.6,66.2,79.2,60.0,66.4,91.8,6.1,29.4,29.6,8.1,3.1,21.7,42.4,6.6,85.5,98.3,35.7,14,0.24,1.3,3.5,0.45,1.3,68.8,0.26,1.5,4.0,0.45,1.3,50.7,60.0,54.5
20,Tomas Machac,3,33.3,55.9,55.0,3.5,1.2,3.4,66.3,58.7,50.4,52.2,62.3,6.5,38.4,38.3,8.4,5.4,27.5,55.8,6.3,44.0,54.7,35.7,42,0.79,3.8,14.0,1.36,5.0,42.9,0.66,3.2,11.7,1.82,6.7,47.4,100.0,36.4
21,Jakub Mensik,6,33.3,62.3,62.0,11.1,6.3,14.6,56.8,74.8,45.9,53.8,76.2,6.4,34.1,35.5,12.4,4.6,24.8,51.7,5.9,69.5,104.7,40.6,32,0.38,1.8,5.3,0.72,2.2,61.5,0.62,2.9,8.7,1.11,3.3,48.7,100.0,38.9
