Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
78,Hugo Gaston,29,44.8,59.2,59.4,3.5,2.6,6.1,57.2,65.5,50.8,54.1,70.1,6.6,36.8,37.7,7.7,3.3,31.0,47.2,6.4,64.0,79.4,37.6,218,0.57,2.8,7.5,1.04,2.8,56.2,0.68,3.3,8.9,1.43,3.9,48.2,69.2,41.8
79,Aleksandar Vukic,47,46.8,64.1,61.1,11.2,2.2,5.4,59.4,73.7,50.0,52.8,79.4,6.5,33.6,34.5,9.8,3.8,24.4,48.3,6.3,60.0,90.8,36.6,257,0.44,2.2,5.5,0.79,2.0,62.1,0.54,2.6,6.7,1.0,2.5,49.1,67.9,47.1
80,Aleksandar Kovacevic,32,31.3,64.9,63.1,12.0,4.2,10.2,59.1,75.9,49.0,54.5,82.6,6.4,31.8,33.6,11.9,3.4,24.6,43.1,6.2,60.5,119.0,32.3,167,0.39,2.0,5.2,0.64,1.7,66.8,0.52,2.6,7.0,0.87,2.3,48.5,30.0,35.3
81,Christopher Oconnell,39,43.6,63.8,61.6,9.8,2.6,6.4,59.1,73.7,49.4,52.8,81.2,6.6,33.7,35.4,11.3,3.6,25.4,48.0,6.3,48.0,67.1,34.8,207,0.45,2.2,5.3,0.77,1.8,64.0,0.52,2.5,6.1,0.9,2.2,49.0,50.0,45.7
82,Rinky Hijikata,37,40.5,59.6,59.7,5.2,3.8,9.1,58.8,68.3,47.1,51.8,71.7,6.6,36.2,37.6,9.4,3.4,28.4,48.8,6.4,51.5,60.6,36.4,242,0.52,2.5,6.5,0.93,2.4,60.4,0.72,3.4,8.7,1.34,3.4,47.9,66.7,40.0
83,Corentin Moutet,30,43.3,60.0,60.3,2.1,2.0,6.0,67.2,65.7,48.3,51.4,71.5,6.6,38.9,38.5,3.8,3.0,34.7,47.6,6.7,53.0,58.8,40.6,249,0.64,3.0,8.3,1.23,3.4,58.4,0.69,3.2,8.7,1.33,3.6,49.3,43.8,45.1
84,Borna Coric,31,38.7,64.0,62.6,8.6,2.9,7.6,61.3,71.9,51.5,55.7,80.7,6.6,35.2,35.9,9.1,4.1,26.6,48.1,6.6,42.0,56.0,37.0,173,0.47,2.3,5.6,0.84,2.1,64.5,0.54,2.6,6.5,0.93,2.3,49.6,29.4,42.1
85,Botic Van De Zandschulp,44,40.9,61.0,61.6,6.1,4.8,12.9,62.7,70.3,45.3,52.0,74.4,6.6,36.7,37.0,7.0,3.7,28.1,50.7,6.5,57.5,82.0,38.0,279,0.53,2.6,6.3,0.99,2.4,59.9,0.64,3.1,7.5,1.24,3.0,49.0,38.1,41.1
86,Raphael Collignon,3,0.0,63.7,70.2,4.9,11.3,33.3,66.2,72.6,46.4,69.6,73.5,6.0,28.8,29.6,7.3,1.8,23.3,43.3,6.4,93.0,106.3,12.5,8,0.24,1.1,2.7,0.14,0.3,62.5,0.71,3.4,8.0,1.29,3.0,45.6,50.0,14.3
87,Jan Lennard Struff,51,58.8,66.4,65.8,11.1,4.8,11.6,58.2,77.3,51.4,58.1,84.5,6.5,36.6,37.8,10.1,4.2,27.9,50.1,6.7,39.0,61.6,33.0,388,0.56,2.8,7.6,0.93,2.5,66.6,0.46,2.3,6.3,0.78,2.1,51.2,62.8,58.0
