Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
22,Ugo Humbert[FRA],1,1-0,100.0%,75.0%,75.5%,5,8.3%,2,3.3%,8.0%,58.3%,82.9%,64.0%,69.6%,100.0%,6.0,1.5,Ugo Humbert[FRA],1,36.2%,37.3%,8.6%,3.4%,25.8%,48.1%,20.0%,5.8,2.1,62.0,62.0,Ugo Humbert[FRA],1,33.3%,2,6,0.60,3.0,6.0,1.00,2.0,100.0%,1,1,0.10,0.5,1.0,0.00,0.0,Ugo Humbert[FRA],1,1.45,118,55.9%,0,0-0,-,0.0%,2,2-0,100.0%,20,12-8,60.0%,1:30,45.0,45.8
23,Sebastian Korda[USA],1,1-0,100.0%,75.0%,73.1%,13,19.1%,3,4.4%,12.5%,64.7%,84.1%,58.3%,66.7%,100.0%,6.2,1.5,Sebastian Korda[USA],1,29.5%,28.1%,3.3%,3.3%,26.1%,40.0%,10.0%,6.1,1.8,55.0,55.0,Sebastian Korda[USA],1,100.0%,1,1,0.10,0.5,1.0,0.50,1.0,-,0,0,0.00,0.0,0.0,0.00,0.0,Sebastian Korda[USA],1,1.18,129,53.5%,1,1-0,100.0%,50.0%,2,2-0,100.0%,21,12-9,57.1%,1:19,39.5,36.7
24,Karen Khachanov[RUS],1,0-1,0.0%,51.1%,53.3%,0,0.0%,2,4.3%,10.5%,59.6%,46.4%,57.9%,64.7%,55.6%,5.2,2.6,Karen Khachanov[RUS],1,23.3%,22.5%,4.7%,2.3%,26.7%,15.4%,0.0%,5.4,1.3,13.0,13.0,Karen Khachanov[RUS],1,-,0,0,0.00,0.0,0.0,0.00,0.0,33.3%,2,6,0.67,3.0,6.0,2.00,4.0,Karen Khachanov[RUS],1,0.48,90,37.8%,0,0-0,-,0.0%,2,0-2,0.0%,17,5-12,29.4%,1:07,33.5,44.7
26,Alejandro Davidovich Fokina[ESP],3,2-1,66.7%,57.8%,58.5%,4,1.6%,6,2.3%,7.1%,67.2%,65.1%,42.9%,46.2%,72.7%,7.8,3.3,Alejandro Davidovich Fokina[ESP],3,42.2%,41.7%,2.6%,2.6%,36.2%,50.0%,30.3%,7.0,2.9,32.0,24.3,Alejandro Davidovich Fokina[ESP],3,43.5%,10,23,0.70,3.8,7.7,1.67,3.3,73.5%,25,34,1.03,5.7,11.3,1.50,3.0,Alejandro Davidovich Fokina[ESP],3,1.00,486,50.4%,3,2-1,66.7%,50.0%,6,4-2,66.7%,66,34-32,51.5%,2:02,61.0,45.2
27,Felix Auger Aliassime[CAN],4,3-1,75.0%,65.1%,63.1%,51,13.0%,17,4.3%,12.2%,64.6%,74.4%,48.2%,54.9%,86.4%,6.7,2.3,Felix Auger Aliassime[CAN],4,34.5%,35.9%,8.3%,2.4%,27.2%,48.1%,16.9%,6.3,2.2,44.5,57.5,Felix Auger Aliassime[CAN],4,31.3%,10,32,0.54,2.9,8.0,0.91,2.5,75.0%,24,32,0.54,2.9,8.0,0.73,2.0,Felix Auger Aliassime[CAN],4,0.99,767,50.2%,3,2-1,66.7%,27.3%,11,7-4,63.6%,118,61-57,51.7%,2:27,53.5,46.1
28,Denis Shapovalov[CAN],2,1-1,50.0%,59.9%,60.5%,8,4.7%,7,4.1%,9.9%,58.7%,70.3%,45.1%,50.0%,82.6%,7.5,3.0,Denis Shapovalov[CAN],2,38.4%,38.1%,1.4%,1.4%,33.0%,48.9%,27.3%,6.3,2.4,28.5,28.5,Denis Shapovalov[CAN],2,60.0%,6,10,0.45,2.5,5.0,1.50,3.0,69.2%,9,13,0.57,3.3,6.5,1.00,2.0,Denis Shapovalov[CAN],2,0.96,310,50.3%,2,0-2,0.0%,50.0%,4,2-2,50.0%,45,25-20,55.6%,1:55,57.3,44.3
29,Brandon Nakashima[USA],2,0-2,0.0%,59.1%,56.0%,13,7.9%,1,0.6%,1.7%,64.6%,67.9%,43.1%,43.9%,68.0%,6.6,2.7,Brandon Nakashima[USA],2,36.0%,36.7%,5.8%,2.2%,30.1%,44.6%,29.2%,5.8,2.1,21.0,21.0,Brandon Nakashima[USA],2,53.8%,7,13,0.54,2.6,6.5,1.40,3.5,50.0%,8,16,0.64,3.2,8.0,1.60,4.0,Brandon Nakashima[USA],2,0.88,303,48.5%,1,0-1,0.0%,20.0%,5,1-4,20.0%,49,24-25,49.0%,1:52,44.8,44.4
31,Hubert Hurkacz[POL],2,1-1,50.0%,69.0%,64.5%,20,13.8%,1,0.7%,2.1%,66.9%,75.3%,56.3%,57.4%,87.5%,6.0,1.9,Hubert Hurkacz[POL],2,35.2%,34.3%,4.1%,3.4%,30.1%,44.2%,16.7%,6.0,2.1,40.5,40.5,Hubert Hurkacz[POL],2,40.0%,4,10,0.42,2.0,5.0,0.80,2.0,66.7%,6,9,0.38,1.8,4.5,0.60,1.5,Hubert Hurkacz[POL],2,1.13,290,52.1%,1,1-0,100.0%,20.0%,5,3-2,60.0%,48,25-23,52.1%,1:39,39.6,41.0
32,Alex Michelsen[USA],1,0-1,0.0%,59.7%,65.5%,1,1.6%,6,9.7%,26.1%,62.9%,64.1%,52.2%,70.6%,70.0%,6.2,2.5,Alex Michelsen[USA],1,36.0%,36.4%,8.0%,4.0%,27.7%,50.0%,18.2%,6.8,2.5,56.0,56.0,Alex Michelsen[USA],1,50.0%,2,4,0.36,2.0,4.0,1.00,2.0,25.0%,1,4,0.40,2.0,4.0,1.50,3.0,Alex Michelsen[USA],1,0.89,137,46.7%,1,0-1,0.0%,50.0%,2,0-2,0.0%,21,9-12,42.9%,1:32,46.0,40.3
33,Sebastian Baez[ARG],3,3-0,100.0%,63.9%,63.0%,10,5.0%,3,1.5%,5.7%,73.8%,65.8%,58.5%,62.0%,87.1%,6.5,2.4,Sebastian Baez[ARG],3,47.0%,46.6%,2.0%,2.5%,36.1%,64.1%,46.9%,6.3,2.9,90.0,83.3,Sebastian Baez[ARG],3,50.0%,15,30,0.94,3.8,10.0,1.88,5.0,76.5%,13,17,0.55,2.1,5.7,0.50,1.3,Sebastian Baez[ARG],3,1.30,402,55.5%,0,0-0,-,0.0%,8,6-2,75.0%,63,42-21,66.7%,1:38,36.9,44.0
34,Flavio Cobolli[ITA],1,1-0,100.0%,72.3%,73.8%,3,6.4%,2,4.3%,10.5%,59.6%,78.6%,63.2%,70.6%,100.0%,5.9,1.6,Flavio Cobolli[ITA],1,54.0%,54.2%,2.0%,2.0%,51.5%,58.8%,57.1%,7.1,3.9,65.0,65.0,Flavio Cobolli[ITA],1,33.3%,4,12,1.71,6.0,12.0,2.00,4.0,-,0,0,0.00,0.0,0.0,0.00,0.0,Flavio Cobolli[ITA],1,1.95,97,62.9%,0,0-0,-,0.0%,2,2-0,100.0%,15,12-3,80.0%,1:03,31.5,39.0
35,Tallon Griekspoor[NED],2,1-1,50.0%,68.6%,65.6%,16,11.4%,2,1.4%,4.0%,64.3%,77.8%,52.0%,54.2%,86.4%,6.4,2.0,Tallon Griekspoor[NED],2,28.1%,29.2%,9.9%,2.5%,16.2%,46.8%,9.1%,5.5,1.5,66.5,66.5,Tallon Griekspoor[NED],2,66.7%,2,3,0.14,0.8,1.5,0.50,1.0,66.7%,6,9,0.41,2.3,4.5,0.75,1.5,Tallon Griekspoor[NED],2,0.89,261,49.8%,1,1-0,100.0%,25.0%,4,2-2,50.0%,44,21-23,47.7%,1:35,47.5,43.7
