Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],4,1-3,25.0%,66.9%,65.1%,51,14.8%,18,5.2%,14.0%,62.5%,79.5%,45.7%,53.2%,84.6%,6.6,2.2,Jakub Mensik[CZE],4,32.2%,33.4%,9.6%,3.0%,27.0%,43.1%,13.5%,6.4,2.1,26.0,26.5,Jakub Mensik[CZE],4,35.0%,7,20,0.38,2.0,5.0,0.70,1.8,65.2%,15,23,0.44,2.3,5.8,0.80,2.0,Jakub Mensik[CZE],4,0.97,679,49.8%,5,2-3,40.0%,50.0%,10,4-6,40.0%,104,51-53,49.0%,1:51,44.5,39.3
22,Ugo Humbert[FRA],1,1-0,100.0%,73.0%,73.2%,5,7.9%,2,3.2%,6.9%,54.0%,85.3%,58.6%,63.0%,100.0%,6.3,1.7,Ugo Humbert[FRA],1,35.9%,40.0%,12.5%,1.6%,32.5%,41.7%,20.0%,6.4,2.3,35.0,35.0,Ugo Humbert[FRA],1,33.3%,2,6,0.60,3.0,6.0,1.00,2.0,100.0%,3,3,0.30,1.5,3.0,0.00,0.0,Ugo Humbert[FRA],1,1.33,127,54.3%,0,0-0,-,0.0%,2,2-0,100.0%,20,12-8,60.0%,1:38,49.0,46.3
23,Sebastian Korda[USA],1,0-1,0.0%,69.6%,65.3%,7,12.5%,0,0.0%,0.0%,66.1%,70.3%,68.4%,68.4%,80.0%,5.6,1.7,Sebastian Korda[USA],1,20.3%,25.0%,18.6%,0.0%,16.3%,40.0%,9.1%,5.4,1.1,41.0,41.0,Sebastian Korda[USA],1,100.0%,1,1,0.09,0.5,1.0,0.50,1.0,0.0%,0,2,0.20,1.0,2.0,1.00,2.0,Sebastian Korda[USA],1,0.67,115,44.3%,1,0-1,0.0%,50.0%,2,0-2,0.0%,21,9-12,42.9%,1:22,41.0,42.8
24,Karen Khachanov[RUS],1,1-0,100.0%,59.2%,56.3%,6,8.5%,1,1.4%,3.8%,63.4%,66.7%,46.2%,48.0%,72.7%,6.5,2.6,Karen Khachanov[RUS],1,42.6%,44.4%,5.9%,1.5%,37.5%,50.0%,45.5%,6.2,2.6,30.0,30.0,Karen Khachanov[RUS],1,41.7%,5,12,1.09,6.0,12.0,2.50,5.0,70.0%,7,10,0.91,5.0,10.0,1.50,3.0,Karen Khachanov[RUS],1,1.04,139,51.1%,0,0-0,-,0.0%,2,2-0,100.0%,22,13-9,59.1%,1:45,52.5,45.3
25,Alexei Popyrin[AUS],1,0-1,0.0%,56.1%,52.3%,9,15.8%,4,7.0%,21.1%,66.7%,63.2%,42.1%,53.3%,62.5%,7.1,3.1,Alexei Popyrin[AUS],1,21.3%,21.7%,2.1%,0.0%,18.8%,26.7%,0.0%,5.2,1.1,42.0,42.0,Alexei Popyrin[AUS],1,-,0,0,0.00,0.0,0.0,0.00,0.0,66.7%,6,9,1.13,4.5,9.0,1.50,3.0,Alexei Popyrin[AUS],1,0.49,104,40.4%,0,0-0,-,0.0%,2,0-2,0.0%,17,5-12,29.4%,1:09,34.5,39.8
26,Alejandro Davidovich Fokina[ESP],4,3-1,75.0%,64.4%,64.3%,8,3.2%,4,1.6%,5.1%,68.8%,70.7%,50.6%,53.3%,77.5%,6.3,2.3,Alejandro Davidovich Fokina[ESP],4,42.9%,46.4%,12.3%,4.0%,35.6%,56.2%,35.9%,6.5,2.8,27.0,103.5,Alejandro Davidovich Fokina[ESP],4,45.2%,14,31,0.79,3.9,7.8,1.75,3.5,59.1%,13,22,0.55,2.8,5.5,1.13,2.3,Alejandro Davidovich Fokina[ESP],4,1.20,505,53.7%,2,2-0,100.0%,25.0%,8,6-2,75.0%,79,45-34,57.0%,1:37,48.4,46.0
27,Felix Auger Aliassime[CAN],4,4-0,100.0%,73.2%,69.4%,39,17.4%,5,2.2%,7.0%,68.3%,81.0%,56.3%,60.6%,97.3%,6.1,1.6,Felix Auger Aliassime[CAN],4,36.7%,36.7%,4.2%,2.5%,28.1%,49.0%,23.1%,6.1,2.2,58.0,77.3,Felix Auger Aliassime[CAN],4,34.6%,9,26,0.67,3.3,6.5,1.13,2.3,93.8%,15,16,0.43,2.0,4.0,0.13,0.3,Felix Auger Aliassime[CAN],4,1.37,461,54.4%,1,1-0,100.0%,12.5%,8,7-1,87.5%,76,45-31,59.2%,1:28,43.8,45.6
28,Denis Shapovalov[CAN],2,2-0,100.0%,66.4%,68.4%,9,6.7%,8,6.0%,16.3%,63.4%,65.9%,67.3%,80.5%,82.6%,5.8,2.0,Denis Shapovalov[CAN],2,44.6%,46.3%,3.6%,0.0%,38.3%,57.8%,40.9%,6.3,2.8,38.5,38.5,Denis Shapovalov[CAN],2,56.3%,9,16,0.73,3.2,8.0,1.80,4.5,42.9%,3,7,0.30,1.4,3.5,0.80,2.0,Denis Shapovalov[CAN],2,1.33,273,55.3%,1,1-0,100.0%,20.0%,5,4-1,80.0%,45,28-17,62.2%,1:42,40.8,44.8
29,Brandon Nakashima[USA],3,2-1,66.7%,64.3%,61.2%,24,12.1%,5,2.5%,7.0%,64.3%,70.3%,53.5%,57.6%,87.1%,6.4,2.3,Brandon Nakashima[USA],3,36.0%,36.6%,5.9%,2.5%,32.8%,41.0%,22.6%,6.5,2.4,63.0,72.7,Brandon Nakashima[USA],3,41.2%,7,17,0.55,2.8,5.7,1.17,2.3,60.0%,6,10,0.32,1.7,3.3,0.67,1.3,Brandon Nakashima[USA],3,1.01,402,50.0%,2,1-1,50.0%,33.3%,6,4-2,66.7%,62,34-28,54.8%,1:42,51.0,45.7
30,Matteo Berrettini[ITA],3,0-3,0.0%,68.5%,64.0%,39,12.4%,0,0.0%,0.0%,77.1%,73.1%,52.8%,52.8%,87.2%,6.7,2.1,Matteo Berrettini[ITA],3,26.5%,27.5%,11.6%,3.0%,20.8%,40.8%,8.5%,5.7,1.5,11.0,10.3,Matteo Berrettini[ITA],3,26.7%,4,15,0.32,1.7,5.0,0.44,1.3,78.6%,22,28,0.60,3.1,9.3,0.67,2.0,Matteo Berrettini[ITA],3,0.84,582,49.1%,2,1-1,50.0%,22.2%,9,3-6,33.3%,94,45-49,47.9%,2:21,46.9,43.5
