Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],5,4-1,80.0%,66.2%,64.7%,51,12.1%,18,4.3%,10.4%,59.1%,75.6%,52.6%,58.7%,86.8%,6.2,2.1,Jakub Mensik[CZE],5,36.4%,37.0%,8.7%,4.1%,28.0%,51.0%,21.9%,6.1,2.2,17.0,38.6,Jakub Mensik[CZE],5,36.8%,14,38,0.59,2.7,7.6,1.00,2.8,70.0%,21,30,0.44,2.1,6.0,0.64,1.8,Jakub Mensik[CZE],5,1.08,816,51.8%,1,0-1,0.0%,7.1%,14,9-5,64.3%,132,73-59,55.3%,1:56,41.6,42.8
22,Ugo Humbert[FRA],2,1-1,50.0%,67.9%,65.6%,11,10.1%,2,1.8%,6.5%,71.6%,70.5%,61.3%,65.5%,80.0%,5.5,1.8,Ugo Humbert[FRA],2,34.5%,35.1%,8.2%,3.6%,22.7%,60.0%,21.1%,5.8,2.0,36.0,36.0,Ugo Humbert[FRA],2,44.4%,4,9,0.47,2.3,4.5,1.00,2.0,42.9%,3,7,0.35,1.8,3.5,1.00,2.0,Ugo Humbert[FRA],2,1.08,219,51.1%,0,0-0,-,0.0%,4,2-2,50.0%,39,20-19,51.3%,1:20,39.8,43.6
23,Sebastian Korda[USA],4,2-2,50.0%,71.7%,69.1%,43,11.5%,5,1.3%,3.6%,62.7%,82.1%,54.3%,56.3%,90.2%,6.1,1.7,Sebastian Korda[USA],4,30.0%,32.5%,17.7%,4.7%,20.3%,49.0%,9.1%,6.4,1.9,35.5,38.0,Sebastian Korda[USA],4,17.1%,6,35,0.53,2.9,8.8,0.50,1.5,64.7%,11,17,0.28,1.4,4.3,0.50,1.5,Sebastian Korda[USA],4,1.06,799,49.6%,5,2-3,40.0%,41.7%,12,6-6,50.0%,127,61-66,48.0%,2:05,41.8,37.6
24,Karen Khachanov[RUS],8,5-3,62.5%,66.9%,64.8%,83,10.0%,18,2.2%,5.7%,61.7%,74.5%,54.7%,58.1%,82.1%,6.2,2.0,Karen Khachanov[RUS],8,35.5%,37.1%,12.3%,4.7%,21.3%,54.4%,22.4%,6.5,2.3,40.5,58.9,Karen Khachanov[RUS],8,42.3%,30,71,0.53,2.7,8.9,1.15,3.8,61.3%,38,62,0.46,2.4,7.8,0.92,3.0,Karen Khachanov[RUS],8,1.07,1699,50.8%,9,5-4,55.6%,34.6%,26,15-11,57.7%,268,140-128,52.2%,2:44,50.4,46.3
25,Alexei Popyrin[AUS],5,3-2,60.0%,67.8%,65.9%,48,11.1%,12,2.8%,7.1%,60.9%,75.7%,55.6%,59.9%,92.2%,6.8,2.2,Alexei Popyrin[AUS],5,29.5%,30.9%,11.1%,2.9%,20.8%,44.6%,7.8%,6.4,1.9,66.0,60.6,Alexei Popyrin[AUS],5,35.7%,5,14,0.22,1.2,2.8,0.42,1.0,78.3%,18,23,0.36,1.9,4.6,0.42,1.0,Alexei Popyrin[AUS],5,0.92,839,49.2%,5,2-3,40.0%,41.7%,12,6-6,50.0%,128,64-64,50.0%,1:47,44.5,38.2
26,Alejandro Davidovich Fokina[ESP],2,0-2,0.0%,60.0%,59.0%,10,5.7%,4,2.3%,6.5%,64.6%,65.5%,50.0%,53.4%,66.7%,5.8,2.3,Alejandro Davidovich Fokina[ESP],2,40.7%,41.7%,5.6%,2.3%,30.9%,62.7%,27.6%,7.4,3.0,138.0,138.0,Alejandro Davidovich Fokina[ESP],2,33.3%,8,24,0.83,4.0,12.0,1.33,4.0,28.6%,4,14,0.47,2.3,7.0,1.67,5.0,Alejandro Davidovich Fokina[ESP],2,1.02,391,49.4%,1,0-1,0.0%,16.7%,6,2-4,33.3%,59,28-31,47.5%,2:21,47.0,43.3
27,Felix Auger Aliassime[CAN],5,2-3,40.0%,65.4%,64.8%,44,9.9%,20,4.5%,11.4%,60.4%,73.2%,53.4%,60.3%,84.1%,6.4,2.2,Felix Auger Aliassime[CAN],5,35.7%,36.6%,10.8%,4.8%,27.9%,50.3%,20.0%,6.5,2.3,57.0,58.8,Felix Auger Aliassime[CAN],5,42.4%,14,33,0.47,2.4,6.6,1.00,2.8,70.3%,26,37,0.54,2.6,7.4,0.79,2.2,Felix Auger Aliassime[CAN],5,1.03,899,50.4%,3,0-3,0.0%,21.4%,14,6-8,42.9%,139,72-67,51.8%,2:02,43.4,40.6
28,Denis Shapovalov[CAN],7,5-2,71.4%,69.9%,73.9%,55,9.5%,51,8.8%,22.5%,60.7%,81.8%,51.5%,66.5%,89.4%,6.1,1.9,Denis Shapovalov[CAN],7,36.2%,37.2%,7.8%,3.0%,30.0%,46.8%,22.1%,6.7,2.4,71.0,85.0,Denis Shapovalov[CAN],7,37.5%,21,56,0.59,2.9,8.0,1.11,3.0,71.4%,25,35,0.37,1.8,5.0,0.53,1.4,Denis Shapovalov[CAN],7,1.20,1219,52.2%,5,3-2,60.0%,26.3%,19,13-6,68.4%,189,105-84,55.6%,1:59,43.8,41.0
29,Brandon Nakashima[USA],10,8-2,80.0%,68.6%,66.1%,81,11.3%,14,2.0%,5.7%,65.8%,76.2%,54.1%,57.4%,87.8%,6.2,1.9,Brandon Nakashima[USA],10,36.3%,35.4%,7.3%,5.3%,28.5%,47.4%,22.3%,6.4,2.3,54.0,76.8,Brandon Nakashima[USA],10,40.3%,25,62,0.55,2.7,6.2,1.09,2.5,70.8%,34,48,0.42,2.1,4.8,0.61,1.4,Brandon Nakashima[USA],10,1.16,1428,52.5%,4,4-0,100.0%,17.4%,23,17-6,73.9%,227,126-101,55.5%,1:44,45.1,43.6
30,Matteo Berrettini[ITA],4,4-0,100.0%,75.7%,73.4%,27,10.8%,2,0.8%,2.6%,69.3%,82.8%,59.7%,61.3%,95.2%,6.0,1.5,Matteo Berrettini[ITA],4,34.2%,34.0%,5.8%,3.3%,31.8%,38.4%,21.4%,6.5,2.2,50.5,57.5,Matteo Berrettini[ITA],4,50.0%,9,18,0.43,2.3,4.5,1.13,2.3,77.8%,7,9,0.21,1.1,2.3,0.25,0.5,Matteo Berrettini[ITA],4,1.41,526,54.0%,3,3-0,100.0%,37.5%,8,8-0,100.0%,84,49-35,58.3%,1:34,46.9,42.8
