Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
26,Alejandro Davidovich Fokina[ESP],4,3-1,75.0%,62.4%,62.3%,27,5.8%,15,3.2%,10.4%,69.1%,66.1%,54.2%,60.5%,77.6%,7.0,2.6,Alejandro Davidovich Fokina[ESP],4,39.2%,39.7%,7.0%,3.7%,33.0%,49.4%,29.9%,6.4,2.5,102.0,95.5,Alejandro Davidovich Fokina[ESP],4,47.6%,20,42,0.63,3.2,10.5,1.54,5.0,63.4%,26,41,0.61,3.2,10.3,1.15,3.8,Alejandro Davidovich Fokina[ESP],4,1.04,897,51.3%,4,3-1,75.0%,30.8%,13,9-4,69.2%,134,72-62,53.7%,1:59,36.5,31.7
27,Felix Auger Aliassime[CAN],6,4-2,66.7%,69.6%,69.8%,74,11.9%,34,5.5%,14.8%,63.0%,79.0%,53.5%,62.8%,87.6%,5.9,1.8,Felix Auger Aliassime[CAN],6,37.1%,37.7%,6.8%,3.1%,29.4%,51.0%,17.1%,6.7,2.5,85.0,91.3,Felix Auger Aliassime[CAN],6,36.0%,18,50,0.48,2.4,8.3,0.86,3.0,67.5%,27,40,0.38,1.9,6.7,0.62,2.2,Felix Auger Aliassime[CAN],6,1.22,1322,52.3%,2,0-2,0.0%,9.5%,21,12-9,57.1%,210,110-100,52.4%,2:40,45.7,43.5
28,Denis Shapovalov[CAN],9,6-3,66.7%,65.3%,67.8%,68,8.5%,61,7.6%,19.0%,59.8%,76.4%,48.9%,60.4%,83.7%,6.2,2.1,Denis Shapovalov[CAN],9,37.3%,36.4%,4.0%,3.6%,29.9%,48.2%,21.3%,6.5,2.4,74.0,71.8,Denis Shapovalov[CAN],9,35.5%,27,76,0.60,3.0,8.4,1.08,3.0,58.0%,29,50,0.39,2.0,5.6,0.84,2.3,Denis Shapovalov[CAN],9,1.08,1622,51.1%,5,3-2,60.0%,20.0%,25,15-10,60.0%,256,135-121,52.7%,1:57,42.0,38.8
29,Brandon Nakashima[USA],7,4-3,57.1%,71.8%,68.6%,65,11.9%,4,0.7%,2.3%,67.8%,76.8%,61.4%,62.8%,92.3%,6.0,1.7,Brandon Nakashima[USA],7,37.3%,37.4%,6.5%,3.8%,31.7%,46.4%,20.7%,6.7,2.5,44.0,62.1,Brandon Nakashima[USA],7,31.6%,18,57,0.66,3.0,8.1,0.95,2.6,79.4%,27,34,0.37,1.8,4.9,0.37,1.0,Brandon Nakashima[USA],7,1.32,1130,54.0%,3,1-2,33.3%,15.8%,19,12-7,63.2%,178,102-76,57.3%,1:33,34.4,34.7
30,Matteo Berrettini[ITA],4,3-1,75.0%,70.4%,67.6%,46,11.9%,6,1.6%,4.2%,62.9%,79.3%,55.2%,57.7%,89.7%,6.6,2.0,Matteo Berrettini[ITA],4,34.8%,35.7%,7.1%,2.5%,32.2%,38.7%,20.0%,6.6,2.3,70.5,81.3,Matteo Berrettini[ITA],4,37.5%,12,32,0.53,2.7,8.0,1.00,3.0,77.8%,21,27,0.47,2.3,6.8,0.50,1.5,Matteo Berrettini[ITA],4,1.17,779,52.4%,4,4-0,100.0%,33.3%,12,9-3,75.0%,118,64-54,54.2%,2:35,51.5,47.6
31,Hubert Hurkacz[POL],4,4-0,100.0%,70.1%,64.5%,96,21.0%,13,2.8%,7.4%,61.8%,81.6%,51.4%,55.6%,90.7%,6.1,1.8,Hubert Hurkacz[POL],4,39.6%,37.2%,2.0%,5.1%,33.0%,49.0%,22.2%,6.8,2.7,175.0,209.3,Hubert Hurkacz[POL],4,40.0%,16,40,0.56,2.7,10.0,1.07,4.0,63.2%,12,19,0.25,1.3,4.8,0.47,1.8,Hubert Hurkacz[POL],4,1.32,950,54.3%,3,3-0,100.0%,20.0%,15,12-3,80.0%,147,84-63,57.1%,1:59,31.7,30.0
32,Alex Michelsen[USA],9,5-4,55.6%,60.9%,60.4%,37,4.8%,18,2.3%,7.6%,69.4%,65.9%,49.6%,53.7%,71.6%,6.7,2.6,Alex Michelsen[USA],9,38.8%,40.1%,9.3%,4.0%,31.0%,50.5%,28.1%,6.1,2.4,118.0,146.2,Alex Michelsen[USA],9,50.8%,32,63,0.55,2.4,7.0,1.23,3.6,56.6%,43,76,0.66,2.9,8.4,1.27,3.7,Alex Michelsen[USA],9,0.99,1471,50.4%,4,2-2,50.0%,15.4%,26,15-11,57.7%,230,115-115,50.0%,1:47,37.2,39.4
33,Sebastian Baez[ARG],4,3-1,75.0%,60.5%,60.1%,17,3.5%,8,1.6%,6.0%,72.9%,62.6%,54.9%,58.4%,77.1%,7.0,2.8,Sebastian Baez[ARG],4,42.7%,44.5%,8.6%,3.7%,36.0%,51.0%,32.9%,6.5,2.8,61.0,83.3,Sebastian Baez[ARG],4,48.9%,23,47,0.67,2.9,11.8,1.44,5.8,69.8%,37,53,0.76,3.3,13.3,1.00,4.0,Sebastian Baez[ARG],4,1.08,945,52.0%,2,1-1,50.0%,12.5%,16,9-7,56.3%,140,77-63,55.0%,1:56,28.9,29.3
34,Flavio Cobolli[ITA],8,7-1,87.5%,64.9%,63.5%,76,9.7%,27,3.4%,7.7%,55.0%,73.8%,54.0%,58.5%,82.0%,6.1,2.1,Flavio Cobolli[ITA],8,40.7%,40.6%,4.5%,3.3%,30.9%,56.6%,29.0%,6.3,2.6,70.5,71.4,Flavio Cobolli[ITA],8,41.3%,38,92,0.70,3.4,11.5,1.41,4.8,57.4%,31,54,0.42,2.0,6.8,0.85,2.9,Flavio Cobolli[ITA],8,1.16,1613,52.4%,1,0-1,0.0%,3.7%,27,18-9,66.7%,259,143-116,55.2%,2:03,36.4,36.6
35,Tallon Griekspoor[NED],5,5-0,100.0%,67.3%,68.2%,50,9.1%,30,5.5%,13.8%,60.2%,74.2%,56.9%,66.0%,85.4%,6.2,2.0,Tallon Griekspoor[NED],5,35.6%,35.6%,6.6%,3.7%,31.4%,43.6%,25.6%,6.0,2.1,73.0,69.0,Tallon Griekspoor[NED],5,47.8%,22,46,0.53,2.6,9.2,1.22,4.4,62.9%,22,35,0.39,1.9,7.0,0.72,2.6,Tallon Griekspoor[NED],5,1.09,1065,51.9%,4,3-1,75.0%,22.2%,18,14-4,77.8%,175,98-77,56.0%,2:05,34.7,35.2
