Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],7,4-3,57.1%,62.9%,60.2%,98,12.6%,31,4.0%,10.0%,60.2%,75.2%,44.2%,49.1%,81.3%,7.3,2.7,Jakub Mensik[CZE],7,32.5%,33.3%,9.0%,3.3%,23.4%,48.4%,16.4%,6.3,2.0,9.0,7.7,Jakub Mensik[CZE],7,34.6%,18,52,0.47,2.4,7.4,0.82,2.6,69.2%,45,65,0.61,3.0,9.3,0.91,2.9,Jakub Mensik[CZE],7,0.88,1470,48.6%,6,4-2,66.7%,27.3%,22,12-10,54.5%,217,105-112,48.4%,2:26,46.4,41.7
22,Ugo Humbert[FRA],10,4-6,40.0%,61.1%,59.7%,51,6.1%,15,1.8%,5.3%,66.1%,65.8%,51.9%,54.9%,77.0%,6.6,2.6,Ugo Humbert[FRA],10,33.6%,34.4%,10.0%,4.1%,23.0%,51.7%,17.1%,6.1,2.1,6.0,5.9,Ugo Humbert[FRA],10,33.3%,22,66,0.51,2.4,6.6,0.81,2.2,59.7%,43,72,0.57,2.7,7.2,1.07,2.9,Ugo Humbert[FRA],10,0.86,1623,47.8%,3,1-2,33.3%,11.1%,27,11-16,40.7%,255,119-136,46.7%,2:00,44.6,44.5
23,Sebastian Korda[USA],10,2-8,20.0%,59.4%,57.4%,71,7.8%,21,2.3%,5.9%,60.8%,70.0%,42.9%,45.5%,71.6%,6.8,2.8,Sebastian Korda[USA],10,32.0%,31.5%,7.5%,4.2%,21.6%,50.3%,14.2%,6.2,2.0,5.0,5.8,Sebastian Korda[USA],10,30.6%,19,62,0.46,2.3,6.2,0.70,1.9,58.7%,54,92,0.69,3.4,9.2,1.41,3.8,Sebastian Korda[USA],10,0.79,1741,46.4%,7,2-5,28.6%,25.9%,27,7-20,25.9%,268,115-153,42.9%,1:44,38.7,36.0
24,Karen Khachanov[RUS],8,3-5,37.5%,62.3%,59.1%,44,8.6%,3,0.6%,1.8%,67.0%,69.7%,47.3%,48.2%,73.8%,6.1,2.3,Karen Khachanov[RUS],8,35.3%,35.6%,8.3%,4.2%,24.9%,52.0%,18.4%,6.1,2.1,4.0,5.1,Karen Khachanov[RUS],8,37.2%,16,43,0.49,2.4,5.4,0.89,2.0,47.6%,20,42,0.50,2.3,5.3,1.22,2.8,Karen Khachanov[RUS],8,0.94,1041,48.6%,0,0-0,-,0.0%,18,7-11,38.9%,171,78-93,45.6%,1:40,44.5,46.2
25,Alexei Popyrin[AUS],10,6-4,60.0%,64.3%,62.5%,103,11.2%,35,3.8%,10.0%,61.8%,74.4%,48.0%,53.3%,84.4%,6.8,2.4,Alexei Popyrin[AUS],10,33.8%,33.2%,9.9%,5.7%,22.9%,49.5%,16.2%,6.5,2.2,5.5,5.4,Alexei Popyrin[AUS],10,31.9%,22,69,0.51,2.4,6.9,0.76,2.2,75.6%,65,86,0.64,3.0,8.6,0.72,2.1,Alexei Popyrin[AUS],10,0.95,1805,49.3%,6,3-3,50.0%,20.7%,29,15-14,51.7%,271,136-135,50.2%,2:13,45.8,44.1
26,Alejandro Davidovich Fokina[ESP],7,2-5,28.6%,59.4%,59.9%,15,2.6%,15,2.6%,8.1%,68.3%,63.2%,51.1%,55.6%,73.3%,6.5,2.6,Alejandro Davidovich Fokina[ESP],7,36.9%,38.0%,8.3%,3.3%,29.7%,52.2%,18.9%,6.4,2.4,7.0,6.7,Alejandro Davidovich Fokina[ESP],7,34.7%,17,49,0.54,2.6,7.0,0.89,2.4,55.6%,30,54,0.60,2.8,7.7,1.26,3.4,Alejandro Davidovich Fokina[ESP],7,0.91,1161,48.2%,2,0-2,0.0%,10.5%,19,6-13,31.6%,180,83-97,46.1%,1:31,33.5,32.9
27,Felix Auger Aliassime[CAN],11,4-7,36.4%,62.9%,61.8%,91,11.2%,42,5.2%,14.6%,64.6%,73.1%,44.1%,51.6%,76.0%,6.5,2.4,Felix Auger Aliassime[CAN],11,32.3%,32.0%,6.1%,3.4%,28.5%,39.8%,13.9%,6.4,2.1,5.0,4.9,Felix Auger Aliassime[CAN],11,30.9%,17,55,0.45,2.0,5.0,0.63,1.5,55.2%,37,67,0.54,2.5,6.1,1.11,2.7,Felix Auger Aliassime[CAN],11,0.87,1589,48.0%,3,1-2,33.3%,11.1%,27,10-17,37.0%,247,112-135,45.3%,1:12,29.2,29.8
28,Denis Shapovalov[CAN],2,0-2,0.0%,57.3%,58.4%,10,4.7%,11,5.2%,12.8%,59.2%,67.2%,43.0%,49.3%,75.9%,7.3,3.1,Denis Shapovalov[CAN],2,26.3%,28.2%,11.1%,1.8%,21.3%,40.9%,9.7%,5.5,1.5,6.5,6.5,Denis Shapovalov[CAN],2,42.9%,3,7,0.23,1.2,3.5,0.50,1.5,69.6%,16,23,0.79,3.8,11.5,1.17,3.5,Denis Shapovalov[CAN],2,0.62,382,43.5%,1,0-1,0.0%,16.7%,6,1-5,16.7%,60,25-35,41.7%,0:52,17.3,16.3
29,Brandon Nakashima[USA],5,1-4,20.0%,60.9%,58.6%,34,7.8%,7,1.6%,3.9%,58.4%,70.1%,48.1%,50.0%,75.0%,6.8,2.7,Brandon Nakashima[USA],5,26.3%,27.2%,12.0%,3.3%,15.4%,44.0%,3.1%,6.0,1.6,8.0,6.8,Brandon Nakashima[USA],5,9.5%,2,21,0.32,1.5,4.2,0.14,0.4,63.6%,28,44,0.69,3.1,8.8,1.14,3.2,Brandon Nakashima[USA],5,0.67,826,44.6%,4,2-2,50.0%,28.6%,14,4-10,28.6%,129,50-79,38.8%,1:22,29.4,29.9
30,Matteo Berrettini[ITA],1,0-1,0.0%,63.6%,57.3%,28,17.3%,3,1.9%,6.5%,71.6%,70.7%,45.7%,48.8%,90.9%,7.4,2.7,Matteo Berrettini[ITA],1,28.1%,29.3%,7.4%,1.5%,18.2%,46.8%,18.2%,6.1,1.7,1.0,1.0,Matteo Berrettini[ITA],1,57.1%,4,7,0.32,1.8,7.0,1.00,4.0,80.0%,8,10,0.45,2.5,10.0,0.50,2.0,Matteo Berrettini[ITA],1,0.77,297,47.5%,3,0-3,0.0%,75.0%,4,1-3,25.0%,44,24-20,54.5%,3:42,55.5,44.8
31,Hubert Hurkacz[POL],6,1-5,16.7%,67.6%,63.1%,91,15.1%,10,1.7%,4.8%,65.1%,76.8%,50.5%,53.0%,89.0%,6.6,2.1,Hubert Hurkacz[POL],6,27.1%,26.9%,7.0%,2.8%,17.7%,44.3%,7.6%,6.2,1.7,5.5,5.8,Hubert Hurkacz[POL],6,29.2%,7,24,0.26,1.4,4.0,0.41,1.2,75.6%,31,41,0.45,2.4,6.8,0.59,1.7,Hubert Hurkacz[POL],6,0.84,1175,47.8%,8,2-6,25.0%,47.1%,17,5-12,29.4%,183,88-95,48.1%,1:56,40.9,35.5
32,Alex Michelsen[USA],5,1-4,20.0%,58.4%,58.3%,16,4.2%,11,2.9%,7.9%,63.1%,68.5%,41.0%,44.5%,69.0%,6.5,2.7,Alex Michelsen[USA],5,31.8%,32.4%,8.8%,3.4%,24.2%,42.8%,15.8%,6.2,2.0,4.0,4.2,Alex Michelsen[USA],5,36.0%,9,25,0.44,2.1,5.0,0.75,1.8,58.1%,25,43,0.74,3.6,8.6,1.50,3.6,Alex Michelsen[USA],5,0.76,729,45.5%,3,0-3,0.0%,25.0%,12,2-10,16.7%,115,49-66,42.6%,1:45,43.8,43.3
33,Sebastian Baez[ARG],4,0-4,0.0%,55.4%,55.4%,6,1.9%,5,1.6%,6.1%,74.1%,59.8%,42.7%,45.5%,63.3%,6.4,2.9,Sebastian Baez[ARG],4,34.0%,37.1%,10.7%,1.3%,23.9%,48.8%,12.0%,6.2,2.1,5.5,5.3,Sebastian Baez[ARG],4,35.3%,6,17,0.34,1.5,4.3,0.55,1.5,40.0%,12,30,0.61,2.7,7.5,1.64,4.5,Sebastian Baez[ARG],4,0.76,625,44.8%,1,0-1,0.0%,9.1%,11,2-9,18.2%,99,37-62,37.4%,1:57,42.4,44.7
34,Flavio Cobolli[ITA],8,0-8,0.0%,55.3%,55.0%,30,4.9%,21,3.4%,7.5%,53.9%,65.2%,43.8%,47.3%,64.4%,7.0,3.1,Flavio Cobolli[ITA],8,30.9%,31.4%,9.9%,3.8%,22.3%,43.8%,12.2%,6.1,1.9,7.0,7.1,Flavio Cobolli[ITA],8,28.2%,11,39,0.43,2.0,4.9,0.55,1.4,66.3%,61,92,1.06,4.6,11.5,1.55,3.9,Flavio Cobolli[ITA],8,0.69,1156,43.8%,3,0-3,0.0%,15.0%,20,2-18,10.0%,177,67-110,37.9%,1:42,40.7,42.2
35,Tallon Griekspoor[NED],17,2-15,11.8%,62.8%,61.3%,136,10.0%,52,3.8%,11.5%,66.6%,71.7%,45.2%,51.0%,77.9%,6.5,2.4,Tallon Griekspoor[NED],17,27.1%,29.5%,13.8%,2.3%,20.3%,41.6%,7.6%,5.9,1.6,3.0,4.6,Tallon Griekspoor[NED],17,26.2%,16,61,0.29,1.4,3.6,0.37,0.9,60.3%,70,116,0.56,2.7,6.8,1.07,2.7,Tallon Griekspoor[NED],17,0.73,2614,45.7%,13,4-9,30.8%,30.2%,43,10-33,23.3%,419,178-241,42.5%,1:35,37.6,37.1
36,Giovanni Mpetshi Perricard[FRA],1,0-1,0.0%,67.3%,71.4%,7,12.7%,6,10.9%,19.4%,43.6%,83.3%,54.8%,68.0%,80.0%,5.5,1.8,Giovanni Mpetshi Perricard[FRA],1,23.2%,24.0%,8.9%,1.8%,26.5%,18.2%,0.0%,5.6,1.3,3.0,3.0,Giovanni Mpetshi Perricard[FRA],1,0.0%,0,3,0.30,1.5,3.0,0.00,0.0,0.0%,0,2,0.20,1.0,2.0,1.00,2.0,Giovanni Mpetshi Perricard[FRA],1,0.71,111,45.0%,0,0-0,-,0.0%,2,0-2,0.0%,20,8-12,40.0%,1:21,40.5,43.8
37,Matteo Arnaldi[ITA],9,2-7,22.2%,59.1%,57.5%,54,6.8%,17,2.1%,5.2%,58.9%,66.7%,48.3%,51.0%,70.2%,6.6,2.7,Matteo Arnaldi[ITA],9,35.4%,35.3%,6.2%,3.5%,27.1%,48.9%,16.5%,6.7,2.4,6.0,6.7,Matteo Arnaldi[ITA],9,30.3%,20,66,0.55,2.5,7.3,0.77,2.2,57.6%,49,85,0.70,3.3,9.4,1.38,4.0,Matteo Arnaldi[ITA],9,0.87,1608,47.2%,3,2-1,66.7%,11.5%,26,9-17,34.6%,242,105-137,43.4%,1:36,33.3,32.3
38,Jiri Lehecka[CZE],8,3-5,37.5%,64.8%,63.5%,55,9.4%,19,3.3%,8.3%,60.5%,74.5%,50.0%,54.5%,80.7%,6.6,2.3,Jiri Lehecka[CZE],8,29.1%,28.9%,9.5%,4.1%,20.7%,41.6%,8.7%,6.1,1.8,4.5,4.1,Jiri Lehecka[CZE],8,27.6%,8,29,0.32,1.6,3.6,0.44,1.0,65.3%,32,49,0.56,2.7,6.1,0.94,2.1,Jiri Lehecka[CZE],8,0.83,1143,47.3%,5,3-2,60.0%,27.8%,18,7-11,38.9%,180,79-101,43.9%,1:40,44.3,41.9
39,Alexandre Muller[FRA],5,1-4,20.0%,58.6%,58.1%,17,3.5%,8,1.7%,4.6%,63.8%,64.9%,47.4%,49.7%,72.5%,7.0,2.9,Alexandre Muller[FRA],5,32.0%,33.3%,10.2%,3.1%,23.0%,46.1%,13.2%,6.2,2.0,6.0,5.6,Alexandre Muller[FRA],5,29.0%,9,31,0.46,2.2,6.2,0.64,1.8,65.5%,36,55,0.80,3.9,11.0,1.36,3.8,Alexandre Muller[FRA],5,0.77,905,46.2%,3,1-2,33.3%,21.4%,14,3-11,21.4%,137,59-78,43.1%,2:03,43.9,40.7
40,Nuno Borges[POR],6,0-6,0.0%,56.5%,56.6%,27,5.6%,21,4.4%,11.1%,60.7%,67.1%,40.2%,45.2%,63.4%,6.8,2.9,Nuno Borges[POR],6,30.9%,31.2%,12.5%,5.2%,19.9%,48.6%,12.5%,6.4,2.0,5.0,5.7,Nuno Borges[POR],6,33.3%,9,27,0.38,1.8,4.5,0.60,1.5,50.9%,27,53,0.75,3.5,8.8,1.73,4.3,Nuno Borges[POR],6,0.71,944,44.0%,3,0-3,0.0%,20.0%,15,1-14,6.7%,143,54-89,37.8%,1:45,42.1,40.1
41,Jordan Thompson[AUS],8,4-4,50.0%,61.6%,59.3%,57,7.8%,10,1.4%,3.1%,55.8%,70.0%,51.1%,52.7%,76.1%,6.5,2.5,Jordan Thompson[AUS],8,34.4%,34.7%,6.6%,3.0%,28.9%,42.6%,16.2%,6.2,2.1,7.0,6.4,Jordan Thompson[AUS],8,38.3%,18,47,0.42,2.0,5.9,0.78,2.3,57.8%,37,64,0.57,2.8,8.0,1.17,3.4,Jordan Thompson[AUS],8,0.90,1427,48.4%,6,4-2,66.7%,26.1%,23,11-12,47.8%,224,104-120,46.4%,2:24,50.2,48.5
42,Alejandro Tabilo[CHI],6,1-5,16.7%,62.5%,60.9%,35,8.5%,12,2.9%,8.4%,65.4%,71.5%,45.5%,49.6%,79.0%,6.7,2.5,Alejandro Tabilo[CHI],6,30.1%,30.3%,14.7%,6.1%,19.0%,49.3%,14.5%,6.0,1.8,6.0,5.7,Alejandro Tabilo[CHI],6,45.0%,9,20,0.32,1.5,3.3,0.69,1.5,58.1%,18,31,0.50,2.4,5.2,1.00,2.2,Alejandro Tabilo[CHI],6,0.80,788,47.1%,4,0-4,0.0%,30.8%,13,3-10,23.1%,124,58-66,46.8%,1:36,44.1,43.6
