Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],6,2-4,33.3%,62.3%,62.0%,60,11.1%,34,6.3%,14.6%,56.8%,74.8%,45.9%,53.8%,76.2%,6.4,2.4,Jakub Mensik[CZE],6,34.1%,35.5%,12.4%,4.6%,24.8%,51.7%,15.3%,5.9,2.0,69.5,104.7,Jakub Mensik[CZE],6,40.6%,13,32,0.38,1.8,5.3,0.72,2.2,61.5%,32,52,0.62,2.9,8.7,1.11,3.3,Jakub Mensik[CZE],6,0.90,1041,48.7%,1,1-0,100.0%,5.6%,18,7-11,38.9%,169,77-92,45.6%,2:06,41.8,43.4
22,Ugo Humbert[FRA],9,5-4,55.6%,67.6%,65.1%,89,10.0%,14,1.6%,4.3%,63.3%,74.7%,55.4%,57.8%,85.4%,6.2,2.0,Ugo Humbert[FRA],9,37.0%,37.4%,8.0%,4.3%,30.4%,48.6%,20.6%,6.8,2.5,57.0,73.1,Ugo Humbert[FRA],9,33.7%,29,86,0.61,3.0,9.6,1.00,3.2,68.2%,45,66,0.46,2.3,7.3,0.72,2.3,Ugo Humbert[FRA],9,1.14,1853,51.8%,9,5-4,55.6%,31.0%,29,16-13,55.2%,285,152-133,53.3%,2:27,45.5,42.7
23,Sebastian Korda[USA],10,7-3,70.0%,70.1%,68.5%,78,9.9%,17,2.2%,5.7%,62.2%,79.6%,54.5%,57.8%,87.8%,6.0,1.8,Sebastian Korda[USA],10,35.6%,37.1%,10.6%,3.9%,24.0%,54.2%,17.9%,6.5,2.3,22.5,50.4,Sebastian Korda[USA],10,31.6%,24,76,0.57,3.0,7.6,0.96,2.4,63.6%,28,44,0.34,1.8,4.4,0.64,1.6,Sebastian Korda[USA],10,1.19,1658,52.1%,8,4-4,50.0%,32.0%,25,16-9,64.0%,265,139-126,52.5%,1:46,42.4,38.3
24,Karen Khachanov[RUS],4,1-3,25.0%,69.7%,69.5%,37,8.6%,15,3.5%,10.4%,66.4%,78.9%,51.4%,57.4%,90.0%,6.1,1.9,Karen Khachanov[RUS],4,30.0%,32.4%,12.0%,2.3%,19.0%,48.2%,10.0%,6.3,1.9,93.0,107.3,Karen Khachanov[RUS],4,28.0%,7,25,0.36,1.8,6.3,0.50,1.8,74.1%,20,27,0.39,1.9,6.8,0.50,1.8,Karen Khachanov[RUS],4,0.99,869,49.6%,4,1-3,25.0%,28.6%,14,6-8,42.9%,140,70-70,50.0%,2:28,42.3,40.9
25,Alexei Popyrin[AUS],6,3-3,50.0%,69.4%,66.9%,85,13.5%,19,3.0%,11.2%,73.0%,77.0%,48.8%,55.0%,89.3%,6.1,1.9,Alexei Popyrin[AUS],6,30.2%,31.4%,9.8%,2.7%,23.8%,42.0%,13.3%,5.9,1.8,55.5,56.8,Alexei Popyrin[AUS],6,48.3%,14,29,0.28,1.4,4.8,0.67,2.3,73.2%,30,41,0.40,2.0,6.8,0.52,1.8,Alexei Popyrin[AUS],6,0.99,1253,49.9%,2,0-2,0.0%,9.5%,21,11-10,52.4%,208,106-102,51.0%,2:28,42.3,42.6
26,Alejandro Davidovich Fokina[ESP],1,0-1,0.0%,64.1%,61.2%,14,13.6%,4,3.9%,11.8%,67.0%,73.9%,44.1%,50.0%,85.7%,7.4,2.6,Alejandro Davidovich Fokina[ESP],1,28.2%,31.9%,16.5%,2.4%,16.4%,58.3%,7.1%,6.1,1.7,24.0,24.0,Alejandro Davidovich Fokina[ESP],1,25.0%,1,4,0.29,1.3,4.0,0.33,1.0,66.7%,4,6,0.43,2.0,6.0,0.67,2.0,Alejandro Davidovich Fokina[ESP],1,0.79,188,47.9%,1,0-1,0.0%,33.3%,3,1-2,33.3%,28,13-15,46.4%,2:09,43.0,41.2
27,Felix Auger Aliassime[CAN],2,0-2,0.0%,69.2%,65.7%,38,17.2%,8,3.6%,11.1%,67.4%,79.2%,48.6%,54.7%,86.1%,6.1,1.9,Felix Auger Aliassime[CAN],2,28.1%,30.1%,11.1%,2.0%,20.5%,41.7%,8.6%,5.7,1.6,81.5,81.5,Felix Auger Aliassime[CAN],2,37.5%,3,8,0.23,1.1,4.0,0.43,1.5,66.7%,10,15,0.42,2.1,7.5,0.71,2.5,Felix Auger Aliassime[CAN],2,0.91,420,49.8%,2,0-2,0.0%,28.6%,7,2-5,28.6%,71,34-37,47.9%,2:54,49.7,49.7
28,Denis Shapovalov[CAN],5,3-2,60.0%,68.7%,73.1%,37,6.9%,46,8.6%,21.5%,59.8%,78.7%,53.7%,68.5%,86.0%,6.2,1.9,Denis Shapovalov[CAN],5,30.2%,29.8%,4.9%,2.6%,22.4%,43.4%,12.9%,5.8,1.8,80.0,77.6,Denis Shapovalov[CAN],5,39.3%,11,28,0.33,1.6,5.6,0.65,2.2,66.7%,24,36,0.42,2.1,7.2,0.71,2.4,Denis Shapovalov[CAN],5,0.96,1027,50.1%,4,3-1,75.0%,23.5%,17,10-7,58.8%,171,85-86,49.7%,2:17,40.2,40.0
29,Brandon Nakashima[USA],10,6-4,60.0%,67.8%,64.9%,87,11.4%,13,1.7%,5.3%,67.8%,74.2%,54.3%,57.3%,88.0%,6.1,2.0,Brandon Nakashima[USA],10,35.2%,36.6%,10.5%,3.9%,26.6%,49.7%,19.7%,6.3,2.2,40.0,68.8,Brandon Nakashima[USA],10,37.5%,24,64,0.52,2.6,6.4,0.96,2.4,73.7%,42,57,0.46,2.3,5.7,0.60,1.5,Brandon Nakashima[USA],10,1.09,1535,51.5%,5,2-3,40.0%,20.0%,25,15-10,60.0%,247,134-113,54.3%,1:47,42.6,41.7
30,Matteo Berrettini[ITA],9,6-3,66.7%,70.7%,66.6%,128,16.0%,15,1.9%,6.0%,68.6%,77.6%,55.6%,59.1%,93.7%,6.3,1.9,Matteo Berrettini[ITA],9,31.8%,32.8%,7.3%,2.1%,24.9%,44.6%,17.5%,6.1,1.9,53.0,57.3,Matteo Berrettini[ITA],9,40.7%,22,54,0.43,2.2,6.0,0.88,2.4,80.0%,32,40,0.31,1.6,4.4,0.32,0.9,Matteo Berrettini[ITA],9,1.09,1569,51.7%,7,3-4,42.9%,28.0%,25,16-9,64.0%,253,141-112,55.7%,2:04,44.8,42.8
