Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],1,0-1,0.0%,72.0%,67.9%,16,21.3%,3,4.0%,15.0%,73.3%,74.5%,65.0%,76.5%,90.9%,6.8,1.9,Jakub Mensik[CZE],1,21.1%,23.0%,12.7%,1.4%,17.3%,31.6%,0.0%,6.5,1.4,17.0,17.0,Jakub Mensik[CZE],1,-,0,0,0.00,0.0,0.0,0.00,0.0,50.0%,1,2,0.18,1.0,2.0,0.50,1.0,Jakub Mensik[CZE],1,0.75,146,47.3%,1,0-1,0.0%,50.0%,2,0-2,0.0%,22,10-12,45.5%,1:49,54.5,44.8
22,Ugo Humbert[FRA],4,2-2,50.0%,64.4%,61.6%,35,11.7%,8,2.7%,7.7%,65.1%,73.2%,48.1%,52.1%,86.4%,6.8,2.4,Ugo Humbert[FRA],4,31.0%,31.2%,11.0%,4.7%,21.9%,45.0%,14.0%,5.9,1.8,18.0,15.8,Ugo Humbert[FRA],4,40.0%,6,15,0.35,1.7,3.8,0.67,1.5,68.4%,13,19,0.43,2.1,4.8,0.67,1.5,Ugo Humbert[FRA],4,0.87,553,49.0%,1,0-1,0.0%,11.1%,9,5-4,55.6%,87,44-43,50.6%,1:47,47.4,46.3
23,Sebastian Korda[USA],2,1-1,50.0%,60.7%,59.5%,10,7.4%,4,3.0%,8.0%,63.0%,68.2%,48.0%,52.2%,71.4%,6.4,2.5,Sebastian Korda[USA],2,44.4%,44.1%,6.0%,5.3%,29.2%,62.3%,33.3%,6.3,2.8,28.5,28.5,Sebastian Korda[USA],2,38.9%,7,18,0.86,3.6,9.0,1.40,3.5,64.7%,11,17,0.81,3.4,8.5,1.20,3.0,Sebastian Korda[USA],2,1.13,268,52.6%,0,0-0,-,0.0%,5,2-3,40.0%,42,22-20,52.4%,1:34,37.6,42.1
24,Karen Khachanov[RUS],3,2-1,66.7%,67.1%,65.3%,21,9.6%,5,2.3%,7.8%,70.8%,72.3%,54.7%,59.3%,80.6%,6.1,2.0,Karen Khachanov[RUS],3,36.5%,40.0%,11.9%,2.0%,28.3%,56.3%,24.3%,6.6,2.4,116.0,84.0,Karen Khachanov[RUS],3,34.6%,9,26,0.70,3.7,8.7,1.29,3.0,50.0%,7,14,0.39,2.0,4.7,1.00,2.3,Karen Khachanov[RUS],3,1.11,463,51.0%,1,1-0,100.0%,14.3%,7,4-3,57.1%,73,38-35,52.1%,1:55,49.4,44.8
25,Alexei Popyrin[AUS],1,1-0,100.0%,64.1%,60.8%,10,15.6%,3,4.7%,11.5%,59.4%,84.2%,34.6%,39.1%,88.9%,7.1,2.6,Alexei Popyrin[AUS],1,50.0%,49.1%,6.5%,8.1%,37.0%,60.0%,44.4%,6.9,3.4,8.0,8.0,Alexei Popyrin[AUS],1,44.4%,4,9,1.00,4.5,9.0,2.00,4.0,83.3%,5,6,0.67,3.0,6.0,0.50,1.0,Alexei Popyrin[AUS],1,1.39,126,57.1%,0,0-0,-,0.0%,2,2-0,100.0%,18,12-6,66.7%,1:29,44.5,42.4
27,Felix Auger Aliassime[CAN],1,0-1,0.0%,60.2%,57.7%,14,11.4%,5,4.1%,12.8%,68.3%,71.4%,35.9%,41.2%,82.4%,7.2,2.9,Felix Auger Aliassime[CAN],1,28.6%,26.6%,7.7%,5.5%,23.0%,40.0%,11.8%,5.4,1.5,8.0,8.0,Felix Auger Aliassime[CAN],1,50.0%,2,4,0.24,1.3,4.0,0.67,2.0,72.7%,8,11,0.65,3.7,11.0,1.00,3.0,Felix Auger Aliassime[CAN],1,0.72,214,46.7%,0,0-0,-,0.0%,3,1-2,33.3%,34,16-18,47.1%,2:48,56.0,47.1
28,Denis Shapovalov[CAN],1,1-0,100.0%,75.9%,73.7%,13,24.1%,3,5.6%,15.0%,63.0%,82.4%,65.0%,76.5%,100.0%,5.4,1.3,Denis Shapovalov[CAN],1,37.7%,37.5%,4.9%,3.3%,34.8%,46.7%,20.0%,6.1,2.3,156.0,156.0,Denis Shapovalov[CAN],1,100.0%,2,2,0.20,1.0,2.0,1.00,2.0,100.0%,2,2,0.20,1.0,2.0,0.00,0.0,Denis Shapovalov[CAN],1,1.57,115,55.7%,0,0-0,-,0.0%,2,2-0,100.0%,20,12-8,60.0%,1:14,37.0,38.6
30,Matteo Berrettini[ITA],4,3-1,75.0%,73.3%,71.6%,28,11.0%,5,2.0%,6.9%,71.8%,81.4%,52.8%,56.7%,93.2%,5.8,1.5,Matteo Berrettini[ITA],4,37.6%,39.1%,7.6%,2.4%,30.6%,49.5%,29.5%,5.7,2.1,77.5,96.8,Matteo Berrettini[ITA],4,61.9%,13,21,0.48,2.3,5.3,1.44,3.3,82.4%,14,17,0.39,1.9,4.3,0.33,0.8,Matteo Berrettini[ITA],4,1.41,505,55.6%,1,0-1,0.0%,11.1%,9,7-2,77.8%,88,54-34,61.4%,1:33,41.1,44.0
31,Hubert Hurkacz[POL],3,1-2,33.3%,70.3%,64.0%,47,18.1%,1,0.4%,1.1%,66.0%,78.9%,53.4%,54.0%,97.4%,6.6,2.0,Hubert Hurkacz[POL],3,25.4%,25.8%,7.6%,2.1%,17.5%,44.3%,5.3%,6.2,1.6,7.0,28.3,Hubert Hurkacz[POL],3,33.3%,2,6,0.16,0.9,2.0,0.29,0.7,90.0%,9,10,0.26,1.4,3.3,0.14,0.3,Hubert Hurkacz[POL],3,0.86,495,48.9%,4,1-3,25.0%,57.1%,7,3-4,42.9%,77,40-37,51.9%,2:05,53.4,45.3
32,Alex Michelsen[USA],2,0-2,0.0%,57.2%,58.0%,1,0.6%,3,1.8%,5.7%,68.1%,61.9%,47.2%,50.0%,69.6%,7.2,3.1,Alex Michelsen[USA],2,29.1%,30.7%,11.5%,2.7%,16.3%,54.0%,4.0%,5.9,1.7,52.0,52.0,Alex Michelsen[USA],2,11.1%,1,9,0.36,1.8,4.5,0.20,0.5,66.7%,14,21,0.91,4.2,10.5,1.40,3.5,Alex Michelsen[USA],2,0.68,314,43.9%,1,1-0,100.0%,20.0%,5,1-4,20.0%,48,17-31,35.4%,1:50,44.0,42.0
