Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2023 Beijing F,W vsMedvedev,22.7%,42.7%,72.4%,35.9%,31.4%,60.8%,74.3%,50.8%,58.3%,77.8%,0.0%,4.2%,4.2%,69.6%,-79
2023 Beijing SF,W vsAlcaraz,20.0%,25.3%,48.3%,25.9%,28.9%,37.8%,53.1%,38.7%,47.6%,66.7%,57.1%,6.7%,6.7%,42.9%,-79
2023 US Open R16,L vsZverev,26.9%,36.9%,48.2%,31.1%,39.8%,51.1%,47.2%,47.5%,43.2%,50.0%,60.0%,12.3%,21.5%,49.1%,4
2023 US Open R32,W vsWawrinka,18.5%,26.6%,55.2%,26.0%,28.4%,41.9%,60.4%,40.8%,57.1%,61.5%,25.0%,4.4%,4.4%,48.8%,-74
2023 Canada F,W vsDe Minaur,28.8%,36.5%,55.9%,32.9%,46.2%,57.7%,50.0%,54.2%,54.5%,66.7%,100.0%,13.0%,17.4%,60.0%,9
2023 Canada SF,W vsPaul,31.4%,35.7%,42.2%,32.9%,50.0%,56.3%,56.3%,53.1%,46.7%,47.1%,50.0%,17.1%,20.0%,34.5%,40
2023 Canada QF,W vsMonfils,27.0%,34.8%,53.2%,32.5%,45.5%,56.8%,66.7%,56.6%,47.4%,40.0%,-,9.5%,14.3%,44.7%,-20
2023 Canada R32,W vsBerrettini,31.7%,47.6%,63.4%,40.8%,39.0%,61.0%,72.0%,52.9%,61.9%,55.0%,100.0%,20.0%,25.0%,50.0%,59
2023 Wimbledon SF,L vsDjokovic,24.4%,41.1%,60.0%,33.3%,33.3%,51.9%,63.9%,48.1%,43.5%,58.1%,100.0%,12.1%,27.3%,55.2%,4
2023 Wimbledon QF,W vsSafiullin,37.5%,47.7%,60.4%,43.1%,56.3%,66.7%,76.2%,66.5%,50.0%,50.0%,0.0%,15.8%,26.3%,50.0%,-3
2023 Wimbledon R16,W vsGalan,39.8%,55.7%,65.4%,46.1%,52.1%,72.9%,69.6%,63.7%,50.0%,50.0%,0.0%,25.6%,35.9%,62.1%,-41
2023 Wimbledon R32,W vsHalys,40.8%,53.1%,62.0%,47.3%,49.0%,65.3%,68.0%,62.0%,60.0%,41.7%,50.0%,39.0%,48.8%,56.0%,168
2023 Wimbledon R64,W vsSchwartzman,33.7%,42.2%,57.4%,37.3%,53.2%,66.0%,59.1%,59.6%,50.0%,36.0%,50.0%,8.6%,11.4%,56.3%,-37
