Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2022 Geneva SF,W vsOpelka,46.9%,53.1%,75.0%,49.2%,53.2%,59.6%,77.3%,56.4%,42.1%,50.0%,-,33.3%,40.0%,70.0%,99
2022 Geneva R16,W vsPaire,37.5%,45.8%,46.7%,42.1%,34.5%,41.4%,42.1%,42.1%,73.3%,28.6%,0.0%,42.1%,52.6%,54.5%,-79
2022 Rome SF,L vsDjokovic,23.4%,29.7%,44.9%,27.7%,29.2%,35.4%,44.1%,34.8%,57.1%,63.0%,60.0%,6.3%,12.5%,46.7%,-79
2022 Rome QF,W vsShapovalov,34.6%,42.0%,61.5%,41.4%,37.9%,46.6%,63.9%,47.4%,65.2%,51.4%,100.0%,27.3%,31.8%,56.3%,-13
2022 Rome R16,W vsBrooksby,29.7%,48.4%,64.3%,40.3%,40.9%,63.6%,76.9%,56.4%,30.0%,62.5%,50.0%,5.9%,17.6%,43.8%,-63
2022 Rome R32,W vsVan De Zandschulp,29.8%,42.6%,60.0%,39.5%,30.9%,47.1%,68.1%,44.3%,53.1%,52.8%,66.7%,28.0%,32.0%,38.9%,-21
2022 Munich QF,L vsVan De Zandschulp,21.1%,32.4%,41.8%,27.9%,16.7%,31.0%,40.0%,28.1%,61.9%,33.3%,50.0%,28.6%,35.7%,45.0%,-27
2022 Munich R16,W vsMolcan,21.8%,31.7%,54.8%,29.9%,32.3%,44.6%,61.4%,44.9%,50.0%,36.4%,50.0%,3.3%,10.0%,44.8%,-87
2022 Barcelona R32,W vsNakashima,29.2%,41.7%,46.9%,34.9%,35.7%,52.4%,55.6%,45.5%,40.0%,51.9%,50.0%,21.4%,28.6%,36.4%,22
2022 Monte Carlo R16,L vsDimitrov,15.6%,23.4%,53.8%,21.7%,26.3%,34.2%,50.0%,36.6%,30.0%,61.1%,33.3%,0.0%,8.3%,58.3%,-118
2022 Monte Carlo R32,W vsRune,23.8%,36.3%,54.4%,30.3%,35.6%,53.3%,62.1%,47.1%,66.7%,33.3%,100.0%,9.7%,16.1%,46.4%,-24
2022 Miami F,L vsAlcaraz,27.4%,38.4%,44.0%,32.5%,37.2%,48.8%,37.0%,45.8%,63.6%,47.6%,50.0%,14.8%,25.9%,52.2%,29
2022 Miami SF,W vsCerundolo,27.9%,39.3%,53.7%,37.7%,40.5%,56.8%,72.7%,56.8%,46.7%,63.6%,75.0%,9.5%,14.3%,31.6%,-26
2022 Miami QF,W vsZverev,34.9%,52.4%,61.0%,42.9%,42.6%,63.8%,63.0%,53.2%,36.4%,40.0%,50.0%,12.5%,18.8%,57.1%,-79
2022 Miami R32,W vsBublik,34.8%,50.0%,66.7%,45.2%,33.3%,51.5%,77.3%,47.9%,28.6%,26.3%,-,38.5%,46.2%,37.5%,-79
2022 Indian Wells R32,L vsKyrgios,29.6%,35.2%,51.4%,32.8%,53.8%,57.7%,66.7%,60.4%,30.0%,31.3%,-,8.0%,16.0%,43.5%,-39
2022 Buenos Aires F,W vsSchwartzman,28.6%,40.3%,63.0%,35.2%,29.6%,46.3%,60.5%,39.1%,79.3%,44.0%,-,27.3%,27.3%,68.8%,-13
2021 Tour Finals SF,L vsMedvedev,21.0%,35.5%,52.2%,32.1%,25.6%,46.5%,56.3%,41.6%,55.0%,39.1%,50.0%,12.5%,12.5%,42.9%,-2
2021 Tour Finals RR,W vsRublev,25.0%,41.4%,49.4%,32.4%,32.5%,53.2%,48.1%,43.6%,32.4%,50.0%,57.1%,11.4%,20.0%,51.6%,-5
2021 Tour Finals RR,W vsNorrie,35.2%,49.3%,52.2%,43.4%,42.2%,60.0%,61.5%,55.1%,59.1%,47.8%,-,23.1%,30.8%,40.0%,-79
2021 Tour Finals RR,L vsDjokovic,23.2%,33.3%,44.9%,30.9%,25.6%,41.9%,50.0%,37.9%,50.0%,37.0%,33.3%,22.7%,22.7%,35.3%,93
2021 Paris QF,L vsZverev,28.6%,40.0%,52.0%,35.3%,29.2%,43.8%,50.0%,39.0%,50.0%,37.5%,40.0%,27.3%,31.8%,56.3%,-79
2021 Paris R16,W vsGiron,37.8%,46.7%,63.0%,43.8%,50.0%,60.7%,71.4%,59.6%,35.7%,42.9%,-,18.8%,25.0%,53.8%,10
2021 Paris R32,W vsBublik,17.6%,31.4%,57.5%,23.7%,26.9%,46.2%,57.9%,38.8%,45.5%,40.0%,100.0%,8.7%,17.4%,57.1%,-30
2021 Vienna QF,L vsSinner,20.3%,26.6%,40.8%,26.3%,35.7%,50.0%,55.6%,49.3%,50.0%,64.3%,75.0%,8.8%,8.8%,32.3%,-26
2021 San Diego F,W vsNorrie,22.0%,34.1%,62.5%,31.5%,22.2%,33.3%,66.7%,36.7%,63.6%,37.5%,-,21.4%,35.7%,54.5%,-79
2021 US Open R64,L vsVan De Zandschulp,25.2%,35.7%,51.8%,31.0%,28.0%,42.7%,48.1%,36.9%,39.5%,45.9%,75.0%,21.6%,24.3%,58.6%,34
2021 Cincinnati QF,L vsZverev,20.0%,28.9%,33.3%,24.7%,25.0%,34.4%,29.2%,31.6%,64.7%,20.0%,50.0%,7.7%,15.4%,41.7%,-79
2021 Cincinnati R16,W vsSchwartzman,42.9%,51.0%,67.9%,48.4%,51.5%,60.6%,81.3%,59.7%,46.7%,33.3%,-,25.0%,31.3%,50.0%,-79
2021 Canada QF,L vsTsitsipas,30.4%,39.1%,41.9%,37.4%,40.0%,53.3%,44.4%,50.7%,46.2%,82.4%,100.0%,13.3%,13.3%,38.5%,16
2021 Canada R16,W vsLajovic,35.2%,46.3%,61.8%,41.3%,50.0%,59.4%,43.8%,60.3%,21.4%,50.0%,-,14.3%,28.6%,77.8%,-10
2021 Kitzbuhel F,W vsMartinez,22.9%,37.1%,60.8%,27.9%,34.1%,51.2%,48.1%,42.7%,63.2%,45.5%,0.0%,7.7%,19.2%,75.0%,-42
2021 Gstaad F,W vsGaston,25.0%,33.3%,53.1%,30.8%,26.5%,38.8%,52.8%,35.1%,41.2%,46.9%,62.5%,27.8%,27.8%,53.8%,121
2021 Gstaad QF,W vsPaire,37.3%,50.6%,61.2%,43.6%,45.5%,60.0%,73.3%,54.9%,63.0%,42.9%,66.7%,24.0%,36.0%,42.1%,83
2021 Bastad F,W vsCoria,19.1%,29.8%,70.3%,27.4%,25.8%,35.5%,60.9%,38.4%,50.0%,60.0%,-,6.7%,20.0%,85.7%,-49
2021 Roland Garros R32,L vsDavidovich Fokina,22.4%,30.9%,52.5%,28.1%,25.5%,33.0%,50.6%,34.3%,53.3%,60.7%,42.9%,18.9%,30.2%,55.8%,68
2021 Geneva F,W vsShapovalov,26.7%,36.7%,72.7%,31.2%,39.4%,48.5%,65.0%,47.6%,53.8%,45.0%,-,11.1%,22.2%,79.2%,-79
2021 Madrid SF,L vsBerrettini,22.6%,37.1%,52.2%,27.6%,29.4%,44.1%,58.3%,38.5%,20.0%,52.6%,-,15.4%,30.8%,45.5%,29
2021 Madrid QF,W vsBublik,38.9%,48.1%,62.5%,45.9%,39.5%,50.0%,60.9%,49.5%,23.5%,33.3%,0.0%,40.0%,46.7%,66.7%,16
2021 Madrid R16,W vsTsitsipas,26.5%,38.2%,65.3%,33.5%,32.7%,44.2%,68.6%,41.9%,36.4%,50.0%,-,6.7%,20.0%,57.1%,-49
2021 Madrid R32,W vsNishioka,34.1%,52.3%,62.1%,45.9%,40.0%,62.9%,66.7%,54.9%,57.1%,66.7%,-,11.1%,11.1%,50.0%,-79
