Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2022 Rome R32,W vsBaez,30.9%,42.6%,60.9%,36.9%,39.6%,54.2%,65.5%,48.1%,50.0%,30.0%,-,10.5%,15.8%,52.9%,-8
2022 Madrid F,L vsAlcaraz,27.7%,34.0%,34.5%,30.9%,35.5%,45.2%,40.0%,40.3%,40.0%,6.3%,0.0%,18.2%,18.2%,22.2%,19
2022 Madrid SF,W vsTsitsipas,21.2%,31.8%,75.0%,29.4%,27.1%,39.6%,77.1%,38.3%,57.1%,48.1%,-,7.1%,14.3%,69.2%,-57
2022 Madrid QF,W vsAuger Aliassime,25.0%,47.1%,69.0%,34.0%,27.9%,53.5%,64.5%,42.1%,28.6%,27.3%,0.0%,31.3%,56.3%,81.8%,102
2022 Munich R16,L vsRune,6.3%,27.1%,50.0%,19.2%,5.6%,33.3%,50.0%,22.8%,52.4%,66.7%,60.0%,11.1%,11.1%,50.0%,-26
2022 Monte Carlo SF,L vsTsitsipas,16.3%,26.5%,40.5%,21.6%,25.0%,37.5%,37.5%,33.1%,47.1%,60.0%,0.0%,0.0%,7.7%,46.2%,-118
2022 Miami QF,L vsRuud,37.9%,51.5%,55.0%,48.6%,40.9%,56.8%,65.4%,57.0%,52.4%,34.8%,-,33.3%,42.9%,35.7%,-10
2022 Indian Wells R64,L vsPaul,31.1%,43.3%,55.4%,38.1%,37.5%,51.6%,65.0%,47.3%,53.1%,43.8%,0.0%,20.0%,30.0%,31.3%,51
2022 Acapulco R32,W vsBrooksby,35.8%,50.0%,52.4%,40.7%,46.5%,59.2%,57.9%,53.7%,30.0%,22.0%,14.3%,16.7%,36.7%,44.0%,39
2022 Montpellier F,L vsBublik,22.8%,35.1%,43.9%,32.1%,24.4%,41.5%,51.6%,37.3%,50.0%,30.4%,50.0%,23.1%,23.1%,20.0%,88
2022 Australian Open R16,L vsShapovalov,28.4%,40.9%,49.1%,36.0%,34.3%,50.7%,52.3%,44.3%,63.3%,37.8%,0.0%,15.4%,15.4%,36.4%,-13
2021 Tour Finals F,W vsMedvedev,37.0%,53.7%,63.6%,44.6%,47.5%,65.0%,66.7%,57.7%,43.8%,54.2%,-,7.7%,23.1%,58.3%,-39
2021 Tour Finals SF,W vsDjokovic,40.6%,51.0%,57.1%,46.7%,52.2%,63.8%,54.5%,60.6%,44.4%,47.6%,66.7%,11.5%,19.2%,60.9%,-23
2021 Tour Finals RR,W vsHurkacz,54.2%,60.4%,50.0%,59.8%,64.9%,73.0%,61.5%,72.2%,43.8%,52.4%,-,18.2%,18.2%,33.3%,-79
2021 Tour Finals RR,W vsBerrettini,42.6%,53.7%,50.0%,46.5%,51.3%,59.0%,42.1%,56.7%,31.3%,69.6%,100.0%,21.4%,42.9%,63.6%,22
2021 Tour Finals RR,L vsMedvedev,33.9%,41.3%,54.3%,40.9%,38.4%,47.7%,50.9%,47.2%,61.1%,36.0%,33.3%,19.0%,19.0%,64.7%,53
2021 Paris SF,L vsMedvedev,24.6%,33.3%,38.5%,31.2%,34.2%,44.7%,40.0%,44.2%,61.1%,35.0%,0.0%,6.7%,13.3%,35.7%,-60
2021 Paris QF,W vsRuud,27.6%,48.3%,69.0%,44.1%,31.8%,59.1%,80.0%,53.6%,50.0%,62.5%,100.0%,14.3%,14.3%,41.7%,-79
2021 Indian Wells QF,L vsFritz,28.6%,35.2%,55.0%,34.6%,33.3%,41.7%,62.5%,42.5%,62.5%,36.1%,0.0%,23.1%,26.9%,40.0%,95
2021 US Open SF,L vsDjokovic,33.9%,40.3%,52.7%,36.9%,48.1%,53.2%,52.5%,53.0%,65.7%,38.1%,66.7%,12.8%,23.1%,52.9%,-1
2021 US Open R16,W vsSinner,40.2%,49.5%,49.2%,43.5%,47.9%,57.5%,47.4%,52.7%,38.5%,42.6%,33.3%,25.8%,35.5%,52.2%,55
2021 Cincinnati F,W vsRublev,51.3%,61.5%,73.3%,59.7%,64.3%,75.0%,80.0%,76.1%,61.5%,53.3%,-,28.6%,42.9%,60.0%,82
2021 Cincinnati SF,W vsTsitsipas,32.0%,40.2%,46.8%,38.7%,38.9%,48.6%,52.3%,47.9%,63.3%,35.7%,33.3%,14.3%,19.0%,33.3%,14
2021 Cincinnati QF,W vsRuud,48.6%,59.5%,61.1%,54.3%,59.3%,70.4%,72.7%,67.0%,41.7%,40.0%,-,22.2%,33.3%,42.9%,72
2021 Tokyo Olympics F,W vsKhachanov,33.3%,48.9%,63.3%,42.7%,45.2%,64.5%,70.6%,58.7%,64.3%,52.9%,0.0%,7.1%,14.3%,53.8%,-79
2021 Tokyo Olympics SF,W vsDjokovic,31.9%,44.4%,41.7%,40.7%,39.6%,56.6%,43.8%,51.5%,47.8%,43.3%,0.0%,11.1%,11.1%,37.5%,-2
2021 Tokyo Olympics QF,W vsChardy,57.9%,71.1%,66.7%,62.4%,65.4%,69.2%,55.6%,71.9%,60.0%,43.8%,-,45.5%,81.8%,83.3%,47
2021 Wimbledon R16,L vsAuger Aliassime,28.6%,39.9%,59.0%,36.9%,38.2%,52.7%,66.2%,50.9%,36.0%,33.3%,0.0%,15.8%,23.7%,43.8%,-4
2021 Roland Garros SF,L vsTsitsipas,30.3%,37.3%,52.2%,36.4%,36.4%,45.5%,60.3%,45.2%,46.2%,36.2%,42.9%,19.4%,22.2%,34.5%,61
2021 Roland Garros QF,W vsDavidovich Fokina,24.2%,43.5%,61.4%,36.0%,23.5%,55.9%,69.2%,45.0%,45.0%,57.1%,100.0%,28.0%,32.0%,50.0%,83
2021 Madrid F,W vsBerrettini,29.5%,36.8%,63.3%,35.3%,40.9%,48.5%,59.0%,49.2%,50.0%,25.0%,50.0%,4.5%,13.6%,71.4%,-80
2021 Madrid SF,W vsThiem,46.4%,57.1%,46.4%,51.2%,59.5%,67.6%,46.7%,66.8%,38.9%,36.8%,0.0%,23.5%,41.2%,46.2%,80
2021 Madrid QF,W vsNadal,25.5%,43.6%,63.9%,38.4%,35.3%,55.9%,72.7%,56.2%,53.8%,33.3%,100.0%,12.5%,31.3%,50.0%,-13
2021 Munich QF,L vsIvashka,33.3%,41.9%,56.3%,36.7%,46.2%,55.8%,60.7%,52.1%,37.5%,39.3%,25.0%,25.9%,37.0%,50.0%,70
2021 Acapulco F,W vsTsitsipas,27.2%,33.3%,54.9%,30.6%,40.8%,44.9%,62.1%,46.5%,47.6%,21.4%,0.0%,8.3%,20.8%,45.5%,-49
2021 Rotterdam R32,L vsBublik,25.9%,32.8%,46.5%,32.4%,29.7%,40.5%,53.8%,40.0%,28.6%,50.0%,66.7%,19.0%,19.0%,35.3%,-79
2021 Australian Open QF,L vsDjokovic,36.5%,43.7%,48.0%,40.2%,46.9%,55.6%,51.2%,52.7%,60.6%,43.8%,33.3%,20.0%,25.0%,43.8%,77
2021 Atp Cup SF,L vsMedvedev,21.0%,34.3%,58.1%,29.0%,28.8%,45.5%,63.8%,41.7%,50.0%,27.8%,0.0%,10.0%,20.0%,48.1%,-33
2020 Tour Finals RR,L vsMedvedev,22.1%,33.8%,50.0%,31.5%,28.6%,44.9%,57.1%,41.6%,46.2%,34.8%,0.0%,8.3%,8.3%,27.3%,-60
2020 Paris F,L vsMedvedev,35.3%,45.1%,38.1%,42.1%,44.7%,56.6%,40.5%,53.8%,43.8%,43.2%,25.0%,8.7%,13.0%,33.3%,-33
2020 Paris SF,W vsNadal,45.0%,58.3%,50.0%,52.0%,55.8%,69.8%,52.6%,65.6%,38.9%,60.0%,100.0%,18.8%,31.3%,46.2%,10
2020 Cologne 2 F,W vsSchwartzman,40.0%,51.1%,51.9%,46.9%,48.3%,65.5%,66.7%,59.0%,50.0%,66.7%,0.0%,25.0%,25.0%,33.3%,-79
2020 Cologne 1 F,W vsAuger Aliassime,38.3%,48.9%,70.8%,41.7%,44.0%,52.0%,64.3%,50.4%,41.7%,46.2%,0.0%,41.2%,58.8%,80.0%,232
2020 Roland Garros R16,L vsSinner,31.5%,35.2%,45.7%,34.1%,44.4%,47.2%,47.5%,48.3%,38.7%,46.3%,50.0%,6.3%,12.5%,43.3%,-57
2020 US Open F,L vsThiem,25.5%,40.8%,52.9%,34.6%,35.6%,54.5%,53.8%,49.8%,40.4%,34.7%,50.0%,9.8%,22.0%,51.4%,-39
2020 US Open SF,W vsCarreno Busta,28.3%,43.5%,51.6%,39.1%,40.2%,62.1%,63.5%,57.4%,41.3%,46.3%,33.3%,9.3%,14.0%,35.9%,-32
2020 US Open QF,W vsCoric,39.0%,48.2%,51.4%,45.4%,48.5%,60.6%,54.9%,57.6%,46.3%,39.7%,66.7%,23.3%,26.7%,43.5%,65
2020 Acapulco R16,L vsPaul,23.7%,37.3%,66.7%,32.7%,35.5%,58.1%,75.0%,52.6%,40.0%,37.5%,0.0%,15.8%,21.1%,56.3%,0
2020 Australian Open SF,L vsThiem,31.5%,43.3%,49.4%,39.4%,36.3%,49.0%,49.2%,46.2%,48.8%,37.3%,25.0%,14.3%,23.8%,50.0%,19
2020 Australian Open QF,W vsWawrinka,39.8%,52.7%,48.1%,48.3%,49.3%,64.4%,51.4%,60.1%,40.0%,34.2%,50.0%,5.6%,11.1%,41.2%,-60
2020 Australian Open R16,W vsRublev,44.4%,59.7%,75.7%,51.5%,55.6%,72.2%,79.2%,65.0%,62.5%,36.7%,-,13.3%,26.7%,69.2%,4
2020 Australian Open R32,W vsVerdasco,40.2%,48.8%,47.8%,46.1%,52.5%,62.3%,51.7%,60.3%,46.2%,40.0%,50.0%,5.6%,11.1%,41.2%,-66
2020 Atp Cup RR,L vsDe Minaur,17.0%,24.5%,62.2%,25.9%,24.6%,34.8%,67.3%,38.4%,48.4%,34.2%,50.0%,4.3%,8.7%,50.0%,-88
2020 Atp Cup RR,L vsShapovalov,21.2%,32.7%,44.1%,28.5%,35.7%,50.0%,50.0%,49.3%,42.9%,64.3%,50.0%,5.9%,17.6%,37.5%,-72
2020 Atp Cup RR,L vsTsitsipas,14.5%,18.2%,51.4%,17.6%,24.0%,28.0%,52.6%,30.8%,41.7%,46.2%,100.0%,10.0%,15.0%,50.0%,-45
2019 Tour Finals SF,L vsThiem,34.8%,45.5%,48.7%,41.2%,46.0%,58.0%,40.7%,54.4%,41.7%,61.5%,50.0%,0.0%,8.3%,66.7%,-118
2019 Tour Finals RR,L vsTsitsipas,25.5%,41.2%,44.4%,32.4%,39.4%,60.6%,55.0%,50.0%,35.0%,38.5%,33.3%,0.0%,6.3%,31.3%,-118
2019 Tour Finals RR,W vsMedvedev,39.7%,57.1%,68.6%,50.3%,45.1%,66.7%,78.6%,58.2%,42.1%,34.4%,-,22.2%,22.2%,28.6%,65
2019 Tour Finals RR,W vsNadal,44.9%,55.1%,60.0%,49.2%,55.9%,64.7%,73.3%,62.1%,56.3%,22.2%,-,23.1%,38.5%,40.0%,102
