Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2023 Monte Carlo R16,L vsSinner,27.8%,40.0%,46.7%,33.7%,48.3%,66.7%,67.7%,59.5%,46.2%,44.1%,60.0%,6.4%,12.8%,31.8%,-58
2023 Monte Carlo R32,W vsDraper,42.2%,47.7%,37.7%,43.7%,69.6%,73.2%,52.9%,72.5%,50.0%,56.7%,100.0%,13.7%,21.6%,31.8%,-22
2023 Monte Carlo R64,W vsDjere,30.1%,43.9%,51.9%,35.0%,48.4%,66.1%,59.4%,58.2%,54.8%,54.8%,0.0%,12.5%,23.2%,46.9%,8
2023 Estoril R16,L vsZapata Miralles,31.0%,48.0%,46.0%,38.7%,39.3%,60.7%,54.1%,52.0%,50.0%,48.6%,100.0%,21.2%,33.3%,34.6%,79
2023 Miami R32,L vsMannarino,41.2%,45.9%,41.7%,47.1%,52.5%,59.3%,53.6%,61.0%,48.1%,56.3%,33.3%,16.7%,16.7%,25.0%,37
2023 Miami R64,W vsKokkinakis,46.7%,57.4%,54.0%,52.8%,54.4%,65.6%,53.7%,62.7%,46.9%,51.7%,50.0%,26.7%,36.7%,54.5%,16
2023 Indian Wells R32,L vsPaul,32.1%,40.7%,48.1%,35.3%,50.0%,59.1%,50.0%,55.9%,31.8%,50.0%,50.0%,11.8%,20.6%,46.7%,1
2023 Indian Wells R64,W vsPopyrin,32.8%,50.8%,54.3%,39.5%,36.8%,55.3%,58.3%,47.6%,68.8%,50.0%,100.0%,35.3%,58.8%,45.5%,5
2023 Dubai QF,L vsDjokovic,26.3%,42.1%,61.0%,39.5%,36.1%,61.1%,65.2%,56.9%,42.9%,45.5%,0.0%,10.0%,10.0%,55.6%,-13
2023 Dubai R16,W vsKotov,52.0%,72.0%,60.9%,59.0%,67.6%,88.2%,72.7%,77.9%,54.5%,65.2%,-,20.0%,40.0%,50.0%,16
2023 Dubai R32,W vsShevchenko,44.4%,56.8%,59.5%,52.6%,53.2%,62.9%,62.1%,63.9%,52.0%,48.6%,100.0%,18.8%,43.8%,53.8%,56
2023 Marseille F,W vsBonzi,47.8%,58.0%,54.3%,53.9%,70.5%,84.1%,76.9%,80.0%,56.3%,50.0%,100.0%,8.3%,12.5%,40.9%,-30
2023 Marseille SF,W vsBublik,50.7%,59.7%,54.5%,56.3%,64.0%,74.0%,50.0%,71.4%,47.6%,55.2%,0.0%,11.8%,17.6%,60.0%,-79
2023 Marseille QF,W vsYmer,30.5%,38.1%,47.2%,35.1%,46.8%,54.8%,51.5%,54.7%,52.0%,51.4%,33.3%,7.1%,14.3%,43.6%,-44
2023 Marseille R16,W vsRiedi,47.3%,55.4%,55.3%,50.7%,64.3%,76.2%,73.3%,70.2%,38.9%,41.7%,66.7%,25.8%,29.0%,43.5%,-32
2023 Rotterdam R16,L vsDimitrov,46.5%,60.6%,50.0%,53.1%,57.1%,71.4%,57.1%,66.7%,40.0%,51.7%,-,22.7%,36.4%,41.2%,-79
2023 Rotterdam R32,W vsBautista Agut,34.2%,50.9%,55.7%,42.5%,46.6%,64.4%,53.8%,59.6%,46.9%,51.2%,0.0%,13.9%,30.6%,58.1%,16
2023 Australian Open R16,L vsKorda,35.5%,41.8%,48.9%,39.3%,50.0%,56.8%,50.0%,56.1%,50.0%,50.0%,100.0%,12.0%,18.0%,47.7%,6
2023 Australian Open R32,W vsShapovalov,31.0%,44.9%,46.6%,39.2%,39.0%,59.0%,60.9%,51.3%,57.4%,44.8%,22.2%,17.0%,19.1%,23.1%,48
2023 Australian Open R64,W vsSonego,33.1%,46.4%,46.3%,41.8%,42.0%,61.0%,63.8%,55.1%,55.8%,49.1%,75.0%,17.8%,20.0%,18.9%,54
2023 Australian Open R128,W vsMartinez,54.3%,65.7%,71.0%,61.3%,64.7%,74.5%,72.2%,74.3%,50.0%,51.9%,-,27.8%,44.4%,69.2%,1
2023 United Cup SF,L vsFritz,36.6%,51.2%,54.9%,45.5%,43.5%,61.3%,68.6%,55.3%,52.0%,43.2%,100.0%,15.8%,21.1%,25.0%,-3
2023 United Cup RR,W vsBublik,47.9%,61.7%,60.0%,54.0%,69.0%,82.8%,66.7%,79.0%,55.0%,50.0%,100.0%,15.6%,31.3%,55.6%,35
2023 United Cup RR,W vsWawrinka,41.9%,54.8%,61.1%,48.7%,50.0%,68.8%,56.3%,63.1%,53.8%,47.4%,-,33.3%,40.0%,65.0%,-79
2023 United Cup RR,L vsBerrettini,40.5%,53.2%,43.5%,47.8%,49.0%,65.3%,48.0%,60.8%,47.8%,57.7%,100.0%,27.6%,34.5%,38.1%,-29
