Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
37,Matteo Arnaldi,1,0.0,58.5,58.0,3.8,1.9,3.7,49.1,65.4,51.9,53.8,66.7,26.9,27.7,7.7,1.9,20.6,38.9,0.0,0.0,1,0.11,0.5,1.0,0.0,0.0,0.0,0.33,1.5,3.0,1.5,3.0,42.9,-,0.0,33.3
38,Jiri Lehecka,4,50.0,65.6,63.8,8.1,1.9,6.0,67.9,71.8,52.2,55.6,84.4,36.4,37.7,8.6,3.0,26.9,54.4,22.6,35.0,20,0.65,2.9,5.0,1.0,1.8,73.7,0.59,2.7,4.8,0.71,1.3,51.4,-,57.1,54.0
40,Nuno Borges,1,100.0,79.6,80.0,6.1,2.0,6.7,69.4,82.4,73.3,78.6,90.0,43.9,44.0,7.0,5.3,25.7,72.7,33.3,50.0,6,0.67,3.0,6.0,1.5,3.0,66.7,0.3,1.5,3.0,0.5,1.0,60.4,-,100.0,63.2
41,Jordan Thompson,4,50.0,63.5,60.9,7.5,0.6,1.4,61.6,67.9,56.5,57.4,83.3,35.7,36.0,6.2,3.0,28.3,51.3,14.3,22.2,36,0.64,3.3,9.0,0.73,2.0,71.0,0.57,2.8,7.8,0.82,2.3,49.4,100.0,45.5,48.2
42,Alejandro Tabilo,5,60.0,66.5,67.0,6.4,3.9,10.4,62.9,75.0,52.1,58.1,82.8,36.5,37.7,11.4,5.0,26.2,55.2,20.6,44.8,29,0.46,2.2,5.8,1.0,2.6,60.7,0.44,2.2,5.6,0.85,2.2,51.7,50.0,53.8,52.0
43,Gael Monfils,2,0.0,64.2,63.2,11.3,5.0,12.3,59.1,75.5,47.7,54.4,81.5,33.8,34.0,6.9,3.1,28.4,45.1,18.5,31.3,16,0.59,2.7,8.0,0.83,2.5,44.4,0.33,1.5,4.5,0.83,2.5,48.9,0.0,33.3,50.0
44,Lorenzo Sonego,1,100.0,72.5,71.4,3.9,0.0,0.0,62.7,75.0,68.4,68.4,100.0,44.0,40.4,0.0,6.0,22.7,60.7,37.5,50.0,6,0.75,3.0,6.0,1.5,3.0,-,0.0,0.0,0.0,0.0,0.0,58.4,-,100.0,70.6
45,Marcos Giron,4,50.0,63.1,62.2,5.6,2.0,5.6,65.0,71.9,46.7,49.5,79.5,36.5,38.5,9.9,2.9,30.1,47.5,23.9,45.8,24,0.52,2.4,6.0,1.1,2.8,64.0,0.57,2.5,6.3,0.9,2.3,50.5,0.0,50.0,51.1
46,Luciano Darderi,3,33.3,58.8,58.6,4.4,2.7,5.9,55.3,62.4,54.5,57.9,75.0,33.3,35.7,9.5,1.6,26.9,47.5,16.1,35.7,14,0.45,2.0,4.7,0.71,1.7,61.9,0.66,3.0,7.0,1.14,2.7,47.2,0.0,28.6,46.0
48,David Goffin,1,0.0,56.0,59.6,0.0,6.0,10.7,44.0,77.3,39.3,44.0,62.5,27.5,28.6,3.9,0.0,25.0,31.6,0.0,-,0,0.0,0.0,0.0,0.0,0.0,50.0,0.75,3.0,6.0,1.5,3.0,41.6,-,0.0,29.4
49,Pedro Martinez,3,33.3,58.4,59.9,1.3,3.4,10.8,68.2,60.4,54.1,60.6,72.7,34.8,36.5,11.6,4.0,21.7,55.8,12.1,30.8,13,0.39,1.9,4.3,0.57,1.3,65.4,0.79,3.7,8.7,1.29,3.0,46.8,-,28.6,42.4
51,Tomas Martin Etcheverry,3,33.3,67.6,65.6,8.5,1.4,3.9,63.8,72.8,58.4,60.8,83.3,30.9,30.6,4.3,2.4,22.8,43.8,16.7,46.2,13,0.36,1.9,4.3,0.86,2.0,53.8,0.36,1.9,4.3,0.86,2.0,49.5,50.0,42.9,50.0
52,Quentin Halys,1,100.0,73.1,70.2,23.9,6.0,13.3,55.2,86.5,56.7,65.4,100.0,36.8,31.7,2.9,8.8,15.2,57.1,10.0,33.3,3,0.3,1.5,3.0,0.5,1.0,100.0,0.36,2.0,4.0,0.0,0.0,54.8,100.0,100.0,57.1
53,Nicolas Jarry,2,100.0,63.1,60.2,10.3,2.1,6.3,67.2,69.5,50.0,53.3,92.6,34.2,34.1,4.7,2.7,30.5,40.7,20.8,50.0,10,0.42,2.0,5.0,1.0,2.5,80.0,0.37,2.0,5.0,0.4,1.0,50.6,50.0,80.0,58.8
54,Gabriel Diallo,1,100.0,73.1,70.2,9.6,0.0,0.0,73.1,78.9,57.1,57.1,100.0,40.4,32.5,2.1,12.8,23.1,61.9,33.3,100.0,3,0.33,1.5,3.0,1.5,3.0,100.0,0.11,0.5,1.0,0.0,0.0,57.6,-,100.0,66.7
55,Zhizhen Zhang,2,50.0,68.2,64.6,12.6,1.3,4.7,71.5,76.9,46.5,48.8,95.5,26.8,29.4,12.6,1.6,22.1,34.0,4.5,33.3,3,0.14,0.8,1.5,0.25,0.5,80.0,0.23,1.3,2.5,0.25,0.5,49.3,50.0,50.0,50.0
56,Roberto Bautista Agut,1,100.0,75.5,75.0,1.9,0.0,0.0,62.3,75.8,75.0,75.0,100.0,38.5,39.7,7.7,3.1,32.5,48.0,22.2,25.0,8,0.89,4.0,8.0,1.0,2.0,-,0.0,0.0,0.0,0.0,0.0,55.1,-,100.0,63.2
58,Benjamin Bonzi,1,100.0,65.4,61.1,11.1,0.0,0.0,70.4,64.9,66.7,66.7,78.6,47.1,47.0,1.9,1.9,43.7,54.5,42.9,42.9,14,1.0,4.7,14.0,2.0,6.0,70.0,0.71,3.3,10.0,1.0,3.0,55.1,-,66.7,60.7
59,Roberto Carballes Baena,1,100.0,66.1,64.9,3.4,0.0,0.0,72.9,65.1,68.8,68.8,88.9,48.1,42.6,1.9,11.1,36.4,66.7,44.4,66.7,6,0.67,3.0,6.0,2.0,4.0,85.7,0.78,3.5,7.0,0.5,1.0,57.5,-,100.0,66.7
64,Laslo Djere,1,0.0,63.5,59.8,13.5,2.9,9.7,70.2,67.1,54.8,60.7,86.7,31.7,33.3,8.9,2.0,28.2,40.0,7.1,10.0,10,0.71,3.3,10.0,0.33,1.0,71.4,0.47,2.3,7.0,0.67,2.0,47.8,0.0,33.3,48.3
