Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
33,Sebastian Baez,3,66.7,60.1,60.3,2.5,2.1,8.1,74.5,59.1,62.9,68.4,63.9,40.1,39.8,3.7,2.9,35.5,50.0,32.4,30.8,39,1.05,5.6,13.0,1.71,4.0,58.1,0.86,4.4,10.3,1.86,4.3,49.5,100.0,57.1,47.9
34,Flavio Cobolli,4,50.0,65.3,64.7,5.5,2.1,4.8,56.9,74.3,53.3,56.1,87.3,33.9,35.4,9.2,2.7,25.8,46.5,16.7,33.3,27,0.5,2.7,6.8,0.9,2.3,68.2,0.4,2.2,5.5,0.7,1.8,49.9,16.7,40.0,52.3
35,Tallon Griekspoor,6,66.7,68.2,68.3,10.1,4.7,11.3,58.0,78.6,54.0,60.8,84.1,31.6,32.0,10.1,4.2,23.4,45.9,13.4,40.7,27,0.33,1.6,4.5,0.65,1.8,63.9,0.44,2.1,6.0,0.76,2.2,50.0,75.0,52.9,48.8
36,Giovanni Mpetshi Perricard,4,25.0,69.3,67.8,16.5,5.6,16.4,65.9,77.1,54.3,65.0,91.5,24.1,23.1,7.5,3.6,18.9,32.8,3.4,28.6,7,0.12,0.6,1.8,0.18,0.5,84.4,0.54,2.9,8.0,0.45,1.3,48.2,16.7,27.3,47.9
37,Matteo Arnaldi,3,66.7,63.2,62.0,7.2,2.5,6.3,59.6,68.5,55.4,59.0,84.6,34.8,34.9,5.3,2.6,28.2,47.4,19.4,53.8,13,0.36,1.6,4.3,0.88,2.3,76.9,0.67,3.3,8.7,0.75,2.0,50.4,50.0,62.5,53.3
38,Jiri Lehecka,5,80.0,66.8,66.0,10.3,4.2,10.6,60.3,79.1,48.0,53.6,86.3,36.3,37.3,8.6,3.5,27.1,50.8,23.1,37.5,32,0.62,2.9,6.4,1.09,2.4,76.7,0.59,2.7,6.0,0.64,1.4,51.4,-,72.7,54.4
39,Alexandre Muller,3,33.3,58.6,57.7,4.9,2.0,5.3,63.1,66.4,45.3,47.9,71.0,34.3,35.9,10.5,3.3,26.0,45.5,16.7,31.3,16,0.53,2.7,5.3,0.83,1.7,55.0,0.65,3.3,6.7,1.5,3.0,47.1,-,33.3,44.3
40,Nuno Borges,4,75.0,67.5,66.3,8.1,2.2,6.5,65.8,74.3,54.5,58.3,89.1,30.1,30.9,7.8,2.3,21.2,44.2,16.4,50.0,18,0.33,1.6,4.5,0.82,2.3,78.6,0.51,2.5,7.0,0.55,1.5,50.2,66.7,63.6,52.7
41,Jordan Thompson,8,37.5,65.1,63.8,6.0,1.3,3.3,59.4,71.2,56.2,58.1,81.9,32.5,32.6,8.2,4.0,22.6,47.1,14.0,26.8,56,0.52,2.7,7.0,0.71,1.9,66.1,0.53,2.7,7.0,0.9,2.4,48.8,50.0,42.9,47.6
42,Alejandro Tabilo,7,28.6,67.8,65.9,12.5,3.5,9.8,64.7,76.8,51.3,56.9,84.5,32.7,32.8,12.4,6.0,22.7,47.6,14.4,30.4,46,0.47,2.3,6.6,0.7,2.0,65.1,0.44,2.2,6.1,0.75,2.1,50.5,33.3,45.0,49.5
43,Gael Monfils,7,57.1,68.6,66.9,11.8,3.3,9.1,63.8,74.9,57.4,63.1,83.9,28.8,30.1,7.1,1.1,24.5,35.6,6.8,19.4,31,0.35,1.8,4.4,0.35,0.9,62.2,0.43,2.2,5.3,0.82,2.0,48.9,100.0,52.9,45.1
44,Lorenzo Sonego,8,25.0,66.1,63.8,10.0,2.1,6.2,66.6,76.1,46.2,49.2,84.5,30.0,29.3,4.1,2.8,22.9,43.8,10.8,37.9,29,0.28,1.5,3.6,0.55,1.4,69.4,0.51,2.5,6.1,0.75,1.9,48.4,50.0,35.0,46.7
45,Marcos Giron,4,75.0,64.5,64.5,4.4,2.4,6.0,59.7,72.3,53.0,56.4,81.0,40.4,39.5,6.4,5.7,29.5,54.3,31.8,43.8,32,0.73,3.6,8.0,1.56,3.5,42.9,0.33,1.6,3.5,0.89,2.0,52.0,50.0,66.7,55.8
46,Luciano Darderi,5,40.0,61.8,62.0,4.6,3.2,7.8,59.3,69.6,50.4,54.7,80.8,32.6,32.1,11.1,6.0,24.1,49.1,16.5,54.2,24,0.3,1.6,4.8,0.87,2.6,67.4,0.59,3.1,9.2,1.0,3.0,48.5,66.7,46.7,48.4
47,Miomir Kecmanovic,5,20.0,60.8,61.1,3.5,2.8,6.6,58.3,67.4,51.5,55.1,71.9,34.8,34.3,9.5,5.6,26.3,49.3,18.2,38.7,31,0.47,2.2,6.2,0.86,2.4,56.1,0.64,2.9,8.2,1.29,3.6,47.9,-,35.7,44.6
48,David Goffin,3,100.0,64.4,65.1,4.7,3.5,9.7,63.5,72.7,50.0,55.4,82.0,39.3,41.9,9.8,2.7,30.8,53.5,28.3,39.5,38,0.72,3.5,12.7,1.36,5.0,66.7,0.54,2.5,9.0,0.82,3.0,51.9,50.0,63.6,54.4
49,Pedro Martinez,4,50.0,65.0,69.2,1.2,6.5,20.3,67.9,71.9,50.6,63.5,81.4,39.4,42.2,11.3,3.3,30.5,53.9,22.7,35.7,28,0.64,3.1,7.0,1.11,2.5,61.9,0.49,2.3,5.3,0.89,2.0,50.9,-,55.6,51.7
50,Zizou Bergs,7,28.6,62.3,62.0,6.7,3.8,9.5,60.3,70.5,49.8,55.0,75.3,36.4,35.3,5.0,4.5,30.1,46.2,20.0,35.7,56,0.56,2.7,8.0,0.95,2.9,57.9,0.59,2.7,8.1,1.14,3.4,49.0,0.0,42.9,47.2
51,Tomas Martin Etcheverry,8,37.5,64.1,62.3,8.5,2.3,7.0,67.3,70.1,51.5,55.4,79.3,38.5,38.5,9.2,5.7,28.1,54.2,21.1,35.1,57,0.6,3.0,7.1,1.05,2.5,62.7,0.55,2.7,6.4,1.0,2.4,50.5,40.0,47.4,49.7
52,Quentin Halys,3,66.7,69.9,68.6,19.1,6.8,15.7,56.8,83.6,52.0,61.6,94.4,34.7,35.5,9.7,4.2,25.9,47.4,13.5,38.5,13,0.35,1.9,4.3,0.71,1.7,85.7,0.39,2.0,4.7,0.29,0.7,52.3,66.7,71.4,53.4
53,Nicolas Jarry,5,40.0,67.5,66.8,9.9,3.9,9.9,60.2,73.8,57.9,64.3,85.2,30.0,29.3,8.3,4.4,21.5,42.0,10.8,34.6,26,0.31,1.6,5.2,0.56,1.8,75.0,0.59,3.0,9.6,0.75,2.4,48.8,25.0,37.5,47.6
54,Gabriel Diallo,2,50.0,65.1,64.8,11.8,5.9,23.7,75.0,71.9,44.7,58.6,90.5,33.1,35.2,8.5,1.4,26.7,42.9,14.3,25.0,12,0.57,3.0,6.0,0.75,1.5,77.8,0.43,2.3,4.5,0.5,1.0,49.7,50.0,50.0,52.4
55,Zhizhen Zhang,6,66.7,66.8,65.5,9.8,3.1,7.4,58.0,73.7,57.4,62.0,82.2,34.8,36.2,13.6,5.5,25.4,50.6,21.6,50.0,32,0.43,2.1,5.3,1.07,2.7,50.0,0.36,1.7,4.3,0.87,2.2,50.4,50.0,53.3,51.7
56,Roberto Bautista Agut,4,50.0,60.3,61.8,4.3,5.0,16.3,69.3,67.8,43.5,51.9,78.6,38.4,38.1,9.5,6.3,30.2,48.8,23.3,40.0,25,0.58,2.8,6.3,1.11,2.5,74.3,0.83,3.9,8.8,1.0,2.3,49.7,0.0,44.4,50.6
58,Benjamin Bonzi,1,0.0,64.6,65.0,4.7,3.1,8.3,62.2,70.9,54.2,59.1,76.2,37.6,37.7,4.7,2.7,30.3,48.3,19.0,57.1,7,0.33,1.8,7.0,1.0,4.0,50.0,0.48,2.5,10.0,1.25,5.0,50.0,0.0,25.0,47.6
59,Roberto Carballes Baena,7,57.1,65.9,65.7,3.5,1.5,4.7,68.3,69.1,59.1,62.0,84.6,36.2,37.5,8.0,2.7,27.8,47.3,16.7,24.5,53,0.68,3.5,7.6,0.87,1.9,74.5,0.6,3.1,6.7,0.8,1.7,50.9,50.0,53.3,50.6
61,Fabian Marozsan,4,75.0,65.2,66.0,4.7,3.6,11.4,68.5,72.8,48.9,55.1,83.0,36.1,36.7,11.3,5.6,21.9,57.5,20.0,45.0,20,0.44,2.0,5.0,0.9,2.3,55.6,0.38,1.8,4.5,0.8,2.0,51.0,-,60.0,52.2
