Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
87,Jan Lennard Struff,8,75.0,71.9,16.0,5.6,13.5,58.7,81.4,58.5,67.6,90.6,32.5,12.0,3.7,20.9,51.0,12.8,32.0,50,0.4,2.1,6.3,0.67,2.0,72.7,0.34,1.8,5.5,0.5,1.5,52.0,60.0,66.7,52.2
88,Adam Walton,4,50.0,66.0,4.8,2.5,7.2,64.6,70.2,58.4,62.9,82.1,36.1,8.2,3.6,30.5,47.5,22.0,52.0,25,0.42,2.1,6.3,1.08,3.3,58.3,0.43,2.0,6.0,0.83,2.5,50.8,50.0,58.3,51.3
90,James Duckworth,6,50.0,65.0,7.9,2.3,5.7,58.8,72.7,53.9,57.2,91.0,30.2,20.9,5.4,16.8,52.5,9.3,26.9,26,0.35,1.9,4.3,0.5,1.2,80.6,0.46,2.6,6.0,0.5,1.2,48.7,33.3,42.9,51.0
91,Cameron Norrie,5,40.0,69.9,8.0,2.9,9.7,70.3,76.2,54.9,60.8,86.7,30.9,17.6,4.6,22.5,49.0,14.1,42.3,26,0.33,1.9,5.2,0.79,2.2,58.3,0.32,1.7,4.8,0.71,2.0,50.1,50.0,50.0,49.7
92,Vit Kopriva,1,0.0,47.9,4.2,5.2,11.6,55.2,54.7,39.5,44.7,45.5,17.2,17.2,3.4,10.3,31.6,0.0,-,0,0.0,0.0,0.0,0.0,0.0,60.0,1.36,5.0,15.0,2.0,6.0,36.4,-,0.0,21.7
94,Reilly Opelka,4,75.0,68.2,24.5,5.6,13.9,59.8,82.5,47.0,54.5,80.4,32.4,3.9,3.5,24.0,45.1,12.5,30.0,20,0.42,1.8,5.0,0.55,1.5,44.4,0.35,1.6,4.5,0.91,2.5,50.4,100.0,54.5,47.5
95,Luca Nardi,4,25.0,56.4,4.3,5.2,14.4,64.2,65.6,40.0,46.7,68.0,34.4,5.7,3.3,23.6,53.7,19.6,50.0,20,0.39,2.0,5.0,1.0,2.5,66.0,0.94,4.7,11.8,1.6,4.0,46.3,-,30.0,43.6
96,Mackenzie Mcdonald,6,50.0,64.9,5.6,3.1,8.9,65.6,71.8,51.6,56.6,80.0,38.2,10.8,6.3,28.5,53.5,23.9,43.1,51,0.55,2.8,8.5,1.22,3.7,52.6,0.42,2.1,6.3,1.0,3.0,51.0,25.0,50.0,51.6
97,Alexander Shevchenko,3,33.3,60.3,7.6,3.0,7.6,60.9,69.0,46.6,50.5,72.1,31.3,7.9,2.2,22.8,46.9,13.0,28.6,21,0.46,2.3,7.0,0.67,2.0,57.1,0.65,3.1,9.3,1.33,4.0,46.4,66.7,44.4,41.6
98,Pablo Carreno Busta,1,0.0,66.9,1.7,0.8,3.4,75.4,73.0,48.3,50.0,88.2,31.5,7.4,0.9,26.2,38.3,17.6,42.9,7,0.41,2.3,7.0,1.0,3.0,71.4,0.41,2.3,7.0,0.67,2.0,50.0,0.0,33.3,52.9
99,Mariano Navone,3,0.0,56.0,6.4,2.8,7.1,61.5,64.9,41.7,44.9,66.7,22.1,9.3,3.5,18.5,31.3,5.9,40.0,5,0.15,0.7,1.7,0.29,0.7,57.7,0.79,3.7,8.7,1.57,3.7,41.0,0.0,0.0,35.8
