Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
68,Mattia Bellucci,3,33.3,62.6,60.4,13.5,5.2,15.6,66.8,71.0,45.8,54.3,76.9,31.7,34.5,14.4,3.3,22.4,45.8,10.0,36.4,11,0.28,1.4,3.7,0.5,1.3,75.0,0.92,4.5,12.0,1.13,3.0,48.5,100.0,37.5,43.0
70,Learner Tien,1,100.0,63.4,64.0,4.9,3.7,10.0,63.4,65.4,60.0,66.7,84.6,39.5,46.3,16.0,1.2,26.5,59.4,30.8,36.4,11,0.85,3.7,11.0,1.33,4.0,75.0,0.62,2.7,8.0,0.67,2.0,51.5,-,66.7,57.7
71,Daniel Altmaier,6,33.3,63.8,63.0,6.0,2.1,6.2,65.8,70.2,51.7,55.1,79.5,35.8,34.1,5.6,5.5,29.1,46.0,14.6,36.4,33,0.4,1.9,5.5,0.71,2.0,52.8,0.43,2.1,6.0,1.0,2.8,49.7,60.0,41.2,47.3
72,Hamad Medjedovic,2,50.0,65.2,63.0,12.1,3.5,9.6,63.1,71.9,53.8,59.6,81.8,31.9,32.5,5.2,1.5,27.5,40.9,13.6,33.3,9,0.41,2.3,4.5,0.75,1.5,71.4,0.64,3.5,7.0,1.0,2.0,48.9,100.0,50.0,47.7
74,Yoshihito Nishioka,5,20.0,58.2,58.0,3.7,2.3,6.5,65.3,60.2,54.5,58.3,67.9,28.7,31.1,18.9,5.1,18.7,42.6,12.3,33.3,21,0.37,1.8,4.2,0.58,1.4,52.6,0.68,3.2,7.6,1.5,3.6,43.9,-,25.0,39.8
75,Arthur Rinderknech,6,33.3,61.3,58.5,11.8,3.7,8.9,58.6,70.9,47.7,52.3,72.2,32.4,33.6,9.8,3.1,24.0,44.0,14.3,26.5,49,0.54,2.5,8.2,0.65,2.2,57.6,0.66,3.0,9.8,1.25,4.2,46.8,50.0,40.0,43.1
76,Alexander Bublik,11,36.4,60.5,60.4,12.4,8.0,20.2,60.5,73.1,41.1,51.5,70.4,33.8,33.6,8.3,4.5,26.5,45.5,17.4,50.0,40,0.35,1.6,3.6,0.8,1.8,56.4,0.68,3.1,7.1,1.36,3.1,48.0,50.0,36.0,43.9
77,Roman Safiullin,9,44.4,62.9,63.0,6.7,4.1,10.7,61.6,71.1,49.6,55.6,74.5,38.1,38.5,5.8,3.0,32.7,48.3,22.0,41.5,53,0.53,2.5,5.9,1.05,2.4,58.1,0.61,3.0,6.9,1.24,2.9,50.1,0.0,42.9,48.5
78,Hugo Gaston,1,0.0,46.9,48.6,2.5,6.2,15.2,59.3,56.3,33.3,39.3,36.4,30.9,34.5,16.2,2.9,22.7,45.8,0.0,0.0,1,0.09,0.3,1.0,0.0,0.0,46.2,1.18,4.3,13.0,2.33,7.0,39.6,-,0.0,18.2
79,Aleksandar Vukic,6,33.3,60.9,59.1,7.7,2.2,5.8,62.3,72.7,41.5,44.1,69.7,33.6,35.0,12.1,4.4,24.8,48.5,17.3,36.1,36,0.48,2.3,6.0,0.81,2.2,53.1,0.64,3.1,8.2,1.44,3.8,47.2,50.0,37.5,43.7
80,Aleksandar Kovacevic,3,33.3,60.1,57.3,15.2,6.5,14.8,56.3,73.0,43.5,51.0,68.3,34.8,37.9,11.5,2.0,31.9,39.8,19.5,32.0,25,0.61,2.8,8.3,0.89,2.7,51.9,0.66,3.0,9.0,1.44,4.3,47.7,-,33.3,43.9
81,Christopher Oconnell,8,50.0,67.1,64.0,12.8,2.4,5.7,57.3,78.2,52.1,55.3,86.0,34.6,35.5,10.3,4.2,25.8,48.4,14.2,28.3,53,0.5,2.5,6.6,0.71,1.9,65.9,0.41,2.1,5.5,0.71,1.9,50.2,50.0,52.4,50.2
82,Rinky Hijikata,3,33.3,51.5,51.1,3.6,2.6,7.4,64.9,55.6,44.1,47.6,53.3,36.6,37.6,12.8,6.1,27.0,51.6,26.7,80.0,10,0.33,1.4,3.3,1.14,2.7,46.2,0.87,3.7,8.7,2.0,4.7,44.7,0.0,28.6,40.0
83,Corentin Moutet,7,42.9,58.5,59.3,1.3,2.3,6.5,64.4,65.2,46.3,49.5,70.5,38.1,37.5,3.4,2.9,33.8,47.2,24.7,44.9,49,0.55,2.6,7.0,1.16,3.1,60.6,0.75,3.5,9.4,1.37,3.7,48.7,66.7,47.4,47.5
84,Borna Coric,7,42.9,63.7,61.3,11.7,3.5,8.3,58.1,71.0,53.7,58.6,78.0,35.9,36.2,8.1,4.0,27.4,48.1,21.0,44.7,38,0.47,2.2,5.4,1.0,2.4,60.0,0.55,2.6,6.4,1.06,2.6,50.1,40.0,47.1,49.7
85,Botic Van De Zandschulp,7,14.3,59.0,59.8,6.9,6.0,14.9,59.9,69.4,43.4,51.1,69.5,35.4,34.8,4.8,3.6,26.4,50.5,19.3,38.1,42,0.51,2.5,6.0,0.94,2.3,58.3,0.73,3.5,8.6,1.47,3.6,47.1,0.0,23.5,44.2
87,Jan Lennard Struff,11,72.7,65.7,65.4,10.4,5.0,12.4,59.5,78.6,46.7,53.4,85.3,40.1,41.3,9.2,4.5,31.4,54.0,27.5,35.9,117,0.76,3.7,10.6,1.31,3.8,72.9,0.54,2.7,7.7,0.72,2.1,52.8,62.5,68.8,56.6
88,Adam Walton,3,0.0,66.6,66.4,7.9,3.8,10.8,64.8,74.2,52.5,58.9,86.3,32.0,33.2,11.2,3.7,25.1,41.7,13.2,31.8,22,0.42,2.2,7.3,0.7,2.3,66.7,0.41,2.1,7.0,0.7,2.3,49.1,25.0,30.0,49.0
90,James Duckworth,3,33.3,70.1,71.3,6.4,4.3,9.5,55.1,77.5,61.0,67.4,87.5,31.1,35.5,15.4,1.7,23.1,42.9,12.8,33.3,15,0.38,1.9,5.0,0.63,1.7,50.0,0.25,1.3,3.3,0.63,1.7,50.3,100.0,50.0,50.6
91,Cameron Norrie,7,85.7,64.8,64.5,6.9,3.4,9.5,63.6,72.4,51.4,56.8,83.3,38.9,42.5,13.9,4.1,27.4,55.6,28.3,42.4,66,0.67,3.3,9.4,1.4,4.0,66.7,0.5,2.6,7.3,0.85,2.4,52.0,40.0,70.0,56.2
93,Jesper De Jong,2,0.0,51.0,51.6,3.9,4.9,12.2,59.8,56.6,42.7,48.6,53.3,32.4,32.9,5.3,1.8,28.7,40.0,17.2,41.7,12,0.41,1.7,6.0,0.71,2.5,53.3,1.0,4.3,15.0,2.0,7.0,42.5,-,14.3,35.6
94,Reilly Opelka,3,33.3,74.7,70.9,22.3,3.7,9.8,62.1,82.0,62.7,69.6,97.8,25.3,23.6,6.9,4.3,17.5,39.0,6.8,23.1,13,0.3,1.6,4.3,0.38,1.0,75.0,0.09,0.5,1.3,0.13,0.3,49.6,0.0,37.5,52.8
95,Luca Nardi,4,25.0,60.8,62.3,3.4,4.5,11.3,60.4,67.3,50.9,57.4,75.6,32.3,31.8,6.5,3.6,21.4,47.6,10.0,33.3,12,0.3,1.3,3.0,0.44,1.0,65.5,0.71,3.2,7.3,1.11,2.5,47.1,0.0,22.2,43.2
96,Mackenzie Mcdonald,2,0.0,58.6,58.0,7.1,4.1,12.3,66.3,64.3,47.4,54.0,70.4,36.7,37.7,7.3,2.8,26.5,49.4,25.9,43.8,16,0.59,3.2,8.0,1.4,3.5,50.0,0.59,3.2,8.0,1.6,4.0,47.4,0.0,20.0,48.1
97,Alexander Shevchenko,8,12.5,57.6,57.6,4.1,3.0,7.8,61.2,64.9,46.1,50.0,64.7,34.1,36.0,8.1,1.7,28.6,45.7,13.8,40.0,30,0.34,1.5,3.8,0.6,1.5,48.3,0.68,2.9,7.3,1.5,3.8,45.7,100.0,20.0,39.0
98,Pablo Carreno Busta,3,100.0,64.6,64.5,7.6,4.0,10.7,62.3,70.5,54.8,61.3,87.9,44.7,44.9,5.5,4.1,37.7,55.1,42.4,53.8,26,0.79,3.7,8.7,2.0,4.7,69.2,0.39,1.9,4.3,0.57,1.3,54.8,50.0,85.7,65.2
99,Mariano Navone,8,12.5,54.7,55.7,2.8,4.0,12.8,68.8,57.3,48.9,56.1,61.7,38.4,38.0,4.7,3.5,38.4,38.3,22.9,37.9,58,0.6,2.8,7.3,1.05,2.8,45.5,0.7,3.1,8.3,1.71,4.5,46.3,0.0,23.8,42.1
