Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2023 Paris R32,W vsEtcheverry,38% (3/8),100% (3/3),0/0,11% (1/9),100% (1/1),3/3,2/2,0/0,1/1,0/0
2023 US Open F,W vsMedvedev,36% (5/14),60% (3/5),1/1,19% (3/16),67% (2/3),2/3,2/2,2/2,1/1,0/0
2023 US Open SF,W vsShelton,57% (8/14),63% (5/8),0/1,27% (4/15),50% (2/4),4/5,2/3,1/1,0/1,0/0
2023 US Open QF,W vsFritz,46% (6/13),100% (6/6),2/2,43% (6/14),67% (4/6),4/6,3/3,0/0,1/1,0/0
2023 US Open R16,W vsGojo,53% (8/15),63% (5/8),1/1,7% (1/15),0% (0/1),5/5,3/3,1/1,1/1,0/0
2023 US Open R32,W vsDjere,43% (9/21),78% (7/9),1/3,36% (8/22),63% (5/8),5/6,2/2,2/2,1/1,0/0
2023 US Open R64,W vsZapata Miralles,58% (7/12),86% (6/7),0/0,25% (3/12),100% (3/3),5/5,2/2,0/0,1/1,0/0
2023 US Open R128,W vsMuller,67% (8/12),100% (8/8),1/1,9% (1/11),0% (0/1),6/7,2/2,0/0,0/0,0/0
2023 Cincinnati F,W vsAlcaraz,39% (7/18),43% (3/7),0/4,22% (4/18),0% (0/4),2/3,0/1,1/1,0/1,1/1
2023 Cincinnati SF,W vsZverev,25% (3/12),67% (2/3),1/1,17% (2/12),50% (1/2),2/2,1/2,0/0,1/2,0/0
2023 Cincinnati QF,W vsFritz,63% (5/8),100% (5/5),0/1,13% (1/8),0% (0/1),3/3,0/0,0/0,0/0,0/0
2023 Cincinnati R16,W vsMonfils,63% (5/8),80% (4/5),0/1,11% (1/9),0% (0/1),3/4,2/3,0/0,1/2,0/0
2023 Wimbledon F,L vsAlcaraz,32% (7/22),71% (5/7),1/4,39% (9/23),44% (4/9),4/4,1/1,3/4,0/0,1/1
2023 Wimbledon SF,W vsSinner,27% (4/15),50% (2/4),0/0,25% (4/16),100% (4/4),2/2,2/2,2/2,0/0,0/0
2023 Wimbledon QF,W vsRublev,39% (7/18),71% (5/7),0/1,22% (4/18),75% (3/4),4/4,2/2,0/0,0/0,0/0
2023 Wimbledon R16,W vsHurkacz,13% (3/23),33% (1/3),0/0,4% (1/23),0% (0/1),1/1,1/1,3/4,1/1,0/0
2023 Wimbledon R32,W vsWawrinka,36% (5/14),80% (4/5),0/0,0% (0/14),- (0/0),3/3,1/1,0/0,0/0,0/0
2023 Wimbledon R64,W vsThompson,31% (5/16),40% (2/5),0/0,0% (0/17),- (0/0),1/1,1/1,2/2,0/0,0/0
2023 Wimbledon R128,W vsCachin,47% (7/15),57% (4/7),1/1,13% (2/15),50% (1/2),3/3,1/1,0/0,0/0,0/0
2023 Roland Garros F,W vsRuud,38% (6/16),50% (3/6),0/1,12% (2/17),50% (1/2),3/3,2/2,3/3,1/1,0/0
2023 Roland Garros SF,W vsAlcaraz,53% (9/17),78% (7/9),1/1,33% (6/18),67% (4/6),6/6,2/2,1/2,1/1,0/0
2023 Roland Garros QF,W vsKhachanov,29% (6/21),83% (5/6),1/2,20% (4/20),50% (2/4),4/4,2/2,1/1,1/1,0/0
2023 Roland Garros R16,W vsVarillas,58% (7/12),86% (6/7),0/1,23% (3/13),67% (2/3),5/6,3/3,0/0,1/1,0/0
2023 Roland Garros R64,W vsFucsovics,71% (10/14),80% (8/10),1/3,46% (6/13),50% (3/6),5/7,1/3,0/0,0/1,0/0
2023 Rome QF,L vsRune,31% (4/13),50% (2/4),1/5,54% (7/13),29% (2/7),1/1,0/1,2/2,0/0,1/1
2023 Rome R64,W vsEtcheverry,50% (5/10),60% (3/5),0/1,10% (1/10),0% (0/1),3/3,1/1,0/0,1/1,0/0
2023 Banja Luka QF,L vsLajovic,55% (6/11),17% (1/6),0/2,36% (4/11),50% (2/4),0/1,0/0,0/0,0/0,0/0
2023 Monte Carlo R16,L vsMusetti,56% (9/16),78% (7/9),5/8,50% (8/16),0% (0/8),2/6,0/1,1/1,0/0,1/1
2023 Dubai SF,L vsMedvedev,10% (1/10),100% (1/1),1/3,30% (3/10),0% (0/3),1/1,0/0,2/2,0/0,1/1
2023 Dubai QF,W vsHurkacz,20% (2/10),100% (2/2),0/0,0% (0/11),- (0/0),2/2,2/2,1/1,1/1,0/0
2023 Dubai R16,W vsGriekspoor,63% (5/8),80% (4/5),0/1,11% (1/9),0% (0/1),3/3,1/2,0/0,1/2,0/0
2023 Dubai R32,W vsMachac,27% (4/15),75% (3/4),1/3,33% (5/15),40% (2/5),2/3,1/1,1/1,0/0,0/0
2023 Australian Open F,W vsTsitsipas,19% (3/16),67% (2/3),1/1,12% (2/17),50% (1/2),2/2,1/1,2/2,0/0,0/0
2023 Australian Open SF,W vsPaul,54% (7/13),100% (7/7),0/2,36% (5/14),60% (3/5),5/6,2/4,0/0,1/1,0/0
2023 Australian Open QF,W vsRublev,58% (7/12),71% (5/7),0/0,23% (3/13),100% (3/3),5/5,3/3,0/0,1/1,0/0
2023 Australian Open R16,W vsDe Minaur,64% (7/11),86% (6/7),0/0,0% (0/12),- (0/0),5/5,2/2,0/0,1/1,0/0
2023 Australian Open R32,W vsDimitrov,47% (7/15),71% (5/7),1/3,31% (5/16),40% (2/5),3/5,2/3,1/1,1/1,0/0
2023 Australian Open R64,W vsCouacaud,69% (11/16),64% (7/11),0/0,6% (1/17),100% (1/1),5/5,1/1,2/2,0/0,0/0
2023 Australian Open R128,W vsCarballes Baena,58% (7/12),71% (5/7),0/0,8% (1/13),100% (1/1),5/5,3/3,0/0,1/1,0/0
2023 Adelaide 1 F,W vsKorda,29% (5/17),40% (2/5),1/1,12% (2/17),50% (1/2),1/1,0/0,2/2,0/0,2/2
2023 Adelaide 1 SF,W vsMedvedev,22% (2/9),100% (2/2),0/0,20% (2/10),100% (2/2),2/2,2/2,0/0,1/1,0/0
2023 Adelaide 1 R16,W vsHalys,25% (3/12),33% (1/3),0/1,8% (1/12),0% (0/1),1/1,0/0,3/3,0/0,0/0
2022 Tour Finals F,W vsRuud,40% (4/10),50% (2/4),0/0,0% (0/11),- (0/0),1/1,1/1,0/0,1/1,0/0
2022 Tour Finals SF,W vsFritz,17% (2/12),100% (2/2),0/2,17% (2/12),0% (0/2),1/2,0/0,3/3,0/0,0/0
2022 Tour Finals RR,W vsTsitsipas,9% (1/11),100% (1/1),0/0,9% (1/11),100% (1/1),1/1,1/1,2/2,0/0,0/0
2022 Tour Finals RR,W vsMedvedev,38% (6/16),33% (2/6),1/1,18% (3/17),67% (2/3),2/2,1/1,2/2,0/0,0/0
2022 Tour Finals RR,W vsRublev,38% (3/8),100% (3/3),0/0,0% (0/9),- (0/0),2/2,1/1,0/0,1/1,0/0
2022 Paris F,L vsRune,27% (4/15),50% (2/4),0/3,20% (3/15),0% (0/3),1/2,1/1,1/1,0/0,0/0
