Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2022 Dubai QF,L vsHurkacz,0% (0/9),- (0/0),0/2,33% (3/9),0% (0/3),0/0,0/0,1/2,0/0,0/1
2022 Australian Open QF,L vsTsitsipas,0% (0/14),- (0/0),0/4,31% (4/13),0% (0/4),0/0,0/0,3/3,0/0,1/1
2022 Australian Open R64,W vsJohnson,43% (6/14),83% (5/6),0/0,8% (1/13),100% (1/1),4/4,2/2,0/0,0/0,0/0
2022 Atp Cup RR,W vsSafiullin,20% (2/10),100% (2/2),0/1,64% (7/11),86% (6/7),2/2,1/1,2/2,1/1,0/0
2021 Davis Cup RR,W vsGalan,78% (7/9),86% (6/7),1/2,22% (2/9),0% (0/2),4/6,2/2,1/1,1/1,0/0
2021 Tour Finals RR,W vsHurkacz,50% (4/8),100% (4/4),0/0,38% (3/8),100% (3/3),4/4,2/2,0/0,1/1,0/0
2021 Tour Finals RR,L vsMedvedev,13% (2/15),100% (2/2),0/5,47% (7/15),29% (2/7),1/2,0/0,2/2,0/0,2/2
2021 Paris R32,L vsAlcaraz,8% (1/12),100% (1/1),0/2,42% (5/12),60% (3/5),0/1,0/0,2/2,0/0,0/0
2021 Vienna SF,L vsTiafoe,40% (6/15),50% (3/6),0/4,36% (5/14),20% (1/5),2/2,0/1,0/0,0/1,0/0
2021 Vienna QF,W vsRuud,70% (7/10),71% (5/7),0/1,33% (3/9),67% (2/3),4/4,1/1,1/1,0/0,0/0
2021 Vienna R32,W vsOpelka,33% (3/9),100% (3/3),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2021 Antwerp F,W vsSchwartzman,63% (5/8),80% (4/5),0/0,13% (1/8),100% (1/1),4/4,2/2,0/0,1/1,0/0
2021 Antwerp QF,W vsRinderknech,56% (5/9),80% (4/5),1/1,22% (2/9),50% (1/2),3/4,2/2,0/0,1/1,0/0
2021 Sofia F,W vsMonfils,22% (2/9),100% (2/2),0/0,10% (1/10),100% (1/1),2/2,2/2,0/0,1/1,0/0
2021 US Open R16,L vsZverev,25% (4/16),25% (1/4),0/3,31% (5/16),40% (2/5),1/1,0/0,1/1,0/0,0/0
2021 US Open R32,W vsMonfils,44% (11/25),64% (7/11),1/4,36% (9/25),33% (3/9),5/6,2/2,0/2,1/1,0/0
2021 US Open R64,W vsSvajda,38% (8/21),63% (5/8),1/3,32% (7/22),57% (4/7),4/5,2/2,3/3,1/1,0/0
2021 US Open R128,W vsPurcell,44% (8/18),75% (6/8),1/2,22% (4/18),50% (2/4),3/3,0/1,1/1,0/0,0/0
2021 Washington F,W vsMcdonald,47% (8/17),63% (5/8),1/4,35% (6/17),33% (2/6),2/3,0/2,1/1,0/1,0/0
2021 Washington SF,W vsBrooksby,33% (3/9),67% (2/3),0/0,10% (1/10),100% (1/1),2/2,1/1,2/2,1/1,0/0
2021 Washington QF,W vsJohnson,44% (4/9),75% (3/4),0/0,22% (2/9),100% (2/2),3/3,2/2,0/0,1/1,0/0
2021 Washington R16,W vsKorda,33% (4/12),75% (3/4),1/3,33% (4/12),25% (1/4),2/3,0/1,2/2,0/0,0/0
2021 Washington R32,W vsRuusuvuori,56% (5/9),60% (3/5),0/0,0% (0/9),- (0/0),1/1,0/0,0/0,0/0,0/0
2021 Wimbledon R128,L vsFucsovics,38% (8/21),75% (6/8),2/7,43% (9/21),0% (0/9),1/5,0/0,1/3,0/0,0/0
2021 Roland Garros R16,L vsNadal,36% (5/14),80% (4/5),2/8,77% (10/13),10% (1/10),3/4,0/1,0/1,0/0,0/0
2021 Roland Garros R32,W vsYmer,64% (9/14),67% (6/9),0/1,29% (4/14),75% (3/4),4/4,1/1,1/1,1/1,0/0
2021 Roland Garros R64,W vsMager,39% (7/18),71% (5/7),1/2,16% (3/19),33% (1/3),4/5,3/3,2/2,1/1,0/0
2021 Roland Garros R128,W vsHerbert,35% (9/26),89% (8/9),2/4,32% (8/25),50% (4/8),7/7,2/2,3/3,1/1,1/1
2021 Barcelona QF,W vsRublev,40% (4/10),75% (3/4),0/1,30% (3/10),67% (2/3),2/3,1/1,2/2,0/0,0/0
2021 Miami F,L vsHurkacz,27% (3/11),100% (3/3),0/3,64% (7/11),43% (3/7),2/3,0/1,2/2,0/0,1/1
2021 Miami SF,W vsBautista Agut,38% (6/16),67% (4/6),0/3,31% (5/16),40% (2/5),2/2,0/0,0/0,0/0,0/0
2021 Miami QF,W vsBublik,55% (6/11),50% (3/6),0/2,36% (4/11),50% (2/4),3/3,1/1,1/1,1/1,0/0
2021 Miami R16,W vsRuusuvuori,50% (4/8),100% (4/4),1/1,22% (2/9),50% (1/2),4/4,2/2,0/0,1/1,0/0
2021 Dubai QF,L vsKaratsev,20% (3/15),67% (2/3),1/5,36% (5/14),0% (0/5),2/2,0/0,1/1,0/0,0/0
2021 Marseille QF,L vsMedvedev,11% (1/9),0% (0/1),0/3,44% (4/9),25% (1/4),0/0,0/0,1/1,0/0,1/1
2021 Australian Open R128,L vsShapovalov,43% (10/23),30% (3/10),0/5,26% (6/23),17% (1/6),2/2,1/1,1/1,0/0,1/1
2021 Great Ocean Road Open F,W vsTravaglia,55% (6/11),67% (4/6),1/3,45% (5/11),40% (2/5),3/4,1/1,0/0,1/1,0/0
2020 Sofia F,W vsPospisil,19% (3/16),67% (2/3),0/2,27% (4/15),50% (2/4),1/2,1/1,1/1,0/0,0/0
2020 Roland Garros QF,L vsNadal,21% (3/14),67% (2/3),0/4,40% (6/15),0% (0/6),0/2,0/1,1/2,0/0,0/1
2020 Roland Garros R16,W vsZverev,28% (5/18),100% (5/5),0/2,26% (5/19),60% (3/5),4/4,2/2,0/0,1/1,0/0
2020 Roland Garros R32,W vsCoria,63% (10/16),70% (7/10),3/4,29% (5/17),20% (1/5),6/7,3/3,3/3,1/1,0/0
2020 Roland Garros R64,W vsBonzi,57% (8/14),75% (6/8),1/2,29% (4/14),50% (2/4),4/6,3/4,0/0,1/1,0/0
2020 Roland Garros R128,W vsGoffin,62% (8/13),88% (7/8),1/2,21% (3/14),33% (1/3),3/5,1/1,0/0,1/1,0/0
2020 Rome R32,W vsTsitsipas,57% (8/14),88% (7/8),1/2,23% (3/13),33% (1/3),5/5,1/2,0/0,1/2,0/0
2020 US Open R128,L vsKhachanov,17% (4/23),25% (1/4),0/5,46% (11/24),55% (6/11),1/1,1/1,2/2,0/0,0/0
2020 Montpellier R32,L vsYmer,20% (2/10),100% (2/2),1/4,56% (5/9),20% (1/5),0/2,0/0,2/2,0/0,1/1
2020 Australian Open R64,L vsFucsovics,29% (4/14),75% (3/4),1/6,53% (8/15),13% (1/8),1/3,0/0,2/3,0/0,0/1
2020 Australian Open R128,W vsPurcell,47% (7/15),71% (5/7),1/2,20% (3/15),33% (1/3),5/5,2/2,1/1,1/1,0/0
2019 Ortisei CH F,W vsOfner,56% (5/9),80% (4/5),0/1,22% (2/9),50% (1/2),4/4,2/2,0/0,1/1,0/0
2019 Vienna R16,L vsMonfils,9% (1/11),0% (0/1),0/1,40% (4/10),75% (3/4),0/0,0/0,0/0,0/0,0/0
2019 Vienna R32,W vsKohlschreiber,44% (4/9),75% (3/4),0/1,30% (3/10),67% (2/3),2/3,2/2,0/0,1/1,0/0
2019 Antwerp SF,L vsWawrinka,22% (2/9),50% (1/2),0/4,50% (4/8),0% (0/4),1/1,0/0,2/2,0/0,1/1
2019 Antwerp R16,W vsMonfils,67% (6/9),67% (4/6),0/0,13% (1/8),100% (1/1),2/2,0/0,0/0,0/0,0/0
2019 Antwerp R32,W vsMajchrzak,56% (5/9),80% (4/5),0/1,11% (1/9),0% (0/1),4/4,2/3,0/0,1/1,0/0
2019 St. Petersburg R32,L vsKukushkin,45% (5/11),40% (2/5),2/3,40% (4/10),25% (1/4),2/2,0/0,1/1,0/0,0/0
2019 US Open R128,L vsWawrinka,33% (7/21),57% (4/7),1/5,42% (8/19),38% (3/8),3/4,1/1,1/1,0/0,0/0
2019 Umag R32,W vsSousa,31% (4/13),100% (4/4),0/4,38% (5/13),20% (1/5),3/4,2/2,0/0,1/1,0/0
2019 Lyon R32,L vsLamasine,27% (3/11),67% (2/3),1/3,40% (4/10),0% (0/4),1/1,0/0,2/4,0/0,2/2
2019 Lyon Q2,W vsLamasine,50% (5/10),80% (4/5),1/1,22% (2/9),50% (1/2),3/3,1/1,0/0,0/0,0/0
2019 Rome R32,L vsTsitsipas,22% (2/9),50% (1/2),0/4,63% (5/8),20% (1/5),1/1,0/0,1/1,0/0,1/1
2019 Rome R64,W vsJohnson,38% (5/13),80% (4/5),0/3,31% (4/13),25% (1/4),4/4,2/2,2/2,1/1,2/2
2019 Ostrava CH F,L vsMajchrzak,43% (3/7),33% (1/3),1/6,100% (6/6),0% (0/6),0/1,0/0,0/0,0/0,0/0
2019 Ostrava CH SF,W vsDiez,57% (8/14),63% (5/8),1/2,36% (5/14),40% (2/5),3/5,2/2,0/1,1/1,0/0
2019 Ostrava CH QF,W vsVesely,36% (4/11),75% (3/4),0/2,18% (2/11),0% (0/2),2/3,1/1,3/3,0/0,0/0
2019 Ostrava CH R16,W vsLehecka,67% (6/9),83% (5/6),1/2,44% (4/9),50% (2/4),5/5,2/2,0/0,1/1,0/0
2019 Ostrava CH R32,W vsKoepfer,78% (7/9),86% (6/7),1/2,50% (4/8),50% (2/4),4/5,1/1,0/0,0/0,0/0
2019 Ostrava CH R64,W vsBalazs,73% (8/11),63% (5/8),1/3,45% (5/11),20% (1/5),3/5,1/2,1/1,0/1,0/0
2019 Budapest R16,L vsDjere,38% (3/8),0% (0/3),0/3,63% (5/8),20% (1/5),0/0,0/0,1/2,0/0,0/1
2019 Budapest R32,W vsValkusz,67% (8/12),75% (6/8),3/6,58% (7/12),14% (1/7),3/4,0/2,0/0,0/1,0/0
2019 Budapest Q2,L vsMaden,40% (4/10),25% (1/4),1/3,56% (5/9),40% (2/5),0/1,0/0,2/2,0/0,1/1
2019 Barletta CH R32,L vsArnaboldi,18% (2/11),100% (2/2),0/3,40% (4/10),0% (0/4),1/2,0/1,1/2,0/0,1/1
2019 Barletta CH R64,W vsMoroni,67% (8/12),63% (5/8),1/3,45% (5/11),20% (1/5),3/4,1/1,0/1,0/0,0/0
2019 Villena CH R64,L vsAlcaraz,38% (5/13),100% (5/5),1/5,62% (8/13),13% (1/8),2/4,0/0,0/2,0/0,0/1
2019 M25 Santa Margherita Di Pula F,W vsPellegrino,71% (5/7),100% (5/5),0/0,43% (3/7),100% (3/3),4/4,1/1,0/0,1/1,0/0
2019 M25 Santa Margherita Di Pula SF,W vsOrnago,73% (8/11),75% (6/8),3/4,36% (4/11),0% (0/4),5/6,2/2,1/1,1/1,0/0
2019 M25 Santa Margherita Di Pula R16,W vsLokoli,63% (5/8),100% (5/5),1/1,13% (1/8),0% (0/1),4/5,2/2,0/0,1/1,0/0
2019 M25 Santa Margherita Di Pula R32,W vsBax,64% (9/14),67% (6/9),0/2,21% (3/14),33% (1/3),3/4,0/0,2/2,0/0,0/0
2019 M25 Trento F,W vsJahn,50% (5/10),100% (5/5),1/2,44% (4/9),50% (2/4),2/3,0/1,0/0,0/0,0/0
2019 M25 Trento SF,W vsEjupovic,30% (3/10),100% (3/3),1/1,18% (2/11),50% (1/2),2/2,1/1,0/0,1/1,0/0
2019 M25 Trento QF,W vsCornut Chauvinc,56% (5/9),60% (3/5),0/0,0% (0/9),- (0/0),3/3,1/1,2/2,0/0,0/0
