Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2023 Beijing SF,L vsMedvedev,20% (2/10),0% (0/2),0/1,22% (2/9),0% (0/2),0/0,0/0,0/1,0/0,0/0
2023 Chengdu F,W vsSafiullin,31% (5/16),40% (2/5),1/1,12% (2/17),50% (1/2),2/2,1/1,2/2,1/1,2/2
2023 US Open QF,L vsAlcaraz,21% (3/14),0% (0/3),0/4,31% (4/13),0% (0/4),0/0,0/0,0/0,0/0,0/0
2023 US Open R16,W vsSinner,30% (7/23),86% (6/7),0/4,26% (6/23),33% (2/6),3/5,2/2,1/1,1/1,0/0
2023 US Open R32,W vsDimitrov,47% (9/19),78% (7/9),0/2,26% (5/19),60% (3/5),5/6,1/1,2/2,1/1,0/0
2023 US Open R64,W vsAltmaier,50% (10/20),60% (6/10),0/4,35% (7/20),29% (2/7),2/5,1/2,1/2,0/0,0/0
2023 US Open R128,W vsVukic,40% (6/15),67% (4/6),1/1,13% (2/15),50% (1/2),4/4,3/3,0/0,1/1,0/0
2023 Cincinnati SF,L vsDjokovic,17% (2/12),50% (1/2),0/2,25% (3/12),33% (1/3),0/1,0/0,3/3,0/0,1/1
2023 Cincinnati R16,W vsMedvedev,25% (4/16),75% (3/4),1/1,31% (5/16),60% (3/5),3/3,2/2,1/2,1/1,0/0
2023 Canada R32,L vsDavidovich Fokina,0% (0/8),- (0/0),0/4,57% (4/7),0% (0/4),0/0,0/0,0/0,0/0,0/0
2023 Hamburg F,W vsDjere,30% (3/10),100% (3/3),1/1,18% (2/11),50% (1/2),2/2,1/1,0/0,1/1,0/0
2023 Hamburg SF,W vsFils,44% (4/9),75% (3/4),0/0,22% (2/9),100% (2/2),3/3,2/2,0/0,1/1,0/0
2023 Wimbledon R32,L vsBerrettini,6% (1/17),0% (0/1),0/1,13% (2/16),50% (1/2),0/0,0/0,2/2,0/0,2/2
2023 Wimbledon R64,W vsWatanuki,32% (6/19),83% (5/6),0/0,16% (3/19),67% (2/3),5/5,3/3,1/2,1/1,0/0
