Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2017 Rio de Janeiro SF,L vsCarreno Busta,31,31,1.0,17.5%,17.5%,27,24,1.1,17.0%,15.1%,12.6%,3.1%,1.4,20.9%,14.7%
2017 Rio de Janeiro QF,W vsMonteiro,22,15,1.5,17.9%,12.2%,15,13,1.2,13.9%,12.0%,10.2%,2.8%,0.6,12.2%,20.3%
2017 Rio de Janeiro R16,W vsCarballes Baena,60,59,1.0,26.2%,25.8%,49,57,0.9,23.7%,27.5%,16.9%,5.3%,0.9,10.5%,11.8%
2017 Rio de Janeiro R32,W vsDutra Silva,17,25,0.7,13.8%,20.3%,13,23,0.6,12.5%,22.1%,7.7%,2.9%,0.6,14.6%,24.4%
2017 Budapest CH R32,W vsLee,13,23,0.6,10.2%,18.1%,9,21,0.4,7.9%,18.4%,2.6%,2.6%,0.4,11.8%,32.3%
2017 Australian Open Q3,L vsOpelka,8,10,0.8,6.4%,8.0%,6,9,0.7,5.7%,8.5%,2.8%,0.9%,1.9,32.8%,17.6%
2017 Australian Open Q2,W vsEysseric,15,32,0.5,9.6%,20.5%,11,32,0.3,7.6%,22.1%,6.2%,0.0%,0.6,15.4%,23.7%
2016 Szczecin CH R16,L vsCecchinato,14,28,0.5,9.1%,18.2%,13,26,0.5,8.8%,17.7%,6.8%,1.4%,0.8,18.8%,22.7%
2016 Szczecin CH R32,W vsEremin,19,16,1.2,14.7%,12.4%,17,15,1.1,14.5%,12.8%,14.5%,0.0%,1.0,21.7%,22.5%
2016 Seville CH F,W vsDaniel,26,34,0.8,23.4%,30.6%,22,34,0.6,21.4%,33.0%,18.4%,1.9%,0.5,10.8%,23.4%
2016 Seville CH SF,W vsCachin,24,19,1.3,15.5%,12.3%,22,18,1.2,14.9%,12.2%,13.5%,1.4%,0.8,17.4%,23.2%
2016 Seville CH QF,W vsCervantes Huegun,35,31,1.1,21.5%,19.0%,32,29,1.1,21.6%,19.6%,16.2%,3.4%,0.9,15.3%,17.8%
2016 Finland F1 F,W vsTorpegaard,31,22,1.4,20.7%,14.7%,27,22,1.2,19.6%,15.9%,14.5%,5.1%,0.5,12.0%,24.0%
