Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2018 Halle R32,W vsPouille,20,14,1.4,14.6%,10.2%,12,12,1.0,10.1%,10.1%,5.0%,5.0%,0.3,8.0%,25.5%
2018 s Hertogenbosch R16,W vsJaziri,32,25,1.3,16.5%,12.9%,26,20,1.3,14.5%,11.2%,8.4%,6.1%,0.8,11.9%,14.9%
2018 Roland Garros R64,L vsThiem,30,38,0.8,13.0%,16.5%,30,38,0.8,14.3%,18.1%,,,1.3,17.3%,13.9%
2018 Roland Garros R128,W vsTaberner,62,75,0.8,21.2%,25.7%,62,75,0.8,22.5%,27.2%,,,0.6,9.6%,15.4%
2018 Rome Masters R32,L vsdel Potro,21,26,0.8,15.0%,18.6%,17,22,0.8,13.4%,17.3%,3.9%,7.9%,1.8,26.4%,15.0%
2018 Estoril SF,L vsSousa,22,45,0.5,12.5%,25.6%,18,40,0.5,10.8%,24.1%,7.2%,1.8%,0.6,10.2%,18.2%
2018 Barcelona F,L vsNadal,11,26,0.4,12.5%,29.5%,8,25,0.3,9.9%,30.9%,7.4%,2.5%,0.6,9.1%,15.9%
2018 Barcelona SF,W vsCarreno Busta,23,24,1.0,17.7%,18.5%,18,24,0.8,14.5%,19.4%,9.7%,4.8%,0.5,10.0%,19.2%
2018 Monte Carlo Masters R32,L vsGoffin,32,40,0.8,17.9%,22.3%,25,38,0.7,15.2%,23.2%,9.8%,3.7%,1.2,19.6%,16.2%
2018 Australian Open R128,L vsShapovalov,5,23,0.2,2.9%,13.4%,5,23,0.2,3.4%,15.9%,,,0.9,14.0%,15.1%
2018 Doha QF,L vsThiem,18,22,0.8,12.3%,15.1%,14,19,0.7,10.9%,14.8%,7.0%,3.9%,1.4,21.2%,15.1%
2017 Antwerp SF,L vsSchwartzman,22,23,1.0,18.2%,19.0%,17,21,0.8,15.9%,19.6%,9.3%,4.7%,1.5,21.5%,14.0%
2017 Antwerp QF,W vsGoffin,40,37,1.1,18.0%,16.7%,27,35,0.8,13.8%,17.9%,5.6%,4.1%,1.1,18.5%,16.7%
2017 Wimbledon R128,L vsLajovic,26,28,0.9,13.7%,14.7%,15,26,0.6,8.8%,15.3%,6.5%,1.8%,1.6,18.4%,11.6%
2017 Roland Garros R128,L vsKarlovic,33,21,1.6,15.8%,10.0%,25,15,1.7,13.7%,8.2%,9.3%,3.3%,1.5,23.9%,15.8%
2017 Roland Garros Q2,W vsSakharov,18,15,1.2,16.7%,13.9%,15,14,1.1,14.4%,13.5%,10.6%,3.8%,0.5,11.1%,22.2%
2017 Quimper CH R32,L vsRublev,45,29,1.6,23.6%,15.2%,25,26,1.0,15.6%,16.3%,9.4%,5.0%,1.7,19.4%,11.5%
2016 Mohammedia CH F,L vsMelzer,23,24,1.0,14.8%,15.5%,15,23,0.7,10.7%,16.4%,7.1%,2.9%,1.4,20.0%,14.2%
