Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2022 Madrid Masters QF,W vsNadal,37,30,1.2,25.7%,20.8%,33,27,1.2,24.4%,20.0%,14.1%,9.6%,0.5,6.9%,13.2%
2022 Barcelona F,W vsCarreno Busta,17,13,1.3,18.3%,14.0%,15,12,1.3,16.9%,13.5%,13.5%,3.4%,0.2,5.4%,23.7%
2022 Barcelona SF,W vsDe Minaur,46,72,0.6,16.3%,25.4%,43,69,0.6,15.8%,25.3%,13.2%,2.6%,0.4,8.1%,18.7%
2022 Barcelona QF,W vsTsitsipas,38,36,1.1,22.9%,21.7%,37,34,1.1,23.7%,21.8%,17.3%,5.8%,0.7,9.0%,12.7%
2022 Monte Carlo Masters R32,L vsKorda,20,47,0.4,7.9%,18.6%,19,43,0.4,8.0%,18.1%,5.9%,2.1%,0.7,14.2%,21.7%
2022 Miami Masters F,W vsRuud,27,23,1.2,19.1%,16.3%,21,21,1.0,16.8%,16.8%,12.0%,4.8%,0.9,13.5%,15.6%
2022 Miami Masters SF,W vsHurkacz,21,20,1.1,12.6%,12.0%,18,20,0.9,11.9%,13.2%,9.9%,2.0%,0.7,15.0%,21.6%
2022 Miami Masters QF,W vsKecmanovic,50,42,1.2,24.9%,20.9%,45,39,1.2,23.6%,20.4%,18.3%,5.2%,1.4,9.5%,7.0%
2022 Miami Masters R16,W vsTsitsipas,29,19,1.5,19.3%,12.7%,28,17,1.6,19.9%,12.1%,10.6%,8.5%,0.9,15.3%,17.3%
2022 Indian Wells Masters SF,L vsNadal,39,48,0.8,18.8%,23.1%,38,45,0.8,19.2%,22.7%,11.6%,7.6%,0.6,10.1%,16.3%
2022 Indian Wells Masters R16,W vsMonfils,22,16,1.4,20.0%,14.5%,18,15,1.2,18.6%,15.5%,18.6%,0.0%,0.3,8.2%,25.5%
2022 Indian Wells Masters R32,W vsBautista Agut,29,17,1.7,33.3%,19.5%,25,15,1.7,32.1%,19.2%,24.4%,7.7%,0.1,2.3%,23.0%
2022 Rio de Janeiro F,W vsSchwartzman,18,21,0.9,18.2%,21.2%,17,21,0.8,17.7%,21.9%,10.4%,7.3%,0.4,8.1%,21.2%
2022 Rio de Janeiro SF,W vsFognini,15,24,0.6,10.4%,16.7%,15,21,0.7,10.9%,15.2%,5.1%,5.1%,0.4,11.8%,26.4%
2022 Rio de Janeiro QF,W vsBerrettini,17,20,0.9,13.2%,15.5%,16,16,1.0,13.2%,13.2%,7.4%,5.0%,0.5,11.6%,22.5%
2022 Rio de Janeiro R16,W vsDelbonis,13,22,0.6,10.0%,16.9%,11,19,0.6,9.0%,15.6%,6.6%,2.5%,0.5,9.2%,18.5%
2022 Rio de Janeiro R32,W vsMunar,32,22,1.5,21.2%,14.6%,30,19,1.6,20.8%,13.2%,14.6%,5.6%,1.0,10.6%,10.6%
2022 Australian Open R32,L vsBerrettini,47,57,0.8,14.8%,17.9%,35,49,0.7,12.2%,17.1%,9.1%,3.1%,0.6,9.1%,15.1%
2021 NextGen Finals F,W vsKorda,18,12,1.5,15.3%,10.2%,14,11,1.3,12.8%,10.1%,9.2%,2.8%,0.6,10.2%,16.9%
2021 NextGen Finals SF,W vsBaez,17,9,1.9,18.9%,10.0%,9,9,1.0,11.0%,11.0%,8.5%,2.4%,0.3,3.3%,10.0%
2021 NextGen Finals RR,W vsRune,27,10,2.7,26.5%,9.8%,19,10,1.9,20.9%,11.0%,13.2%,6.6%,1.3,12.7%,9.8%
2021 NextGen Finals RR,W vsNakashima,24,16,1.5,20.9%,13.9%,14,12,1.2,15.1%,12.9%,8.6%,4.3%,0.6,7.0%,12.2%
2021 Paris Masters R16,L vsGaston,15,41,0.4,11.8%,32.3%,14,37,0.4,11.7%,30.8%,7.5%,3.3%,0.6,8.7%,14.2%
2021 Paris Masters R32,W vsSinner,25,28,0.9,15.2%,17.1%,22,24,0.9,14.7%,16.0%,12.0%,2.7%,0.5,13.4%,25.6%
2021 Paris Masters R64,W vsHerbert,23,18,1.3,10.2%,8.0%,21,16,1.3,10.4%,7.9%,5.4%,2.5%,1.0,18.7%,18.2%
2021 Vienna R32,W vsEvans,19,22,0.9,17.6%,20.4%,16,21,0.8,15.7%,20.6%,8.8%,6.9%,0.4,12.0%,30.6%
2021 Indian Wells Masters R64,L vsMurray,36,56,0.6,18.3%,28.4%,33,53,0.6,17.9%,28.8%,13.6%,4.3%,0.5,9.6%,18.3%
2021 US Open QF,L vsAuger Aliassime,9,16,0.6,10.0%,17.8%,8,15,0.5,10.5%,19.7%,7.9%,2.6%,0.9,16.7%,17.8%
2021 US Open R16,W vsGojowczyk,35,45,0.8,12.0%,15.5%,28,41,0.7,10.6%,15.5%,6.4%,4.2%,0.4,10.3%,28.9%
2021 US Open R32,W vsTsitsipas,61,48,1.3,18.7%,14.7%,59,46,1.3,19.5%,15.2%,11.3%,6.6%,1.2,14.4%,11.7%
2021 US Open R64,W vsRinderknech,41,26,1.6,17.7%,11.3%,33,23,1.4,15.9%,11.1%,7.2%,5.8%,1.1,15.2%,14.3%
2021 US Open R128,W vsNorrie,38,13,2.9,22.4%,7.6%,32,11,2.9,20.9%,7.2%,15.7%,5.2%,0.6,9.4%,15.3%
2021 Umag F,W vsGasquet,18,16,1.1,17.3%,15.4%,18,14,1.3,18.8%,14.6%,11.5%,7.3%,0.5,7.7%,15.4%
2021 Umag R16,W vsMartin,25,22,1.1,25.0%,22.0%,24,20,1.2,24.7%,20.6%,12.4%,12.4%,0.4,5.0%,13.0%
2021 Umag R32,W vsPouille,23,26,0.9,14.5%,16.4%,23,26,0.9,15.2%,17.2%,9.9%,5.3%,0.6,13.2%,23.9%
2021 Wimbledon R64,L vsMedvedev,20,29,0.7,13.7%,19.9%,18,24,0.8,13.8%,18.5%,10.8%,3.1%,1.7,13.7%,8.2%
2021 Wimbledon R128,W vsUchiyama,66,45,1.5,18.6%,12.7%,60,40,1.5,18.1%,12.0%,13.0%,5.1%,1.2,15.5%,12.7%
2021 Roland Garros R32,L vsStruff,28,36,0.8,14.4%,18.6%,28,36,0.8,15.8%,20.3%,,,0.8,13.9%,16.5%
2021 Roland Garros R64,W vsBasilashvili,17,25,0.7,10.3%,15.2%,17,25,0.7,11.3%,16.7%,,,0.6,9.7%,17.6%
2021 Roland Garros R128,W vsZapata Miralles,39,28,1.4,15.3%,11.0%,39,28,1.4,16.1%,11.6%,,,0.7,6.7%,9.0%
2021 Madrid Masters R32,L vsNadal,7,29,0.2,8.4%,34.9%,7,26,0.3,9.2%,34.2%,5.3%,3.9%,1.3,15.7%,12.0%
