Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2018 Wimbledon QF,W vsNishikori,40,21,1.9,19.2%,10.1%,34,18,1.9,17.4%,9.2%,8.2%,7.7%,0.9,13.9%,16.3%
2018 Wimbledon R16,W vsKhachanov,29,12,2.4,19.5%,8.1%,27,11,2.5,19.1%,7.8%,15.6%,3.5%,0.9,12.8%,14.8%
2018 Wimbledon R32,W vsEdmund,41,15,2.7,17.2%,6.3%,23,13,1.8,11.3%,6.4%,6.9%,3.9%,1.4,18.8%,13.4%
2018 Wimbledon R64,W vsZeballos,31,4,7.8,21.8%,2.8%,16,4,4.0,13.9%,3.5%,7.0%,7.0%,0.8,14.8%,19.7%
2018 Wimbledon R128,W vsSandgren,19,15,1.3,12.6%,9.9%,19,13,1.5,13.6%,9.3%,7.9%,5.7%,0.5,11.3%,23.2%
2018 Queen's Club F,L vsCilic,22,25,0.9,9.9%,11.3%,11,20,0.6,6.0%,10.9%,2.7%,3.3%,1.3,23.9%,18.0%
2018 Queen's Club QF,W vsMannarino,16,19,0.8,13.6%,16.1%,10,17,0.6,9.6%,16.3%,6.7%,1.0%,0.5,11.0%,22.0%
2018 Queen's Club R16,W vsDimitrov,10,12,0.8,10.0%,12.0%,7,8,0.9,8.8%,10.0%,2.5%,3.8%,0.6,17.0%,29.0%
2018 Roland Garros QF,L vsCecchinato,33,39,0.8,11.6%,13.7%,33,39,0.8,12.4%,14.7%,,,1.3,16.9%,12.7%
2018 Roland Garros R16,W vsVerdasco,18,29,0.6,9.2%,14.9%,18,29,0.6,9.6%,15.5%,,,0.5,11.8%,23.6%
2018 Roland Garros R32,W vsBautista Agut,41,40,1.0,14.6%,14.3%,41,40,1.0,15.6%,15.3%,,,0.9,13.9%,16.1%
2018 Roland Garros R64,W vsMunar,36,28,1.3,18.7%,14.5%,36,28,1.3,20.1%,15.6%,,,1.3,13.0%,10.4%
2018 Roland Garros R128,W vsDutra Silva,31,35,0.9,16.7%,18.8%,31,35,0.9,18.2%,20.6%,,,0.6,9.1%,14.5%
2018 Rome Masters SF,L vsNadal,27,24,1.1,21.1%,18.8%,23,24,1.0,19.0%,19.8%,9.9%,8.3%,1.4,18.0%,13.3%
2018 Monte Carlo Masters R16,L vsThiem,20,41,0.5,9.6%,19.6%,17,39,0.4,8.9%,20.5%,5.3%,3.7%,1.0,17.7%,17.7%
2018 Monte Carlo Masters R32,W vsCoric,20,33,0.6,11.6%,19.2%,15,32,0.5,9.3%,19.8%,7.4%,1.9%,0.3,7.0%,25.0%
2018 Monte Carlo Masters R64,W vsLajovic,20,16,1.3,24.7%,19.8%,18,14,1.3,23.7%,18.4%,10.5%,11.8%,0.2,4.9%,22.2%
2018 Australian Open R16,L vsChung,34,48,0.7,12.8%,18.0%,34,48,0.7,13.5%,19.0%,,,1.3,17.3%,13.2%
2018 Australian Open R32,W vsRamos,35,37,0.9,19.1%,20.2%,35,37,0.9,20.3%,21.5%,,,0.6,9.8%,17.5%
2018 Australian Open R64,W vsMonfils,26,29,0.9,11.3%,12.6%,26,29,0.9,13.3%,14.9%,,,0.6,12.6%,21.6%
2018 Australian Open R128,W vsYoung,29,26,1.1,17.2%,15.4%,29,26,1.1,18.1%,16.3%,,,0.5,13.0%,25.4%
2017 Wimbledon QF,L vsBerdych,9,10,0.9,9.7%,10.8%,8,10,0.8,8.9%,11.1%,4.4%,3.3%,1.3,18.3%,14.0%
2017 Wimbledon R16,W vsMannarino,36,24,1.5,18.5%,12.3%,32,22,1.5,17.2%,11.8%,8.6%,8.1%,0.9,11.8%,13.3%
2017 Wimbledon R32,W vsGulbis,21,12,1.8,11.0%,6.3%,15,11,1.4,9.1%,6.7%,6.1%,3.0%,1.0,19.9%,19.4%
2017 Wimbledon R64,W vsPavlasek,26,18,1.4,18.1%,12.5%,22,17,1.3,16.9%,13.1%,10.8%,6.2%,0.7,11.1%,15.3%
2017 Wimbledon R128,W vsKlizan,20,6,3.3,30.3%,9.1%,13,4,3.3,23.6%,7.3%,16.4%,5.5%,0.7,10.6%,15.2%
2017 Eastbourne F,W vsMonfils,13,18,0.7,10.7%,14.9%,12,17,0.7,10.7%,15.2%,7.1%,3.6%,0.8,15.7%,20.7%
2017 Eastbourne SF,W vsMedvedev,18,22,0.8,14.6%,17.9%,14,18,0.8,13.0%,16.7%,7.4%,4.6%,0.7,12.2%,17.1%
2017 Roland Garros QF,L vsThiem,18,35,0.5,9.7%,18.8%,16,32,0.5,9.1%,18.2%,4.5%,2.8%,1.4,20.4%,15.1%
2017 Roland Garros R16,W vsRamos,34,30,1.1,17.2%,15.2%,31,30,1.0,16.3%,15.8%,12.1%,3.7%,0.8,14.1%,18.7%
2017 Roland Garros R32,W vsSchwartzman,43,55,0.8,16.1%,20.6%,36,54,0.7,14.4%,21.6%,7.6%,6.8%,0.4,9.7%,21.7%
2017 Roland Garros R64,W vsSousa,34,24,1.4,19.9%,14.0%,32,23,1.4,19.5%,14.0%,11.0%,6.1%,0.7,8.8%,12.9%
2017 Roland Garros R128,W vsGranollers,30,29,1.0,15.9%,15.3%,25,28,0.9,14.0%,15.7%,6.2%,7.9%,0.8,12.2%,14.8%
2017 Rome Masters F,L vsZverev,11,26,0.4,9.8%,23.2%,10,23,0.4,10.1%,23.2%,8.1%,2.0%,1.0,14.3%,14.3%
2017 Rome Masters SF,W vsThiem,15,9,1.7,18.8%,11.3%,13,9,1.4,16.9%,11.7%,9.1%,6.5%,0.4,11.3%,27.5%
2017 Madrid Masters SF,L vsNadal,19,23,0.8,16.8%,20.4%,15,21,0.7,14.4%,20.2%,6.7%,6.7%,1.3,17.7%,13.3%
2017 Madrid Masters R32,W vsAlmagro,25,22,1.1,14.0%,12.3%,18,20,0.9,11.5%,12.8%,9.6%,1.9%,0.7,17.3%,24.0%
2017 Monte Carlo Masters QF,L vsGoffin,39,44,0.9,18.6%,21.0%,35,40,0.9,17.8%,20.3%,10.2%,6.1%,0.8,14.3%,18.1%
2017 Monte Carlo Masters R16,W vsCarreno Busta,39,38,1.0,20.3%,19.8%,37,33,1.1,20.0%,17.8%,11.4%,7.6%,0.7,10.4%,15.1%
2017 Monte Carlo Masters R32,W vsSimon,24,46,0.5,13.6%,26.1%,22,45,0.5,12.8%,26.2%,8.7%,3.5%,0.6,11.9%,21.0%
2017 Indian Wells Masters R16,L vsKyrgios,16,24,0.7,10.6%,15.9%,13,24,0.5,10.0%,18.5%,6.2%,3.8%,1.1,17.2%,15.9%
2017 Indian Wells Masters R32,W vsdel Potro,35,23,1.5,21.2%,13.9%,31,22,1.4,21.5%,15.3%,9.7%,11.1%,1.3,18.2%,14.5%
2017 Acapulco QF,L vsKyrgios,23,17,1.4,16.1%,11.9%,21,15,1.4,18.6%,13.3%,6.2%,10.6%,2.0,28.0%,14.0%
2017 Acapulco R16,W vsdel Potro,33,30,1.1,18.5%,16.9%,26,29,0.9,15.9%,17.7%,11.0%,4.9%,1.6,20.2%,12.9%
2017 Australian Open R64,L vsIstomin,68,72,0.9,17.9%,19.0%,54,63,0.9,16.1%,18.8%,8.3%,7.1%,1.0,16.6%,16.1%
2017 Australian Open R128,W vsVerdasco,24,34,0.7,12.0%,17.0%,22,32,0.7,11.8%,17.2%,7.0%,3.8%,0.5,13.5%,28.0%
2017 Doha F,W vsMurray,35,28,1.3,18.1%,14.5%,33,25,1.3,18.8%,14.2%,13.6%,5.1%,0.8,15.0%,19.2%
2016 Tour Finals F,L vsMurray,12,35,0.3,10.0%,29.2%,11,35,0.3,9.7%,31.0%,6.2%,3.5%,0.5,9.2%,18.3%
2016 Tour Finals SF,W vsNishikori,11,13,0.8,11.1%,13.1%,9,12,0.8,9.9%,13.2%,5.5%,2.2%,0.4,10.1%,25.3%
2016 Tour Finals RR,W vsRaonic,12,25,0.5,7.1%,14.9%,10,23,0.4,6.8%,15.8%,4.1%,2.1%,0.9,25.6%,27.4%
2016 Tour Finals RR,W vsThiem,20,18,1.1,11.4%,10.2%,17,18,0.9,10.2%,10.8%,6.0%,4.2%,0.7,15.3%,23.3%
2016 Tour Finals RR,W vsGoffin,7,21,0.3,6.7%,20.2%,4,17,0.2,4.4%,18.7%,4.4%,0.0%,0.3,11.5%,33.7%
2016 Shanghai Masters SF,L vsBautista Agut,24,31,0.8,16.4%,21.2%,20,29,0.7,14.9%,21.6%,9.7%,5.2%,0.6,11.6%,20.5%
2016 US Open F,L vsWawrinka,30,46,0.7,10.5%,16.0%,24,39,0.6,9.2%,14.9%,6.9%,1.9%,0.9,16.0%,17.8%
2016 US Open SF,W vsMonfils,26,27,1.0,12.0%,12.4%,25,20,1.3,13.4%,10.7%,9.1%,3.7%,0.7,16.6%,24.0%
2016 US Open QF,W vsTsonga,18,12,1.5,16.7%,11.1%,17,9,1.9,17.5%,9.3%,9.3%,6.2%,0.3,10.2%,33.3%
2016 US Open R16,W vsEdmund,24,25,1.0,14.0%,14.6%,21,18,1.2,13.4%,11.5%,5.7%,7.6%,0.4,8.8%,21.1%
2016 US Open R32,W vsYouzhny,6,7,0.9,15.8%,18.4%,6,7,0.9,16.7%,19.4%,13.9%,2.8%,1.2,15.8%,13.2%
2016 US Open R128,W vsJanowicz,34,18,1.9,14.7%,7.8%,22,13,1.7,11.2%,6.6%,8.2%,3.1%,0.7,17.7%,25.5%
2016 Rio Olympics R64,L vsdel Potro,25,33,0.8,14.5%,19.1%,16,31,0.5,10.1%,19.6%,6.3%,3.8%,1.5,23.1%,15.6%
2016 Canada Masters F,W vsNishikori,15,20,0.8,12.8%,17.1%,11,20,0.6,10.3%,18.7%,3.7%,2.8%,0.5,12.8%,25.6%
2016 Canada Masters SF,W vsMonfils,11,15,0.7,10.8%,14.7%,10,10,1.0,10.8%,10.8%,6.5%,4.3%,0.5,11.8%,23.5%
2016 Wimbledon R32,L vsQuerrey,34,31,1.1,11.1%,10.1%,27,29,0.9,10.2%,11.0%,5.7%,4.5%,1.1,18.3%,17.0%
2016 Wimbledon R64,W vsMannarino,23,21,1.1,11.6%,10.6%,17,13,1.3,9.7%,7.4%,6.3%,2.3%,0.7,15.2%,21.2%
2016 Wimbledon R128,W vsWard,29,21,1.4,15.1%,10.9%,22,20,1.1,13.0%,11.8%,9.5%,3.6%,0.9,13.0%,15.1%
2016 Roland Garros F,W vsMurray,41,37,1.1,18.7%,16.9%,37,34,1.1,18.1%,16.7%,11.8%,6.4%,0.6,10.5%,18.3%
2016 Roland Garros SF,W vsThiem,15,15,1.0,9.6%,9.6%,13,14,0.9,8.8%,9.5%,4.7%,4.1%,0.8,17.3%,21.8%
2016 Roland Garros QF,W vsBerdych,30,22,1.4,18.5%,13.6%,30,21,1.4,19.5%,13.6%,10.4%,9.1%,0.9,14.8%,17.3%
2016 Roland Garros R16,W vsBautista Agut,45,54,0.8,17.4%,20.9%,43,49,0.9,17.3%,19.8%,10.9%,6.5%,0.6,12.0%,19.0%
2016 Roland Garros R32,W vsBedene,39,20,2.0,21.1%,10.8%,34,20,1.7,20.0%,11.8%,13.5%,6.5%,0.8,13.0%,16.8%
2016 Roland Garros R64,W vsDarcis,29,42,0.7,14.3%,20.7%,25,38,0.7,13.4%,20.3%,7.5%,4.8%,0.9,11.3%,12.3%
2016 Roland Garros R128,W vsLu,35,22,1.6,23.6%,14.9%,34,21,1.6,24.3%,15.0%,13.6%,10.7%,0.5,8.8%,16.9%
2016 Rome Masters F,L vsMurray,21,23,0.9,18.3%,20.0%,16,22,0.7,15.4%,21.2%,6.7%,7.7%,1.6,21.7%,13.9%
2016 Rome Masters SF,W vsNishikori,31,36,0.9,13.9%,16.1%,27,34,0.8,12.7%,16.0%,6.1%,6.1%,1.3,17.5%,13.5%
2016 Rome Masters QF,W vsNadal,27,27,1.0,15.8%,15.8%,24,25,1.0,14.7%,15.3%,10.4%,4.3%,0.8,13.5%,17.0%
2016 Madrid Masters F,W vsMurray,27,29,0.9,17.2%,18.5%,27,26,1.0,19.0%,18.3%,12.0%,4.9%,0.7,14.6%,21.0%
2016 Madrid Masters SF,W vsNishikori,22,22,1.0,13.8%,13.8%,16,20,0.8,10.8%,13.5%,6.1%,3.4%,1.1,18.9%,17.6%
