Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
71,Daniel Altmaier[GER],17,29.4,62.4,7.3,2.9,8.1,64.0,70.3,48.3,52.6,78.0,33.6,7.1,3.0,26.6,44.2,13.2,35.1,77,0.38,1.8,4.5,0.63,1.6,57.5,0.52,2.5,6.2,1.05,2.6,48.3,45.5,34.9,45.7
72,Hamad Medjedovic[SRB],9,55.6,68.6,14.8,4.2,12.3,66.2,75.7,54.8,62.5,87.6,35.7,11.1,4.4,27.9,49.0,19.0,38.5,52,0.5,2.5,5.8,0.95,2.2,72.3,0.45,2.2,5.2,0.62,1.4,51.7,20.0,52.4,53.3
73,Bu Yunchaokete[CHN],8,37.5,63.4,9.2,2.6,6.1,57.0,73.2,50.4,53.7,78.9,31.8,12.7,2.9,25.6,43.6,14.6,37.8,37,0.39,1.9,4.6,0.74,1.8,61.5,0.55,2.7,6.5,1.05,2.5,47.8,40.0,36.8,46.6
74,Yoshihito Nishioka[JPN],15,40.0,62.6,2.9,1.9,5.2,63.4,67.8,53.5,56.4,79.9,30.6,16.2,2.7,22.3,45.0,10.9,26.8,82,0.41,2.0,5.5,0.52,1.5,64.9,0.57,2.7,7.6,0.95,2.7,47.1,66.7,40.5,45.3
75,Arthur Rinderknech[FRA],18,33.3,65.2,12.3,3.3,8.5,61.4,75.4,48.9,53.5,80.2,30.4,11.0,2.9,21.0,43.9,12.6,30.2,96,0.42,2.1,5.3,0.63,1.6,63.4,0.54,2.7,6.8,0.98,2.5,47.8,41.7,39.1,46.2
76,Alexander Bublik[KAZ],23,39.1,61.4,14.7,7.7,19.9,61.1,74.1,41.4,51.7,75.7,33.9,7.6,2.9,28.1,43.5,15.5,34.7,121,0.45,2.1,5.3,0.74,1.8,61.5,0.63,3.0,7.3,1.14,2.8,47.8,40.0,36.8,45.5
77,Roman Safiullin[RUS],26,38.5,64.1,8.9,3.6,9.3,60.7,73.2,50.0,55.1,78.0,35.1,7.4,3.5,26.9,48.6,17.5,33.5,179,0.52,2.5,6.9,0.85,2.3,63.2,0.6,2.9,7.8,1.06,2.9,49.3,44.4,40.8,47.7
78,Hugo Gaston[FRA],9,44.4,57.9,3.3,2.2,5.4,58.2,65.1,47.9,50.6,68.2,36.3,7.1,2.6,29.2,49.8,22.3,39.7,73,0.56,2.7,8.1,1.07,3.2,53.9,0.69,3.3,9.9,1.52,4.6,47.3,66.7,40.7,45.2
79,Aleksandar Vukic[AUS],21,38.1,63.9,10.5,1.9,4.7,60.5,73.4,49.3,51.8,78.0,31.2,13.3,3.5,21.3,47.0,13.9,32.8,122,0.42,2.1,5.8,0.69,1.9,63.2,0.6,2.9,8.1,1.09,3.0,48.1,57.1,41.4,45.9
80,Aleksandar Kovacevic[USA],13,23.1,62.7,12.3,5.4,12.7,57.5,74.9,46.1,52.8,79.1,31.8,12.6,3.0,23.3,44.5,13.0,29.9,87,0.44,2.2,6.7,0.65,2.0,65.5,0.61,3.0,9.2,1.02,3.2,47.4,25.0,30.0,45.7
81,Christopher Oconnell[AUS],21,28.6,61.8,9.8,2.5,6.1,58.8,72.2,46.9,49.9,78.9,31.7,10.7,3.3,23.7,44.7,12.9,30.8,107,0.42,2.1,5.1,0.63,1.6,64.4,0.59,2.9,7.1,1.02,2.5,47.3,36.4,32.7,45.6
82,Rinky Hijikata[AUS],18,22.2,58.6,5.5,3.5,8.9,61.1,68.2,43.5,47.8,71.1,32.4,11.8,3.7,23.7,45.1,10.7,29.3,82,0.36,1.7,4.6,0.51,1.3,60.1,0.72,3.4,8.8,1.34,3.5,45.9,66.7,27.7,40.4
83,Corentin Moutet[FRA],13,38.5,59.8,2.2,2.2,6.9,67.9,66.3,46.2,49.6,70.6,36.8,4.5,3.2,32.7,46.0,22.7,39.2,102,0.58,2.8,7.8,1.08,3.1,59.0,0.72,3.3,9.4,1.35,3.8,48.3,62.5,40.5,46.2
84,Borna Coric[CRO],17,35.3,60.6,7.3,2.9,7.4,61.0,69.3,47.0,50.8,73.1,36.2,9.5,5.4,25.3,50.9,19.9,40.9,93,0.49,2.3,5.5,0.93,2.2,59.0,0.66,3.0,7.2,1.22,2.9,48.3,33.3,36.6,46.2
85,Botic Van De Zandschulp[NED],22,22.7,59.6,6.4,4.7,12.5,62.2,70.5,41.5,47.4,71.0,35.5,9.0,3.1,26.7,50.8,15.3,34.9,109,0.44,2.1,5.0,0.73,1.7,56.5,0.67,3.1,7.3,1.35,3.2,47.6,28.6,26.9,42.7
87,Jan Lennard Struff[GER],30,53.3,66.8,11.3,4.8,11.4,57.9,77.7,51.8,58.5,84.7,35.2,10.4,3.3,26.8,48.3,17.0,33.0,215,0.52,2.6,7.2,0.87,2.4,66.7,0.46,2.3,6.4,0.78,2.1,50.8,57.7,54.9,50.8
88,Adam Walton[AUS],3,0.0,58.5,3.3,0.5,1.5,68.9,65.8,42.4,43.1,67.6,31.9,15.7,3.5,22.9,46.1,5.9,10.0,20,0.59,2.9,6.7,0.29,0.7,57.7,0.76,3.7,8.7,1.57,3.7,44.7,0.0,0.0,36.8
90,James Duckworth[AUS],11,27.3,63.4,7.4,3.8,9.0,57.6,71.7,52.0,57.1,82.3,29.5,17.1,3.2,18.9,46.1,8.7,30.8,39,0.28,1.4,3.5,0.43,1.1,62.1,0.47,2.4,6.0,0.89,2.3,47.2,40.0,32.1,45.9
91,Cameron Norrie[GBR],12,25.0,63.5,6.8,2.0,5.4,63.6,72.1,48.5,51.3,79.4,31.0,13.0,3.1,22.2,47.6,14.3,49.0,49,0.29,1.5,4.1,0.75,2.0,63.9,0.57,3.0,8.1,1.09,2.9,47.9,25.0,31.3,47.0
