Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
32,Alex Michelsen[USA],8,37.5,65.9,6.9,3.9,12.6,68.9,71.6,53.4,61.1,84.5,36.6,10.2,5.2,25.5,53.2,19.8,34.4,64,0.58,3.0,8.0,1.05,2.8,61.4,0.4,2.1,5.5,0.81,2.1,50.5,14.3,42.9,52.0
33,Sebastian Baez[ARG],7,57.1,59.2,2.7,3.3,11.3,71.2,65.1,44.6,50.3,72.6,41.4,4.1,3.0,33.2,53.7,30.2,49.1,53,0.62,2.9,7.6,1.44,3.7,54.9,0.61,2.8,7.3,1.28,3.3,50.7,0.0,55.6,51.2
34,Flavio Cobolli[ITA],6,33.3,60.3,6.5,5.8,13.1,55.6,72.1,45.6,52.5,76.8,30.6,7.1,3.0,26.7,37.3,11.3,23.5,34,0.48,2.4,5.7,0.57,1.3,68.6,0.74,3.6,8.5,1.14,2.7,45.9,66.7,35.7,43.6
35,Tallon Griekspoor[NED],4,75.0,68.9,13.5,6.3,17.1,63.2,79.1,51.3,61.9,90.0,29.1,8.8,1.6,25.1,38.5,6.3,13.6,22,0.46,2.4,5.5,0.33,0.8,73.7,0.38,2.1,4.8,0.56,1.3,49.4,100.0,66.7,49.0
36,Giovanni Mpetshi Perricard[FRA],2,100.0,70.0,19.7,5.9,16.7,64.5,77.1,56.9,68.3,90.6,33.8,4.0,4.5,27.0,44.7,16.7,35.7,14,0.47,2.3,7.0,0.83,2.5,76.9,0.41,2.2,6.5,0.5,1.5,52.1,50.0,66.7,54.8
37,Matteo Arnaldi[ITA],3,33.3,58.0,4.7,4.1,8.5,51.3,68.7,46.8,51.2,70.0,37.5,5.1,1.9,33.8,45.1,22.6,35.0,20,0.65,3.3,6.7,1.17,2.3,55.0,0.67,3.3,6.7,1.5,3.0,47.2,0.0,33.3,45.9
38,Jiri Lehecka[CZE],7,57.1,65.9,9.4,1.4,3.7,60.8,74.7,52.1,54.1,81.2,34.5,10.6,2.8,28.5,45.7,13.6,29.0,31,0.47,2.2,4.4,0.64,1.3,59.4,0.46,2.3,4.6,0.93,1.9,49.8,50.0,50.0,48.1
39,Alexandre Muller[FRA],1,0.0,60.2,4.3,3.2,7.1,54.8,66.7,52.4,56.4,73.3,36.0,8.1,4.5,27.3,48.9,12.5,20.0,10,0.63,3.3,10.0,0.67,2.0,20.0,0.33,1.7,5.0,1.33,4.0,47.1,100.0,33.3,41.9
40,Nuno Borges[POR],3,33.3,61.0,6.4,5.2,13.8,62.2,73.8,40.0,46.4,78.6,37.6,3.3,2.8,29.5,50.0,10.7,20.0,15,0.54,2.5,5.0,0.5,1.0,53.8,0.46,2.2,4.3,1.0,2.0,48.1,0.0,33.3,44.6
41,Jordan Thompson[AUS],9,44.4,64.2,10.1,1.7,4.5,61.8,70.4,54.1,56.6,79.5,32.9,7.5,3.3,26.3,45.3,12.5,29.2,48,0.43,2.2,5.3,0.64,1.6,60.3,0.52,2.6,6.4,1.05,2.6,48.5,66.7,40.9,46.0
