Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
41,Jordan Thompson[AUS],13,46.2,60.9,7.2,1.8,4.0,55.2,71.1,48.4,50.4,70.6,36.2,7.2,4.7,27.7,50.3,19.3,42.4,66,0.46,2.2,5.1,0.93,2.2,54.8,0.65,3.1,7.2,1.4,3.2,48.4,80.0,46.7,44.8
42,Alejandro Tabilo[CHI],20,55.0,64.4,7.9,3.3,8.9,62.7,74.3,47.7,52.4,82.5,35.9,11.8,4.6,25.5,52.4,19.3,39.3,112,0.49,2.4,5.6,0.94,2.2,65.5,0.51,2.5,6.0,0.87,2.1,50.5,54.5,55.3,51.3
43,Gael Monfils[FRA],19,57.9,64.4,11.0,5.1,13.3,61.3,72.0,52.4,60.4,81.8,35.9,4.1,3.1,29.4,46.2,21.2,39.7,121,0.54,2.6,6.4,1.02,2.5,66.7,0.55,2.7,6.6,0.89,2.2,50.5,44.4,51.1,51.9
44,Lorenzo Sonego[ITA],12,33.3,64.3,9.0,2.9,7.9,63.8,74.0,47.3,51.4,79.7,32.0,3.9,2.9,27.6,40.3,13.4,36.5,52,0.37,1.9,4.3,0.68,1.6,60.0,0.51,2.5,5.8,1.0,2.3,48.3,50.0,39.3,46.1
45,Marcos Giron[USA],13,30.8,61.5,6.4,1.9,4.3,56.4,70.0,50.6,52.8,76.9,36.3,6.6,3.4,28.7,48.5,19.8,38.8,85,0.51,2.6,6.5,1.0,2.5,54.9,0.51,2.5,6.3,1.12,2.8,48.6,60.0,42.4,47.7
46,Luciano Darderi[ITA],11,36.4,62.8,6.4,3.2,7.3,55.6,72.0,51.2,55.2,81.6,34.3,11.7,5.6,23.4,50.5,16.7,46.7,45,0.36,1.8,4.1,0.84,1.9,67.1,0.56,2.8,6.4,0.92,2.1,49.0,44.4,40.0,49.0
47,Miomir Kecmanovic[SRB],15,40.0,62.7,6.1,2.8,7.0,60.2,69.2,52.9,56.8,77.8,36.3,7.8,3.5,28.4,50.0,22.5,40.2,97,0.56,2.8,6.5,1.11,2.6,53.1,0.47,2.3,5.4,1.09,2.5,49.4,0.0,42.9,50.0
48,David Goffin[BEL],6,66.7,59.6,5.1,2.3,6.9,66.3,66.3,46.3,49.7,75.0,37.1,9.2,1.5,27.8,53.7,23.9,39.0,41,0.61,2.9,6.8,1.14,2.7,65.2,0.72,3.3,7.7,1.14,2.7,49.2,100.0,57.1,48.9
49,Pedro Martinez[ESP],4,0.0,59.7,3.9,4.8,15.1,68.4,63.8,50.9,60.0,74.5,32.6,12.5,4.2,24.6,43.7,11.5,26.1,23,0.44,2.3,5.8,0.6,1.5,48.0,0.49,2.5,6.3,1.3,3.3,46.1,50.0,20.0,42.7
50,Zizou Bergs[BEL],6,33.3,62.3,9.3,4.6,11.5,60.2,69.4,51.6,58.2,77.3,36.3,3.3,4.4,29.4,46.6,17.6,27.7,47,0.64,2.9,7.8,0.81,2.2,66.0,0.67,3.1,8.3,1.06,2.8,49.4,100.0,50.0,47.7
51,Tomas Martin Etcheverry[ARG],14,42.9,63.5,8.4,1.9,5.5,64.4,69.9,52.0,55.0,79.7,34.2,10.0,4.3,25.2,47.6,16.4,31.9,91,0.51,2.7,6.5,0.85,2.1,67.0,0.62,3.1,7.6,1.03,2.5,48.9,46.2,44.1,47.6
52,Quentin Halys[FRA],1,0.0,69.0,10.3,0.0,0.0,58.6,79.4,54.2,54.2,80.0,32.9,5.3,3.9,20.9,48.5,9.1,33.3,3,0.27,1.5,3.0,0.5,1.0,0.0,0.2,1.0,2.0,1.0,2.0,48.5,0.0,0.0,42.9
53,Nicolas Jarry[CHI],18,50.0,65.6,10.9,3.3,8.7,61.8,75.3,50.0,54.8,84.0,32.7,7.9,3.4,25.5,45.8,14.8,31.5,108,0.47,2.4,6.0,0.76,1.9,68.9,0.52,2.6,6.6,0.82,2.1,49.4,50.0,48.9,49.5
54,Gabriel Diallo[CAN],2,0.0,61.9,11.5,2.9,9.3,69.1,67.7,48.8,53.8,72.7,32.6,4.3,5.0,27.5,42.0,13.6,18.8,16,0.73,4.0,8.0,0.75,1.5,33.3,0.41,2.3,4.5,1.5,3.0,47.1,0.0,0.0,43.2
55,Zhizhen Zhang[CHN],15,46.7,64.4,7.8,3.7,9.2,59.1,71.8,53.7,59.2,84.1,33.9,11.4,4.5,23.9,48.3,16.6,37.0,73,0.45,2.2,4.9,0.82,1.8,67.1,0.48,2.3,5.1,0.76,1.7,49.3,33.3,45.5,49.7
56,Roberto Bautista Agut[ESP],8,37.5,62.6,2.3,2.0,6.8,70.1,66.9,52.4,56.3,79.6,36.4,12.8,2.7,27.6,52.0,16.8,39.5,43,0.43,2.0,5.4,0.81,2.1,59.6,0.5,2.5,6.5,1.0,2.6,49.6,75.0,47.6,48.5
59,Roberto Carballes Baena[ESP],12,50.0,62.3,2.8,2.8,9.1,68.6,67.7,50.4,55.4,72.7,36.6,7.2,4.4,26.3,53.4,20.5,41.3,63,0.5,2.3,5.3,0.93,2.2,54.5,0.6,2.8,6.4,1.25,2.9,49.5,80.0,46.4,46.7
61,Fabian Marozsan[HUN],16,62.5,62.6,5.0,3.1,9.2,66.5,69.8,48.4,53.3,77.8,39.5,6.6,4.7,29.8,53.6,24.7,42.3,97,0.58,2.7,6.1,1.14,2.6,57.1,0.52,2.5,5.7,1.08,2.4,51.4,66.7,58.3,52.0
62,Kei Nishikori[JPN],7,57.1,64.3,1.4,1.4,4.0,65.1,68.5,56.3,58.7,81.3,37.0,8.2,4.0,27.0,50.6,19.8,32.7,49,0.6,3.1,7.0,1.0,2.3,65.1,0.54,2.7,6.1,0.94,2.1,50.0,0.0,50.0,50.3
64,Laslo Djere[SRB],3,33.3,58.0,5.5,3.5,10.0,65.0,63.1,48.6,54.0,64.3,37.2,8.2,4.4,23.6,55.8,21.4,37.5,16,0.57,2.7,5.3,1.0,2.0,70.6,1.21,5.7,11.3,1.67,3.3,48.0,100.0,33.3,42.9
65,Joao Fonseca[BRA],2,50.0,61.8,4.6,0.8,2.5,69.5,63.7,57.5,59.0,75.0,39.4,2.2,1.5,32.3,54.5,28.6,40.0,15,0.71,3.0,7.5,1.2,3.0,64.3,0.7,2.8,7.0,1.0,2.5,50.4,-,40.0,51.2
66,Jaume Munar[ESP],10,30.0,59.5,3.8,4.0,11.4,65.3,65.1,49.0,55.3,71.2,40.3,5.1,3.6,32.9,52.8,25.4,34.5,84,0.74,3.7,8.4,1.26,2.9,56.2,0.66,3.2,7.3,1.39,3.2,49.5,0.0,39.1,48.0
