Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
71,Daniel Altmaier[GER],15,26.7,60.3,5.3,2.9,8.0,63.8,66.4,49.6,53.9,74.7,36.9,3.4,3.1,30.9,46.2,18.8,39.8,93,0.47,2.4,6.2,0.95,2.5,55.0,0.56,2.8,7.4,1.28,3.3,48.5,50.0,35.9,46.8
72,Hamad Medjedovic[SRB],9,44.4,65.5,8.8,3.2,8.9,64.3,72.3,53.2,58.4,82.4,35.8,8.9,3.3,28.5,46.4,15.4,30.2,63,0.51,2.6,7.0,0.79,2.1,65.1,0.5,2.6,7.0,0.92,2.4,50.2,50.0,45.8,49.2
74,Yoshihito Nishioka[JPN],8,50.0,59.9,1.5,2.3,6.3,63.7,63.5,53.6,57.2,75.0,34.3,9.4,3.0,26.5,45.9,20.0,46.2,39,0.43,2.0,4.9,0.9,2.3,62.9,0.67,3.1,7.8,1.15,2.9,47.6,100.0,45.0,47.8
75,Arthur Rinderknech[FRA],9,44.4,66.7,9.3,2.8,7.0,60.5,76.6,51.4,55.3,84.3,33.6,5.3,1.9,26.0,44.3,14.0,26.9,67,0.52,2.7,7.4,0.72,2.0,63.0,0.43,2.2,6.0,0.8,2.2,49.6,66.7,52.0,48.8
76,Alexander Bublik[KAZ],11,45.5,59.2,9.1,8.1,20.2,59.8,69.5,43.8,54.9,71.5,34.8,5.6,3.0,30.0,43.1,21.7,50.9,55,0.43,2.0,5.0,1.04,2.5,63.7,0.78,3.8,9.3,1.37,3.4,48.0,50.0,40.7,46.7
77,Roman Safiullin[RUS],10,30.0,59.0,5.3,3.5,9.1,61.3,65.5,48.6,53.5,72.0,37.1,4.9,1.4,33.1,45.2,23.0,41.8,67,0.55,2.7,6.7,1.12,2.8,62.4,0.74,3.7,9.3,1.4,3.5,48.6,40.0,40.0,47.8
78,Hugo Gaston[FRA],13,53.8,60.4,3.1,2.3,5.0,55.0,65.7,53.9,56.8,71.8,38.8,6.5,3.5,33.0,49.3,24.7,39.6,111,0.62,3.1,8.5,1.22,3.4,58.7,0.68,3.4,9.3,1.39,3.8,49.6,87.5,52.8,48.2
79,Aleksandar Vukic[AUS],11,36.4,60.6,8.5,2.1,5.0,58.9,70.8,46.1,48.5,72.4,35.0,9.0,3.1,26.4,50.0,15.6,36.4,55,0.43,2.0,5.0,0.74,1.8,61.1,0.71,3.3,8.2,1.3,3.2,48.1,100.0,40.7,43.9
80,Aleksandar Kovacevic[USA],6,16.7,65.5,9.0,2.7,6.6,58.9,76.9,49.2,52.7,83.7,31.6,8.2,3.4,24.7,43.9,11.7,29.7,37,0.39,2.1,6.2,0.61,1.8,63.4,0.45,2.3,6.8,0.83,2.5,48.5,20.0,33.3,47.3
81,Christopher Oconnell[AUS],4,0.0,55.7,4.7,4.3,11.8,63.8,62.7,43.5,49.3,64.7,32.7,5.5,2.0,31.6,34.9,7.9,20.0,15,0.39,1.9,3.8,0.38,0.8,42.9,0.62,2.6,5.3,1.5,3.0,43.8,100.0,12.5,34.7
