Surface,Local,Visitante,W_OR_L,1_M,1_M W%,1_SPW,1_Ace%,1_DF%,1_DF/2s,1_1stIn,1_1st%,1_2nd%,1_2%-InP,1_Hld%,1_RPW,1_vAce%,1_vDF%,1_v1st%,1_v2nd%,1_Brk%,1_BPConv%,1_BPChnc,1_BP/M,1_Bks/S,1_Bks/M,1_BPSvd%,1_BPvs/S,1_TPW%,1_TB W%,1_S W%,1_G W%,2_M,2_M W%,2_SPW,2_Ace%,2_DF%,2_DF/2s,2_1stIn,2_1st%,2_2nd%,2_2%-InP,2_Hld%,2_RPW,2_vAce%,2_vDF%,2_v1st%,2_v2nd%,2_Brk%,2_BPConv%,2_BPChnc,2_BP/M,2_Bks/S,2_Bks/M,2_BPSvd%,2_BPvs/S,2_TPW%,2_TB W%,2_S W%,2_G W%
Hard,Lorenzo Musetti,Quentin Halys,1,68,58.8,64.0,4.4,2.1,5.9,64.7,70.4,52.4,55.7,78.8,37.6,6.9,3.3,29.2,51.7,22.2,36.8,524,7.7,1.05,2.8,57.0,2.3,50.5,52.9,54.1,50.6,20,55.0,67.7,16.0,4.7,11.1,57.7,80.8,49.8,56.0,87.0,32.2,7.9,3.7,24.6,44.2,13.3,37.2,94,4.7,0.65,1.8,72.2,2.3,50.5,57.1,51.9,50.6
Hard,Camilo Ugo Carabelli,Alex Michelsen,1,8,25.0,53.2,2.8,4.3,10.4,58.6,63.9,37.9,42.3,58.4,38.6,5.1,3.8,29.0,51.6,26.7,60.0,40,5.0,1.33,3.0,64.4,5.8,46.6,50.0,27.8,42.5,64,53.1,63.4,5.7,3.0,9.2,67.9,69.3,51.0,56.1,79.1,37.1,9.0,3.9,28.7,50.2,22.7,41.4,418,6.5,1.05,2.7,60.7,2.5,50.5,51.3,53.3,51.1
Hard,Daniil Medvedev,Jaume Munar,0,65,70.8,64.0,8.0,5.5,14.3,61.8,73.2,49.3,57.5,80.0,39.9,5.8,3.1,32.5,52.7,28.0,44.4,538,8.3,1.34,3.7,61.2,2.4,51.8,71.4,64.6,53.8,37,35.1,60.1,4.4,4.7,13.3,64.8,67.1,47.1,54.3,72.0,40.8,5.1,2.8,34.8,50.7,26.8,37.6,319,8.6,1.26,3.2,59.4,3.3,50.2,16.7,43.2,49.4
Hard,Jiri Lehecka,Gael Monfils,0,49,61.2,66.3,10.9,3.4,9.0,61.7,75.5,51.5,56.6,84.0,34.9,8.0,3.0,28.0,46.3,18.4,35.8,299,6.1,0.91,2.2,67.3,2.4,50.6,65.0,57.6,51.1,46,54.3,64.8,10.8,4.9,12.4,60.3,73.8,51.2,58.5,81.6,35.3,4.5,2.9,30.2,43.7,19.8,38.3,308,6.7,0.96,2.6,61.5,2.3,50.2,60.9,52.8,50.8
Hard,Novak Djokovic,Rinky Hijikata,1,46,80.4,68.4,8.2,2.9,8.2,64.4,75.4,55.9,60.9,85.9,41.3,6.9,3.2,33.5,54.6,29.9,41.6,418,9.1,1.36,3.8,65.3,1.9,54.6,68.4,74.2,58.3,37,40.5,59.6,5.2,3.8,9.1,58.8,68.3,47.1,51.8,71.7,36.2,9.4,3.4,28.4,48.8,19.1,36.4,242,6.5,0.93,2.4,60.4,3.4,47.9,66.7,40.0,45.0
Hard,Alejandro Tabilo,Corentin Moutet,1,59,54.2,65.6,10.0,3.1,8.7,64.3,74.8,49.0,53.6,83.7,35.3,11.1,4.2,26.6,50.4,18.7,38.7,351,5.9,0.91,2.3,66.1,2.4,50.6,48.4,53.3,51.4,30,43.3,60.0,2.1,2.0,6.0,67.2,65.7,48.3,51.4,71.5,38.9,3.8,3.0,34.7,47.6,26.1,40.6,249,8.3,1.23,3.4,58.4,3.2,49.3,43.8,45.1,48.6
Hard,Brandon Nakashima,Roberto Carballes Baena,1,50,54.0,68.2,11.4,1.5,4.4,66.3,74.5,55.9,58.4,88.1,33.7,9.6,3.7,25.7,46.7,16.3,33.4,296,5.9,0.79,2.0,71.4,2.0,50.9,44.4,55.2,52.4,51,49.0,62.2,3.7,2.7,7.8,64.9,67.6,52.2,56.6,75.7,37.7,6.4,3.4,29.9,50.7,21.2,35.7,359,7.0,1.0,2.5,59.7,2.9,49.9,57.9,46.1,48.5
Hard,Tommy Paul,Alexander Bublik,1,64,70.3,65.2,7.0,2.1,5.6,61.9,71.6,55.0,58.3,82.2,40.8,5.2,2.9,34.2,52.2,28.5,41.4,536,8.4,1.32,3.5,66.2,2.5,52.9,60.9,67.3,55.6,50,50.0,62.9,14.2,8.0,19.9,60.1,75.7,43.8,54.7,78.3,35.5,7.2,3.3,29.1,45.9,19.2,39.5,291,5.8,0.9,2.3,62.1,2.7,49.5,47.6,46.9,49.0
Hard,Francisco Cerundolo,Alexandre Muller,1,66,53.0,62.1,4.2,3.8,10.5,64.3,67.9,51.7,57.8,77.4,38.4,4.9,2.5,31.5,50.5,25.7,43.4,475,7.2,1.22,3.1,60.9,2.8,50.4,48.5,53.8,51.6,37,45.9,61.5,4.5,2.4,6.8,64.5,67.8,50.1,53.8,75.2,37.9,9.7,4.0,27.4,53.4,23.7,39.6,268,7.2,1.18,2.9,57.1,2.9,49.7,55.0,46.7,49.4
Hard,Carlos Alcaraz,David Goffin,0,67,80.6,68.1,6.3,2.6,7.7,65.5,73.6,57.7,62.5,86.7,41.6,5.1,3.5,34.4,54.4,30.9,42.0,593,8.9,1.44,3.7,64.5,1.8,54.2,58.1,75.1,58.9,33,51.5,60.3,6.2,3.9,9.7,59.4,69.1,47.4,52.5,73.1,38.9,8.2,3.1,30.8,51.1,26.0,39.2,278,8.4,1.24,3.3,58.6,3.0,49.7,36.4,47.7,49.3
