Surface,Local,Visitante,W_OR_L,1_M W%,1_SPW,1_Ace%,1_DF%,1_DF/2s,1_1stIn,1_1st%,1_2nd%,1_2%-InP,1_Hld%,1_RPW,1_vAce%,1_vDF%,1_v1st%,1_v2nd%,1_Brk%,1_BPConv%,1_BPChnc,1_BP/M,1_Bks/S,1_Bks/M,1_BPSvd%,1_Bkn/S,1_TPW%,1_TB W%,1_S W%,1_G W%,2_M W%,2_SPW,2_Ace%,2_DF%,2_DF/2s,2_1stIn,2_1st%,2_2nd%,2_2%-InP,2_Hld%,2_RPW,2_vAce%,2_vDF%,2_v1st%,2_v2nd%,2_Brk%,2_BPConv%,2_BPChnc,2_BP/M,2_Bks/S,2_Bks/M,2_BPSvd%,2_Bkn/S,2_TPW%,2_TB W%,2_S W%,2_G W%
Hard,David Goffin,Alex De Minaur,0,60.0,60.3,6.3,3.9,9.9,60.7,68.6,47.5,52.8,73.7,39.2,8.7,3.2,30.1,52.2,27.8,39.1,215,8.6,1.31,3.4,60.7,1.23,50.0,50.0,53.1,50.7,66.7,64.8,7.0,3.5,7.7,54.4,73.5,54.3,58.9,82.4,40.4,6.8,3.4,30.5,55.0,27.6,45.2,334,7.4,1.28,3.4,62.2,0.81,52.2,63.6,62.7,54.8
Hard,Sebastian Korda,Gael Monfils,0,63.3,65.3,11.9,2.7,6.7,60.0,74.7,51.2,54.8,81.6,37.7,8.2,4.5,28.3,53.1,23.8,41.2,199,6.6,1.11,2.7,60.7,0.86,51.1,42.9,56.8,52.7,56.7,65.3,10.8,5.3,13.3,59.8,74.4,51.6,59.5,82.9,36.4,4.5,3.0,31.0,45.7,20.9,38.2,212,7.1,1.01,2.7,65.5,0.84,50.9,61.1,55.0,52.1
Hard,Cameron Norrie,Tommy Paul,0,61.1,66.2,7.5,2.3,6.5,64.8,72.4,55.0,58.8,84.8,35.9,10.9,3.3,28.6,48.8,21.5,36.2,152,8.4,1.06,3.1,65.5,0.77,51.2,23.1,53.8,53.6,65.8,64.7,7.5,2.3,5.9,60.1,71.9,53.8,57.2,82.0,40.5,5.4,2.9,33.2,52.0,27.7,40.7,305,8.0,1.28,3.3,65.7,0.84,52.5,53.3,64.9,54.9
Hard,Marcos Giron,Alexei Popyrin,1,50.0,64.6,6.2,2.0,5.3,61.2,73.0,51.2,54.1,80.6,36.7,9.2,3.2,28.6,49.7,20.6,39.3,183,6.1,1.0,2.4,58.2,0.92,50.3,61.5,54.2,50.2,65.6,66.6,12.4,3.8,10.1,62.2,76.2,50.8,56.5,85.6,36.1,9.3,4.6,27.8,49.7,20.2,34.3,233,7.3,1.0,2.5,69.5,0.71,51.3,55.0,61.3,52.8
Hard,Stefanos Tsitsipas,Matteo Berrettini,1,60.0,66.1,9.9,3.7,8.9,58.2,75.4,53.1,58.2,86.1,34.5,7.7,3.0,26.4,46.7,19.4,39.4,208,5.9,0.94,2.3,70.1,0.69,50.9,53.3,57.5,53.2,57.9,67.1,13.0,1.7,4.8,65.5,76.7,48.8,51.3,86.5,34.3,6.5,2.5,27.8,44.7,18.4,38.9,108,5.7,0.91,2.2,69.0,0.67,50.7,50.0,58.7,52.5
Hard,Daniil Medvedev,Alex Michelsen,1,70.7,63.5,8.2,6.0,15.1,60.3,73.2,48.7,57.4,79.5,40.6,5.7,3.3,32.9,53.6,29.9,42.6,376,9.2,1.43,3.9,61.7,0.96,51.9,73.3,65.2,54.5,57.8,63.8,6.5,3.3,9.8,66.2,70.7,50.4,55.8,80.6,37.9,7.9,4.0,29.9,50.5,25.1,43.1,306,6.8,1.14,2.9,62.2,0.9,51.1,48.3,56.0,53.2
Hard,Holger Rune,Ugo Humbert,1,67.4,67.0,9.3,3.7,9.3,60.0,74.7,55.6,61.3,85.4,35.4,8.8,3.6,26.0,50.5,19.2,37.7,276,6.0,0.93,2.3,65.0,0.71,51.2,60.0,59.8,52.4,69.0,67.6,9.4,2.4,6.8,63.9,74.0,56.3,60.4,87.6,37.0,8.1,3.7,27.5,52.1,23.1,39.4,297,7.1,1.08,2.8,68.0,0.59,52.4,23.1,64.8,55.7
Hard,Lorenzo Musetti,Arthur Fils,0,48.5,62.8,4.6,2.5,6.8,63.3,69.2,51.7,55.5,75.4,36.4,8.6,4.0,26.4,52.4,19.8,32.5,255,7.7,0.95,2.5,54.8,1.2,49.3,55.6,47.1,47.6,59.5,67.2,10.2,4.3,10.9,60.7,78.3,49.9,56.0,85.1,35.6,9.0,3.1,27.0,50.0,18.4,34.6,237,6.4,0.86,2.2,64.4,0.71,51.0,56.5,55.8,51.8
Hard,Botic Van De Zandschulp,Francisco Cerundolo,0,40.0,62.3,6.4,4.4,12.4,64.5,70.8,46.9,53.5,77.1,35.1,8.5,3.6,25.7,50.7,17.8,38.9,162,5.4,0.9,2.1,59.8,1.14,48.8,43.8,41.4,47.2,48.3,62.4,5.3,4.3,10.9,60.5,70.1,50.6,56.8,78.8,36.2,7.4,3.3,27.1,51.0,21.2,42.6,176,6.1,1.03,2.6,62.9,1.04,49.6,47.4,49.3,50.2
Hard,Alex De Minaur,Hubert Hurkacz,1,66.7,64.8,7.0,3.5,7.7,54.4,73.5,54.3,58.9,82.4,40.4,6.8,3.4,30.5,55.0,27.6,45.2,334,7.4,1.28,3.4,62.2,0.81,52.2,63.6,62.7,54.8,61.8,69.8,15.3,2.4,6.3,62.1,78.8,55.0,58.7,88.8,33.9,8.9,2.7,25.5,48.7,15.6,35.6,208,6.1,0.77,2.2,69.8,0.57,51.6,51.6,58.3,52.8
